doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,vor,vor,NOUN,
text3,1,2,genau,genau,NOUN,
text3,1,3,einer,einer,NOUN,
text3,1,4,Woche,Woche,PROPN,ORG_B
text3,1,5,stand,stand,VERB,
text3,1,6,i,I,PRON,
text3,1,7,m,m,VERB,
text3,1,8,Wochenrückblick,Wochenrückblick,PROPN,PERSON_B
text3,1,9,",",",",PUNCT,
text3,1,10,dass,dass,NOUN,
text3,1,11,die,die,VERB,
text3,1,12,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,1,13,i,i,PROPN,
text3,1,14,m,m,VERB,
text3,1,15,EU,EU,PROPN,PERSON_B
text3,1,16,-,-,PUNCT,PERSON_I
text3,1,17,Rat,Rat,PROPN,PERSON_I
text3,1,18,am,be,AUX,
text3,1,19,14,14,NUM,DATE_B
text3,1,20,.,.,PUNCT,
text3,2,1,Oktober,Oktober,PROPN,
text3,2,2,für,für,NOUN,
text3,2,3,die,die,VERB,
text3,2,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,5,stimmen,stimmen,PROPN,
text3,2,6,könnte,könnte,NOUN,
text3,2,7,.,.,PUNCT,
text3,3,1,Auf,Auf,PROPN,PERSON_B
text3,3,2,Anfragen,Anfragen,PROPN,PERSON_I
text3,3,3,von,von,PROPN,PERSON_I
text3,3,4,uns,un,VERB,PERSON_I
text3,3,5,hatte,hatte,PROPN,PERSON_B
text3,3,6,sie,sie,PROPN,PERSON_I
text3,3,7,keine,keine,PROPN,
text3,3,8,Position,position,NOUN,
text3,3,9,gegen,gegen,NOUN,
text3,3,10,die,die,VERB,
text3,3,11,Überwachungspläne,Überwachungspläne,PROPN,
text3,3,12,bezogen,bezogen,NOUN,
text3,3,13,.,.,PUNCT,
text5,1,1,Jetzt,Jetzt,PROPN,
text5,1,2,",",",",PUNCT,
text5,1,3,nur,nur,VERB,
text5,1,4,eine,eine,NOUN,
text5,1,5,Woche,Woche,PROPN,
text5,1,6,später,später,NOUN,
text5,1,7,hat,hat,NOUN,
text5,1,8,sich,sich,PROPN,
text5,1,9,der,der,PROPN,
text5,1,10,Wind,Wind,PROPN,
text5,1,11,gedreht,gedreht,PROPN,
text5,1,12,:,:,PUNCT,
text5,1,13,Die,die,VERB,
text5,1,14,Abstimmung,Abstimmung,PROPN,
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,EU,EU,PROPN,PERSON_B
text5,2,4,-,-,PUNCT,PERSON_I
text5,2,5,Rat,Rat,PROPN,PERSON_I
text5,2,6,ist,ist,ADV,
text5,2,7,erstmal,erstmal,ADJ,
text5,2,8,abgesagt,abgesagt,NOUN,
text5,2,9,",",",",PUNCT,
text5,2,10,wohl,wohl,NOUN,
text5,2,11,auch,auch,NOUN,
text5,2,12,weil,weil,NOUN,
text5,2,13,sich,sich,PRON,
text5,2,14,die,die,VERB,
text5,2,15,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text5,2,16,am,be,AUX,PERSON_I
text5,2,17,vergangenen,vergangenen,NOUN,PERSON_I
text5,2,18,Mittwoch,Mittwoch,PROPN,
text5,2,19,gegen,gegen,PROPN,
text5,2,20,eine,eine,NOUN,
text5,2,21,„,„,PUNCT,
text5,2,22,anlasslose,anlasslose,VERB,
text5,2,23,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,24,“,"""",PUNCT,
text5,2,25,positioniert,positioniert,NOUN,
text5,2,26,hat,hat,NOUN,
text5,2,27,und,und,VERB,
text5,2,28,es,es,ADP,
text5,3,1,so,so,ADV,
text5,3,2,keine,keine,NOUN,
text5,3,3,Mehrheit,Mehrheit,PROPN,GPE_B
text5,3,4,geben,geben,PROPN,
text5,3,5,würde,würde,PROPN,
text5,3,6,.,.,PUNCT,
text5,4,1,Das,Das,PROPN,
text5,4,2,wohl,wohl,NOUN,
text5,4,3,gefährlichste,gefährlichste,NOUN,
text5,4,4,Überwachungsprojekt,Überwachungsprojekt,PROPN,PERSON_B
text5,4,5,Europas,Europas,PROPN,PERSON_I
text5,4,6,ist,ist,VERB,
text5,4,7,vorerst,vorerst,ADJ,
text5,4,8,wieder,wieder,NOUN,
text5,4,9,abgewehrt,abgewehrt,PROPN,
text5,4,10,.,.,PUNCT,
text7,1,1,I,I,PRON,
text7,1,2,m,m,AUX,
text7,1,3,letzten,letzten,VERB,
text7,1,4,Wochenrückblick,Wochenrückblick,PROPN,PERSON_B
text7,1,5,stand,stand,VERB,
text7,1,6,auch,auch,ADJ,
text7,1,7,",",",",PUNCT,
text7,1,8,dass,dass,PROPN,
text7,1,9,es,es,PROPN,
text7,1,10,nicht,nicht,PROPN,
text7,1,11,zu,zu,PROPN,
text7,1,12,spät,spät,PROPN,
text7,1,13,für,für,PROPN,
text7,1,14,Proteste,Proteste,PROPN,FAC_B
text7,1,15,sei,sei,ADJ,
text7,1,16,.,.,PUNCT,
text7,2,1,Und,und,NOUN,
text7,2,2,genau,genau,NOUN,
text7,2,3,das,das,PROPN,
text7,2,4,hat,hat,PROPN,
text7,2,5,sich,sich,PROPN,
text7,2,6,bewahrheitet,bewahrheitet,NOUN,
text7,2,7,:,:,PUNCT,
text7,2,8,Es,Es,PROPN,
text7,2,9,war,war,NOUN,
text7,2,10,nicht,nicht,NOUN,
text7,2,11,zu,zu,NOUN,
text7,2,12,spät,spät,NOUN,
