doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Gibt,gibt,NOUN,LOC_B
text1,1,2,es,es,DET,
text1,1,3,ein,ein,NOUN,
text1,1,4,besseres,bessere,VERB,
text1,1,5,Symbol,Symbol,PROPN,ORG_B
text1,1,6,für,für,NOUN,
text1,1,7,das,das,PROPN,PERSON_B
text1,1,8,Jahr,Jahr,PROPN,PERSON_I
text1,1,9,2023,2023,NUM,PERSON_I
text1,1,10,als,al,NOUN,
text1,1,11,den,den,VERB,
text1,1,12,💩,💩,PUNCT,PERSON_B
text1,1,13,-Emoji,-Emoji,PROPN,PERSON_I
text1,1,14,?,?,PUNCT,
text1,2,1,Wir,Wir,PROPN,
text1,2,2,leben,leben,PROPN,
text1,2,3,in,in,ADP,
text1,2,4,Zeiten,Zeiten,PROPN,GPE_B
text1,2,5,des,des,X,
text1,2,6,Bullshits,Bullshits,PROPN,
text1,2,7,.,.,PUNCT,
text1,3,1,Nicht,Nicht,PROPN,ORG_B
text1,3,2,erst,erst,NOUN,
text1,3,3,",",",",PUNCT,
text1,3,4,seit,seit,NOUN,
text1,3,5,Elon,Elon,PROPN,PERSON_B
text1,3,6,Musk,Musk,PROPN,PERSON_I
text1,3,7,Presseanfragen,Presseanfragen,PROPN,PERSON_I
text1,3,8,an,an,DET,
text1,3,9,Twitter,Twitter,PROPN,NORP_B
text1,3,10,ausschließlich,ausschließlich,PRON,
text1,3,11,mit,mit,VERB,PERSON_B
text1,3,12,dem,dem,ADJ,PERSON_I
text1,3,13,braunen,braunen,NOUN,
text1,3,14,Häufchen,Häufchen,PROPN,
text1,3,15,beantworten,beantworten,VERB,
text1,3,16,ließ,ließ,NOUN,
text1,3,17,.,.,PUNCT,
text1,4,1,Wohin,Wohin,PROPN,
text1,4,2,man,man,NOUN,
text1,4,3,auch,auch,ADJ,PERSON_B
text1,4,4,schaut,schaut,NOUN,PERSON_I
text1,4,5,",",",",PUNCT,
text1,4,6,greifen,greifen,VERB,
text1,4,7,haltlose,haltlose,PROPN,PERSON_B
text1,4,8,Versprechen,Versprechen,PROPN,PERSON_I
text1,4,9,und,und,NOUN,
text1,4,10,unbelegte,unbelegte,VERB,
text1,4,11,Behauptungen,Behauptungen,PROPN,ORG_B
text1,4,12,um,um,INTJ,
text1,4,13,sich,sich,NOUN,
text1,4,14,.,.,PUNCT,
text1,5,1,Täuschungen,Täuschungen,PROPN,ORG_B
text1,5,2,",",",",PUNCT,
text1,5,3,Tricksereien,Tricksereien,PROPN,
text1,5,4,und,und,VERB,
text1,5,5,unverblümte,unverblümte,ADJ,PERSON_B
text1,5,6,Lügen,Lügen,PROPN,PERSON_I
text1,5,7,nehmen,nehman,NOUN,
text1,5,8,zu,zu,NOUN,
text1,5,9,.,.,PUNCT,
text1,6,1,Das,Das,PROPN,
text1,6,2,Gift,Gift,PROPN,PERSON_B
text1,6,3,der,der,PROPN,
text1,6,4,Faktenfreiheit,Faktenfreiheit,PROPN,GPE_B
text1,6,5,zersetzt,zersetzt,PROPN,
text1,6,6,die,die,VERB,
text1,6,7,Debatte,Debatte,PROPN,ORG_B
text1,6,8,und,und,PROPN,
text1,6,9,hetzt,hetzt,PROPN,
text1,6,10,Menschen,Menschen,PROPN,NORP_B
text1,6,11,gegeneinander,gegeneinander,NOUN,
text1,6,12,auf,auf,PROPN,
text1,6,13,.,.,PUNCT,
text1,7,1,Nicht,Nicht,PROPN,ORG_B
text1,7,2,nur,nur,VERB,
text1,7,3,",",",",PUNCT,
text1,7,4,aber,aber,PROPN,
text1,7,5,auch,auch,NOUN,
text1,7,6,in,in,ADP,
text1,7,7,der,der,PROPN,
text1,7,8,Netz-,Netz-,PROPN,
text1,7,9,und,und,PROPN,
text1,7,10,Digitalpolitik,Digitalpolitik,PROPN,ORG_B
text1,7,11,.,.,PUNCT,
text3,1,1,Da,da,SCONJ,
text3,1,2,agiert,agiert,NOUN,
text3,1,3,eine,eine,NOUN,
text3,1,4,sozialdemokratische,sozialdemokratische,NOUN,
text3,2,1,Bundesinnenministerin,Bundesinnenministerin,PROPN,GPE_B
text3,2,2,wie,wie,NOUN,
