doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Meredith,Meredith,PROPN,PERSON_B
text1,1,2,Whittaker,Whittaker,PROPN,PERSON_I
text1,1,3,",",",",PUNCT,
text1,1,4,die,die,VERB,
text1,1,5,Präsidentin,Präsidentin,PROPN,ORG_B
text1,1,6,der,der,NOUN,ORG_I
text1,1,7,Signal,Signal,PROPN,ORG_I
text1,1,8,Foundation,Foundation,PROPN,ORG_I
text1,1,9,",",",",PUNCT,
text1,1,10,hat,hat,NOUN,
text1,1,11,in,in,ADP,
text1,1,12,scharfen,scharfen,NOUN,
text1,1,13,Worten,Worten,PROPN,PERSON_B
text1,1,14,den,den,VERB,
text1,1,15,belgischen,belgischen,NOUN,
text1,1,16,„,„,PUNCT,
text1,1,17,Kompromissvorschlag,Kompromissvorschlag,PROPN,
text1,1,18,“,"""",PUNCT,
text1,1,19,",",",",PUNCT,
text1,1,20,der,der,PROPN,ORG_B
text1,1,21,am,be,AUX,ORG_I
text1,1,22,Mittwoch,Mittwoch,PROPN,ORG_I
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,PERSON_B
text1,2,4,der,der,PROPN,PERSON_I
text1,2,5,EU,EU,PROPN,ORG_B
text1,2,6,abgestimmt,abgestimmt,PROPN,GPE_B
text1,2,7,werden,werden,PROPN,
text1,2,8,soll,soll,PROPN,GPE_B
text1,2,9,",",",",PUNCT,
text1,2,10,kritisiert,kritisiert,PROPN,PERSON_B
text1,2,11,.,.,PUNCT,
text1,3,1,Mit,mit,NOUN,ORG_B
text1,3,2,dem,dem,ADJ,
text1,3,3,Begriff,Begriff,PROPN,ORG_B
text1,3,4,„,„,PUNCT,ORG_I
text1,3,5,Upload,Upload,PROPN,ORG_I
text1,3,6,Moderation,Moderation,PROPN,ORG_I
text1,3,7,“,"""",PUNCT,
text1,3,8,hätte,hätte,NOUN,
text1,3,9,die,die,NOUN,
text1,3,10,belgische,belgische,PROPN,
text1,3,11,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text1,3,12,der,der,PROPN,ORG_I
text1,3,13,Technologie,Technologie,PROPN,ORG_I
text1,3,14,des,des,PROPN,ORG_I
text1,3,15,Client,Client,PROPN,ORG_I
text1,3,16,-,-,PUNCT,ORG_I
text1,3,17,Side,Side,PROPN,ORG_I
text1,3,18,-,-,PUNCT,ORG_I
text1,3,19,Scannings,Scannings,PROPN,ORG_I
text1,3,20,nur,nur,NOUN,
