doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,Deutschland,deutschland,ADJ,GPE_B
text3,1,2,wird,wird,NOUN,
text3,1,3,i,I,PRON,
text3,1,4,m,m,VERB,
text3,1,5,EU,EU,PROPN,PERSON_B
text3,1,6,-,-,PUNCT,PERSON_I
text3,1,7,Rat,Rat,PROPN,PERSON_I
text3,1,8,erstmal,erstmal,ADJ,
text3,1,9,nicht,nicht,NOUN,
text3,1,10,der,der,NOUN,
text3,1,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,12,zustimmen,zustimman,NOUN,
text3,1,13,.,.,PUNCT,
text3,2,1,Nach,Nach,PROPN,
text3,2,2,aufregenden,aufregenden,VERB,
text3,2,3,Tagen,Tagen,PROPN,
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Ungewissen,Ungewissen,PROPN,PERSON_B
text3,3,4,ist,ist,NOUN,
text3,3,5,das,das,PROPN,
text3,3,6,eine,eine,NOUN,
text3,3,7,beruhigende,beruhigende,NOUN,
text3,3,8,Botschaft,botschaft,NOUN,ORG_B
text3,3,9,.,.,PUNCT,
text3,4,1,Und,Und,PROPN,
text3,4,2,es,es,X,
text3,4,3,zeigt,zeigt,PROPN,
text3,4,4,",",",",PUNCT,
text3,4,5,wie,wie,PROPN,
text3,4,6,der,der,PROPN,
text3,4,7,laute,laute,PROPN,
text3,4,8,und,und,PROPN,
text3,4,9,klare,klare,NOUN,
text3,4,10,Protest,Protest,PROPN,NORP_B
text3,4,11,aus,aus,X,
text3,4,12,allen,allen,ADJ,
text3,4,13,Ecken,Ecken,PROPN,ORG_B
text3,4,14,der,der,PROPN,ORG_I
text3,4,15,Gesellschaft,Gesellschaft,PROPN,ORG_I
text3,4,16,gewirkt,gewirkt,VERB,
text3,4,17,hat,hat,NOUN,
text3,4,18,.,.,PUNCT,
text3,5,1,Wir,wir,ADJ,
text3,5,2,wissen,wissen,NOUN,
text3,5,3,aber,aber,PROPN,
text3,5,4,leider,leider,PROPN,
text3,5,5,auch,auch,PROPN,
text3,5,6,:,:,PUNCT,
text3,5,7,Das,Das,PROPN,ORG_B
text3,5,8,wird,wird,PROPN,
text3,5,9,vermutlich,vermutlich,PROPN,
text3,5,10,nicht,nicht,PROPN,
text3,5,11,der,der,PROPN,
text3,5,12,letzte,letzte,PROPN,
text3,5,13,Versuch,Versuch,PROPN,
text3,5,14,sein,sein,PROPN,
text3,5,15,",",",",PUNCT,
text3,5,16,einen,einen,NOUN,
text3,5,17,Kompromiss,Kompromiss,PROPN,LAW_B
text3,5,18,zum,zum,PROPN,LAW_I
text3,5,19,Scannen,Scannen,PROPN,LAW_I
text3,5,20,von,von,PROPN,LAW_I
text3,5,21,Nachrichten,Nachrichten,PROPN,LAW_I
text3,5,22,durch,durch,NOUN,
text3,5,23,den,den,VERB,
text3,5,24,EU,EU,PROPN,ORG_B
text3,5,25,-,-,PUNCT,
text3,5,26,Rat,Rat,PROPN,
text3,5,27,zu,zu,PROPN,
text3,5,28,bekommen,bekomman,NOUN,
text3,5,29,.,.,PUNCT,
text3,6,1,Neben,Neben,PROPN,NORP_B
text3,6,2,Deutschland,Deutschland,PROPN,NORP_I
text3,6,3,ist,ist,VERB,
text3,6,4,auch,auch,ADJ,
text3,6,5,die,die,VERB,
text3,6,6,Position,position,NOUN,
text3,6,7,anderer,anderer,NOUN,
text3,6,8,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text3,6,9,wichtig,wichtig,NOUN,
text3,6,10,.,.,PUNCT,
text3,7,1,Deshalb,Deshalb,PROPN,
text3,7,2,ist,ist,NOUN,
text3,7,3,die,die,VERB,
text3,7,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,7,5,noch,noch,PROPN,
text3,7,6,nicht,nicht,PROPN,
text3,7,7,vom,vom,PROPN,
text3,7,8,Tisch,Tisch,PROPN,PERSON_B
text3,7,9,.,.,PUNCT,
text3,8,1,Aber,Aber,PROPN,PERSON_B
text3,8,2,ein,ein,NOUN,PERSON_I
text3,8,3,Aufatmen,Aufatmen,PROPN,PERSON_I
text3,8,4,zwischendurch,zwischendurch,NOUN,PERSON_B
text3,8,5,kann,kann,NOUN,PERSON_I
text3,8,6,das,das,PROPN,PERSON_I
text3,8,7,allemal,allemal,PROPN,
text3,8,8,sein,sein,PROPN,
text3,8,9,.,.,PUNCT,
text5,1,1,Liebe,Liebe,PROPN,PERSON_B
text5,1,2,Grüße,Grüße,PROPN,PERSON_I
text5,1,3,",",",",PUNCT,
text7,1,1,*,*,PUNCT,
text7,1,2,anna,anna,NOUN,
text7,1,3,*,*,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,
text9,1,3,Schreibe,Schreibe,PROPN,PERSON_B
text9,1,4,eine,eine,NOUN,
text9,1,5,Ergänzung,Ergänzung,PROPN,
text9,1,6,!,!,PUNCT,
