doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wie,wie,NOUN,PERSON_B
text1,1,2,oft,oft,ADP,
text1,1,3,benutzt,benutzt,NOUN,
text1,1,4,ihr,ihr,PROPN,
text1,1,5,die,die,PROPN,
text1,1,6,Wikipedia,Wikipedia,PROPN,ORG_B
text1,1,7,?,?,PUNCT,
text1,2,1,Und,Und,PROPN,
text1,2,2,was,be,AUX,
text1,2,3,",",",",PUNCT,
text1,2,4,wenn,wenn,PROPN,
text1,2,5,die,die,VERB,
text1,2,6,plötzlich,plötzlich,NOUN,
text1,2,7,nicht,nicht,PROPN,
text1,2,8,mehr,mehr,PROPN,
text1,2,9,erreichbar,erreichbar,PROPN,
text1,2,10,ist,ist,PROPN,
text1,2,11,?,?,PUNCT,
text1,3,1,Vor,Vor,PROPN,PERSON_B
text1,3,2,diesem,diesem,PROPN,
text1,3,3,Szenario,Szenario,PROPN,PERSON_B
text1,3,4,fürchten,fürchten,VERB,
text1,3,5,sich,sich,PROPN,
text1,3,6,momentan,momentan,ADJ,
text1,3,7,offenbar,offenbar,NOUN,
text1,3,8,Nutzer,Nutzer,PROPN,ORG_B
text1,3,9,:,:,PUNCT,
text1,3,10,innen,innen,NOUN,
text1,3,11,in,in,ADP,
text1,3,12,Russland,Russland,PROPN,GPE_B
text1,3,13,.,.,PUNCT,
text1,4,1,Denn,denn,NOUN,
text1,4,2,seit,seit,NOUN,
text1,4,3,dem,dem,PROPN,
text1,4,4,Beginn,Beginn,PROPN,ORG_B
text1,4,5,des,des,PROPN,ORG_I
text1,4,6,russischen,russischen,NOUN,ORG_I
text1,4,7,Angriffskrieges,Angriffskrieges,PROPN,ORG_B
text1,4,8,steigen,steigen,NOUN,ORG_I
text1,4,9,die,die,VERB,ORG_I
text1,4,10,Downloadzahlen,Downloadzahlen,PROPN,ORG_I
text1,4,11,für,für,NOUN,
text1,4,12,eine,eine,NOUN,
text1,4,13,Offline,Offline,PROPN,ORG_B
text1,4,14,-,-,PUNCT,ORG_I
text1,4,15,Version,Version,PROPN,ORG_I
text1,4,16,",",",",PUNCT,
text1,4,17,da,da,PROPN,
text1,4,18,eine,eine,NOUN,
text1,4,19,Sperrung,Sperrung,PROPN,WORK_OF_ART_B
text1,4,20,der,der,NOUN,WORK_OF_ART_I
text1,4,21,Online,Online,PROPN,WORK_OF_ART_I
text1,4,22,-,-,PUNCT,WORK_OF_ART_I
text1,4,23,Enzyklopädie,Enzyklopädie,PROPN,WORK_OF_ART_I
text1,4,24,befürchtet,befürchtet,NOUN,
text1,4,25,wird,wird,NOUN,
text1,4,26,.,.,PUNCT,
text3,1,1,Viele,Viele,PROPN,PERSON_B
text3,1,2,Medien,Medien,PROPN,PERSON_I
text3,1,3,und,und,VERB,
text3,1,4,soziale,soziale,ADJ,
text3,1,5,Netzwerke,Netzwerke,PROPN,ORG_B
text3,1,6,sind,sind,NOUN,
text3,1,7,aus,aus,PROPN,ORG_B
text3,1,8,dem,dem,PROPN,ORG_I
text3,1,9,Land,Land,PROPN,ORG_I
text3,1,10,schon,schon,ADJ,
text3,1,11,nicht,nicht,NOUN,
text3,1,12,mehr,mehr,NOUN,
text3,1,13,erreichbar,erreichbar,PROPN,
text3,1,14,",",",",PUNCT,
text3,1,15,regelmäßig,regelmäßig,NOUN,
text3,1,16,kommen,kommen,PROPN,
text3,1,17,neue,neue,PROPN,
text3,1,18,dazu,dazu,NOUN,
text3,1,19,.,.,PUNCT,
text3,2,1,Nun,Nun,PROPN,
text3,2,2,trifft,trifft,NOUN,
text3,2,3,es,es,VERB,
text3,2,4,auch,auch,ADJ,
text3,2,5,Google,Google,PROPN,ORG_B
text3,2,6,News,News,PROPN,ORG_I
text3,2,7,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,russische,russische,NOUN,
text3,3,3,Medienaufsichtsbehörde,Medienaufsichtsbehörde,PROPN,PERSON_B
text3,3,4,hat,hat,NOUN,
text3,3,5,gerade,gerade,NOUN,
text3,3,6,die,die,VERB,
text3,3,7,Sperrung,Sperrung,PROPN,PERSON_B
text3,3,8,angeordnet,angeordnet,NOUN,
text3,3,9,.,.,PUNCT,
text3,4,1,Bleibt,Bleibt,PROPN,PERSON_B
text3,4,2,fast,fast,ADV,
text3,4,3,nur,nur,VERB,
text3,4,4,noch,noch,PROPN,
text3,4,5,YouTube,YouTube,PROPN,PRODUCT_B
text3,4,6,",",",",PUNCT,
text3,4,7,doch,doch,ADJ,
text3,4,8,fragt,fragt,ADJ,
text3,4,9,man,man,NOUN,
text3,4,10,sich,sich,PROPN,
text3,4,11,",",",",PUNCT,
text3,4,12,wie,wie,PROPN,
text3,4,13,lange,lange,NOUN,
text3,4,14,noch,noch,ADV,
text3,4,15,…,…,PUNCT,
text5,1,1,Übrigens,Übrigens,PROPN,CARDINAL_B
text5,1,2,:,:,PUNCT,
text5,1,3,Das,Das,PROPN,
text5,1,4,Interview,Interview,PROPN,
text5,1,5,zum,zum,PROPN,
text5,1,6,unabhängigen,unabhängigen,NOUN,
text5,1,7,russischsprachigen,russischsprachigen,NOUN,
text5,1,8,Exil,Exil,PROPN,ORG_B
text5,1,9,-,-,PUNCT,ORG_I
text5,1,10,Medium,Medium,PROPN,ORG_I
text5,1,11,Meduza,Meduza,PROPN,ORG_I
text5,1,12,haben,haben,NOUN,
text5,1,13,wir,wir,NOUN,
text5,1,14,in,in,ADP,
text5,1,15,dieser,dieser,PROPN,
text5,1,16,Woche,Woche,PROPN,
text5,1,17,auch,auch,NOUN,
text5,1,18,auf,auf,PROPN,
text5,1,19,Englisch,Englisch,PROPN,PERSON_B
text5,1,20,veröffentlicht,veröffentlicht,NOUN,
text5,1,21,.,.,PUNCT,
text5,2,1,Katerina,Katerina,PROPN,GPE_B
text5,2,2,Abramova,Abramova,PROPN,
text5,2,3,berichtet,berichtet,PROPN,
text5,2,4,dort,dort,PROPN,PERSON_B
text5,2,5,über,über,PROPN,PERSON_I
text5,2,6,die,die,NOUN,
text5,3,1,Arbeit,Arbeit,PROPN,GPE_B
text5,3,2,i,I,PRON,
text5,3,3,m,m,VERB,
text5,3,4,Exil,exil,NOUN,PERSON_B
text5,3,5,und,und,NOUN,
text5,3,6,wie,wie,NOUN,
text5,3,7,Menschen,Menschen,PROPN,ORG_B
text5,3,8,in,in,ADP,ORG_I
text5,3,9,Russland,Russland,PROPN,GPE_B
text5,3,10,trotz,trotz,NOUN,
text5,3,11,aller,aller,NOUN,
text5,3,12,Hindernisse,Hindernisse,PROPN,GPE_B
text5,3,13,noch,noch,PROPN,
text5,3,14,auf,auf,PROPN,
text5,3,15,unabhängige,unabhängige,PROPN,
text5,3,16,Informationen,Informationen,PROPN,ORG_B
text5,3,17,zugreifen,zugreifen,NOUN,
text5,3,18,können,können,NOUN,
text5,3,19,.,.,PUNCT,
text7,1,1,Mittels,mittel,NOUN,
text7,1,2,der,der,NOUN,
text7,1,3,Spähsoftware,Spähsoftware,PROPN,
text7,1,4,Pegasus,Pegasus,PROPN,
text7,1,5,lassen,lassen,PROPN,
text7,1,6,sich,sich,PROPN,
text7,1,7,Handys,Handys,PROPN,ORG_B
text7,1,8,überwachen,überwachen,ADV,
text7,1,9,",",",",PUNCT,
text7,1,10,durchsuchen,durchsuchen,VERB,
text7,1,11,und,und,PROPN,
text7,1,12,abhören,abhören,PROPN,
text7,1,13,.,.,PUNCT,
text7,2,1,Das,Das,PROPN,
text7,2,2,israelische,israelische,PRON,
text7,2,3,Unternehmen,Unternehmen,PROPN,ORG_B
text7,2,4,NSO,NSO,PROPN,ORG_I
text7,2,5,Group,Group,PROPN,ORG_I
text7,2,6,darf,darf,NOUN,
text7,2,7,die,die,VERB,
text7,2,8,Software,Software,PROPN,ORG_B
