doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Gute,Gute,PROPN,PERSON_B
text1,1,2,Argumente,Argumente,PROPN,PERSON_I
text1,1,3,i,I,PRON,
text1,1,4,m,m,VERB,
text1,1,5,politischen,politischen,ADV,
text1,1,6,Kampf,Kampf,PROPN,
text1,1,7,um,um,INTJ,
text1,1,8,die,die,VERB,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,10,liefert,liefert,PROPN,
text1,1,11,heute,heute,PROPN,
text1,1,12,ein,ein,PROPN,
text1,1,13,internationaler,internationaler,PROPN,
text1,1,14,offener,offener,PROPN,
text1,1,15,Brief,Brief,PROPN,
text1,1,16,aus,aus,PROPN,
text1,1,17,der,der,PROPN,
text1,1,18,Welt,Welt,PROPN,ORG_B
text1,1,19,der,der,PROPN,ORG_I
text1,1,20,Wissenschaft,Wissenschaft,PROPN,ORG_I
text1,1,21,.,.,PUNCT,
text1,2,1,Mehr,Mehr,PROPN,
text1,2,2,als,al,NOUN,
text1,2,3,dreihundert,dreihundert,VERB,
text1,2,4,Unterzeichner,Unterzeichner,PROPN,
text1,2,5,aus,aus,ADP,ORG_B
text1,2,6,über,über,PROPN,ORG_I
text1,2,7,dreißig,dreißig,PROPN,
text1,2,8,Ländern,Ländern,PROPN,
text1,2,9,richten,richten,VERB,
text1,2,10,sich,sich,PROPN,
text1,2,11,damit,damit,VERB,
text1,2,12,an,an,DET,
text1,2,13,die,die,ADJ,
text1,2,14,Europa,Europa,PROPN,LOC_B
text1,2,15,-,-,PUNCT,LOC_I
text1,2,16,Parlamentarier,Parlamentarier,PROPN,LOC_I
text1,2,17,und,und,PROPN,
text1,2,18,alle,alle,NOUN,
text1,2,19,Mitgliedsländer,Mitgliedsländer,PROPN,ORG_B
text1,2,20,des,des,X,ORG_I
text1,2,21,Rates,Rates,PROPN,ORG_I
text1,2,22,der,der,NOUN,
text1,2,23,Europäischen,Europäischen,PROPN,ORG_B
text1,2,24,Union,Union,PROPN,ORG_I
text1,2,25,.,.,PUNCT,
text1,3,1,Wer,wer,ADJ,
text1,3,2,den,den,NOUN,
text1,3,3,Brief,brief,ADJ,
text1,3,4,liest,liest,NOUN,
text1,3,5,",",",",PUNCT,
text1,3,6,wird,wird,PROPN,
text1,3,7,sich,sich,PROPN,
text1,3,8,unweigerlich,unweigerlich,PROPN,PERSON_B
text1,3,9,fragen,fragen,PROPN,PERSON_I
text1,3,10,",",",",PUNCT,
text1,3,11,wie,wie,PROPN,
text1,3,12,es,es,PROPN,
text1,3,13,möglich,möglich,PROPN,
text1,3,14,sein,sein,PROPN,PERSON_B
text1,3,15,kann,kann,PROPN,PERSON_I
text1,3,16,",",",",PUNCT,
text1,3,17,dass,dass,NOUN,
text1,3,18,die,die,VERB,
text1,3,19,EU,EU,PROPN,ORG_B
text1,3,20,-,-,PUNCT,ORG_I
text1,3,21,Kommission,Kommission,PROPN,ORG_I
text1,3,22,ihren,ihren,NOUN,
text1,3,23,Plan,Plan,PROPN,PRODUCT_B
text1,3,24,angesichts,angesicht,VERB,
text1,3,25,der,der,PROPN,
text1,3,26,offenkundigen,offenkundigen,PROPN,
text1,3,27,technischen,technischen,NOUN,
text1,3,28,Unsinnigkeit,Unsinnigkeit,PROPN,ORG_B
text1,3,29,weiterverfolgt,weiterverfolgt,PROPN,
text1,3,30,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,hierzulande,hierzulande,NOUN,
text3,1,3,oft,oft,INTJ,
text3,1,4,nur,nur,NOUN,
text3,1,5,kurz,kurz,NOUN,PERSON_B
text3,1,6,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,1,7,genannte,genannte,NOUN,
text3,1,8,Verordnungsidee,Verordnungsidee,PROPN,ORG_B
text3,1,9,ist,ist,NOUN,
text3,1,10,international,international,ADJ,
text3,1,11,unter,unter,NOUN,
text3,2,1,dem,dem,INTJ,
text3,2,2,Begriff,Begriff,PROPN,ORG_B
text3,2,3,Child,Child,PROPN,ORG_I
text3,2,4,Sexual,Sexual,PROPN,ORG_I
text3,2,5,Abuse,Abuse,PROPN,ORG_I
text3,2,6,Regulation,Regulation,PROPN,ORG_I
text3,2,7,bekannt,bekannt,PROPN,
text3,2,8,und,und,PROPN,
text3,2,9,soll,soll,PROPN,PERSON_B
text3,2,10,dem,dem,PROPN,PERSON_I
text3,2,11,Kampf,Kampf,PROPN,
text3,2,12,gegen,gegen,NOUN,
text3,2,13,sexuelle,sexuelle,NOUN,
text3,2,14,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,
text3,2,15,dienen,dienen,NOUN,
text3,2,16,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,geplante,geplante,ADJ,
text3,3,3,EU,EU,PROPN,ORG_B
text3,3,4,-,-,PUNCT,
text3,3,5,Gesetzgebung,Gesetzgebung,PROPN,
text3,3,6,soll,soll,NOUN,
text3,3,7,Internet,Internet,PROPN,
text3,3,8,-,-,PUNCT,
text3,3,9,Dienstleister,Dienstleister,PROPN,
text3,3,10,verpflichten,verpflichten,VERB,
text3,3,11,",",",",PUNCT,
text3,3,12,nach,nach,VERB,
text3,3,13,illegalen,illegalen,ADJ,
text3,3,14,Inhalten,Inhalten,PROPN,
text3,3,15,zu,zu,NOUN,
text3,3,16,suchen,suchen,NOUN,
text3,3,17,",",",",PUNCT,
text3,3,18,die,die,VERB,
text3,3,19,Gewalt,Gewalt,PROPN,PERSON_B
text3,3,20,und,und,PROPN,
text3,3,21,Missbrauch,Missbrauch,PROPN,
