doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,Union,union,NOUN,
text3,1,2,und,und,VERB,
text3,1,3,SPD,SPD,PROPN,ORG_B
text3,1,4,haben,haben,NOUN,
text3,1,5,sich,sich,PROPN,
text3,1,6,in,in,ADP,
text3,1,7,ihrem,ihrem,PROPN,
text3,1,8,Koalitionsvertrag,Koalitionsvertrag,PROPN,
text3,1,9,die,die,VERB,
text3,1,10,Möglichkeit,Möglichkeit,PROPN,
text3,1,11,offengehalten,offengehalten,ADJ,
text3,1,12,",",",",PUNCT,
text3,1,13,der,der,PROPN,
text3,1,14,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,15,i,I,PRON,
text3,1,16,m,m,VERB,
text3,1,17,EU,EU,PROPN,PERSON_B
text3,1,18,-,-,PUNCT,PERSON_I
text3,1,19,Rat,Rat,PROPN,PERSON_I
text3,1,20,zuzustimmen,zuzustimman,NOUN,
text3,1,21,.,.,PUNCT,
text3,2,1,Damit,Damit,PROPN,
text3,2,2,würden,würden,NOUN,
text3,2,3,Kommunikationsinhalte,Kommunikationsinhalte,PROPN,PERSON_B
text3,2,4,vor,vor,AUX,
text3,2,5,ihrer,ihrer,NOUN,
text3,2,6,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text3,2,7,analysiert,analysiert,NOUN,
text3,2,8,.,.,PUNCT,
text3,3,1,„,„,PUNCT,
text3,3,2,Grundsätzlich,Grundsätzlich,PROPN,PERSON_B
text3,3,3,sichern,sichern,NOUN,
text3,3,4,wir,wir,NOUN,
text3,3,5,die,die,VERB,
text3,4,1,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text3,4,2,privater,privater,NOUN,
text3,4,3,Kommunikation,Kommunikation,PROPN,
text3,4,4,und,und,PROPN,
text3,4,5,Anonymität,Anonymität,PROPN,
text3,5,1,i,I,PRON,
text3,5,2,m,m,VERB,
text3,5,3,Netz,Netz,VERB,PERSON_B
text3,5,4,“,"""",PUNCT,
text3,5,5,",",",",PUNCT,
text3,5,6,heißt,heißt,PROPN,
text3,5,7,es,es,X,
text3,5,8,i,I,PRON,
text3,5,9,m,m,VERB,
text3,5,10,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text3,5,11,.,.,PUNCT,
text3,6,1,Das,Das,PROPN,
text3,6,2,Wörtchen,Wörtchen,PROPN,
text3,6,3,„,„,PUNCT,
text3,6,4,grundsätzlich,grundsätzlich,NOUN,
text3,6,5,“,"""",PUNCT,
text3,6,6,macht,macht,PROPN,
text3,6,7,einen,einen,NOUN,
text3,6,8,großen,großen,NOUN,
text3,6,9,Unterschied,unterschied,ADJ,WORK_OF_ART_B
text3,6,10,",",",",PUNCT,
text3,6,11,denn,denn,NOUN,
text3,6,12,Ausnahmen,Ausnahmen,PROPN,ORG_B
text3,6,13,bleiben,bleiben,PROPN,
text3,6,14,damit,damit,PROPN,
text3,6,15,möglich,möglich,PROPN,
text3,6,16,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,ORG_B
text5,1,2,CSU,CSU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Innenminister,Innenminister,PROPN,ORG_I
text5,1,5,Alexander,Alexander,PROPN,PERSON_B
text5,1,6,Dobrindt,Dobrindt,PROPN,PERSON_I
text5,1,7,hat,hat,NOUN,
text5,1,8,sich,sich,PROPN,
text5,1,9,noch,noch,PROPN,
text5,1,10,nicht,nicht,PROPN,
text5,1,11,zur,zur,PROPN,
text5,1,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,1,13,positioniert,positioniert,NOUN,
text5,1,14,.,.,PUNCT,
text5,2,1,Seine,Seine,PROPN,
text5,2,2,Partei,Partei,PROPN,
text5,2,3,ist,ist,ADJ,
text5,2,4,dafür,dafür,PROPN,PERSON_B
text5,2,5,bekannt,bekannt,NOUN,PERSON_I
text5,2,6,",",",",PUNCT,
text5,2,7,Überwachungsmaßnahmen,Überwachungsmaßnahmen,PROPN,
text5,2,8,gutzuheißen,gutzuheißen,NOUN,
text5,2,9,.,.,PUNCT,
text5,3,1,Eine,eine,NOUN,PERSON_B
text5,3,2,Reihe,Reihe,PROPN,PERSON_I
text5,3,3,zivilgesellschaftlicher,zivilgesellschaftlicher,NOUN,
text5,3,4,Organisationen,Organisationen,PROPN,PERSON_B
text5,3,5,fordert,fordert,PROPN,
text5,3,6,nun,nun,PROPN,PERSON_B
text5,3,7,von,von,PROPN,PERSON_I
text5,3,8,Dobrindt,Dobrindt,PROPN,PERSON_I
text5,3,9,",",",",PUNCT,
text5,3,10,die,die,VERB,
