doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Sie,Sie,PROPN,
text1,1,2,stimmen,stimman,NOUN,
text1,1,3,sich,sich,PROPN,
text1,1,4,auf,auf,PROPN,
text1,1,5,die,die,VERB,
text1,1,6,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,7,-,-,PUNCT,PERSON_I
text1,1,8,Anhörung,Anhörung,PROPN,PERSON_I
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Digitalausschuss,Digitalausschuss,PROPN,PERSON_B
text1,2,4,i,I,PRON,
text1,2,5,m,m,VERB,
text1,2,6,Marie,Marie,PROPN,PERSON_B
text1,2,7,-,-,PUNCT,PERSON_I
text1,2,8,Elisabeth,Elisabeth,PROPN,PERSON_I
text1,2,9,-,-,PUNCT,PERSON_I
text1,2,10,Lüders,Lüders,PROPN,PERSON_I
text1,2,11,Haus,Haus,PROPN,PERSON_I
text1,2,12,ein,ein,PROPN,
text1,2,13,",",",",PUNCT,
text1,2,14,die,die,VERB,
text1,2,15,in,in,ADP,
text1,2,16,gut,gut,NOUN,
text1,2,17,zwei,zwei,PROPN,
text1,2,18,Stunden,Stunden,PROPN,
text1,2,19,beginnt,beginnt,NOUN,
text1,2,20,:,:,PUNCT,
text1,2,21,Einige,Einige,PROPN,PERSON_B
text1,2,22,Aktivist,aktivist,NOUN,
text1,2,23,:,:,PUNCT,
text1,2,24,innen,innen,NOUN,PERSON_B
text1,2,25,vor,vor,VERB,PERSON_I
text1,2,26,dem,dem,ADJ,PERSON_I
text1,2,27,Reichstagsgebäude,reichstagsgebäude,NOUN,PERSON_I
text1,2,28,.,.,PUNCT,
text1,3,1,Neben,Neben,PROPN,NORP_B
text1,3,2,ihnen,ihnen,NOUN,
text1,3,3,steht,steht,NOUN,
text1,3,4,eine,eine,NOUN,
text1,3,5,gläserne,gläserne,NOUN,
text1,3,6,Vitrine,Vitrine,PROPN,ORG_B
text1,3,7,",",",",PUNCT,
text1,3,8,in,in,ADP,
text1,3,9,der,der,ADJ,
text1,3,10,eine,eine,NOUN,
text1,3,11,Handyhalterung,Handyhalterung,PROPN,ORG_B
text1,3,12,angebracht,angebracht,PROPN,
text1,3,13,ist,ist,NOUN,
text1,3,14,.,.,PUNCT,
text1,4,1,Zuschauer,Zuschauer,PROPN,ORG_B
text1,4,2,:,:,PUNCT,
text1,4,3,innen,innen,NOUN,PERSON_B
text1,4,4,können,können,NOUN,PERSON_I
text1,4,5,ihr,ihr,VERB,
text1,4,6,Smartphone,Smartphone,PROPN,ORG_B
text1,4,7,in,in,ADP,
text1,4,8,die,die,ADJ,
text1,4,9,Vorrichtung,Vorrichtung,PROPN,PERSON_B
text1,4,10,stellen,stellen,NOUN,
text1,4,11,und,und,NOUN,
text1,4,12,„,„,PUNCT,
text1,4,13,analog,analog,NOUN,
text1,4,14,“,"""",PUNCT,
text1,4,15,auf,auf,PROPN,
text1,4,16,verdächtige,verdächtige,NOUN,
text1,4,17,Inhalte,Inhalte,PROPN,PRODUCT_B
text1,4,18,scannen,scannen,NOUN,
text1,4,19,lassen,lassen,NOUN,
text1,4,20,.,.,PUNCT,
text1,5,1,So,so,ADV,
text1,5,2,erklärt,erklärt,PROPN,
text1,5,3,es,es,PROPN,
text1,5,4,einer,einer,PROPN,
text1,5,5,der,der,PROPN,
text1,5,6,Protestierenden,Protestierenden,PROPN,GPE_B
text1,5,7,.,.,PUNCT,
text1,6,1,Bei,Bei,PROPN,PERSON_B
text1,6,2,Verdacht,Verdacht,PROPN,PERSON_I
text1,6,3,ertöne,ertöne,NOUN,PERSON_B
text1,6,4,dann,dann,NOUN,PERSON_I
text1,6,5,eine,eine,NOUN,
text1,6,6,Warnleuchte,Warnleuchte,PROPN,ORG_B
text1,6,7,:,:,PUNCT,
text1,6,8,Bestimmte,Bestimmte,PROPN,PERSON_B
text1,6,9,Inhalte,Inhalte,PROPN,PERSON_I
text1,6,10,werden,werden,PROPN,
text1,6,11,jetzt,jetzt,PROPN,
text1,6,12,an,an,DET,
text1,6,13,die,die,ADJ,
text1,6,14,Behörden,Behörden,PROPN,GPE_B
text1,6,15,weitergeleitet,weitergeleitet,NOUN,
text1,6,16,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Kunstaktion,Kunstaktion,PROPN,ORG_I
text3,1,3,vor,vor,VERB,
text3,1,4,dem,dem,ADJ,
text3,1,5,Bundestag,Bundestag,PROPN,PRODUCT_B
text3,1,6,–,–,PUNCT,
text3,1,7,satirisch,satirisch,PROPN,
text3,1,8,und,und,VERB,
text3,1,9,ernst,ernst,PROPN,
text3,1,10,zugleich,zugleich,PROPN,
text3,1,11,–,–,PUNCT,
text3,1,12,soll,soll,PROPN,
text3,1,13,die,die,VERB,
text3,1,14,Auswirkungen,Auswirkungen,PROPN,ORG_B
text3,1,15,einer,einer,NOUN,
text3,1,16,geplanten,geplanten,VERB,
text3,1,17,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
