doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Eine,eine,ADJ,
text1,1,2,erfreuliche,erfreuliche,NOUN,
text1,1,3,Nachricht,Nachricht,PROPN,
text1,1,4,für,für,NOUN,
text1,1,5,alle,alle,NOUN,
text1,1,6,",",",",PUNCT,
text1,1,7,die,die,VERB,
text1,1,8,i,I,PRON,
text1,1,9,m,m,VERB,
text1,1,10,Home,Home,PROPN,ORG_B
text1,1,11,-,-,PUNCT,ORG_I
text1,1,12,Office,Office,PROPN,ORG_I
text1,1,13,am,be,AUX,
text1,1,14,schlechten,schlechten,VERB,
text1,1,15,Internet,Internet,PROPN,
text1,1,16,verzweifeln,verzweifeln,PROPN,
text1,1,17,:,:,PUNCT,
text1,1,18,Bald,Bald,PROPN,PERSON_B
text1,1,19,schon,schon,NOUN,
text1,1,20,könnte,könnte,NOUN,
text1,1,21,mehr,mehr,NOUN,
text1,1,22,Geld,Geld,PROPN,PERSON_B
text1,1,23,in,in,ADP,
text1,1,24,der,der,PROPN,
text1,1,25,Brieftasche,Brieftasche,PROPN,PERSON_B
text1,1,26,von,von,PROPN,PERSON_I
text1,1,27,Verbraucher,Verbraucher,PROPN,PERSON_I
text1,1,28,:,:,PUNCT,
text1,1,29,innen,innen,NOUN,
text1,1,30,landen,landen,NOUN,
text1,1,31,–,–,PUNCT,
text1,1,32,nämlich,nämlich,PROPN,
text1,1,33,genau,genau,PROPN,
text1,1,34,dann,dann,PROPN,
text1,1,35,",",",",PUNCT,
text1,1,36,wenn,wenn,PROPN,
text1,1,37,das,das,PROPN,ORG_B
text1,1,38,Internet,Internet,PROPN,
text1,1,39,langsamer,langsamer,PROPN,
text1,1,40,ist,ist,VERB,
text1,1,41,als,al,NOUN,
text1,1,42,der,der,PROPN,
text1,1,43,Vertrag,Vertrag,PROPN,
text1,1,44,zusichert,zusichert,PROPN,
text1,1,45,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,Verbraucherzentrale,Verbraucherzentrale,PROPN,ORG_I
text1,2,3,hat,hat,NOUN,
text1,2,4,das,das,PROPN,
text1,2,5,mal,mal,ADJ,
text1,2,6,nachgerechnet,nachgerechnet,NOUN,
text1,2,7,und,und,NOUN,
text1,2,8,ist,ist,VERB,
text1,2,9,„,„,PUNCT,
text1,2,10,teilweise,teilweise,NOUN,
text1,2,11,auf,auf,PROPN,
text1,2,12,beachtenswerte,beachtenswerte,NOUN,
text1,2,13,Summen,Summen,PROPN,GPE_B
text1,2,14,gekommen,gekommen,VERB,
text1,2,15,“,"""",PUNCT,
text1,2,16,*,*,PUNCT,
text1,2,17,*,*,PUNCT,
text1,2,18,Tomas,Tomas,PROPN,PERSON_B
text1,2,19,Rudl,Rudl,PROPN,PERSON_I
text1,2,20,*,*,PUNCT,PERSON_I
text1,2,21,*,*,PUNCT,
text1,2,22,freut,freut,PROPN,
text1,2,23,sich,sich,PROPN,
text1,2,24,darüber,darüber,PROPN,
text1,2,25,",",",",PUNCT,
text1,2,26,dass,dass,PROPN,
text1,2,27,ab,ab,PROPN,
text1,2,28,Dezember,Dezember,PROPN,DATE_B
text1,2,29,endlich,endlich,NOUN,
text1,2,30,mehr,mehr,NOUN,
text1,2,31,„,„,PROPN,
text1,2,32,Ehrlichkeit,Ehrlichkeit,PROPN,WORK_OF_ART_B
text1,2,33,“,"""",PUNCT,
text1,2,34,in,in,ADP,
text1,2,35,den,den,NOUN,
text1,2,36,deutschen,deutschen,ADJ,
