doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,anderthalb,anderthalb,VERB,
text1,1,3,Jahren,Jahren,PROPN,PERSON_B
text1,1,4,streiten,streiten,NOUN,
text1,1,5,Politik,Politik,PROPN,PERSON_B
text1,1,6,und,und,VERB,
text1,1,7,Öffentlichkeit,Öffentlichkeit,PROPN,ORG_B
text1,1,8,über,über,NOUN,
text1,1,9,die,die,NOUN,
text1,1,10,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,11,.,.,PUNCT,
text1,2,1,Über,über,NOUN,PERSON_B
text1,2,2,80,80,NUM,
text1,2,3,NGOs,NGOs,PROPN,
text1,2,4,kritisieren,kritisieren,NOUN,PERSON_B
text1,2,5,das,das,PROPN,PERSON_I
text1,2,6,geplante,geplante,PROPN,PERSON_I
text1,2,7,EU,EU,PROPN,ORG_B
text1,2,8,-,-,PUNCT,
text1,2,9,Gesetz,Gesetz,PROPN,
text1,2,10,als,al,NOUN,
text1,2,11,beispiellos,beispiello,NOUN,
text1,2,12,:,:,PUNCT,
text1,2,13,„,„,PUNCT,
text1,2,14,Es,Es,PROPN,
text1,2,15,soll,soll,NOUN,
text1,2,16,Internetdienste,Internetdienste,PROPN,
text1,2,17,verpflichten,verpflichten,PROPN,
text1,2,18,",",",",PUNCT,
text1,2,19,die,die,VERB,
text1,2,20,private,private,ADJ,
text1,2,21,digitale,digitale,NOUN,
text1,2,22,Kommunikation,Kommunikation,PROPN,
text1,2,23,aller,aller,NOUN,
text1,3,1,Menschen,Menschen,PROPN,
text1,3,2,i,I,PRON,
text1,3,3,m,m,VERB,
text1,3,4,Auftrag,Auftrag,PROPN,PERSON_B
text1,3,5,von,von,PROPN,PERSON_I
text1,3,6,Regierungen,Regierungen,PROPN,PERSON_I
text1,3,7,zu,zu,PROPN,
text1,3,8,durchleuchten,durchleuchten,VERB,
text1,3,9,.,.,PUNCT,
text1,3,10,“,"""",PUNCT,
text3,1,1,Befürworter,Befürworter,PROPN,
text3,1,2,wie,wie,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,EU,EU,PROPN,ORG_B
text3,1,5,-,-,PUNCT,ORG_I
