doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Trilog,Trilog,PROPN,PERSON_I
text1,1,3,zur,zur,PROPN,PERSON_B
text1,1,4,Verlängerung,Verlängerung,PROPN,PERSON_I
text1,1,5,der,der,PROPN,PERSON_I
text1,1,6,temporären,temporären,PROPN,PERSON_I
text1,1,7,",",",",PUNCT,
text1,1,8,freiwilligen,freiwilligen,NOUN,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,10,1.0,1.0,NUM,ORG_I
text1,1,11,ist,ist,NOUN,
text1,1,12,vorerst,vorerst,PROPN,
text1,1,13,gescheitert,gescheitert,PROPN,
text1,1,14,",",",",PUNCT,
text1,1,15,die,die,VERB,
text1,1,16,Ausnahmeregelung,Ausnahmeregelung,PROPN,PERSON_B
text1,1,17,würde,würde,NOUN,
text1,1,18,damit,damit,PROPN,
text1,1,19,am,be,AUX,
text1,1,20,3,3,NUM,CARDINAL_B
text1,1,21,.,.,PUNCT,
text1,1,22,April,April,PROPN,DATE_B
text1,1,23,auslaufen,auslaufen,PROPN,
text1,1,24,.,.,PUNCT,
text1,2,1,Diesem,Diesem,PROPN,PERSON_B
text1,2,2,Scheitern,Scheitern,PROPN,PERSON_I
text1,2,3,ging,ge,VERB,
text1,2,4,eine,eine,NOUN,
text1,2,5,Parlamentsabstimmung,Parlamentsabstimmung,PROPN,GPE_B
text1,2,6,in,in,ADP,
text1,2,7,der,der,PROPN,ORG_B
text1,2,8,vergangenen,vergangenen,NOUN,ORG_I
text1,2,9,Woche,Woche,PROPN,ORG_I
text1,2,10,voraus,voraus,NOUN,ORG_I
text1,2,11,.,.,PUNCT,
text1,3,1,Dabei,Dabei,NOUN,
text1,3,2,hatten,hatten,VERB,
text1,3,3,die,die,VERB,
text1,3,4,Abgeordneten,Abgeordneten,PROPN,
text1,3,5,zwar,zwar,NOUN,
text1,3,6,einer,einer,NOUN,
text1,3,7,Verlängerung,Verlängerung,PROPN,PERSON_B
text1,3,8,zugestimmt,zugestimmt,PROPN,PERSON_I
text1,3,9,",",",",PUNCT,
text1,3,10,aber,aber,PROPN,
text1,3,11,gleichzeitig,gleichzeitig,PROPN,ORG_B
text1,3,12,Einschränkungen,Einschränkungen,PROPN,ORG_I
text1,3,13,beschlossen,beschlossen,PROPN,
