doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Als,Als,PROPN,PERSON_B
text1,1,2,Nancy,Nancy,PROPN,PERSON_I
text1,1,3,Faeser,Faeser,PROPN,PERSON_I
text1,1,4,i,I,PRON,
text1,1,5,m,m,VERB,
text1,1,6,Dezember,Dezember,PROPN,DATE_B
text1,1,7,2021,2021,NUM,DATE_I
text1,1,8,überraschend,überraschend,NOUN,
text1,1,9,die,die,NOUN,
text1,1,10,erste,erste,NOUN,
text1,1,11,Innenministerin,Innenministerin,PROPN,GPE_B
text1,1,12,Deutschlands,Deutschlands,PROPN,GPE_I
text1,1,13,wurde,wurde,PROPN,
text1,1,14,",",",",PUNCT,
text1,1,15,war,war,NOUN,
text1,1,16,dies,die,VERB,
text1,1,17,nicht,nicht,NOUN,
text1,1,18,nur,nur,VERB,
text1,1,19,eine,eine,NOUN,
text1,1,20,Chance,Chance,PROPN,ORG_B
text1,1,21,für,für,NOUN,
text1,1,22,eine,eine,NOUN,
text1,1,23,andere,andere,PROPN,
text1,1,24,Innenpolitik,Innenpolitik,PROPN,ORG_B
text1,1,25,",",",",PUNCT,
text1,1,26,sondern,sondern,ADJ,
text1,1,27,auch,auch,ADJ,
text1,1,28,der,der,NOUN,
text1,1,29,Versuch,Versuch,PROPN,
text1,1,30,der,der,PROPN,
text1,1,31,Sozialdemokraten,Sozialdemokraten,PROPN,PERSON_B
text1,1,32,",",",",PUNCT,
text1,1,33,die,die,VERB,
text1,1,34,hessische,hessische,NOUN,
text1,2,1,Parteivorsitzende,Parteivorsitzende,PROPN,
text1,2,2,mit,mit,VERB,
text1,2,3,einem,einem,PROPN,
text1,2,4,Amtsbonus,Amtsbonus,PROPN,
text1,2,5,für,für,NOUN,
text1,2,6,die,die,VERB,
text1,2,7,gestrige,gestrige,NOUN,PERSON_B
text1,2,8,Landtagswahl,Landtagswahl,PROPN,PERSON_I
text1,2,9,in,in,ADP,
text1,2,10,Hessen,Hessen,PROPN,GPE_B
text1,2,11,zu,zu,PROPN,
text1,2,12,stärken,stärken,X,
text1,2,13,.,.,PUNCT,
text3,1,1,Nun,Nun,PROPN,
text3,1,2,ist,ist,ADV,
text3,1,3,beides,beide,VERB,
