doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,
text1,1,2,heute,heute,VERB,
text1,1,3,bekannt,bekannt,PROPN,
text1,1,4,gewordenes,gewordene,NOUN,
text1,1,5,Rechtsgutachten,Rechtsgutachten,PROPN,
text1,1,6,des,des,PROPN,
text1,1,7,Juristischen,Juristischen,PROPN,
text1,1,8,Dienstes,Dienstes,PROPN,PERSON_B
text1,1,9,des,des,PROPN,
text1,1,10,EU,EU,PROPN,ORG_B
text1,1,11,-,-,PUNCT,
text1,1,12,Ministerrats,Ministerrats,PROPN,
text1,1,13,äußert,äußert,VERB,
text1,1,14,Zweifel,Zweifel,PROPN,GPE_B
text1,1,15,an,an,DET,
text1,1,16,der,der,PROPN,
text1,1,17,Vereinbarkeit,Vereinbarkeit,PROPN,ORG_B
text1,1,18,der,der,NOUN,
text1,1,19,geplanten,geplanten,VERB,
text1,1,20,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,21,mit,mit,VERB,
text1,1,22,EU,EU,PROPN,ORG_B
text1,1,23,-,-,PUNCT,
text1,1,24,Recht,Recht,PROPN,
text1,1,25,.,.,PUNCT,
text1,2,1,So,so,ADV,
text1,2,2,lasse,lasse,PROPN,ORG_B
text1,2,3,etwa,etwa,NOUN,
text1,2,4,der,der,NOUN,PERSON_B
text1,2,5,bewusst,bewusst,NOUN,PERSON_I
text1,2,6,technologieoffen,technologieoffen,NOUN,
text1,2,7,und,und,VERB,
text1,2,8,breit,breit,ADP,
text1,2,9,gestaltete,gestaltete,ADJ,
text1,2,10,Vorschlag,Vorschlag,PROPN,ORG_B
text1,2,11,der,der,NOUN,
text1,2,12,Kommission,Kommission,PROPN,PERSON_B
text1,2,13,zu,zu,PROPN,PERSON_I
text1,2,14,viel,viel,PROPN,PERSON_I
text1,2,15,Interpretationsspielraum,Interpretationsspielraum,PROPN,ORG_B
text1,2,16,",",",",PUNCT,
text1,2,17,um,um,INTJ,
text1,2,18,die,die,VERB,
text1,2,19,Bedenken,Bedenken,PROPN,GPE_B
text1,2,20,in,in,ADP,
text1,2,21,Hinblick,Hinblick,PROPN,GPE_B
text1,2,22,auf,auf,PROPN,
text1,2,23,Grundrechte,Grundrechte,PROPN,PERSON_B
text1,2,24,ausreichend,ausreichend,NOUN,
text1,2,25,einzuschätzen,einzuschätzen,NOUN,
text1,2,26,.,.,PUNCT,
text3,1,1,Dies,die,VERB,
text3,1,2,stehe,stehe,PROPN,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Widerspruch,widerspruch,ADJ,
text3,2,4,zu,zu,NOUN,PERSON_B
text3,2,5,den,den,X,PERSON_I
text3,2,6,Entscheidungen,Entscheidungen,PROPN,ORG_B
text3,2,7,des,des,X,ORG_I
text3,2,8,Europäischen,Europäischen,PROPN,ORG_I
text3,2,9,Gerichtshofes,Gerichtshofes,PROPN,ORG_I
text3,2,10,(,(,PUNCT,ORG_I
text3,2,11,EuGH,EuGH,PROPN,PERSON_B
text3,2,12,),),PUNCT,
text3,2,13,",",",",PUNCT,
text3,2,14,dem,dem,PROPN,NORP_B
text3,2,15,zufolge,zufolge,NOUN,
text3,2,16,etwaige,etwaige,ADJ,
text3,2,17,Vorgaben,Vorgaben,PROPN,ORG_B
text3,2,18,für,für,NOUN,
text3,2,19,Überwachung,Überwachung,PROPN,ORG_B
text3,2,20,klar,klar,NOUN,
text3,2,21,formuliert,formuliert,PROPN,
text3,2,22,und,und,PROPN,
text3,2,23,zielgerichtet,zielgerichtet,PROPN,
text3,2,24,sein,sein,PROPN,
text3,2,25,müssten,müssten,ADV,
text3,2,26,.,.,PUNCT,
text3,3,1,Dies,die,VERB,
text3,3,2,sei,sei,ADJ,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,4,4,nicht,nicht,PROPN,
text3,4,5,gegeben,gegeben,PROPN,
text3,4,6,",",",",PUNCT,
text3,5,1,denn,denn,PROPN,
text3,5,2,der,der,PROPN,
text3,5,3,Anwendungsbereich,Anwendungsbereich,PROPN,PERSON_B
text3,5,4,von,von,PROPN,PERSON_I
text3,5,5,Anordnungen,Anordnungen,PROPN,PERSON_I
text3,5,6,sei,sei,VERB,
text3,5,7,„,„,PUNCT,
text3,5,8,weiter,weiter,NOUN,
text3,5,9,gefasst,gefasst,NOUN,
text3,5,10,als,al,NOUN,
text3,5,11,die,die,VERB,
text3,5,12,Aufdeckung,Aufdeckung,PROPN,PERSON_B
text3,5,13,krimineller,krimineller,NOUN,PERSON_I
text3,5,14,Handlungen,Handlungen,PROPN,PERSON_I
text3,5,15,“,"""",PUNCT,PERSON_I
text3,5,16,",",",",PUNCT,
text3,5,17,heißt,heißt,VERB,
text3,5,18,es,es,X,
text3,5,19,unter,unter,NOUN,PERSON_B
text3,5,20,anderem,anderem,PROPN,PERSON_I
text3,6,1,i,I,PRON,
text3,6,2,m,m,VERB,
text3,6,3,Gutachten,Gutachten,PROPN,
text3,6,4,.,.,PUNCT,
text5,1,1,Für,Für,PROPN,
text5,1,2,den,den,VERB,
text5,1,3,EU,EU,PROPN,ORG_B
text5,1,4,-,-,PUNCT,
text5,1,5,Piratenabgeordneten,Piratenabgeordneten,PROPN,
text5,1,6,Patrick,Patrick,PROPN,PERSON_B
text5,1,7,Breyer,Breyer,PROPN,PERSON_I
text5,1,8,wird,wird,PROPN,
text5,1,9,damit,damit,PROPN,
text5,1,10,jede,jede,VERB,
text5,1,11,Form,Form,PROPN,
text5,1,12,der,der,PROPN,
text5,1,13,Chatkontrolle,Chatkontrolle,PROPN,
text5,1,14,„,„,PUNCT,
text5,1,15,endgültig,endgültig,PROPN,
text5,1,16,unhaltbar,unhaltbar,NOUN,
text5,1,17,“,"""",PUNCT,
text5,1,18,.,.,PUNCT,
text5,2,1,Niemand,niemand,NOUN,
text5,2,2,helfe,helfe,VERB,
text5,2,3,Kindern,Kindern,PROPN,
text5,2,4,mit,mit,VERB,
text5,2,5,einer,einer,NOUN,
text5,2,6,Verordnung,Verordnung,PROPN,PERSON_B
text5,2,7,",",",",PUNCT,
text5,2,8,die,die,VERB,
text5,2,9,unweigerlich,unweigerlich,ADJ,
text5,2,10,vor,vor,VERB,
text5,2,11,dem,dem,ADJ,NORP_B
text5,2,12,Europäischen,Europäischen,PROPN,PERSON_B
text5,2,13,Gerichtshof,Gerichtshof,PROPN,PERSON_I
text5,2,14,scheitern,scheitern,ADJ,
text5,2,15,wird,wird,NOUN,
text5,2,16,",",",",PUNCT,
text5,2,17,schreibt,schreibt,PROPN,
text5,2,18,der,der,NOUN,
text5,2,19,Abgeordnete,Abgeordnete,PROPN,PERSON_B
text5,2,20,in,in,ADP,
text5,2,21,einer,einer,NOUN,
text5,2,22,Pressemitteilung,Pressemitteilung,PROPN,PERSON_B
text5,2,23,.,.,PUNCT,
text5,3,1,„,„,PUNCT,
text5,3,2,Die,die,VERB,WORK_OF_ART_B
text5,3,3,Flut,Flut,PROPN,WORK_OF_ART_I
text5,3,4,an,an,DET,
text5,3,5,meist,meist,NOUN,
text5,3,6,falschen,falschen,NOUN,
text5,3,7,Verdachtsmeldungen,Verdachtsmeldungen,PROPN,ORG_B
text5,3,8,würden,würden,NOUN,
text5,3,9,außerdem,außerdem,NOUN,ORG_B
text5,3,10,effektive,effektive,NOUN,
text5,3,11,Ermittlungen,Ermittlungen,PROPN,ORG_B
text5,3,12,erschweren,erschweren,NOUN,
text5,3,13,",",",",PUNCT,
text5,3,14,Kinder,Kinder,PROPN,NORP_B
text5,3,15,massenhaft,massenhaft,PROPN,
text5,3,16,kriminalisieren,kriminalisieren,PROPN,
text5,3,17,und,und,VERB,
text5,3,18,an,an,DET,
text5,3,19,den,den,NOUN,
text5,4,1,eigentlichen,eigentlichen,NOUN,
text5,4,2,Missbrauchstätern,Missbrauchstätern,PROPN,ORG_B
text5,4,3,und,und,VERB,
text5,4,4,Produzenten,Produzenten,PROPN,
text5,4,5,solchen,solchen,SCONJ,
text5,4,6,Materials,Materials,PROPN,
text5,4,7,vorbei,vorbei,VERB,
text5,4,8,gehen,gehen,ADV,
text5,4,9,“,"""",PUNCT,
text5,4,10,",",",",PUNCT,
text5,4,11,heißt,heißt,VERB,
text5,4,12,es,es,DET,
text5,4,13,weiter,weiter,PROPN,
text5,4,14,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,EU,EU,PROPN,ORG_B
text7,1,4,-,-,PUNCT,
text7,1,5,Datenschutzbehörden,Datenschutzbehörden,PROPN,
text7,1,6,kritisieren,kritisieren,NOUN,
text7,1,7,das,das,PROPN,PERSON_B
text7,1,8,Vorhaben,Vorhaben,PROPN,PERSON_I
text9,1,1,Die,die,VERB,ORG_B
text9,1,2,Kommission,Kommission,PROPN,ORG_I
text9,1,3,wird,wird,NOUN,
text9,1,4,sich,sich,PROPN,
text9,1,5,aller,aller,NOUN,
