doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,es,VERB,
text1,1,2,war,war,NOUN,
text1,1,3,ein,ein,PROPN,
text1,1,4,merkliches,merkliche,VERB,
text1,1,5,Aufatmen,Aufatmen,PROPN,GPE_B
text1,1,6,Ende,Ende,PROPN,
text1,1,7,vergangenen,vergangenen,NOUN,
text1,1,8,Jahres,jahre,NOUN,PERSON_B
text1,1,9,.,.,PUNCT,
text1,2,1,Nach,nach,NOUN,
text1,2,2,mehr,mehr,NOUN,
text1,2,3,als,al,NOUN,
text1,2,4,drei,drei,VERB,
text1,2,5,Jahren,Jahren,PROPN,PERSON_B
text1,2,6,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text1,2,7,hatten,hatten,VERB,
text1,2,8,sich,sich,PROPN,
text1,2,9,Vertreter*innen,Vertreter*innen,PROPN,
text1,2,10,der,der,PROPN,
text1,2,11,EU,EU,PROPN,ORG_B
text1,2,12,-,-,PUNCT,
text1,2,13,Staaten,Staaten,PROPN,
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Rat,Rat,PROPN,
text1,3,4,auf,auf,PROPN,
text1,3,5,eine,eine,NOUN,
text1,3,6,gemeinsame,gemeinsame,NOUN,
text1,3,7,Position,Position,PROPN,ORG_B
text1,3,8,zur,zur,PROPN,
text1,3,9,sogenannten,sogenannten,VERB,
text1,3,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,11,geeinigt,geeinigt,PROPN,
text1,3,12,",",",",PUNCT,
text1,3,13,einem,einem,PROPN,PERSON_B
text1,3,14,der,der,PROPN,PERSON_I
text1,3,15,weitreichendsten,weitreichendsten,VERB,
text1,3,16,Überwachungsprojekte,Überwachungsprojekte,PROPN,NORP_B
text1,3,17,der,der,PROPN,
text1,3,18,EU,EU,PROPN,ORG_B
text1,3,19,.,.,PUNCT,
text3,1,1,Hinter,Hinter,PROPN,
text3,1,2,der,der,NOUN,
text3,1,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,4,stecken,stecken,VERB,
text3,1,5,Pläne,Pläne,PROPN,
text3,1,6,der,der,NOUN,
text3,1,7,EU,EU,PROPN,ORG_B
text3,1,8,-,-,PUNCT,ORG_I
text3,1,9,Kommission,Kommission,PROPN,ORG_I
text3,1,10,",",",",PUNCT,
text3,1,11,Anbieter,Anbieter,PROPN,PERSON_B
text3,1,12,von,von,PROPN,PERSON_I
text3,1,13,Messengern,Messengern,PROPN,PERSON_I
text3,1,14,wie,wie,NOUN,
text3,1,15,Signal,Signal,PROPN,ORG_B
text3,1,16,oder,oder,NOUN,
text3,1,17,WhatsApp,WhatsApp,PROPN,ORG_B
text3,1,18,auf,auf,PROPN,
text3,1,19,Anordnung,Anordnung,PROPN,PERSON_B
text3,1,20,dazu,dazu,NOUN,
text3,1,21,verpflichten,verpflichten,VERB,
text3,1,22,zu,zu,PROPN,
text3,1,23,können,können,PROPN,
text3,1,24,",",",",PUNCT,
text3,1,25,die,die,ADJ,
text3,1,26,Kommunikation,Kommunikation,PROPN,PERSON_B
text3,1,27,von,von,PROPN,PERSON_I
text3,1,28,Nutzer*innen,Nutzer*innen,PROPN,PERSON_I
text3,1,29,zu,zu,PROPN,
text3,1,30,durchleuchten,durchleuchten,NOUN,
text3,1,31,.,.,PUNCT,
text3,2,1,Vertrauliche,Vertrauliche,PROPN,
text3,2,2,Nachrichten,Nachrichten,PROPN,
text3,2,3,müssten,müssten,VERB,
text3,2,4,sie,sie,PROPN,
text3,2,5,dann,dann,NOUN,
text3,2,6,in,in,ADP,
text3,2,7,großem,großem,NOUN,
text3,2,8,Stil,Stil,PROPN,
text3,2,9,nach,nach,NOUN,
text3,2,10,sogenannten,sogenannten,VERB,
text3,2,11,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text3,2,12,durchsuchen,durchsuchen,PROPN,
text3,2,13,–,–,PUNCT,
text3,2,14,ein,ein,PROPN,
text3,2,15,fundamentaler,fundamentaler,PROPN,
text3,2,16,Angriff,Angriff,PROPN,PERSON_B
text3,2,17,auf,auf,PROPN,
text3,2,18,sicher,sicher,NOUN,
text3,2,19,verschlüsselte,verschlüsselte,PROPN,
text3,2,20,Kommunikation,Kommunikation,PROPN,ORG_B
text3,2,21,.,.,PUNCT,
text3,3,1,Anlass,Anlass,PROPN,
text3,3,2,ist,ist,ADJ,
text3,3,3,der,der,PROPN,
text3,3,4,Vorschlag,Vorschlag,PROPN,ORG_B
text3,3,5,für,für,NOUN,
text3,3,6,eine,eine,NOUN,
text3,3,7,Verordnung,Verordnung,PROPN,ORG_B
text3,3,8,zur,zur,PROPN,ORG_I
text3,3,9,Prävention,Prävention,PROPN,ORG_I
text3,3,10,und,und,PROPN,
text3,3,11,Bekämpfung,Bekämpfung,PROPN,
text3,3,12,des,des,X,
text3,3,13,sexuellen,sexuellen,NOUN,
text3,3,14,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,3,15,von,von,PROPN,PERSON_I
text3,3,16,Kindern,Kindern,PROPN,PERSON_I
text3,3,17,",",",",PUNCT,
text3,3,18,kurz,kurz,NOUN,
text3,3,19,:,:,PUNCT,
text3,3,20,CSA,CSA,PROPN,
text3,3,21,-,-,PUNCT,
text3,3,22,VO,VO,PROPN,
text3,3,23,.,.,PUNCT,
text5,1,1,Fachleute,Fachleute,PROPN,
text5,1,2,aus,aus,PROPN,
text5,1,3,unter,unter,NOUN,
text5,1,4,anderem,anderem,PROPN,PERSON_B
text5,1,5,Kinderschutz,Kinderschutz,PROPN,PERSON_I
text5,1,6,",",",",PUNCT,
text5,1,7,Wissenschaft,Wissenschaft,PROPN,ORG_B
text5,1,8,",",",",PUNCT,
text5,1,9,Zivilgesellschaft,Zivilgesellschaft,PROPN,ORG_B
text5,1,10,sind,sind,NOUN,
text5,1,11,gegen,gegen,NOUN,
text5,1,12,das,das,PROPN,PERSON_B
text5,1,13,Vorhaben,Vorhaben,PROPN,PERSON_I
text5,1,14,Sturm,Sturm,PROPN,PERSON_I
text5,1,15,gelaufen,gelaufen,NOUN,
text5,1,16,.,.,PUNCT,
text5,2,1,Mit,Mit,PROPN,
text5,2,2,dem,dem,PROPN,
text5,2,3,Nein,Nein,PROPN,PERSON_B
text5,2,4,von,von,PROPN,PERSON_I
text5,2,5,Rat,Rat,PROPN,PERSON_I
text5,2,6,und,und,PROPN,
text5,2,7,EU,EU,PROPN,ORG_B
text5,2,8,-,-,PUNCT,ORG_I
text5,2,9,Parlament,Parlament,PROPN,ORG_I
text5,2,10,dürfte,dürfte,NOUN,
text5,2,11,die,die,VERB,
text5,2,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,2,13,vom,vom,NOUN,PERSON_I
text5,2,14,Tisch,Tisch,PROPN,PERSON_I
text5,2,15,sein,sein,PROPN,
text5,2,16,.,.,PUNCT,
text5,3,1,Kaum,Kaum,PROPN,
text5,3,2,beachtet,beachtet,NOUN,
text5,3,3,geblieben,geblieben,NOUN,
text5,3,4,ist,ist,PROPN,
text5,3,5,dabei,dabei,PROPN,
text5,3,6,jedoch,jedoch,PROPN,PERSON_B
text5,3,7,ein,ein,PROPN,PERSON_I
text5,3,8,weiteres,weitere,VERB,
text5,3,9,Überwachungsvorhaben,Überwachungsvorhaben,PROPN,PERSON_B
text5,3,10,i,I,PRON,
text5,3,11,m,m,VERB,
text5,3,12,Vorschlag,Vorschlag,PROPN,PERSON_B
text5,3,13,der,der,PROPN,
text5,3,14,Kommission,Kommission,PROPN,ORG_B
text5,3,15,",",",",PUNCT,
text5,3,16,und,und,PROPN,
text5,3,17,zwar,zwar,PROPN,
text5,3,18,die,die,VERB,
text5,3,19,Einführung,Einführung,PROPN,PERSON_B
text5,3,20,von,von,PROPN,PERSON_I
text5,3,21,Alterskontrollen,Alterskontrollen,PROPN,PERSON_I
text5,3,22,.,.,PUNCT,
text7,1,1,Die,die,VERB,ORG_B
text7,1,2,EU,EU,PROPN,ORG_I
text7,1,3,-,-,PUNCT,ORG_I
text7,1,4,Kommission,Kommission,PROPN,ORG_I
text7,1,5,möchte,möchte,NOUN,
text7,1,6,Anbieter,Anbieter,PROPN,PERSON_B
text7,1,7,nämlich,nämlich,NOUN,
text7,1,8,auch,auch,PROPN,
text7,1,9,dazu,dazu,PROPN,
text7,1,10,verpflichten,verpflichten,VERB,
text7,1,11,dürfen,dürfen,NOUN,
text7,1,12,",",",",PUNCT,
text7,1,13,das,das,PROPN,PERSON_B
text7,1,14,Alter,Alter,PROPN,PERSON_I
