doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,arbeitet,arbeitet,NOUN,
text1,1,6,an,an,DET,
text1,1,7,einem,einem,PROPN,
text1,1,8,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text1,1,9,",",",",PUNCT,
text1,1,10,der,der,PROPN,
text1,1,11,Diensteanbieter,Diensteanbieter,PROPN,
text1,1,12,verpflichten,verpflichten,PROPN,PERSON_B
text1,1,13,könnte,könnte,PROPN,PERSON_I
text1,1,14,",",",",PUNCT,
text1,1,15,anlasslos,anlasslos,PROPN,
text1,1,16,und,und,PROPN,
text1,1,17,massenhaft,massenhaft,NOUN,
text1,1,18,die,die,VERB,
text1,1,19,Inhalte,Inhalte,PROPN,PERSON_B
text1,1,20,von,von,PROPN,PERSON_I
text1,1,21,digitalen,digitalen,NOUN,
text1,1,22,Endgeräten,Endgeräten,PROPN,PERSON_B
text1,1,23,nach,nach,NOUN,
text1,1,24,Darstellungen,Darstellungen,PROPN,ORG_B
text1,1,25,von,von,PROPN,
text1,1,26,sexualisierter,sexualisierter,NOUN,
text1,1,27,Gewalt,Gewalt,PROPN,PERSON_B
text1,1,28,gegen,gegen,NOUN,
text1,1,29,Kinder,Kinder,PROPN,
text1,1,30,zu,zu,PROPN,
text1,1,31,durchsuchen,durchsuchen,NOUN,
text1,1,32,.,.,PUNCT,
text1,2,1,Diese,diese,ADJ,NORP_B
text1,2,2,sogenannte,sogenannte,NOUN,
text1,2,3,„,„,PUNCT,
text1,2,4,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text1,2,5,“,"""",PUNCT,
text1,2,6,soll,soll,NOUN,PERSON_B
text1,2,7,stattfinden,stattfinden,PROPN,PERSON_I
text1,2,8,",",",",PUNCT,
text1,2,9,bevor,bevor,VERB,
text1,2,10,eine,eine,NOUN,
text1,2,11,Nachricht,Nachricht,PROPN,ORG_B
text1,2,12,oder,oder,NOUN,
text1,2,13,ein,ein,PROPN,
text1,2,14,Video,Video,PROPN,
text1,2,15,überhaupt,überhaupt,ADJ,
text1,2,16,verschickt,verschickt,NOUN,
text1,2,17,wird,wird,NOUN,
text1,2,18,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,bedroht,bedroht,ADJ,
text1,3,3,nicht,nicht,PROPN,
text1,3,4,nur,nur,AUX,
text1,3,5,die,die,VERB,
text1,3,6,IT,IT,PROPN,
text1,3,7,-,-,PUNCT,
text1,3,8,Sicherheit,Sicherheit,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,sondern,sondern,NOUN,
text1,3,11,elementare,elementare,NOUN,
text1,3,12,Grundrechte,Grundrechte,PROPN,PERSON_B
text1,3,13,wie,wie,PROPN,
text1,3,14,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,3,15,und,und,PROPN,
text1,3,16,Meinungsfreiheit,Meinungsfreiheit,PROPN,PERSON_B
text1,3,17,",",",",PUNCT,
text1,3,18,finden,finden,NOUN,
text1,3,19,Kritiker,Kritiker,PROPN,PERSON_B
text1,3,20,:,:,PUNCT,
text1,3,21,innen,innen,NOUN,
text1,3,22,.,.,PUNCT,
text3,1,1,Wie,wie,NOUN,
text3,1,2,genau,genau,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Pläne,Pläne,PROPN,PERSON_B
text3,1,5,der,der,PROPN,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Kommission,Kommission,PROPN,ORG_I
text3,1,9,aussehen,aussehen,ADV,
text3,1,10,",",",",PUNCT,
text3,1,11,ist,ist,PROPN,
text3,1,12,noch,noch,PROPN,
text3,1,13,nicht,nicht,PROPN,PERSON_B
text3,1,14,bekannt,bekannt,PROPN,PERSON_I
text3,1,15,",",",",PUNCT,
text3,1,16,sie,sie,PROPN,
text3,1,17,hat,hat,PROPN,
text3,1,18,die,die,VERB,
text3,1,19,Veröffentlichung,Veröffentlichung,PROPN,GPE_B
text3,1,20,eines,eine,VERB,
text3,1,21,Entwurfs,Entwurfs,PROPN,
text3,1,22,wiederholt,wiederholt,NOUN,
text3,1,23,verschoben,verschoben,NOUN,
text3,1,24,und,und,PROPN,
text3,1,25,nun,nun,PROPN,
text3,1,26,Ende,Ende,PROPN,PERSON_B
text3,1,27,März,März,PROPN,PERSON_I
text3,1,28,als,al,NOUN,
text3,2,1,Termin,termin,NOUN,GPE_B
text3,2,2,angesetzt,angesetzt,NOUN,
text3,2,3,.,.,PUNCT,
text3,3,1,Nun,Nun,PROPN,PERSON_B
text3,3,2,hat,hat,NOUN,
text3,3,3,EDRi,EDRi,NOUN,
text3,3,4,",",",",PUNCT,
text3,3,5,ein,ein,PROPN,
text3,3,6,Zusammenschluss,Zusammenschluss,PROPN,
text3,3,7,von,von,PROPN,
text3,3,8,45,45,NUM,
text3,3,9,europäischen,europäischen,PROPN,
text3,3,10,digitalen,digitalen,ADJ,
text3,3,11,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,GPE_B
text3,3,12,",",",",PUNCT,
text3,3,13,ein,ein,PROPN,ORG_B
text3,3,14,Positionspapier,Positionspapier,PROPN,ORG_I
text3,3,15,verfasst,verfasst,NOUN,
text3,3,16,",",",",PUNCT,
text3,3,17,das,das,PROPN,ORG_B
text3,3,18,auch,auch,NOUN,
text3,3,19,in,in,ADP,
text3,3,20,deutscher,deutscher,ADJ,
text3,3,21,Übersetzung,Übersetzung,PROPN,PERSON_B
text3,3,22,vorliegt,vorliegt,VERB,
text3,3,23,.,.,PUNCT,
text3,4,1,Es,es,INTJ,
text3,4,2,stellt,stellt,ADJ,
text3,4,3,sich,sich,PROPN,
text3,4,4,deutlich,deutlich,PROPN,
text3,4,5,gegen,gegen,NOUN,
text3,4,6,eine,eine,NOUN,
text3,4,7,Durchsuchung,Durchsuchung,PROPN,ORG_B
text3,4,8,privater,privater,NOUN,
text3,4,9,Kommunikation,Kommunikation,PROPN,
text3,4,10,und,und,PROPN,
text3,4,11,zeigt,zeigt,PROPN,
text3,4,12,Alternativen,Alternativen,PROPN,ORG_B
text3,4,13,",",",",PUNCT,
text3,4,14,wie,wie,NOUN,
text3,4,15,der,der,NOUN,
text3,4,16,Kampf,Kampf,PROPN,
text3,4,17,gegen,gegen,NOUN,
text3,4,18,sexualisierte,sexualisierte,NOUN,
text3,4,19,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,20,ablaufen,ablaufen,ADJ,
text3,4,21,kann,kann,NOUN,
text3,4,22,",",",",PUNCT,
text3,4,23,ohne,ohne,NOUN,
text3,4,24,elementare,elementare,NOUN,
text3,4,25,Grundrechte,Grundrechte,PROPN,PERSON_B
text3,4,26,aller,aller,NOUN,
text3,4,27,zu,zu,PROPN,
text3,4,28,verletzen,verletzen,NOUN,
text3,4,29,.,.,PUNCT,
text5,1,1,EDRi,EDRi,PROPN,PRODUCT_B
text5,1,2,fordert,fordert,PROPN,PRODUCT_I
text5,1,3,unter,unter,NOUN,
text5,1,4,anderem,anderem,PROPN,
text5,1,5,",",",",PUNCT,
text5,1,6,dass,dass,NOUN,
text5,1,7,zehn,zehn,NOUN,
text5,1,8,Grundsätze,Grundsätze,PROPN,NORP_B
text5,1,9,erfüllt,erfüllt,NOUN,
text5,1,10,werden,werden,PROPN,
text5,1,11,müssen,müssen,PROPN,PERSON_B
text5,1,12,",",",",PUNCT,
text5,1,13,um,um,INTJ,
text5,1,14,sicherzustellen,sicherzustellen,VERB,
text5,1,15,",",",",PUNCT,
text5,1,16,damit,damit,NOUN,
text5,1,17,die,die,VERB,
text5,1,18,Verhältnismäßigkeit,Verhältnismäßigkeit,PROPN,ORG_B
text5,1,19,bei,bei,PROPN,
text5,1,20,zukünftigen,zukünftigen,NOUN,
text5,1,21,Gesetzen,Gesetzen,PROPN,FAC_B
text5,1,22,gegen,gegen,NOUN,
text5,2,1,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text5,2,2,i,I,PRON,
text5,2,3,m,m,VERB,
text5,2,4,Netz,Netz,PROPN,PERSON_B
text5,2,5,gewahrt,gewahrt,PROPN,
text5,2,6,bleibt,bleibt,NOUN,
text5,2,7,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,„,„,PUNCT,
text7,1,4,Massenüberwachung,Massenüberwachung,PROPN,
text7,1,5,niemals,niemal,NOUN,
text7,1,6,zu,zu,PROPN,
text7,1,7,rechtfertigen,rechtfertigen,NOUN,
text7,1,8,“,"""",PUNCT,
text9,1,1,Der,Der,PROPN,PERSON_B
text9,1,2,wichtigste,wichtigste,NOUN,
text9,1,3,und,und,PROPN,
text9,1,4,erste,erste,PROPN,
text9,1,5,Punkt,Punkt,PROPN,ORG_B
text9,1,6,ist,ist,ADJ,
text9,1,7,dabei,dabei,VERB,
text9,1,8,:,:,PUNCT,
text9,1,9,Es,es,INTJ,
text9,1,10,darf,darf,NOUN,
text9,1,11,keine,keine,NOUN,
text9,1,12,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text9,1,13,geben,geben,NOUN,
text9,1,14,.,.,PUNCT,
text9,2,1,Das,Das,PROPN,
text9,2,2,pauschale,pauschale,NOUN,
text9,2,3,",",",",PUNCT,
text9,2,4,automatische,automatische,PROPN,
text9,2,5,Scannen,Scannen,PROPN,PERSON_B
text9,2,6,privater,privater,NOUN,
text9,2,7,Kommunikation,Kommunikation,PROPN,
text9,2,8,sei,sei,PROPN,
text9,2,9,ein,ein,PROPN,
text9,2,10,unverhältnismäßiger,unverhältnismäßiger,NOUN,
text9,2,11,Eingriff,Eingriff,PROPN,PERSON_B
text9,2,12,in,in,ADP,
text9,2,13,das,das,PROPN,
text9,2,14,Recht,Recht,PROPN,PERSON_B
text9,2,15,auf,auf,PROPN,
text9,2,16,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text9,2,17,",",",",PUNCT,
text9,2,18,heißt,heißt,PROPN,
text9,2,19,es,es,X,
text9,2,20,i,I,PRON,
text9,2,21,m,m,VERB,
text9,2,22,Papier,papi,ADJ,PERSON_B
text9,2,23,.,.,PUNCT,
text9,3,1,Egal,Egal,PROPN,
text9,3,2,zu,zu,PROPN,
text9,3,3,welchen,welchen,PROPN,
text9,3,4,Zwecken,Zwecken,PROPN,ORG_B
text9,3,5,",",",",PUNCT,
text9,3,6,seien,seien,NOUN,
text9,3,7,solche,solche,PROPN,
text9,3,8,Praktiken,Praktiken,PROPN,
text9,3,9,„,„,PUNCT,
text9,3,10,in,in,ADP,
text9,3,11,einer,einer,NOUN,
text9,3,12,demokratischen,demokratischen,PROPN,
text9,3,13,Gesellschaft,Gesellschaft,PROPN,ORG_B
text9,3,14,niemals,niemal,NOUN,
text9,3,15,zu,zu,PROPN,
text9,3,16,rechtfertigen,rechtfertigen,NOUN,
text9,3,17,“,"""",PUNCT,
