doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Markéta,markéta,VERB,PERSON_B
text1,1,2,Gregorová,Gregorová,PROPN,PERSON_I
text1,1,3,represents,represent,VERB,
text1,1,4,the,the,DET,
text1,1,5,Czech,Czech,PROPN,ORG_B
text1,1,6,Pirate,Pirate,PROPN,ORG_I
text1,1,7,Party,Party,PROPN,ORG_I
text1,1,8,in,in,ADP,
text1,1,9,the,the,DET,ORG_B
text1,1,10,European,European,PROPN,ORG_I
text1,1,11,Parliament,Parliament,PROPN,ORG_I
text1,1,12,since,since,SCONJ,
text1,1,13,2019,2019,NUM,DATE_B
text1,1,14,.,.,PUNCT,
text1,2,1,The,the,DET,
text1,2,2,Pirates,Pirates,PROPN,GPE_B
text1,2,3,were,be,AUX,
text1,2,4,decimated,decimate,VERB,
text1,2,5,in,in,ADP,
text1,2,6,the,the,DET,
text1,2,7,European,european,ADJ,NORP_B
text1,2,8,election,election,NOUN,
text1,2,9,a,a,DET,DATE_B
text1,2,10,few,few,ADJ,DATE_I
text1,2,11,months,month,NOUN,DATE_I
text1,2,12,ago,ago,ADV,DATE_I
text1,2,13,",",",",PUNCT,
text1,2,14,losing,lose,VERB,
text1,2,15,three,three,NUM,CARDINAL_B
text1,2,16,of,of,ADP,
text1,2,17,their,their,PRON,
text1,2,18,four,four,NUM,CARDINAL_B
text1,2,19,seats,seat,NOUN,
text1,2,20,",",",",PUNCT,
text1,2,21,including,include,VERB,
text1,2,22,the,the,DET,
text1,2,23,only,only,ADJ,
text1,2,24,German,german,ADJ,NORP_B
text1,2,25,one,one,NUM,
text1,2,26,.,.,PUNCT,
text1,3,1,Only,only,ADV,
text1,3,2,Gregorová,Gregorová,PROPN,PERSON_B
text1,3,3,managed,manage,VERB,
text1,3,4,to,to,PART,
text1,3,5,re,re,VERB,
text1,3,6,-,-,VERB,
text1,3,7,enter,enter,VERB,
text1,3,8,the,the,DET,
text1,3,9,Parliament,Parliament,PROPN,ORG_B
text1,3,10,",",",",PUNCT,
text1,3,11,where,where,SCONJ,
text1,3,12,she,she,PRON,
text1,3,13,will,will,AUX,
text1,3,14,again,again,ADV,
text1,3,15,be,be,AUX,
text1,3,16,part,part,NOUN,
text1,3,17,of,of,ADP,
text1,3,18,the,the,DET,
text1,3,19,Greens,Greens,PROPN,NORP_B
text1,3,20,group,group,NOUN,
text1,3,21,.,.,PUNCT,
text3,1,1,*,*,PUNCT,
text3,1,2,*,*,PUNCT,
text3,1,3,netzpolitik.org,netzpolitik.org,X,
text3,1,4,:*,:*,PROPN,
text3,1,5,*,*,PUNCT,
text3,2,1,How,how,SCONJ,
text3,2,2,does,do,AUX,
text3,2,3,it,it,PRON,
text3,2,4,feel,feel,VERB,
text3,2,5,to,to,PART,
text3,2,6,be,be,AUX,
text3,2,7,the,the,DET,
text3,2,8,only,only,ADJ,
text3,2,9,Pirate,Pirate,PROPN,GPE_B
text3,2,10,in,in,ADP,
text3,2,11,the,the,DET,ORG_B
text3,2,12,EU,EU,PROPN,ORG_I
text3,2,13,Parliament,Parliament,PROPN,ORG_I
text3,2,14,?,?,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,Markéta,markéta,VERB,
text5,1,4,Gregorová,Gregorová,PROPN,
text5,1,5,:*,:*,PROPN,
text5,1,6,*,*,PUNCT,
text5,2,1,It,it,PRON,
text5,2,2,’s,’,VERB,
text5,2,3,a,a,DET,
text5,2,4,little,little,ADJ,
text5,2,5,bit,bit,NOUN,
text5,2,6,lonely,lonely,ADJ,
text5,2,7,",",",",PUNCT,
text5,2,8,of,of,ADP,
text5,2,9,course,course,NOUN,
text5,2,10,.,.,PUNCT,
text5,3,1,A,a,DET,
text5,3,2,lot,lot,NOUN,
text5,3,3,of,of,ADP,
text5,3,4,the,the,DET,
text5,3,5,decision,decision,NOUN,
text5,3,6,-,-,PUNCT,
text5,3,7,making,making,NOUN,
text5,3,8,was,be,AUX,
text5,3,9,done,do,VERB,
text5,3,10,with,with,ADP,
text5,3,11,several,several,ADJ,
text5,3,12,people,people,NOUN,
text5,3,13,",",",",PUNCT,
text5,3,14,not,not,PART,
text5,3,15,just,just,ADV,
text5,3,16,the,the,DET,
text5,3,17,delegates,delegate,NOUN,
text5,3,18,",",",",PUNCT,
text5,3,19,but,but,CCONJ,
text5,3,20,also,also,ADV,
text5,3,21,their,their,PRON,
