doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,ORG_B
text1,1,2,UN,UN,PROPN,ORG_I
text1,1,3,-,-,ADJ,ORG_I
text1,1,4,Menschenrechtskommissar,menschenrechtskommissar,ADJ,ORG_I
text1,1,5,hat,hat,NOUN,
text1,1,6,sich,sich,NOUN,
text1,1,7,in,in,ADP,
text1,1,8,einem,einem,PROPN,
text1,1,9,Bericht,Bericht,PROPN,
text1,1,10,zum,zum,NOUN,PERSON_B
text1,1,11,„,„,PUNCT,PERSON_I
text1,1,12,Recht,Recht,PROPN,PERSON_I
text1,1,13,auf,auf,PROPN,
text1,1,14,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,digitalen,digitalen,ADJ,
text1,2,4,Zeitalter,Zeitalter,PROPN,PERSON_B
text1,2,5,“,"""",PUNCT,
text1,2,6,(,(,PUNCT,
text1,2,7,PDF,PDF,PROPN,ORG_B
text1,2,8,auf,auf,PROPN,
text1,2,9,unserem,unserem,ADJ,
text1,2,10,Server,Server,PROPN,ORG_B
text1,2,11,),),PUNCT,
text1,2,12,",",",",PUNCT,
text1,2,13,der,der,PROPN,PERSON_B
text1,2,14,sich,sich,PRON,PERSON_I
text1,2,15,mit,mit,VERB,PERSON_I
text1,2,16,Trojanern,trojanern,ADJ,
text1,2,17,wie,wie,NOUN,
text1,2,18,Pegasus,Pegasus,PROPN,
text1,2,19,",",",",PUNCT,
text1,2,20,der,der,PROPN,
text1,2,21,Rolle,Rolle,PROPN,PERSON_B
text1,2,22,von,von,PROPN,PERSON_I
text1,2,23,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text1,2,24,sowie,sowie,VERB,
text1,2,25,der,der,PROPN,
text1,2,26,Überwachung,Überwachung,PROPN,PERSON_B
text1,2,27,öffentlicher,öffentlicher,NOUN,
text1,2,28,Räume,Räume,PROPN,PERSON_B
text1,2,29,beschäftigt,beschäftigt,PROPN,
text1,2,30,",",",",PUNCT,
text1,2,31,kritisch,kritisch,PROPN,PERSON_B
text1,2,32,gegenüber,gegenüber,PROPN,PERSON_I
text1,2,33,der,der,PROPN,PERSON_I
text1,2,34,Technologie,Technologie,PROPN,ORG_B
text1,2,35,des,des,PROPN,ORG_I
text1,2,36,Client,Client,PROPN,ORG_I
text1,2,37,-,-,PUNCT,ORG_I
text1,2,38,Side,Side,PROPN,ORG_I
text1,2,39,-,-,PUNCT,ORG_I
text1,2,40,Scannings,Scannings,PROPN,ORG_I
text1,2,41,ausgesprochen,ausgesprochen,NOUN,
text1,2,42,.,.,PUNCT,
text1,3,1,Diese,Diese,NOUN,NORP_B
text1,3,2,ist,ist,VERB,
text1,3,3,i,I,PRON,
text1,3,4,m,m,VERB,
text1,3,5,Rahmen,Rahmen,PROPN,PERSON_B
text1,3,6,der,der,NOUN,PERSON_I
text1,3,7,Einführung,Einführung,PROPN,
text1,3,8,einer,einer,NOUN,
text1,3,9,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,3,10,in,in,ADP,
text1,3,11,der,der,PROPN,
text1,3,12,EU,EU,PROPN,ORG_B
text1,3,13,als,al,NOUN,
text1,4,1,Überwachungstechnologie,Überwachungstechnologie,PROPN,ORG_B
text1,4,2,i,I,PRON,
text1,4,3,m,m,VERB,
