doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Unionsfraktion,Unionsfraktion,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Bundestag,Bundestag,PROPN,PRODUCT_B
text1,2,4,stellt,stellt,PROPN,
text1,2,5,sich,sich,PROPN,
text1,2,6,gegen,gegen,PROPN,
text1,2,7,eine,eine,PROPN,
text1,2,8,anlasslose,anlasslose,VERB,
text1,2,9,Überwachung,Überwachung,PROPN,PERSON_B
text1,2,10,von,von,PROPN,PERSON_I
text1,2,11,Chats,Chats,PROPN,PERSON_I
text1,2,12,und,und,VERB,
text1,2,13,damit,damit,PROPN,
text1,2,14,gegen,gegen,NOUN,
text1,2,15,die,die,PROPN,
text1,2,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,17,",",",",PUNCT,
text1,2,18,die,die,AUX,
text1,2,19,am,be,AUX,
text1,2,20,14,14,NUM,DATE_B
text1,2,21,.,.,PUNCT,
text1,3,1,Oktober,Oktober,PROPN,
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,EU,EU,PROPN,PERSON_B
text1,4,4,-,-,PUNCT,PERSON_I
text1,4,5,Rat,Rat,PROPN,PERSON_I
text1,4,6,abgestimmt,abgestimmt,PROPN,
text1,4,7,werden,werden,PROPN,
text1,4,8,soll,soll,PROPN,GPE_B
text1,4,9,.,.,PUNCT,
text3,1,1,Bei,Bei,PROPN,
text3,1,2,einer,einer,NOUN,
text3,1,3,Pressekonferenz,Pressekonferenz,PROPN,ORG_B
text3,1,4,am,be,AUX,
text3,1,5,Dienstagnachmittag,Dienstagnachmittag,PROPN,
text3,1,6,sagte,sagte,NOUN,
text3,1,7,der,der,NOUN,
text3,1,8,Fraktionsvorsitzende,Fraktionsvorsitzende,PROPN,ORG_B
text3,1,9,der,der,PROPN,ORG_I
text3,1,10,Union,Union,PROPN,ORG_I
text3,1,11,",",",",PUNCT,
text3,1,12,Jens,Jens,PROPN,PERSON_B
text3,1,13,Spahn,Spahn,PROPN,PERSON_I
text3,1,14,:,:,PUNCT,
text3,1,15,„,„,PUNCT,
text3,1,16,Wir,Wir,PROPN,
text3,1,17,als,al,VERB,
text3,1,18,CDU,CDU,PROPN,
text3,1,19,/,/,SYM,
text3,1,20,CSU,CSU,PROPN,
text3,1,21,-,-,PUNCT,
text3,1,22,Bundestagsfraktion,Bundestagsfraktion,PROPN,
text3,1,23,sind,sind,NOUN,
text3,1,24,gegen,gegen,NOUN,
text3,1,25,die,die,VERB,
text3,1,26,anlasslose,anlasslose,VERB,
text3,1,27,Kontrolle,Kontrolle,PROPN,PERSON_B
text3,1,28,von,von,PROPN,PERSON_I
text3,1,29,Chats,Chats,PROPN,PERSON_I
text3,1,30,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,wäre,wäre,PROPN,
text3,2,3,so,so,ADV,
text3,2,4,",",",",PUNCT,
text3,2,5,als,al,NOUN,
text3,2,6,würde,würde,VERB,
text3,2,7,man,man,PROPN,
text3,2,8,vorsorglich,vorsorglich,INTJ,
text3,2,9,mal,mal,ADJ,
text3,2,10,alle,alle,NOUN,
text3,2,11,Briefe,Briefe,PROPN,PERSON_B
text3,2,12,öffnen,öffnen,PROPN,PERSON_I
text3,2,13,und,und,PROPN,
text3,2,14,schauen,schauen,PROPN,
text3,2,15,",",",",PUNCT,
text3,2,16,ob,ob,PROPN,
text3,2,17,da,da,PROPN,
text3,2,18,etwas,etwa,VERB,
text3,2,19,Verbotenes,Verbotenes,PROPN,NORP_B
text3,2,20,drin,drin,PROPN,
text3,2,21,ist,ist,NOUN,
text3,2,22,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,geht,geht,PROPN,ORG_B
text3,3,3,nicht,nicht,PROPN,ORG_I
text3,3,4,",",",",PUNCT,
text3,3,5,das,das,PROPN,PRODUCT_B
text3,3,6,wird,wird,PROPN,PRODUCT_I
text3,3,7,es,es,PROPN,
text3,3,8,mit,mit,PROPN,ORG_B
text3,3,9,uns,un,VERB,ORG_I
text3,3,10,nicht,nicht,PROPN,ORG_I
text3,3,11,geben,geben,PROPN,ORG_I
text3,3,12,.,.,PUNCT,
text3,3,13,“,"""",PUNCT,
text5,1,1,Gleichzeitig,Gleichzeitig,PROPN,ORG_B
text5,1,2,sei,sei,ADJ,
text5,1,3,klar,klar,NOUN,
text5,1,4,",",",",PUNCT,
text5,1,5,dass,dass,NOUN,
text5,1,6,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_B
text5,1,7,bekämpft,bekämpft,AUX,
text5,1,8,und,und,PROPN,
text5,1,9,geahndet,geahndet,PROPN,
text5,1,10,können,können,PROPN,ORG_B
text5,1,11,werden,werden,PROPN,
text5,1,12,müsse,müsse,PROPN,
text5,1,13,.,.,PUNCT,
text5,2,1,Deswegen,Deswegen,PROPN,ORG_B
text5,2,2,sei,sei,VERB,
text5,2,3,es,es,X,
text5,2,4,auch,auch,ADJ,
text5,2,5,grundsätzlich,grundsätzlich,PROPN,
text5,2,6,gut,gut,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,dass,dass,NOUN,
text5,2,9,die,die,VERB,
text5,2,10,Europäische,Europäische,PROPN,ORG_B
text5,2,11,Union,Union,PROPN,ORG_I
text5,2,12,sich,sich,PRON,
text5,2,13,dieses,diese,VERB,
text5,2,14,Themas,Themas,PROPN,PERSON_B
text5,2,15,annehme,annehme,PROPN,
text5,2,16,.,.,PUNCT,
text5,3,1,„,„,PUNCT,
text5,3,2,Am,Am,PROPN,
text5,3,3,Ende,Ende,PROPN,
text5,3,4,muss,muss,NOUN,
text5,3,5,gelingen,gelingen,PROPN,
text5,3,6,",",",",PUNCT,
text5,3,7,dass,dass,NOUN,
text5,3,8,die,die,VERB,
text5,3,9,Verordnung,Verordnung,PROPN,PERSON_B
text5,3,10,",",",",PUNCT,
text5,3,11,die,die,VERB,
text5,3,12,geplant,geplant,NOUN,
text5,3,13,ist,ist,VERB,
text5,3,14,auf,auf,PROPN,
text5,3,15,europäischer,europäischer,PROPN,
text5,3,16,Ebene,Ebene,PROPN,PERSON_B
text5,3,17,",",",",PUNCT,
text5,3,18,Kinder,Kinder,PROPN,NORP_B
text5,3,19,wirksam,wirksam,NOUN,
text5,3,20,schützt,schützt,VERB,
text5,3,21,",",",",PUNCT,
text5,3,22,ohne,ohne,VERB,
text5,3,23,dabei,dabei,NOUN,
text5,3,24,die,die,VERB,
text5,3,25,Sicherheit,Sicherheit,PROPN,PERSON_B
text5,3,26,und,und,NOUN,
text5,3,27,die,die,VERB,
text5,3,28,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text5,3,29,individueller,individueller,NOUN,
text5,3,30,Kommunikation,Kommunikation,PROPN,
text5,3,31,zu,zu,NOUN,
text5,3,32,gefährden,gefährden,ADJ,
text5,3,33,“,"""",PUNCT,
text5,3,34,",",",",PUNCT,
text5,3,35,so,so,ADV,
