doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Kurz,Kurz,PROPN,PERSON_B
text1,1,2,vor,vor,VERB,
text1,1,3,dem,dem,ADJ,
text1,1,4,Verhandlungsfinale,Verhandlungsfinale,PROPN,
text1,1,5,zur,zur,NOUN,
text1,1,6,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,7,in,in,ADP,
text1,1,8,den,den,NOUN,
text1,1,9,kommenden,kommenden,PROPN,
text1,1,10,Wochen,Wochen,PROPN,
text1,1,11,haben,haben,VERB,
text1,1,12,IT,IT,PROPN,
text1,1,13,-,-,PUNCT,
text1,1,14,Verbände,Verbände,PROPN,
text1,1,15,aus,aus,ADP,
text1,1,16,ganz,ganz,NOUN,
text1,1,17,Europa,Europa,PROPN,LOC_B
text1,1,18,massive,massive,ADJ,
text1,1,19,Bedenken,Bedenken,PROPN,GPE_B
text1,1,20,angemeldet,angemeldet,NOUN,
text1,1,21,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,zwei,zwei,PROPN,
text1,2,3,offenen,offenen,NOUN,
text1,2,4,Briefen,Briefen,PROPN,PERSON_B
text1,2,5,an,an,DET,
text1,2,6,die,die,ADJ,
text1,2,7,EU,EU,PROPN,ORG_B
text1,2,8,-,-,PUNCT,ORG_I
text1,2,9,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_I
text1,2,10,",",",",PUNCT,
text1,2,11,die,die,VERB,
text1,2,12,EU,EU,PROPN,ORG_B
text1,2,13,-,-,PUNCT,
text1,2,14,Innenkommissarin,Innenkommissarin,PROPN,
text1,2,15,und,und,PROPN,
text1,2,16,Mitglieder,Mitglieder,PROPN,ORG_B
text1,2,17,des,des,X,ORG_I
text1,2,18,Parlaments,Parlaments,PROPN,ORG_I
text1,2,19,warnen,warnen,NOUN,
text1,2,20,die,die,VERB,
text1,2,21,Organisationen,Organisationen,PROPN,PERSON_B
text1,2,22,davor,davor,NOUN,
text1,2,23,",",",",PUNCT,
text1,2,24,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,2,25,und,und,PROPN,
text1,2,26,Privatsphäre,Privatsphäre,PROPN,
text1,2,27,zu,zu,PROPN,
text1,2,28,untergraben,untergraben,NOUN,
text1,2,29,.,.,PUNCT,
text1,3,1,Sie,Sie,PROPN,
text1,3,2,fordern,fordern,PROPN,
text1,3,3,",",",",PUNCT,
text1,3,4,dass,dass,PROPN,
text1,3,5,das,das,PROPN,
text1,3,6,Gesetzespaket,Gesetzespaket,PROPN,PERSON_B
text1,3,7,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text1,3,8,schützen,schützen,NOUN,
text1,3,9,muss,muss,NOUN,
text1,3,10,.,.,PUNCT,
text1,4,1,Insgesamt,Insgesamt,PROPN,
text1,4,2,26,26,NUM,CARDINAL_B
text1,4,3,Organisationen,Organisationen,PROPN,PERSON_B
text1,4,4,haben,haben,NOUN,
text1,4,5,die,die,VERB,
text1,4,6,Briefe,Briefe,PROPN,PERSON_B
text1,4,7,unterzeichnet,unterzeichnet,NOUN,PERSON_I
