doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Schweizer,Schweizer,PROPN,PERSON_I
text1,1,3,Messenger,Messenger,PROPN,PERSON_I
text1,1,4,Threema,Threema,PROPN,PERSON_I
text1,1,5,hat,hat,NOUN,
text1,1,6,sich,sich,NOUN,
text1,1,7,mit,mit,VERB,
text1,1,8,scharfen,scharfen,NOUN,
text1,2,1,Worten,worten,ADJ,
text1,2,2,gegen,gegen,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,in,in,ADP,
text1,2,5,der,der,PROPN,
text1,2,6,EU,EU,PROPN,ORG_B
text1,2,7,geplante,geplante,VERB,
text1,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,9,gestellt,gestellt,VERB,
text1,2,10,.,.,PUNCT,
text1,3,1,In,in,ADP,
text1,3,2,einem,einem,PROPN,
text1,3,3,Blogbeitrag,Blogbeitrag,PROPN,
text1,3,4,schreibt,schreibt,PROPN,
text1,3,5,das,das,PROPN,
text1,3,6,Unternehmen,Unternehmen,PROPN,
text1,3,7,",",",",PUNCT,
text1,3,8,dass,dass,PROPN,
text1,3,9,mit,mit,NOUN,
text1,3,10,der,der,PROPN,
text1,3,11,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,3,12,„,„,PUNCT,PERSON_I
text1,3,13,ein,ein,PROPN,
text1,3,14,Massenüberwachungsapparat,Massenüberwachungsapparat,PROPN,
text1,3,15,von,von,PROPN,
text1,3,16,orwellschem,orwellschem,PROPN,
text1,3,17,Ausmaß,Ausmaß,PROPN,PERSON_B
text1,3,18,“,"""",PUNCT,
text1,3,19,eingerichtet,eingerichtet,PROPN,
text1,3,20,werden,werden,PROPN,
text1,3,21,solle,solle,PROPN,
text1,3,22,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,Projekt,Projekt,PROPN,
text1,4,3,müsse,müsse,NOUN,
text1,4,4,gestoppt,gestoppt,PROPN,
text1,4,5,werden,werden,PROPN,
text1,4,6,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,3,wird,wird,NOUN,
text3,1,4,voraussichtlich,voraussichtlich,NOUN,
text3,1,5,am,be,AUX,
text3,1,6,Donnerstagmorgen,Donnerstagmorgen,PROPN,PERSON_B
text3,1,7,i,I,PRON,
text3,1,8,m,m,VERB,
text3,1,9,EU,EU,PROPN,PERSON_B
text3,1,10,-,-,PUNCT,PERSON_I
text3,1,11,Rat,Rat,PROPN,PERSON_I
text3,1,12,abgestimmt,abgestimmt,PROPN,PERSON_I
text3,1,13,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,bisherige,bisherige,PROPN,
text3,2,3,Sperrminorität,Sperrminorität,PROPN,NORP_B
text3,2,4,gegen,gegen,NOUN,
text3,2,5,das,das,PROPN,PERSON_B
text3,2,6,Vorhaben,Vorhaben,PROPN,PERSON_I
text3,2,7,wackelt,wackelt,VERB,
text3,2,8,",",",",PUNCT,
text3,2,9,weil,weil,VERB,
text3,2,10,Frankreich,Frankreich,PROPN,PERSON_B
text3,2,11,Zustimmung,Zustimmung,PROPN,PERSON_I
text3,2,12,signalisiert,signalisiert,NOUN,
text3,2,13,hat,hat,NOUN,
text3,2,14,.,.,PUNCT,
text3,3,1,Würde,Würde,PROPN,PERSON_B
text3,3,2,der,der,PROPN,
text3,3,3,Rat,Rat,PROPN,
