doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,PERSON_B
text1,1,2,Kurzem,Kurzem,PROPN,PERSON_I
text1,1,3,bietet,bietet,PROPN,
text1,1,4,Apple,Apple,PROPN,ORG_B
text1,1,5,zahlenden,zahlenden,PROPN,PERSON_B
text1,1,6,Nutzer,Nutzer,PROPN,PERSON_I
text1,1,7,:,:,PUNCT,PERSON_I
text1,1,8,innen,innen,NOUN,
text1,1,9,der,der,NOUN,
text1,1,10,iCloud,iCloud,PROPN,
text1,1,11,einen,einen,NOUN,
text1,1,12,neuen,neuen,NOUN,
text1,1,13,Anonymisierungsdienst,Anonymisierungsdienst,PROPN,ORG_B
text1,1,14,namens,namen,VERB,
text1,1,15,Private,private,ADJ,
text1,1,16,Relay,Relay,PROPN,
text1,1,17,an,an,ADJ,
text1,1,18,.,.,PUNCT,
text1,2,1,Diese,diese,ADJ,NORP_B
text1,2,2,„,„,PUNCT,
text1,2,3,Internet,Internet,PROPN,
text1,2,4,-,-,PUNCT,
text1,2,5,Tarnkappe,Tarnkappe,PROPN,
text1,2,6,“,"""",PUNCT,
text1,2,7,",",",",PUNCT,
text1,2,8,wie,wie,PROPN,
text1,2,9,es,es,PROPN,
text1,2,10,der,der,PROPN,
text1,2,11,Spiegel,Spiegel,PROPN,PERSON_B
text1,2,12,nennt,nennt,PROPN,
text1,2,13,",",",",PUNCT,
text1,2,14,kombiniert,kombiniert,PROPN,
text1,2,15,Eigenschaften,Eigenschaften,PROPN,PERSON_B
text1,2,16,von,von,PROPN,PERSON_I
text1,2,17,zwei,zwei,PROPN,PERSON_I
text1,2,18,beliebten,beliebten,PROPN,
text1,2,19,Werkzeugen,Werkzeugen,PROPN,ORG_B
text1,2,20,gegen,gegen,PROPN,
text1,2,21,digitale,digitale,PROPN,
text1,2,22,Überwachung,Überwachung,PROPN,PERSON_B
text1,2,23,",",",",PUNCT,
text1,2,24,nämlich,nämlich,PROPN,
text1,2,25,von,von,PROPN,PERSON_B
text1,2,26,VPN,VPN,PROPN,PERSON_I
text1,2,27,-,-,PUNCT,PERSON_I
text1,2,28,Diensten,Diensten,PROPN,PERSON_I
text1,2,29,und,und,VERB,
text1,2,30,dem,dem,ADJ,
text1,2,31,Tor,Tor,PROPN,ORG_B
text1,2,32,-,-,PUNCT,ORG_I
text1,2,33,Browser,Browser,PROPN,ORG_I
text1,2,34,.,.,PUNCT,
text3,1,1,Apple,apple,NOUN,ORG_B
text3,1,2,hat,hat,NOUN,
text3,1,3,seinen,seinen,NOUN,
text3,1,4,Dienst,Dienst,PROPN,PERSON_B
text3,1,5,",",",",PUNCT,
text3,1,6,der,der,PROPN,PERSON_B
text3,1,7,sich,sich,PROPN,PERSON_I
text3,1,8,bislang,bislang,PROPN,PERSON_I
text3,1,9,für,für,PROPN,
text3,1,10,iOS,iOS,PROPN,
text3,1,11,15,15,NUM,CARDINAL_B
text3,1,12,und,und,PROPN,
text3,1,13,iPadOS,iPadOS,PROPN,
text3,1,14,15,15,NUM,CARDINAL_B
text3,1,15,in,in,ADP,
text3,1,16,der,der,PROPN,
text3,1,17,Beta,Beta,PROPN,
text3,1,18,-,-,PUNCT,
text3,1,19,Phase,phase,NOUN,
text3,1,20,befindet,befindet,NOUN,
text3,1,21,",",",",PUNCT,
text3,1,22,nach,nach,VERB,
text3,1,23,eigenen,eigenen,PROPN,
text3,1,24,Angaben,Angaben,PROPN,ORG_B
text3,1,25,entwickelt,entwickelt,NOUN,
text3,1,26,",",",",PUNCT,
text3,1,27,damit,damit,VERB,
text3,1,28,er,er,INTJ,
text3,1,29,Daten,Daten,PROPN,PERSON_B
text3,1,30,von,von,PROPN,PERSON_I
text3,1,31,Nutzer,Nutzer,PROPN,PERSON_I
text3,1,32,:,:,PUNCT,PERSON_I
text3,1,33,innen,innen,NOUN,
text3,1,34,beim,beim,NOUN,
text3,1,35,Surfen,Surfen,PROPN,PERSON_B
text3,1,36,verschlüsselt,verschlüsselt,VERB,
text3,1,37,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,Daten,Daten,PROPN,PERSON_B
text3,2,3,werden,werden,PROPN,
text3,2,4,zuerst,zuerst,PROPN,
text3,2,5,über,über,PROPN,
text3,2,6,einen,einen,PROPN,
text3,2,7,eigenen,eigenen,PROPN,
text3,2,8,Server,Server,PROPN,
text3,2,9,geschickt,geschickt,VERB,
text3,2,10,und,und,PROPN,
text3,2,11,dann,dann,NOUN,
text3,2,12,an,an,DET,
text3,2,13,einen,einen,NOUN,
text3,2,14,Drittanbieter,Drittanbieter,PROPN,ORG_B
text3,2,15,weitergeleitet,weitergeleitet,NOUN,ORG_I
text3,2,16,.,.,PUNCT,
text3,3,1,Letzterer,Letzterer,PROPN,ORG_B
text3,3,2,wickelt,wickelt,NOUN,
text3,3,3,den,den,VERB,
text3,3,4,Datenaustausch,Datenaustausch,PROPN,NORP_B
text3,3,5,mit,mit,NOUN,
text3,3,6,der,der,PROPN,
text3,3,7,angesurften,angesurften,ADJ,PERSON_B
text3,3,8,Website,Website,PROPN,PERSON_I
text3,3,9,ab,ab,NOUN,
text3,3,10,.,.,PUNCT,
text3,4,1,Daher,Daher,PROPN,
text3,4,2,könne,könne,NOUN,
text3,4,3,„,„,PUNCT,
text3,4,4,niemand,niemand,NOUN,
text3,4,5,–,–,PUNCT,
text3,4,6,nicht,nicht,NOUN,
text3,4,7,einmal,einmal,ADJ,
text3,4,8,Apple,Apple,PROPN,ORG_B
text3,4,9,–,–,PUNCT,
text3,4,10,erkennen,erkennen,NOUN,PERSON_B
text3,4,11,kann,kann,NOUN,PERSON_I
text3,4,12,",",",",PUNCT,
text3,4,13,wer,wer,NOUN,
text3,4,14,du,du,PROPN,
text3,4,15,bist,bist,ADJ,
text3,4,16,und,und,NOUN,
text3,4,17,welche,welche,NOUN,
text3,4,18,Seiten,seiten,VERB,
text3,4,19,du,du,ADP,
text3,4,20,besuchst,besuchst,NOUN,
text3,4,21,.,.,PUNCT,
text3,4,22,“,"""",PUNCT,
text5,1,1,Das,Das,PROPN,
text5,1,2,dürfte,dürfte,PROPN,
text5,1,3,autoritären,autoritären,PROPN,
text5,1,4,Regierungen,Regierungen,PROPN,ORG_B
text5,1,5,",",",",PUNCT,
text5,1,6,die,die,VERB,
text5,1,7,ihre,ihre,ADJ,
text5,1,8,Überwachung,Überwachung,PROPN,ORG_B
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Netz,Netz,PROPN,PERSON_B
text5,2,4,ständig,ständig,PROPN,
text5,2,5,ausbauen,ausbauen,PROPN,
text5,2,6,",",",",PUNCT,
text5,2,7,nicht,nicht,PROPN,
text5,2,8,schmecken,schmecken,VERB,
text5,2,9,.,.,PUNCT,
text5,3,1,Wie,Wie,PROPN,PERSON_B
text5,3,2,VPN,VPN,PROPN,
text5,3,3,und,und,NOUN,
text5,3,4,Tor,Tor,PROPN,ORG_B
text5,3,5,-,-,PROPN,ORG_I
text5,3,6,Browser,Browser,PROPN,ORG_I
text5,3,7,ist,ist,VERB,
text5,3,8,auch,auch,ADJ,
text5,3,9,Apples,Apples,PROPN,NORP_B
text5,3,10,neues,neue,NOUN,
text5,3,11,Feature,Feature,PROPN,
text5,3,12,in,in,ADP,
text5,3,13,einigen,einigen,NOUN,
text5,3,14,Staaten,Staaten,PROPN,PRODUCT_B
text5,3,15,unerwünscht,unerwünscht,NOUN,
text5,3,16,.,.,PUNCT,
text5,4,1,Der,Der,PROPN,PERSON_B
text5,4,2,Konzern,Konzern,PROPN,PERSON_I
text5,4,3,deaktiviert,deaktiviert,NOUN,
text5,4,4,sein,sein,PROPN,
text5,4,5,Anonymisierungstool,Anonymisierungstool,PROPN,ORG_B
text5,4,6,für,für,NOUN,
text5,4,7,Nutzer,Nutzer,PROPN,
text5,4,8,:,:,PUNCT,
text5,4,9,innen,innen,NOUN,
text5,4,10,in,in,ADP,
text5,4,11,China,China,PROPN,GPE_B
text5,4,12,",",",",PUNCT,
text5,4,13,Belarus,Belarus,PROPN,GPE_B
text5,4,14,und,und,VERB,
text5,4,15,Saudi,Saudi,PROPN,NORP_B
text5,4,16,-,-,PUNCT,NORP_I
text5,4,17,Arabien,Arabien,PROPN,NORP_I
text5,4,18,.,.,PUNCT,
text5,5,1,Auch,auch,NOUN,
text5,5,2,in,in,ADP,
text5,5,3,Ländern,Ländern,PROPN,GPE_B
text5,5,4,wie,wie,NOUN,
text5,5,5,Kolumbien,Kolumbien,PROPN,GPE_B
text5,5,6,und,und,ADJ,
text5,5,7,Südafrika,Südafrika,PROPN,PERSON_B
text5,5,8,ist,ist,VERB,
text5,5,9,es,es,PROPN,
text5,5,10,nicht,nicht,PROPN,
text5,5,11,verfügbar,verfügbar,NOUN,
text5,5,12,.,.,PUNCT,
text7,1,1,Ärger,Ärger,PROPN,PERSON_B
text7,1,2,könnte,könnte,PROPN,
text7,1,3,es,es,PROPN,
text7,1,4,allerdings,allerdings,PROPN,
text7,1,5,auch,auch,NOUN,
text7,1,6,in,in,ADP,
text7,1,7,der,der,PROPN,
text7,1,8,EU,EU,PROPN,ORG_B
text7,1,9,geben,geben,PROPN,
text7,1,10,.,.,PUNCT,
text7,2,1,Hinter,Hinter,PROPN,
text7,2,2,verschlossenen,verschlossenen,NOUN,
text7,2,3,Türen,Türen,PROPN,PERSON_B
text7,2,4,warnen,warnen,PROPN,
text7,2,5,EU,EU,PROPN,ORG_B
text7,2,6,-,-,PUNCT,ORG_I
text7,2,7,Beamte,Beamte,PROPN,ORG_I
text7,2,8,vor,vor,VERB,
text7,2,9,Private,private,ADJ,ORG_B
text7,2,10,Relay,relay,NOUN,ORG_I
text7,2,11,.,.,PUNCT,
text7,3,1,„,„,PUNCT,
text7,3,2,Dieses,Dieses,PROPN,
text7,3,3,neue,neue,NOUN,
text7,3,4,Feature,Feature,PROPN,
text7,3,5,wird,wird,NOUN,
text7,3,6,wahrscheinlich,wahrscheinlich,PRON,
text7,3,7,die,die,PROPN,
text7,3,8,Aufdeckung,Aufdeckung,PROPN,ORG_B
text7,3,9,und,und,VERB,ORG_I
text7,3,10,Untersuchung,Untersuchung,PROPN,ORG_I
text7,3,11,illegaler,illegaler,NOUN,
text7,3,12,Aktivitäten,Aktivitäten,PROPN,
text7,4,1,i,I,PRON,
text7,4,2,m,m,VERB,
text7,4,3,Internet,internet,NOUN,
text7,4,4,erschweren,erschweren,NOUN,
text7,4,5,“,"""",PUNCT,
text7,4,6,",",",",PUNCT,
text7,4,7,heißt,heißt,VERB,
text7,4,8,es,es,PROPN,
text7,4,9,in,in,ADP,
text7,4,10,einem,einem,PROPN,
text7,4,11,internen,internen,PROPN,
text7,4,12,Briefing,Briefing,PROPN,GPE_B
text7,4,13,der,der,PROPN,
text7,4,14,EU,EU,PROPN,ORG_B
text7,4,15,-,-,PUNCT,ORG_I
text7,4,16,Kommission,Kommission,PROPN,ORG_I
text7,4,17,vor,vor,AUX,
text7,4,18,einem,einem,PROPN,
text7,4,19,Treffen,Treffen,PROPN,PERSON_B
text7,4,20,mit,mit,NOUN,PERSON_I
text7,4,21,Apple,Apple,PROPN,PERSON_I
text7,4,22,.,.,PUNCT,
text7,5,1,Denn,denn,NOUN,
text7,5,2,Private,Private,PROPN,
text7,5,3,Relay,Relay,PROPN,
text7,5,4,verhindere,verhindere,ADJ,
text7,5,5,womöglich,womöglich,NOUN,
text7,5,6,die,die,VERB,
text7,5,7,Identifikation,Identifikation,PROPN,PERSON_B
text7,5,8,von,von,PROPN,PERSON_I
text7,5,9,Nutzer,Nutzer,PROPN,PERSON_I
text7,5,10,:,:,PUNCT,PERSON_I
text7,5,11,innen,innen,NOUN,PERSON_I
text7,5,12,",",",",PUNCT,
