doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Österreich,österreich,NOUN,
text1,1,2,hat,hat,NOUN,
text1,1,3,seine,seine,NOUN,
text1,1,4,kritische,kritische,NOUN,
text1,1,5,Haltung,Haltung,PROPN,GPE_B
text1,1,6,gegenüber,gegenüber,PROPN,PERSON_B
text1,1,7,der,der,PROPN,PERSON_I
text1,1,8,sogenannten,sogenannten,VERB,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,10,untermauert,untermauert,NOUN,
text1,1,11,.,.,PUNCT,
text1,2,1,Am,be,AUX,
text1,2,2,3,3,NUM,CARDINAL_B
text1,2,3,.,.,PUNCT,
text1,3,1,November,November,PROPN,DATE_B
text1,3,2,hat,hat,NOUN,
text1,3,3,der,der,PROPN,
text1,3,4,EU,EU,PROPN,ORG_B
text1,3,5,-,-,PUNCT,ORG_I
text1,3,6,Unterausschuss,Unterausschuss,PROPN,ORG_I
text1,3,7,des,des,NOUN,
text1,3,8,österreichischen,österreichischen,PROPN,
text1,3,9,Nationalrats,Nationalrats,PROPN,NORP_B
text1,3,10,fast,fast,ADJ,
text1,3,11,einstimmig,einstimmig,NOUN,
text1,3,12,eine,eine,NOUN,
text1,3,13,Stellungnahme,Stellungnahme,PROPN,ORG_B
text1,3,14,verabschiedet,verabschiedet,NOUN,
text1,3,15,",",",",PUNCT,
text1,3,16,die,die,VERB,
text1,3,17,sich,sich,ADJ,
text1,3,18,als,al,NOUN,
text1,3,19,Absage,absage,VERB,
text1,3,20,an,an,DET,
text1,3,21,das,das,PROPN,
text1,3,22,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,
text1,3,23,der,der,NOUN,
text1,3,24,Europäischen,Europäischen,PROPN,PERSON_B
text1,3,25,Kommission,Kommission,PROPN,PERSON_I
text1,3,26,interpretieren,interpretieren,NOUN,
text1,3,27,lässt,lässt,ADV,
text1,3,28,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Parlamentarier,parlamentari,ADJ,
text3,1,3,:,:,PUNCT,
text3,1,4,innen,innen,NOUN,
text3,1,5,fordern,fordern,NOUN,
text3,1,6,eine,eine,NOUN,
text3,1,7,grundrechtskonforme,grundrechtskonforme,VERB,
text3,1,8,Ausgestaltung,Ausgestaltung,PROPN,PERSON_B
text3,1,9,",",",",PUNCT,
text3,1,10,die,die,VERB,
text3,1,11,generelle,generelle,NOUN,
text3,1,12,Überwachungspflichten,Überwachungspflichten,PROPN,
text3,1,13,für,für,NOUN,
text3,1,14,Online,Online,PROPN,
text3,1,15,-,-,PUNCT,
text3,1,16,Anbieter,Anbieter,PROPN,
text3,1,17,ausschließt,ausschließt,NOUN,
text3,1,18,und,und,VERB,
text3,1,19,Ende,Ende,PROPN,
text3,1,20,-,-,PUNCT,
text3,1,21,zu,zu,NOUN,
text3,1,22,-,-,PUNCT,
text3,1,23,Ende,ende,ADJ,
text3,1,24,-,-,PUNCT,
text3,1,25,Verschlüsselung,Verschlüsselung,PROPN,
text3,1,26,bewahrt,bewahrt,VERB,
text3,1,27,.,.,PUNCT,
text3,2,1,Genau,Genau,PROPN,
text3,2,2,das,das,PROPN,
text3,2,3,sind,sind,NOUN,
text3,2,4,die,die,VERB,
text3,2,5,zentralen,zentralen,PROPN,
text3,2,6,Kritikpunkte,Kritikpunkte,PROPN,PERSON_B
text3,2,7,von,von,PROPN,PERSON_I
text3,2,8,unter,unter,NOUN,PERSON_I
text3,2,9,anderem,anderem,PROPN,
text3,2,10,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text3,2,11,und,und,PROPN,
text3,2,12,Datenschützer,Datenschützer,PROPN,PERSON_B
text3,2,13,:,:,PUNCT,
text3,2,14,innen,innen,NOUN,
text3,2,15,.,.,PUNCT,
text3,3,1,Um,um,INTJ,
text3,3,2,„,„,PUNCT,
text3,3,3,Material,Material,PROPN,
text3,3,4,über,über,NOUN,
text3,3,5,sexuellen,sexuellen,NOUN,
text3,3,6,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text3,3,7,“,"""",PUNCT,
text3,3,8,aufzuspüren,aufzuspüren,NOUN,
text3,3,9,sieht,sieht,PROPN,ORG_B
text3,3,10,der,der,PROPN,ORG_I
text3,3,11,Vorschlag,Vorschlag,PROPN,ORG_I
text3,3,12,der,der,PROPN,
text3,3,13,EU,EU,PROPN,ORG_B
text3,3,14,-,-,PUNCT,ORG_I
text3,3,15,Kommission,Kommission,PROPN,ORG_I
text3,3,16,unter,unter,NOUN,
text3,3,17,anderem,anderem,NOUN,
text3,3,18,vor,vor,NOUN,
text3,3,19,",",",",PUNCT,
text3,3,20,dass,dass,NOUN,
text3,3,21,Anbieter,Anbieter,PROPN,PERSON_B
text3,3,22,auf,auf,PROPN,
text3,3,23,Anordnung,Anordnung,PROPN,PERSON_B
text3,3,24,sogar,sogar,PROPN,
text3,3,25,private,private,PROPN,
text3,3,26,Chatnachrichten,Chatnachrichten,PROPN,PERSON_B
text3,3,27,durchleuchten,durchleuchten,VERB,
text3,3,28,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
text5,1,3,Stellungnahme,stellungnahme,NOUN,MONEY_I
text5,1,4,hat,hat,NOUN,
text5,1,5,rechtliche,rechtliche,NOUN,
text5,1,6,und,und,PROPN,
text5,1,7,politische,politische,PROPN,
text5,1,8,Wirkung,Wirkung,PROPN,PERSON_B
text7,1,1,Die,die,VERB,ORG_B
text7,1,2,Stellungnahme,Stellungnahme,PROPN,ORG_I
text7,1,3,des,des,X,ORG_I
text7,1,4,EU,EU,PROPN,ORG_I
text7,1,5,-,-,PUNCT,ORG_I
text7,1,6,Unterausschusses,Unterausschusses,PROPN,ORG_I
text7,1,7,ist,ist,VERB,
text7,1,8,grundsätzlich,grundsätzlich,PROPN,
text7,1,9,bindend,bindend,PROPN,
text7,1,10,für,für,PROPN,
text7,1,11,die,die,VERB,
text7,1,12,Regierungsvertreter,Regierungsvertreter,PROPN,
text7,1,13,:,:,PUNCT,
text7,1,14,innen,innen,NOUN,
text7,1,15,Österreichs,Österreichs,PROPN,PERSON_B
text7,1,16,in,in,ADP,
text7,1,17,den,den,PROPN,
text7,1,18,künftigen,künftigen,PROPN,
text7,1,19,EU,EU,PROPN,ORG_B
text7,1,20,-,-,PUNCT,
text7,1,21,Verhandlungen,Verhandlungen,PROPN,
text7,1,22,und,und,PROPN,
text7,1,23,Abstimmungen,Abstimmungen,PROPN,ORG_B
text7,1,24,zur,zur,PROPN,
text7,1,25,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,1,26,.,.,PUNCT,
text7,2,1,Laut,Laut,PROPN,PERSON_B
text7,2,2,Artikel,Artikel,PROPN,
text7,2,3,23e,23e,NUM,
text7,2,4,des,des,X,
text7,2,5,Bundes,Bundes,PROPN,ORG_B
text7,2,6,-,-,PUNCT,ORG_I
text7,2,7,Verfassungsgesetzes,Verfassungsgesetzes,PROPN,ORG_I
text7,2,8,von,von,PROPN,ORG_I
text7,2,9,Österreich,Österreich,PROPN,ORG_I
text7,2,10,dürfen,dürfen,PROPN,
text7,2,11,die,die,VERB,
text7,2,12,zuständigen,zuständigen,PROPN,
text7,2,13,Regierungsmitglieder,Regierungsmitglieder,PROPN,PERSON_B
text7,2,14,„,„,PUNCT,PERSON_I
text7,2,15,nur,nur,NOUN,
text7,2,16,aus,aus,PROPN,ORG_B
text7,2,17,zwingenden,zwingenden,PROPN,ORG_I
text7,2,18,integrations-,integrations-,NOUN,
text7,3,1,und,und,PROPN,
text7,3,2,außenpolitischen,außenpolitischen,PROPN,
