doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Ausschuss,Ausschuss,PROPN,PERSON_I
text1,1,3,für,für,NOUN,
text1,1,4,bürgerliche,bürgerliche,NOUN,
text1,1,5,Freiheiten,Freiheiten,PROPN,PERSON_B
text1,1,6,",",",",PUNCT,
text1,1,7,Justiz,Justiz,PROPN,PERSON_B
text1,1,8,und,und,PROPN,
text1,1,9,Inneres,Inneres,PROPN,ORG_B
text1,1,10,des,des,X,ORG_I
text1,1,11,EU,EU,PROPN,ORG_I
text1,1,12,-,-,PUNCT,ORG_I
text1,1,13,Parlaments,Parlaments,PROPN,ORG_I
text1,1,14,hat,hat,NOUN,
text1,1,15,heute,heute,NOUN,
text1,1,16,seine,seine,NOUN,
text1,1,17,Position,Position,PROPN,
text1,1,18,zur,zur,PROPN,
text1,1,19,freiwilligen,freiwilligen,NOUN,
text1,1,20,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,21,beschlossen,beschlossen,PROPN,
text1,1,22,:,:,PUNCT,
text1,1,23,Sie,Sie,PROPN,PERSON_B
text1,1,24,soll,soll,PROPN,
text1,1,25,demnach,demnach,PROPN,
text1,1,26,verlängert,verlängert,PROPN,PERSON_B
text1,1,27,werden,werden,PROPN,PERSON_I
text1,1,28,–,–,PUNCT,PERSON_I
text1,1,29,aber,aber,PROPN,PERSON_I
text1,1,30,nicht,nicht,PROPN,
text1,1,31,ewig,ewig,PROPN,
text1,1,32,.,.,PUNCT,
text3,1,1,Möglich,Möglich,PROPN,
text3,1,2,war,war,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,freiwillige,freiwillige,NOUN,
text3,1,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,6,nur,nur,VERB,
text3,1,7,durch,durch,NOUN,
text3,1,8,eine,eine,NOUN,
text3,1,9,Ausnahme,ausnahme,ADJ,
text3,1,10,der,der,NOUN,
text3,1,11,Datenschutzrichtlinie,Datenschutzrichtlinie,PROPN,PERSON_B
text3,1,12,für,für,NOUN,
text3,1,13,elektronische,elektronische,NOUN,
text3,1,14,Kommunikation,Kommunikation,PROPN,
text3,1,15,.,.,PUNCT,
text3,2,1,Dieses,Dieses,PROPN,
text3,2,2,Gesetz,Gesetz,PROPN,
text3,2,3,schützt,schützt,VERB,
text3,2,4,private,private,ADJ,
text3,2,5,Kommunikation,Kommunikation,PROPN,
text3,2,6,;,;,PUNCT,
text3,2,7,demnach,demnach,NOUN,
text3,2,8,ist,ist,AUX,
text3,2,9,es,es,PROPN,
text3,2,10,eigentlich,eigentlich,PROPN,
text3,2,11,verboten,verboten,NOUN,
text3,2,12,",",",",PUNCT,
text3,2,13,sie,sie,PROPN,
text3,2,14,pauschal,pauschal,NOUN,
text3,2,15,zu,zu,NOUN,
text3,2,16,durchsuchen,durchsuchen,NOUN,
text3,2,17,.,.,PUNCT,
text3,3,1,Doch,Doch,PROPN,PERSON_B
text3,3,2,eine,eine,NOUN,
text3,3,3,zeitlich,zeitlich,PROPN,PERSON_B
text3,3,4,begrenzte,begrenzte,PROPN,
text3,3,5,Sonderregelung,Sonderregelung,PROPN,PERSON_B
text3,3,6,aus,aus,PROPN,PERSON_I
text3,3,7,dem,dem,ADJ,PERSON_I
text3,3,8,Jahr,Jahr,PROPN,PERSON_I
text3,3,9,2021,2021,NUM,DATE_B
text3,3,10,erlaubt,erlaubt,VERB,
text3,3,11,es,es,PRON,
text3,3,12,Anbietern,anbietern,ADJ,ORG_B
text3,3,13,wie,wie,NOUN,
text3,3,14,Microsoft,Microsoft,PROPN,ORG_B
text3,3,15,und,und,PROPN,
text3,4,1,Meta,Meta,PROPN,ORG_B
text3,4,2,",",",",PUNCT,
text3,4,3,Nachrichten,Nachrichten,PROPN,
text3,4,4,ihrer,ihrer,NOUN,
text3,4,5,Nutzenden,Nutzenden,PROPN,
text3,4,6,dennoch,dennoch,PROPN,
text3,4,7,zu,zu,NOUN,
text3,4,8,scannen,scannen,NOUN,
text3,4,9,–,–,PUNCT,
text3,4,10,auf,auf,PROPN,
text3,4,11,der,der,PROPN,
text3,4,12,Suche,Suche,PROPN,PERSON_B
text3,4,13,nach,nach,VERB,
text3,4,14,Hinweisen,Hinweisen,PROPN,GPE_B
text3,4,15,auf,auf,PROPN,
text3,4,16,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,17,sexualisierter,sexualisierter,NOUN,
text3,4,18,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,19,gegen,gegen,NOUN,
text3,4,20,Kinder,Kinder,PROPN,
text3,4,21,.,.,PUNCT,
text3,5,1,Diese,Diese,PROPN,NORP_B
text3,5,2,Regelung,Regelung,PROPN,PERSON_B
text3,5,3,würde,würde,NOUN,
text3,5,4,i,I,PRON,
text3,5,5,m,m,VERB,
text3,5,6,August,August,PROPN,DATE_B
text3,5,7,2024,2024,NUM,DATE_I
text3,5,8,auslaufen,auslaufen,NOUN,
text3,5,9,.,.,PUNCT,
text5,1,1,Ursprünglich,Ursprünglich,PROPN,
text5,1,2,sollte,sollte,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,freiwillige,freiwillige,VERB,
text5,1,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,1,6,durch,durch,NOUN,
text5,1,7,eine,eine,NOUN,
text5,1,8,verpflichtende,verpflichtende,NOUN,
text5,1,9,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text5,1,10,abgelöst,abgelöst,PROPN,
text5,1,11,werden,werden,PROPN,
text5,1,12,.,.,PUNCT,
text5,2,1,Doch,Doch,PROPN,
text5,2,2,die,die,VERB,
text5,2,3,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text5,2,4,hierzu,hierzu,PROPN,
text5,2,5,stocken,stocken,PROPN,
text5,2,6,",",",",PUNCT,
text5,2,7,der,der,PROPN,
text5,2,8,EU,EU,PROPN,ORG_B
text5,2,9,-,-,PUNCT,
text5,2,10,Rat,Rat,PROPN,
text5,2,11,ist,ist,ADJ,
text5,2,12,sich,sich,PROPN,
text5,2,13,nicht,nicht,PROPN,
text5,2,14,einig,einig,PROPN,
text5,2,15,.,.,PUNCT,
text5,3,1,Bei,Bei,PROPN,
text5,3,2,der,der,NOUN,
text5,3,3,verpflichtenden,verpflichtenden,NOUN,
