doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,ORG_B
text1,1,2,Ergebnis,Ergebnis,PROPN,ORG_I
text1,1,3,war,war,PROPN,
text1,1,4,nicht,nicht,PROPN,
text1,1,5,überraschend,überraschend,PROPN,
text1,1,6,:,:,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Landtag,Landtag,PROPN,PERSON_I
text1,2,3,in,in,ADP,
text1,2,4,Baden,Baden,PROPN,GPE_B
text1,2,5,-,-,PUNCT,GPE_I
text1,2,6,Württemberg,Württemberg,PROPN,GPE_I
text1,2,7,hat,hat,PROPN,
text1,2,8,gestern,gestern,NOUN,
text1,2,9,ein,ein,PROPN,
text1,2,10,neues,neue,NOUN,
text1,2,11,Polizeigesetz,Polizeigesetz,PROPN,
text1,2,12,beschlossen,beschlossen,PROPN,
text1,2,13,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,grün,grün,NOUN,
text1,3,3,-,-,PUNCT,
text1,3,4,schwarze,schwarze,PROPN,
text1,3,5,Mehrheit,Mehrheit,PROPN,GPE_B
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Parlament,parlament,ADJ,
text1,4,4,schafft,schafft,NOUN,
text1,4,5,damit,damit,NOUN,
text1,4,6,die,die,VERB,
text1,4,7,Rechtsgrundlage,Rechtsgrundlage,PROPN,
text1,4,8,für,für,NOUN,
text1,4,9,den,den,VERB,
text1,4,10,Einsatz,Einsatz,PROPN,GPE_B
text1,4,11,der,der,NOUN,
text1,4,12,Software,Software,PROPN,PERSON_B
text1,4,13,von,von,PROPN,PERSON_I
text1,4,14,Palantir,Palantir,PROPN,PERSON_I
text1,4,15,.,.,PUNCT,
text1,5,1,Sie,Sie,PROPN,PERSON_B
text1,5,2,soll,soll,PROPN,
text1,5,3,ab,ab,PROPN,ORG_B
text1,5,4,dem,dem,PROPN,ORG_I
text1,5,5,zweiten,zweiten,PROPN,
text1,5,6,Quartal,Quartal,PROPN,ORG_B
text1,5,7,2026,2026,NUM,ORG_I
text1,5,8,einsatzbereit,einsatzbereit,PROPN,
text1,5,9,sein,sein,PROPN,
text1,5,10,.,.,PUNCT,
text3,1,1,Vorausgegangen,vorausgegangen,NOUN,
text3,1,2,war,war,NOUN,
text3,1,3,ein,ein,PROPN,
text3,1,4,Streit,Streit,PROPN,
text3,1,5,um,um,INTJ,
text3,1,6,die,die,VERB,
text3,1,7,Beschaffung,Beschaffung,PROPN,ORG_B
text3,1,8,des,des,PROPN,ORG_I
text3,1,9,Palantir,Palantir,PROPN,ORG_I
text3,1,10,-,-,PUNCT,ORG_I
text3,1,11,Systems,Systems,PROPN,ORG_I
text3,1,12,.,.,PUNCT,
text3,2,1,Denn,Denn,PROPN,PERSON_B
text3,2,2,Beamte,Beamte,PROPN,PERSON_I
text3,2,3,i,I,PRON,
text3,2,4,m,m,VERB,
text3,2,5,Innenministerium,Innenministerium,PROPN,PERSON_B
text3,2,6,von,von,PROPN,PERSON_I
text3,2,7,Thomas,Thomas,PROPN,PERSON_I
text3,2,8,Strobl,Strobl,PROPN,PERSON_I
text3,2,9,(,(,PUNCT,
text3,2,10,CDU,CDU,PROPN,ORG_B
text3,2,11,),),PUNCT,
text3,2,12,hatten,hatten,VERB,
text3,2,13,bereits,bereit,NOUN,
text3,2,14,i,I,PRON,
text3,2,15,m,m,VERB,
text3,2,16,Frühjahr,Frühjahr,PROPN,PERSON_B
text3,2,17,den,den,VERB,
text3,2,18,Vertrag,Vertrag,PROPN,
text3,2,19,dafür,dafür,NOUN,
text3,2,20,geschlossen,geschlossen,NOUN,
text3,2,21,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,notwendige,notwendige,ADJ,
text3,4,1,Rechtsgrundlage,Rechtsgrundlage,PROPN,
text3,4,2,gab,gab,VERB,
text3,4,3,es,es,X,
text3,4,4,zu,zu,PROPN,
text3,4,5,diesem,diesem,PROPN,
text3,4,6,Zeitpunkt,Zeitpunkt,PROPN,GPE_B
text3,4,7,noch,noch,PROPN,
text3,4,8,gar,gar,PROPN,
text3,4,9,nicht,nicht,PROPN,
text3,4,10,.,.,PUNCT,
text3,5,1,Der,Der,PROPN,PERSON_B
text3,5,2,grüne,grüne,PROPN,
text3,5,3,Koalitionspartner,Koalitionspartner,PROPN,PERSON_B
text3,5,4,war,war,PROPN,
text3,5,5,von,von,PROPN,
text3,5,6,den,den,VERB,
text3,5,7,Verantwortlichen,Verantwortlichen,PROPN,PERSON_B
text3,6,1,i,I,PRON,
text3,6,2,m,m,VERB,
text3,6,3,Ministerium,ministerium,NOUN,
text3,6,4,erst,erst,NOUN,
text3,6,5,i,I,PRON,
text3,6,6,m,m,VERB,
text3,6,7,Nachhinein,Nachhinein,PROPN,PERSON_B
text3,6,8,in,in,ADP,
text3,6,9,Kenntnis,Kenntnis,PROPN,GPE_B
text3,6,10,gesetzt,gesetzt,PROPN,
text3,6,11,worden,worden,NOUN,
text3,6,12,und,und,PROPN,
text3,6,13,betont,betont,PROPN,
text3,6,14,nun,nun,PROPN,
text3,6,15,",",",",PUNCT,
text3,6,16,der,der,PROPN,
text3,6,17,Vertrag,Vertrag,PROPN,PRODUCT_B
text3,6,18,sei,sei,ADJ,
text3,6,19,„,„,PUNCT,
text3,6,20,ohne,ohne,NOUN,
text3,6,21,unsere,unsere,NOUN,
text3,6,22,Zustimmung,Zustimmung,PROPN,ORG_B
text3,6,23,“,"""",PUNCT,
text3,6,24,entstanden,entstanden,NOUN,
text3,6,25,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,Grünen,Grünen,PROPN,
text5,1,3,reagierten,reagierten,ADJ,
text5,1,4,erst,erst,ADJ,
text5,1,5,ungehalten,ungehalten,NOUN,
text5,1,6,",",",",PUNCT,
text5,1,7,einigten,einigten,ADJ,
