doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,There,there,PRON,
text1,1,2,will,will,AUX,
text1,1,3,be,be,AUX,
text1,1,4,no,no,DET,
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,Council,Council,PROPN,ORG_I
text1,1,7,decision,decision,NOUN,
text1,1,8,on,on,ADP,
text1,1,9,chat,chat,PROPN,
text1,1,10,control,control,NOUN,
text1,1,11,today,today,NOUN,DATE_B
text1,1,12,.,.,PUNCT,
text1,2,1,The,the,DET,ORG_B
text1,2,2,Belgian,Belgian,PROPN,ORG_I
text1,2,3,Council,Council,PROPN,ORG_I
text1,2,4,Presidency,Presidency,PROPN,
text1,2,5,did,do,AUX,
text1,2,6,not,not,PART,
text1,2,7,think,think,VERB,
text1,2,8,it,it,PRON,
text1,2,9,could,could,AUX,
text1,2,10,achieve,achieve,VERB,
text1,2,11,a,a,DET,
text1,2,12,majority,majority,NOUN,
text1,2,13,and,and,CCONJ,
text1,2,14,has,have,AUX,
text1,2,15,taken,take,VERB,
text1,2,16,the,the,DET,
text1,2,17,point,point,NOUN,
text1,2,18,off,off,ADP,
text1,2,19,the,the,DET,
text1,2,20,agenda,agenda,NOUN,
text1,2,21,.,.,PUNCT,
text1,3,1,This,this,PRON,
text1,3,2,was,be,AUX,
text1,3,3,confirmed,confirm,VERB,
text1,3,4,to,to,ADP,
text1,3,5,netzpolitik.org,netzpolitik.org,PROPN,ORG_B
text1,3,6,by,by,ADP,
text1,3,7,the,the,DET,
text1,3,8,Council,Council,PROPN,ORG_B
text1,3,9,Presidency,Presidency,PROPN,
text1,3,10,and,and,CCONJ,
text1,3,11,member,member,NOUN,
text1,3,12,states,state,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,The,the,DET,
text1,4,2,delegates,delegate,NOUN,
text1,4,3,of,of,ADP,
text1,4,4,the,the,DET,
text1,4,5,EU,EU,PROPN,ORG_B
text1,4,6,member,member,NOUN,
text1,4,7,states,state,NOUN,
text1,4,8,were,be,AUX,
text1,4,9,supposed,suppose,VERB,
text1,4,10,to,to,PART,
text1,4,11,agree,agree,VERB,
text1,4,12,on,on,ADP,
text1,4,13,a,a,DET,
text1,4,14,common,common,ADJ,
text1,4,15,proposal,proposal,NOUN,
text1,4,16,this,this,DET,TIME_B
text1,4,17,afternoon,afternoon,NOUN,TIME_I
text1,4,18,.,.,PUNCT,
text3,1,1,The,the,DET,
text3,1,2,point,point,NOUN,
text3,1,3,has,have,AUX,
text3,1,4,instead,instead,ADV,
text3,1,5,been,be,AUX,
text3,1,6,tabled,table,VERB,
text3,1,7,until,until,ADP,
text3,1,8,further,further,ADJ,
text3,1,9,notice,notice,NOUN,
text3,1,10,.,.,PUNCT,
text3,2,1,The,the,DET,
text3,2,2,responsible,responsible,ADJ,
text3,2,3,Committee,Committee,PROPN,ORG_B
text3,2,4,of,of,ADP,ORG_I
text3,2,5,Permanent,Permanent,PROPN,ORG_I
text3,2,6,Representatives,Representatives,PROPN,ORG_I
text3,2,7,convenes,convene,VERB,
text3,2,8,every,every,DET,DATE_B
text3,2,9,week,week,NOUN,DATE_I
text3,2,10,",",",",PUNCT,
text3,2,11,but,but,CCONJ,
text3,2,12,Belgium,Belgium,PROPN,GPE_B
text3,2,13,will,will,AUX,
text3,2,14,almost,almost,ADV,
text3,2,15,certainly,certainly,ADV,
text3,2,16,not,not,PART,
text3,2,17,be,be,AUX,
text3,2,18,able,able,ADJ,
text3,2,19,to,to,PART,
text3,2,20,get,get,VERB,
text3,2,21,a,a,DET,
text3,2,22,majority,majority,NOUN,
text3,2,23,next,next,ADJ,DATE_B
text3,2,24,week,week,NOUN,DATE_I
text3,2,25,.,.,PUNCT,
text3,3,1,From,from,ADP,
text3,3,2,July,July,PROPN,DATE_B
text3,3,3,1,1,NUM,DATE_I
text3,3,4,onwards,onwards,ADV,
text3,3,5,",",",",PUNCT,
text3,3,6,Hungary,Hungary,PROPN,GPE_B
text3,3,7,will,will,AUX,
text3,3,8,take,take,VERB,
text3,3,9,over,over,ADP,
text3,3,10,the,the,DET,
text3,3,11,Council,Council,PROPN,ORG_B
text3,3,12,Presidency,Presidency,PROPN,
text3,3,13,from,from,ADP,
text3,3,14,Belgium,Belgium,PROPN,GPE_B
text3,3,15,.,.,PUNCT,
text3,4,1,Hungary,Hungary,PROPN,GPE_B
text3,4,2,has,have,AUX,
text3,4,3,already,already,ADV,
text3,4,4,stated,state,VERB,
text3,4,5,in,in,ADP,
text3,4,6,the,the,DET,
text3,4,7,programme,programme,NOUN,
text3,4,8,of,of,ADP,
text3,4,9,its,its,PRON,
text3,4,10,presidency,presidency,NOUN,
text3,4,11,that,that,SCONJ,
text3,4,12,it,it,PRON,
text3,4,13,will,will,AUX,
text3,4,14,continue,continue,VERB,
text3,4,15,the,the,DET,
text3,4,16,negotiations,negotiation,NOUN,
text3,4,17,on,on,ADP,
text3,4,18,chat,chat,PROPN,
text3,4,19,control,control,NOUN,
text3,4,20,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,MONEY_B
text5,1,3,No,no,PRON,
text5,1,4,majority,majority,NOUN,
text7,1,1,The,the,DET,
text7,1,2,member,member,NOUN,
text7,1,3,states,state,NOUN,
text7,1,4,have,have,AUX,
text7,1,5,been,be,AUX,
text7,1,6,trying,try,VERB,
text7,1,7,for,for,ADP,
text7,1,8,two,two,NUM,DATE_B
text7,1,9,years,year,NOUN,DATE_I
text7,1,10,to,to,PART,
text7,1,11,find,find,VERB,
text7,1,12,common,common,ADJ,
text7,1,13,ground,ground,NOUN,
text7,1,14,on,on,ADP,
text7,1,15,the,the,DET,
text7,1,16,proposal,proposal,NOUN,
text7,1,17,.,.,PUNCT,
text7,2,1,Until,until,ADP,
text7,2,2,now,now,ADV,
text7,2,3,",",",",PUNCT,
text7,2,4,they,they,PRON,
text7,2,5,were,be,AUX,
text7,2,6,blocked,block,VERB,
text7,2,7,by,by,ADP,
text7,2,8,a,a,DET,
text7,2,9,minority,minority,NOUN,
text7,2,10,including,include,VERB,
text7,2,11,Germany,Germany,PROPN,GPE_B
text7,2,12,and,and,CCONJ,
text7,2,13,France,France,PROPN,GPE_B
text7,2,14,.,.,PUNCT,
text7,3,1,However,however,ADV,
text7,3,2,",",",",PUNCT,
text7,3,3,France,France,PROPN,GPE_B
text7,3,4,seems,seem,VERB,
text7,3,5,to,to,PART,
text7,3,6,have,have,AUX,
text7,3,7,been,be,AUX,
text7,3,8,increasingly,increasingly,ADV,
text7,3,9,on,on,ADP,
text7,3,10,the,the,DET,
text7,3,11,edge,edge,NOUN,
text7,3,12,in,in,ADP,
text7,3,13,the,the,DET,DATE_B
text7,3,14,last,last,ADJ,DATE_I
text7,3,15,few,few,ADJ,DATE_I
text7,3,16,weeks,week,NOUN,DATE_I
text7,3,17,after,after,SCONJ,
text7,3,18,the,the,DET,
text7,3,19,Belgian,belgian,ADJ,NORP_B
text7,3,20,presidency,presidency,NOUN,
text7,3,21,changed,change,VERB,
text7,3,22,some,some,DET,
text7,3,23,wording,wording,NOUN,
text7,3,24,in,in,ADP,
text7,3,25,the,the,DET,
text7,3,26,proposal,proposal,NOUN,
text7,3,27,.,.,PUNCT,
text7,4,1,Germany,Germany,PROPN,GPE_B
text7,4,2,stated,state,VERB,
text7,4,3,that,that,SCONJ,
text7,4,4,it,it,PRON,
text7,4,5,would,would,AUX,
text7,4,6,have,have,AUX,
text7,4,7,voted,vote,VERB,
text7,4,8,against,against,ADP,
text7,4,9,the,the,DET,
text7,4,10,proposal,proposal,NOUN,
text7,4,11,today,today,NOUN,DATE_B
