doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,Großbritannien,Großbritannien,PROPN,
text1,1,3,wird,wird,NOUN,
text1,1,4,gerade,gerade,NOUN,
text1,1,5,mit,mit,VERB,PERSON_B
text1,1,6,dem,dem,ADJ,PERSON_I
text1,1,7,Online,Online,PROPN,PRODUCT_B
text1,1,8,Safety,Safety,PROPN,PRODUCT_I
text1,1,9,Bill,Bill,PROPN,PRODUCT_I
text1,1,10,eine,eine,NOUN,
text1,1,11,ähnliche,ähnliche,NOUN,
text1,1,12,Gesetzgebung,Gesetzgebung,PROPN,PERSON_B
text1,1,13,wie,wie,NOUN,
text1,1,14,die,die,VERB,
text1,1,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,16,debattiert,debattiert,NOUN,
text1,1,17,.,.,PUNCT,
text1,2,1,Nun,Nun,PROPN,PERSON_B
text1,2,2,hat,hat,PROPN,
text1,2,3,das,das,PROPN,
text1,2,4,zum,zum,NOUN,PERSON_B
text1,2,5,Meta,meta,ADJ,PERSON_I
text1,2,6,-,-,PUNCT,PERSON_I
text1,2,7,Konzern,konzern,ADJ,PERSON_I
text1,2,8,gehörende,gehörende,NOUN,
text1,2,9,WhatsApp,WhatsApp,PROPN,ORG_B
text1,2,10,laut,laut,NOUN,
text1,2,11,The,the,DET,
text1,2,12,Telegraph,Telegraph,PROPN,PRODUCT_B
text1,2,13,indirekt,indirekt,NOUN,
text1,2,14,angekündigt,angekündigt,PROPN,
text1,2,15,",",",",PUNCT,
text1,2,16,dass,dass,PROPN,
text1,2,17,es,es,PROPN,
text1,2,18,seinen,seinen,PROPN,
text1,2,19,Messenger,Messenger,PROPN,ORG_B
text1,2,20,aus,aus,PROPN,ORG_I
text1,2,21,dem,dem,PROPN,ORG_I
text1,2,22,Land,Land,PROPN,ORG_I
text1,2,23,zurückziehen,zurückziehen,PROPN,PERSON_B
text1,2,24,könnte,könnte,PROPN,PERSON_I
text1,2,25,",",",",PUNCT,
text1,2,26,wenn,wenn,PROPN,
text1,2,27,das,das,PROPN,PERSON_B
text1,2,28,Gesetz,Gesetz,PROPN,PERSON_I
text1,2,29,verabschiedet,verabschiedet,PROPN,PERSON_B
text1,2,30,würde,würde,PROPN,PERSON_I
text1,2,31,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,ORG_B
text3,1,2,WhatsApp,WhatsApp,PROPN,ORG_I
text3,1,3,-,-,PUNCT,
text3,1,4,Manager,Manager,PROPN,
text3,1,5,Will,Will,PROPN,PERSON_B
text3,1,6,Cathcart,Cathcart,PROPN,PERSON_I
text3,1,7,erklärte,erklärte,NOUN,
text3,1,8,gegenüber,gegenüber,PROPN,PERSON_B
text3,1,9,der,der,PROPN,PERSON_I
text3,1,10,Zeitung,Zeitung,PROPN,PERSON_I
text3,1,11,",",",",PUNCT,
