doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mit,mit,NOUN,ORG_B
text1,1,2,der,der,NOUN,
text1,1,3,großen,großen,NOUN,
text1,1,4,Heckenschere,Heckenschere,PROPN,ORG_B
text1,1,5,will,will,AUX,
text1,1,6,der,der,VERB,
text1,1,7,Ausschuss,Ausschuss,PROPN,
text1,1,8,für,für,NOUN,
text1,1,9,Binnenmarkt,Binnenmarkt,PROPN,
text1,1,10,und,und,ADJ,
text1,1,11,Verbraucherschutz,Verbraucherschutz,PROPN,PERSON_B
text1,1,12,(,(,PUNCT,
text1,1,13,IMCO,IMCO,PROPN,ORG_B
text1,1,14,),),PUNCT,
text1,1,15,das,das,PROPN,
text1,1,16,geplante,geplante,VERB,
text1,1,17,Gesetz,Gesetz,PROPN,
text1,1,18,zur,zur,NOUN,
text1,1,19,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,20,stutzen,stutzen,NOUN,
text1,1,21,.,.,PUNCT,
text1,2,1,Von,Von,PROPN,
text1,2,2,den,den,NOUN,
text1,2,3,teils,teil,NOUN,
text1,2,4,invasiven,invasiven,ADJ,
text1,2,5,Plänen,Plänen,PROPN,ORG_B
text1,2,6,der,der,PROPN,
text1,2,7,EU,EU,PROPN,ORG_B
text1,2,8,-,-,PUNCT,ORG_I
text1,2,9,Kommission,Kommission,PROPN,ORG_I
text1,2,10,soll,soll,NOUN,
text1,2,11,demnach,demnach,NOUN,
text1,2,12,vieles,viele,NOUN,
text1,2,13,wegfallen,wegfallen,VERB,
text1,2,14,.,.,PUNCT,
text1,3,1,Einige,Einige,PROPN,PERSON_B
text1,3,2,Überwachungsvorhaben,Überwachungsvorhaben,PROPN,PERSON_I
text1,3,3,würden,würden,PROPN,
text1,3,4,gar,gar,PROPN,PERSON_B
text1,3,5,ersatzlos,ersatzlos,PROPN,PERSON_I
text1,3,6,gestrichen,gestrichen,VERB,PERSON_I
text1,3,7,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,und,und,PROPN,
text3,1,3,mehr,mehr,NOUN,
text3,1,4,steht,steht,VERB,
text3,1,5,i,I,PRON,
text3,1,6,m,m,VERB,
text3,1,7,Entwurf,Entwurf,PROPN,
text3,1,8,der,der,NOUN,
text3,1,9,IMCO,IMCO,PROPN,ORG_B
text3,1,10,-,-,PUNCT,ORG_I
text3,1,11,Stellungnahme,Stellungnahme,PROPN,ORG_I
text3,1,12,",",",",PUNCT,
text3,1,13,die,die,PROPN,
text3,1,14,der,der,PROPN,
text3,1,15,maltesische,maltesische,PROPN,
text3,1,16,Sozialdemokrat,Sozialdemokrat,PROPN,PERSON_B
text3,1,17,Alex,Alex,PROPN,PERSON_B
text3,1,18,Agius,Agius,PROPN,PERSON_I
text3,1,19,Saliba,Saliba,PROPN,PERSON_I
text3,1,20,verfasst,verfasst,NOUN,
text3,1,21,hat,hat,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,Sie,Sie,PROPN,
text3,2,2,ist,ist,NOUN,
text3,2,3,auf,auf,PROPN,
text3,2,4,den,den,VERB,
text3,2,5,8,8,NUM,CARDINAL_B
text3,2,6,.,.,PUNCT,
text3,3,1,Februar,Februar,PROPN,
text3,3,2,datiert,datiert,PROPN,
text3,3,3,.,.,PUNCT,
text3,4,1,Die,die,VERB,ORG_B
text3,4,2,Position,Position,PROPN,ORG_I
text3,4,3,des,des,PROPN,ORG_I
text3,4,4,Ausschusses,Ausschusses,PROPN,ORG_I
text3,4,5,ist,ist,ADJ,
text3,4,6,ein,ein,PROPN,
text3,4,7,wichtiger,wichtiger,PROPN,
text3,4,8,Baustein,Baustein,PROPN,PERSON_B
text3,4,9,für,für,NOUN,
text3,4,10,die,die,VERB,
text3,4,11,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text3,4,12,um,um,INTJ,
text3,4,13,die,die,VERB,
text3,4,14,sogenannte,sogenannte,PROPN,
text3,4,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,4,16,.,.,PUNCT,
text5,1,1,Dahinter,dahinter,NOUN,
text5,1,2,steht,steht,NOUN,
text5,1,3,ein,ein,NOUN,
text5,1,4,Entwurf,Entwurf,PROPN,ORG_B
text5,1,5,der,der,PROPN,
text5,1,6,EU,EU,PROPN,ORG_B
text5,1,7,-,-,PUNCT,ORG_I
text5,1,8,Kommission,Kommission,PROPN,ORG_I
text5,1,9,zur,zur,NOUN,
text5,1,10,„,„,PUNCT,
text5,1,11,Bekämpfung,Bekämpfung,PROPN,
text5,1,12,des,des,X,
text5,1,13,sexuellen,sexuellen,NOUN,
text5,1,14,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text5,1,15,von,von,PROPN,PERSON_I
text5,1,16,Kindern,Kindern,PROPN,PERSON_I
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Netz,Netz,VERB,PERSON_B
text5,2,4,“,"""",PUNCT,
text5,2,5,.,.,PUNCT,
text5,3,1,Dieser,Dieser,PROPN,ORG_B
text5,3,2,Entwurf,Entwurf,PROPN,ORG_I
text5,3,3,sieht,sieht,VERB,
text5,3,4,vor,vor,NOUN,
text5,3,5,",",",",PUNCT,
text5,3,6,dass,dass,NOUN,
text5,3,7,Online,Online,PROPN,PERSON_B
text5,3,8,-,-,PUNCT,PERSON_I
text5,3,9,Anbieter,Anbieter,PROPN,PERSON_I
text5,3,10,auf,auf,PROPN,
text5,3,11,Anordnung,Anordnung,PROPN,PERSON_B
text5,3,12,selbst,selbst,PROPN,
text5,3,13,private,private,ADJ,
text5,3,14,Chats,Chats,PROPN,NORP_B
text5,3,15,durchleuchten,durchleuchten,VERB,
text5,3,16,müssen,müssen,PROPN,PERSON_B
