doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,mein,mein,PROPN,PERSON_B
text3,1,2,Blutdruck,Blutdruck,PROPN,PERSON_I
text3,1,3,ist,ist,NOUN,
text3,1,4,bis,bi,VERB,
text3,1,5,auf,auf,PROPN,
text3,1,6,eine,eine,NOUN,
text3,1,7,leichte,leichte,PROPN,
text3,1,8,Weißkittelhypertonie,Weißkittelhypertonie,PROPN,PERSON_B
text3,1,9,meistens,meisten,NOUN,
text3,1,10,ziemlich,ziemlich,PROPN,
text3,1,11,in,in,ADP,
text3,1,12,Ordnung,Ordnung,PROPN,GPE_B
text3,1,13,.,.,PUNCT,
text3,2,1,Außer,Außer,PROPN,
text3,2,2,ich,ich,NOUN,
text3,2,3,fühle,fühle,PROPN,
text3,2,4,mich,mich,PROPN,
text3,2,5,zur,zur,PROPN,
text3,2,6,Närrin,Närrin,PROPN,NORP_B
text3,2,7,gehalten,gehalten,VERB,
text3,2,8,",",",",PUNCT,
text3,2,9,dann,dann,PROPN,
text3,2,10,hat,hat,PROPN,
text3,2,11,das,das,PROPN,
text3,2,12,die,die,VERB,
text3,2,13,Wirkung,Wirkung,PROPN,PERSON_B
text3,2,14,eines,eine,NOUN,
text3,2,15,vierfachen,vierfachen,VERB,
text3,2,16,Espressos,Espressos,PROPN,PRODUCT_B
text3,2,17,mit,mit,NOUN,PRODUCT_I
text3,2,18,hundert,hundert,NOUN,
text3,2,19,Prozent,Prozent,PROPN,PERSON_B
text3,2,20,Robusta,Robusta,PROPN,PERSON_I
text3,2,21,-,-,PUNCT,PERSON_I
text3,2,22,Bohnen,Bohnen,PROPN,PERSON_I
text3,2,23,.,.,PUNCT,
text3,3,1,Diese,Diese,PROPN,NORP_B
text3,3,2,Woche,Woche,PROPN,
text3,3,3,ging,ge,VERB,
text3,3,4,mir,mir,PROPN,
text3,3,5,das,das,PROPN,
text3,3,6,so,so,ADV,
text3,3,7,mit,mit,VERB,
text3,3,8,einer,einer,NOUN,
text3,3,9,Presseanfrage,Presseanfrage,PROPN,ORG_B
text3,3,10,ans,an,NOUN,ORG_I
text3,3,11,Bundesinnenministerium,Bundesinnenministerium,PROPN,ORG_I
text3,3,12,.,.,PUNCT,
text5,1,1,Es,es,INTJ,
text5,1,2,ging,ging,NOUN,
text5,1,3,um,um,INTJ,
text5,1,4,die,die,VERB,
text5,1,5,deutsche,deutsche,X,ORG_B
text5,1,6,Position,Position,PROPN,ORG_I
text5,1,7,zur,zur,NOUN,PERSON_B
text5,1,8,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text5,1,9,.,.,PUNCT,
text5,2,1,Das,Das,PROPN,ORG_B
text5,2,2,Innenministerium,Innenministerium,PROPN,ORG_I
text5,2,3,führt,führt,PROPN,
text5,2,4,in,in,ADP,
text5,2,5,Brüssel,Brüssel,PROPN,GPE_B
text5,2,6,die,die,VERB,
text5,2,7,Verhandlungen,Verhandlungen,PROPN,
text5,2,8,i,I,PRON,
text5,2,9,m,m,VERB,
text5,2,10,Rat,Rat,PROPN,
text5,2,11,",",",",PUNCT,
text5,2,12,ist,ist,NOUN,
text5,2,13,also,also,ADV,
text5,2,14,die,die,VERB,
text5,2,15,geeignete,geeignete,ADJ,
text5,2,16,Ansprechpartnerin,Ansprechpartnerin,PROPN,PERSON_B
text5,2,17,.,.,PUNCT,
text5,3,1,Aus,Aus,PROPN,ORG_B
text5,3,2,einem,einem,PROPN,ORG_I
text5,3,3,Positionspapier,Positionspapier,PROPN,ORG_B
text5,3,4,aus,aus,PROPN,PRODUCT_B
text5,3,5,dem,dem,PROPN,PRODUCT_I
text5,3,6,Februar,Februar,PROPN,PRODUCT_I
text5,3,7,wissen,wissen,NOUN,
text5,3,8,wir,wir,NOUN,
text5,3,9,:,:,PUNCT,
text5,3,10,Bei,Bei,PROPN,
text5,3,11,der,der,NOUN,
text5,3,12,deutschen,deutschen,PROPN,
text5,3,13,Regierungsposition,Regierungsposition,PROPN,
text5,3,14,gab,gab,VERB,
text5,3,15,es,es,X,
text5,3,16,noch,noch,PROPN,
text5,3,17,einige,einige,PROPN,
text5,3,18,klärungsbedürftige,klärungsbedürftige,PROPN,
text5,3,19,Punkte,Punkte,PROPN,ORG_B
text5,3,20,",",",",PUNCT,
text5,3,21,denn,denn,NOUN,
text5,3,22,vor,vor,NOUN,
text5,3,23,allem,allem,NOUN,
text5,3,24,Innen-,innen-,ADP,
text5,4,1,und,und,VERB,
text5,4,2,Justizministerium,Justizministerium,PROPN,
text5,4,3,waren,waren,PROPN,PERSON_B
text5,4,4,sich,sich,SCONJ,PERSON_I
text5,4,5,nicht,nicht,PROPN,PERSON_I
text5,4,6,ganz,ganz,PROPN,
text5,4,7,einig,einig,PROPN,
text5,4,8,.,.,PUNCT,
text5,5,1,Außerdem,Außerdem,PROPN,
text5,5,2,wissen,wissen,NOUN,
text5,5,3,wir,wir,NOUN,
text5,5,4,:,:,PUNCT,
text5,5,5,Einige,Einige,PROPN,PERSON_B
text5,5,6,Punkte,Punkte,PROPN,PERSON_I
text5,5,7,aus,aus,ADP,
text5,5,8,der,der,PROPN,
text5,5,9,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,5,10,-,-,PUNCT,PERSON_I
text5,5,11,Verordnung,Verordnung,PROPN,PERSON_I
text5,5,12,widersprechen,widersprechen,NOUN,
text5,6,1,deutlich,deutlich,NOUN,
