doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Internetwirtschaftsverband,Internetwirtschaftsverband,PROPN,PERSON_I
text1,1,3,eco,eco,PROPN,
text1,1,4,kritisiert,kritisiert,PROPN,PERSON_B
text1,1,5,den,den,VERB,PERSON_I
text1,1,6,Vorschlag,Vorschlag,PROPN,ORG_B
text1,1,7,zur,zur,PROPN,
text1,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,9,aus,aus,VERB,ORG_I
text1,1,10,Belgien,Belgien,PROPN,ORG_I
text1,1,11,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,so,so,ADV,
text1,2,3,genannte,genannte,NOUN,
text1,2,4,„,„,NOUN,
text1,2,5,Upload,Upload,PROPN,WORK_OF_ART_B
text1,2,6,-,-,PUNCT,WORK_OF_ART_I
text1,2,7,Moderation,Moderation,PROPN,WORK_OF_ART_I
text1,2,8,“,"""",PUNCT,
text1,2,9,",",",",PUNCT,
text1,2,10,bei,bei,PROPN,
text1,2,11,der,der,PROPN,
text1,2,12,Nutzer,Nutzer,PROPN,PERSON_B
text1,2,13,:,:,PUNCT,
text1,2,14,innen,innen,NOUN,
text1,2,15,einer,einer,NOUN,
text1,2,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,17,angeblich,angeblich,PROPN,
text1,2,18,freiwillig,freiwillig,PROPN,
text1,2,19,zustimmen,zustimmen,PROPN,
text1,2,20,sollen,sollen,PROPN,
text1,2,21,",",",",PUNCT,
text1,2,22,wenn,wenn,PROPN,
text1,2,23,sie,sie,PROPN,
text1,2,24,Bilder,Bilder,PROPN,
text1,2,25,und,und,PROPN,
text1,2,26,Videos,video,NOUN,
text1,2,27,verschicken,verschicken,ADJ,
text1,2,28,wollen,wollen,NOUN,
text1,2,29,",",",",PUNCT,
text1,2,30,sei,sei,ADJ,ORG_B
text1,2,31,unvereinbar,unvereinbar,NOUN,
text1,2,32,mit,mit,NOUN,
text1,2,33,EU,EU,PROPN,ORG_B
text1,2,34,-,-,PUNCT,
text1,2,35,Recht,Recht,PROPN,
text1,2,36,und,und,PROPN,
text1,2,37,der,der,PROPN,
text1,2,38,Integrität,Integrität,PROPN,PERSON_B
text1,2,39,von,von,PROPN,PERSON_I
text1,2,40,Verschlüsselungsmechanismen,Verschlüsselungsmechanismen,PROPN,PERSON_I
text1,2,41,",",",",PUNCT,
text1,2,42,heißt,heißt,NOUN,
text1,2,43,es,es,ADP,
text1,2,44,in,in,ADP,
text1,2,45,einer,einer,NOUN,
text1,2,46,Pressemitteilung,Pressemitteilung,PROPN,PERSON_B
text1,2,47,.,.,PUNCT,
text3,1,1,Nachdem,Nachdem,PROPN,ORG_B
text3,1,2,die,die,VERB,
text3,1,3,Verhandlungen,Verhandlungen,PROPN,ORG_B
text3,1,4,über,über,NOUN,
text3,1,5,die,die,NOUN,
text3,1,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,7,ins,in,VERB,
text3,1,8,Stocken,Stocken,PROPN,PERSON_B
text3,1,9,geraten,geraten,VERB,
text3,1,10,waren,waren,NOUN,
text3,1,11,",",",",PUNCT,
text3,1,12,hat,hat,NOUN,
text3,1,13,die,die,NOUN,
text3,1,14,belgische,belgische,PROPN,
text3,1,15,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Mai,Mai,PROPN,PERSON_B
text3,2,4,Kompromissvorschläge,Kompromissvorschläge,PROPN,PERSON_I
text3,2,5,gemacht,gemacht,NOUN,
text3,2,6,.,.,PUNCT,
text3,3,1,Wir,wir,ADJ,
text3,3,2,haben,haben,NOUN,
text3,3,3,den,den,VERB,
text3,3,4,neuen,neuen,NOUN,
text3,3,5,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Volltext,Volltext,PROPN,PERSON_B
text3,4,4,veröffentlicht,veröffentlicht,NOUN,
text3,4,5,.,.,PUNCT,
text5,1,1,Laut,Laut,PROPN,ORG_B
text5,1,2,des,des,X,ORG_I
text5,1,3,Entwurfs,Entwurfs,PROPN,ORG_I
text5,1,4,sollen,sollen,NOUN,
text5,1,5,Dienste,Dienste,PROPN,ORG_B
text5,1,6,das,das,PROPN,ORG_I
text5,1,7,Risiko,Risiko,PROPN,ORG_I
text5,1,8,",",",",PUNCT,
text5,1,9,dass,dass,NOUN,
text5,1,10,auf,auf,PROPN,
text5,1,11,ihren,ihren,PROPN,
text5,1,12,Plattformen,Plattformen,PROPN,
