doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,diese,diese,PROPN,ORG_B
text3,1,2,Woche,Woche,PROPN,ORG_I
text3,1,3,hat,hat,NOUN,
text3,1,4,sich,sich,PROPN,
text3,1,5,das,das,PROPN,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Parlament,Parlament,PROPN,ORG_I
text3,1,9,mit,mit,NOUN,
text3,1,10,der,der,NOUN,
text3,1,11,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,12,beschäftigt,beschäftigt,PROPN,PERSON_I
text3,1,13,.,.,PUNCT,
text3,2,1,EU,EU,PROPN,ORG_B
text3,2,2,-,-,PUNCT,
text3,2,3,Kommissarin,Kommissarin,PROPN,PERSON_B
text3,2,4,Ylva,Ylva,PROPN,PERSON_I
text3,2,5,Johansson,Johansson,PROPN,PERSON_I
text3,2,6,war,war,NOUN,
text3,2,7,i,I,PRON,
text3,2,8,m,m,VERB,
text3,2,9,Ausschuss,ausschuss,ADJ,PERSON_B
text3,2,10,für,für,NOUN,
text3,2,11,bürgerliche,bürgerliche,NOUN,
text3,2,12,Freiheiten,Freiheiten,PROPN,PERSON_B
text3,2,13,(,(,PUNCT,
text3,2,14,LIBE,LIBE,PROPN,
text3,2,15,),),PUNCT,
text3,2,16,.,.,PUNCT,
text3,3,1,Dort,dort,NOUN,PERSON_B
text3,3,2,gab,gab,VERB,
text3,3,3,es,es,DET,
text3,3,4,kritische,kritische,PROPN,
text3,3,5,Fragen,Fragen,PROPN,ORG_B
text3,3,6,",",",",PUNCT,
text3,3,7,die,die,VERB,
text3,3,8,Antworten,Antworten,PROPN,
text3,3,9,waren,waren,PROPN,
text3,3,10,eher,eher,ADJ,
text3,3,11,unbefriedigend,unbefriedigend,VERB,
text3,3,12,bis,bis,ADJ,
text3,3,13,verwirrend,verwirrend,NOUN,
text3,3,14,.,.,PUNCT,
text3,4,1,Heute,heute,NOUN,
text3,4,2,haben,haben,NOUN,
text3,4,3,wir,wir,PROPN,
text3,4,4,außerdem,außerdem,PROPN,PERSON_B
text3,4,5,über,über,PROPN,PERSON_I
text3,4,6,ein,ein,PROPN,PERSON_I
text3,4,7,Gutachten,Gutachten,PROPN,
text3,4,8,der,der,NOUN,
text3,4,9,Wissenschaftlichen,Wissenschaftlichen,PROPN,PERSON_B
text3,4,10,Dienste,Dienste,PROPN,PERSON_I
text3,4,11,des,des,PROPN,
text3,4,12,Bundestags,Bundestags,PROPN,
text3,4,13,berichtet,berichtet,NOUN,
text3,4,14,.,.,PUNCT,
text3,5,1,Auch,Auch,PROPN,
text3,5,2,sie,sie,NOUN,
text3,5,3,kommen,komman,NOUN,
text3,5,4,zu,zu,PROPN,
text3,5,5,einem,einem,PROPN,
text3,5,6,vernichtenden,vernichtenden,PROPN,
text3,5,7,Urteil,Urteil,PROPN,ORG_B
text3,5,8,",",",",PUNCT,
text3,5,9,was,be,AUX,
text3,5,10,die,die,ADJ,
text3,5,11,Pläne,Pläne,PROPN,PERSON_B
text3,5,12,der,der,PROPN,
text3,5,13,EU,EU,PROPN,ORG_B
text3,5,14,-,-,PUNCT,ORG_I
text3,5,15,Kommission,Kommission,PROPN,ORG_I
text3,5,16,angeht,angeht,PROPN,
text3,5,17,.,.,PUNCT,
text3,6,1,Das,Das,PROPN,
text3,6,2,Ergebnis,Ergebnis,PROPN,
text3,6,3,:,:,PUNCT,
text3,6,4,So,so,CCONJ,
text3,6,5,darf,darf,PROPN,
text3,6,6,der,der,PROPN,
text3,6,7,Vorschlag,Vorschlag,PROPN,ORG_B
text3,6,8,nicht,nicht,PROPN,
text3,6,9,in,in,ADP,
text3,6,10,Kraft,Kraft,PROPN,ORG_B
text3,6,11,treten,treten,VERB,
text3,6,12,.,.,PUNCT,
text5,1,1,Eigentlich,Eigentlich,PROPN,
text5,1,2,soll,soll,NOUN,
text5,1,3,der,der,NOUN,
text5,1,4,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,PERSON_B
text5,1,5,Kinder,Kinder,PROPN,PERSON_I
text5,1,6,schützen,schützen,NOUN,
text5,1,7,und,und,NOUN,
text5,1,8,Darstellungen,Darstellungen,PROPN,ORG_B
text5,1,9,sexualisierter,sexualisierter,NOUN,
text5,1,10,Gewalt,Gewalt,PROPN,PERSON_B
text5,1,11,i,I,PRON,
text5,1,12,m,m,VERB,
text5,1,13,Netz,Netz,PROPN,PERSON_B
text5,1,14,bekämpfen,bekämpfen,NOUN,
text5,1,15,.,.,PUNCT,
text5,2,1,Dafür,Dafür,PROPN,PERSON_B
text5,2,2,will,will,AUX,
text5,2,3,die,die,VERB,
text5,2,4,Kommission,Kommission,PROPN,ORG_B
text5,2,5,in,in,ADP,
text5,2,6,Kauf,Kauf,PROPN,ORG_B
text5,2,7,nehmen,nehman,NOUN,
text5,2,8,",",",",PUNCT,
text5,2,9,dass,dass,NOUN,
text5,2,10,die,die,VERB,
text5,2,11,private,private,ADJ,
text5,2,12,Kommunikation,Kommunikation,PROPN,PERSON_B
text5,2,13,von,von,PROPN,PERSON_I
text5,2,14,uns,un,VERB,PERSON_I
text5,2,15,allen,allen,ADJ,PERSON_B
text5,2,16,gescannt,gescannt,PROPN,PERSON_I
text5,2,17,wird,wird,PROPN,
text5,2,18,und,und,PROPN,
text5,2,19,potenziell,potenziell,PROPN,
