doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Gestern,gestern,ADJ,ORG_B
text1,1,2,hat,hat,NOUN,
text1,1,3,das,das,PROPN,ORG_B
text1,1,4,Europäische,Europäische,PROPN,ORG_I
text1,1,5,Parlament,Parlament,PROPN,ORG_I
text1,1,6,Ursula,Ursula,PROPN,PERSON_B
text1,1,7,von,von,PROPN,PERSON_I
text1,1,8,der,der,NOUN,PERSON_I
text1,1,9,Leyen,Leyen,PROPN,GPE_B
text1,1,10,wiedergewählt,wiedergewählt,NOUN,
text1,1,11,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,ORG_B
text1,2,2,wird,wird,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,EU,EU,PROPN,ORG_B
text1,2,5,-,-,PROPN,ORG_I
text1,2,6,Kommission,Kommission,PROPN,ORG_I
text1,2,7,weitere,weitere,INTJ,
text1,2,8,fünf,fünf,ADP,
text1,2,9,Jahre,Jahre,PROPN,NORP_B
text1,2,10,als,al,NOUN,
text1,2,11,Präsidentin,Präsidentin,PROPN,PERSON_B
text1,2,12,leiten,leiten,ADJ,
text1,2,13,–,–,PUNCT,
text1,2,14,und,und,VERB,
text1,2,15,in,in,ADP,
text1,2,16,dieser,dieser,NOUN,
text1,2,17,Zeit,Zeit,PROPN,GPE_B
text1,2,18,wahrscheinlich,wahrscheinlich,NOUN,
text1,2,19,weiter,weiter,NOUN,
text1,2,20,die,die,VERB,
text1,2,21,mächtigste,mächtigste,NOUN,
text1,2,22,Frau,Frau,PROPN,
text1,2,23,der,der,NOUN,
text1,2,24,Welt,Welt,PROPN,
text1,2,25,bleiben,bleiben,NOUN,
text1,2,26,.,.,PUNCT,
text3,1,1,Für,Für,PROPN,
text3,1,2,sie,sie,PROPN,
text3,1,3,gestimmt,gestimmt,PROPN,
text3,1,4,haben,haben,PROPN,
text3,1,5,große,große,NOUN,
text3,1,6,Teile,Teile,PROPN,
text3,1,7,ihrer,ihrer,NOUN,
text3,1,8,eigenen,eigenen,PROPN,
text3,1,9,Partei,Partei,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,der,der,PROPN,
text3,1,12,Europäischen,Europäischen,PROPN,PERSON_B
text3,1,13,Volkspartei,Volkspartei,PROPN,PERSON_I
text3,1,14,(,(,PUNCT,
text3,1,15,EVP,EVP,PROPN,ORG_B
text3,1,16,),),PUNCT,
text3,1,17,.,.,PUNCT,
text3,2,1,Aber,Aber,PROPN,
text3,2,2,auch,auch,NOUN,
text3,2,3,viele,viele,PROPN,
text3,2,4,Sozialdemokraten,Sozialdemokraten,PROPN,NORP_B
text3,2,5,",",",",PUNCT,
text3,2,6,Liberale,Liberale,PROPN,ORG_B
text3,2,7,und,und,PROPN,ORG_I
text3,2,8,Grüne,Grüne,PROPN,GPE_B
text3,2,9,.,.,PUNCT,
text3,3,1,Zumindest,zumind,ADJ,
text3,3,2,sagen,sagen,NOUN,
text3,3,3,die,die,VERB,
text3,3,4,Abgeordneten,Abgeordneten,PROPN,PERSON_B
text3,3,5,das,das,PROPN,PERSON_I
text3,3,6,jetzt,jetzt,NOUN,PERSON_I
text3,3,7,",",",",PUNCT,
text3,3,8,denn,denn,NOUN,
text3,3,9,die,die,VERB,
text3,3,10,Abstimmung,abstimmung,ADJ,
text3,3,11,war,war,NOUN,
text3,3,12,geheim,geheim,NOUN,
text3,3,13,.,.,PUNCT,
text3,4,1,Eine,eine,NOUN,
text3,4,2,andere,andere,NOUN,
text3,4,3,Kandidatin,Kandidatin,PROPN,PERSON_B
text3,4,4,gab,gab,VERB,
text3,4,5,es,es,DET,
text3,4,6,nicht,nicht,NOUN,
text3,4,7,:,:,PUNCT,
text3,5,1,I,I,PRON,
text3,5,2,m,m,VERB,
text3,5,3,aktuellen,aktuellen,ADJ,
text3,5,4,EU,EU,PROPN,ORG_B
text3,5,5,-,-,PUNCT,
text3,5,6,System,System,PROPN,
text3,5,7,schlagen,schlagen,NOUN,
text3,5,8,die,die,VERB,
text3,5,9,Regierungschefs,Regierungschefs,PROPN,PERSON_B
text3,5,10,eine,eine,NOUN,
text3,5,11,Kandidatin,Kandidatin,PROPN,PERSON_B
text3,5,12,vor,vor,NOUN,
text3,5,13,.,.,PUNCT,
text3,6,1,Das,Das,PROPN,
text3,6,2,Parlament,Parlament,PROPN,
text3,6,3,kann,kann,NOUN,
text3,6,4,dann,dann,NOUN,
text3,6,5,nur,nur,VERB,
text3,6,6,noch,noch,ADV,PERSON_B
text3,6,7,Ja,Ja,PROPN,PERSON_I
text3,6,8,oder,oder,NOUN,
text3,6,9,Nein,Nein,PROPN,PERSON_B
text3,6,10,sagen,sagen,PROPN,
text3,6,11,.,.,PUNCT,
text5,1,1,Um,um,INTJ,
text5,1,2,sich,sich,INTJ,
text5,1,3,die,die,VERB,
text5,1,4,Stimmen,Stimmen,PROPN,PERSON_B
text5,1,5,der,der,NOUN,PERSON_I
text5,1,6,Mitte,Mitte,PROPN,PERSON_I
text5,1,7,-,-,PUNCT,PERSON_I
text5,1,8,Fraktionen,Fraktionen,PROPN,PERSON_I
text5,1,9,zu,zu,NOUN,
text5,1,10,sichern,sichern,NOUN,
text5,1,11,",",",",PUNCT,
text5,1,12,hatte,hatte,PROPN,PERSON_B
text5,1,13,von,von,PROPN,PERSON_I
text5,1,14,der,der,PROPN,
text5,1,15,Leyen,Leyen,PROPN,GPE_B
text5,1,16,in,in,ADP,
text5,1,17,den,den,NOUN,
text5,1,18,Wochen,Wochen,PROPN,GPE_B
text5,1,19,vor,vor,NOUN,
text5,1,20,der,der,NOUN,
text5,1,21,Wahl,Wahl,PROPN,
text5,1,22,intensiv,intensiv,NOUN,PERSON_B
text5,1,23,verhandelt,verhandelt,PROPN,PERSON_I
text5,1,24,.,.,PUNCT,
text5,2,1,EVP,EVP,PROPN,ORG_B
text5,2,2,",",",",PUNCT,
text5,2,3,Sozialdemokraten,Sozialdemokraten,PROPN,PERSON_B
text5,2,4,und,und,ADJ,
text5,2,5,Liberale,Liberale,PROPN,ORG_B
text5,2,6,hatten,hatten,VERB,
text5,2,7,zwar,zwar,NOUN,
text5,2,8,rechnerisch,rechnerisch,NOUN,
text5,2,9,genug,genug,VERB,
text5,2,10,Stimmen,Stimmen,PROPN,
text5,2,11,–,–,PUNCT,
text5,2,12,es,es,VERB,
text5,2,13,war,war,NOUN,
text5,2,14,aber,aber,PROPN,
text5,2,15,klar,klar,PROPN,
text5,2,16,",",",",PUNCT,
text5,2,17,dass,dass,NOUN,
text5,2,18,manche,manche,NOUN,
text5,2,19,Abgeordnete,Abgeordnete,PROPN,ORG_B
text5,2,20,aus,aus,PROPN,ORG_I
text5,2,21,diesen,diesen,NOUN,
text5,2,22,Fraktionen,Fraktionen,PROPN,GPE_B
text5,2,23,ausscheren,ausscheren,PROPN,
text5,2,24,würden,würden,PROPN,GPE_B
text5,2,25,.,.,PUNCT,
text5,3,1,Die,die,AUX,
text5,3,2,Sozialdemokraten,sozialdemokraten,ADJ,
text5,3,3,hatten,hatten,ADJ,
text5,3,4,außerdem,außerdem,PROPN,
