doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Auch,auch,ADJ,
text1,1,2,wenn,wenn,NOUN,
text1,1,3,sich,sich,PRON,
text1,1,4,die,die,VERB,
text1,1,5,Abstimmung,Abstimmung,PROPN,ORG_B
text1,1,6,i,I,PRON,
text1,1,7,m,m,VERB,
text1,1,8,Rat,Rat,PROPN,
text1,1,9,verzögert,verzögert,PROPN,
text1,1,10,",",",",PUNCT,
text1,1,11,arbeitet,arbeitet,NOUN,
text1,1,12,die,die,VERB,
text1,1,13,EU,EU,PROPN,ORG_B
text1,1,14,weiter,weiter,NOUN,
text1,1,15,an,an,DET,
text1,1,16,einer,einer,NOUN,
text1,1,17,sogenannten,sogenannten,VERB,
text1,1,18,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,19,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Vorschlag,Vorschlag,PROPN,PERSON_I
text1,2,3,für,für,NOUN,
text1,2,4,eine,eine,NOUN,
text1,2,5,„,„,PUNCT,
text1,2,6,Verordnung,Verordnung,PROPN,WORK_OF_ART_B
text1,2,7,zur,zur,PROPN,WORK_OF_ART_I
text1,2,8,Prävention,Prävention,PROPN,WORK_OF_ART_I
text1,2,9,und,und,PROPN,WORK_OF_ART_I
text1,2,10,Bekämpfung,Bekämpfung,PROPN,WORK_OF_ART_I
text1,2,11,des,des,X,WORK_OF_ART_I
text1,2,12,sexuellen,sexuellen,NOUN,WORK_OF_ART_I
text1,3,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,3,2,von,von,PROPN,PERSON_I
text1,3,3,Kindern,Kindern,PROPN,PERSON_I
text1,3,4,“,"""",PUNCT,
text1,3,5,enthält,enthält,NOUN,
text1,3,6,die,die,VERB,
text1,3,7,Pflicht,Pflicht,PROPN,
text1,3,8,für,für,NOUN,
text1,3,9,Anbieter,Anbieter,PROPN,PERSON_B
text1,3,10,",",",",PUNCT,
text1,3,11,auf,auf,PROPN,
text1,3,12,Anordnung,Anordnung,PROPN,PERSON_B
text1,3,13,private,private,ADJ,
text1,3,14,Daten,Daten,PROPN,PERSON_B
text1,3,15,ihrer,ihrer,NOUN,
text1,3,16,Nutzenden,Nutzenden,PROPN,
text1,3,17,zu,zu,NOUN,
text1,3,18,scannen,scannen,NOUN,
text1,3,19,.,.,PUNCT,
text1,4,1,So,so,ADV,
text1,4,2,sollen,sollen,PROPN,
text1,4,3,sie,sie,PROPN,
text1,4,4,nach,nach,VERB,
text1,4,5,Hinweisen,Hinweisen,PROPN,PERSON_B
text1,4,6,auf,auf,PROPN,
text1,4,7,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text1,4,8,und,und,PROPN,
text1,4,9,Grooming,Grooming,PROPN,PERSON_B
text1,4,10,suchen,suchen,PROPN,
text1,4,11,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Vorschlag,Vorschlag,PROPN,PERSON_I
text3,1,3,ist,ist,VERB,
text3,1,4,höchst,höchst,PROPN,
text3,1,5,umstritten,umstritten,PROPN,
text3,1,6,",",",",PUNCT,
text3,1,7,er,er,INTJ,
text3,1,8,wird,wird,NOUN,
text3,1,9,etwa,etwa,VERB,
text3,1,10,von,von,PROPN,PERSON_B
text3,1,11,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_I
text3,1,12,",",",",PUNCT,
text3,1,13,Rechtsexpertinnen,Rechtsexpertinnen,PROPN,ORG_B
text3,1,14,oder,oder,NOUN,
text3,1,15,Datenschutzbeauftragten,Datenschutzbeauftragten,PROPN,PERSON_B
text3,1,16,scharf,scharf,NOUN,
text3,1,17,kritisiert,kritisiert,NOUN,
text3,1,18,.,.,PUNCT,
text3,2,1,Auf,auf,DET,
text3,2,2,der,der,ADJ,
text3,2,3,anderen,anderen,NOUN,
text3,2,4,Seite,Seite,PROPN,ORG_B
text3,2,5,steht,steht,NOUN,
text3,2,6,eine,eine,NOUN,
text3,2,7,große,große,NOUN,
text3,2,8,Lobby,Lobby,PROPN,PERSON_B
text3,2,9,selbsternannter,selbsternannter,NOUN,
text3,2,10,Kinderschützer,Kinderschützer,PROPN,PERSON_B
text3,2,11,.,.,PUNCT,
text3,3,1,Es,Es,PROPN,
text3,3,2,ist,ist,ADJ,
text3,3,3,wichtig,wichtig,PROPN,
text3,3,4,",",",",PUNCT,
text3,3,5,sich,sich,SCONJ,
text3,3,6,deren,deren,PROPN,
text3,3,7,Vorgehen,Vorgehen,PROPN,
text3,3,8,genau,genau,PROPN,
text3,3,9,anzusehen,anzusehen,ADV,
text3,3,10,.,.,PUNCT,
text3,4,1,Inzwischen,Inzwischen,PROPN,
text3,4,2,sind,sind,NOUN,
text3,4,3,dank,dank,PROPN,
text3,4,4,der,der,PROPN,
text3,4,5,Recherchen,Recherchen,PROPN,PERSON_B
text3,4,6,des,des,PROPN,
text3,4,7,investigativen,investigativen,ADP,
text3,4,8,Journalistenteams,Journalistenteams,PROPN,ORG_B
text3,4,9,um,um,INTJ,ORG_I
text3,4,10,Giacomo,Giacomo,PROPN,ORG_I
text3,4,11,Zandonini,Zandonini,PROPN,ORG_I
text3,4,12,und,und,NOUN,
text3,4,13,anderer,anderer,NOUN,
text3,4,14,zahlreiche,zahlreiche,PROPN,
text3,4,15,höchst,höchst,PROPN,
text3,4,16,beunruhigende,beunruhigende,PROPN,
text3,4,17,Fakten,Fakten,PROPN,
text3,4,18,veröffentlicht,veröffentlicht,PROPN,
text3,4,19,worden,worden,NOUN,
text3,4,20,",",",",PUNCT,
text3,4,21,wer,wer,VERB,
text3,4,22,an,an,DET,
text3,4,23,einer,einer,NOUN,
text3,4,24,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text3,4,25,verdienen,verdienen,PROPN,
text3,4,26,würde,würde,PROPN,
text3,4,27,und,und,PROPN,
text3,4,28,wie,wie,PROPN,
text3,4,29,Lobbyorganisationen,Lobbyorganisationen,PROPN,ORG_B
text3,4,30,und,und,PROPN,
text3,4,31,EU,EU,PROPN,ORG_B
text3,4,32,-,-,PUNCT,
text3,4,33,Gremien,Gremien,PROPN,
text3,4,34,verstrickt,verstrickt,NOUN,
text3,4,35,sind,sind,NOUN,
text3,4,36,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Betroffene,betroffene,NOUN,PERSON_B
text5,1,4,ein-,ein-,AUX,
text5,1,5,und,und,VERB,
text5,1,6,wieder,wieder,NOUN,
text5,1,7,ausgeladen,ausgeladen,PROPN,
text7,1,1,Wie,wie,NOUN,PERSON_B
text7,1,2,fragwürdig,fragwürdig,NOUN,
text7,1,3,",",",",PUNCT,
text7,1,4,ja,ja,INTJ,
text7,2,1,i,I,PRON,
text7,2,2,m,m,VERB,
text7,2,3,Grunde,Grunde,PROPN,PERSON_B
text7,2,4,undemokratisch,undemokratisch,VERB,
text7,2,5,",",",",PUNCT,
text7,2,6,manche,manche,NOUN,
text7,2,7,Befürworter,Befürworter,PROPN,ORG_B
text7,2,8,des,des,X,ORG_I
text7,2,9,EU,EU,PROPN,ORG_I
text7,2,10,-,-,PUNCT,ORG_I
text7,2,11,Gesetzesvorschlags,Gesetzesvorschlags,PROPN,ORG_I
text7,2,12,vorgehen,vorgehen,NOUN,
text7,2,13,",",",",PUNCT,
text7,2,14,zeigt,zeigt,PROPN,PERSON_B
text7,2,15,auch,auch,PROPN,PERSON_I
text7,2,16,die,die,VERB,PERSON_I
text7,2,17,folgende,folgende,ADJ,
text7,2,18,Begebenheit,Begebenheit,PROPN,ORG_B
text7,2,19,:,:,PUNCT,
text9,1,1,Am,be,AUX,
text9,1,2,13,13,NUM,CARDINAL_B
text9,1,3,.,.,PUNCT,
text9,2,1,April,April,PROPN,DATE_B
text9,2,2,2023,2023,NUM,DATE_I
text9,2,3,erhielt,erhielt,PROPN,
text9,2,4,MOGiS,mogis,ADJ,
text9,2,5,eine,eine,NOUN,
text9,2,6,Einladung,Einladung,PROPN,PERSON_B
text9,2,7,zu,zu,PROPN,PERSON_I
text9,2,8,einem,einem,PROPN,PERSON_I
text9,2,9,Parlamentarischen,Parlamentarischen,PROPN,ORG_B
text9,2,10,Abend,Abend,PROPN,ORG_I
text9,2,11,des,des,PROPN,
text9,2,12,Deutschen,Deutschen,PROPN,PERSON_B
text9,2,13,Bundestages,bundestage,NOUN,PERSON_I
text9,2,14,am,be,AUX,
text9,2,15,10,10,NUM,
text9,2,16,.,.,PUNCT,
text9,3,1,Mai,Mai,PROPN,
text9,3,2,2023,2023,NUM,
text9,3,3,zum,zum,NOUN,
text9,3,4,Thema,Thema,PROPN,
text9,3,5,„,„,PROPN,
text9,3,6,Sexualisierte,Sexualisierte,PROPN,
text9,3,7,Gewalt,Gewalt,PROPN,PERSON_B
text9,3,8,gegen,gegen,NOUN,
text9,3,9,Kinder,Kinder,PROPN,PERSON_B
text9,3,10,beenden,beenden,PROPN,
text9,3,11,–,–,PUNCT,
text9,3,12,Hilfe,Hilfe,PROPN,
text9,3,13,und,und,VERB,
text9,4,1,Gerechtigkeit,Gerechtigkeit,PROPN,
text9,4,2,für,für,ADV,
text9,4,3,die,die,VERB,
text9,4,4,Opfer,Opfer,PROPN,PERSON_B
text9,4,5,!,!,PUNCT,
text9,4,6,“,"""",PUNCT,
text9,4,7,.,.,PUNCT,
text9,5,1,Der,Der,PROPN,PERSON_B
text9,5,2,Verein,Verein,PROPN,PERSON_I
text9,5,3,MOGiS,MOGiS,PROPN,
text9,5,4,wurde,wurde,PROPN,ORG_B
text9,6,1,i,I,PRON,
text9,6,2,m,m,VERB,
text9,6,3,April,April,PROPN,DATE_B
text9,6,4,2009,2009,NUM,DATE_I
text9,6,5,als,al,NOUN,
text9,7,1,Stimme,Stimme,PROPN,PERSON_B
text9,7,2,für,für,NOUN,
text9,8,1,Betroffene,Betroffene,PROPN,GPE_B
text9,8,2,gegründet,gegründet,NOUN,
text9,8,3,und,und,VERB,
text9,8,4,steht,steht,NOUN,
text9,8,5,für,für,NOUN,
text9,8,6,„,„,PUNCT,
text9,8,7,Missbrauchsopfer,Missbrauchsopfer,PROPN,
text9,8,8,gegen,gegen,NOUN,
text9,8,9,Internetsperren,Internetsperren,PROPN,
text9,8,10,“,"""",PUNCT,
text9,8,11,.,.,PUNCT,
text9,9,1,Auslöser,auslöser,ADJ,
text9,9,2,war,war,NOUN,
text9,9,3,der,der,NOUN,
text9,9,4,Versuch,Versuch,PROPN,
text9,9,5,der,der,NOUN,
text9,9,6,damaligen,damaligen,NOUN,
text9,9,7,Bundesfamilienministerin,Bundesfamilienministerin,PROPN,PERSON_B
text9,9,8,Ursula,Ursula,PROPN,PERSON_I
text9,9,9,von,von,PROPN,PERSON_I
text9,9,10,der,der,PROPN,PERSON_I
text9,9,11,Leyen,Leyen,PROPN,GPE_B
text9,9,12,",",",",PUNCT,
text9,9,13,eine,eine,NOUN,
text9,9,14,grundrechtswidrige,grundrechtswidrige,PROPN,PERSON_B
text9,9,15,Zensurtechnik,Zensurtechnik,PROPN,PERSON_I
