doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Hintertüren,Hintertüren,PROPN,PERSON_B
text1,1,2,in,in,ADP,
text1,1,3,Messengern,Messengern,PROPN,GPE_B
text1,1,4,und,und,ADJ,
text1,1,5,Speichern,speichern,ADJ,ORG_B
text1,1,6,abgefangener,abgefangener,NOUN,
text1,1,7,Inhalte,Inhalte,PROPN,NORP_B
text1,1,8,auf,auf,PROPN,
text1,1,9,Vorrat,Vorrat,PROPN,ORG_B
text1,1,10,:,:,PUNCT,
text1,1,11,Beidem,Beidem,PROPN,ORG_B
text1,1,12,schiebt,schiebt,NOUN,
text1,1,13,der,der,PROPN,
text1,1,14,Europäische,Europäische,PROPN,PERSON_B
text1,1,15,Gerichtshof,Gerichtshof,PROPN,PERSON_I
text1,1,16,für,für,PROPN,
text1,1,17,Menschenrechte,Menschenrechte,PROPN,PERSON_B
text1,1,18,(,(,PUNCT,
text1,1,19,EGMR,EGMR,PROPN,
text1,1,20,),),PUNCT,
text1,1,21,einen,einen,NOUN,
text1,1,22,Riegel,Riegel,PROPN,PERSON_B
text1,1,23,vor,vor,NOUN,
text1,1,24,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,einem,einem,PROPN,
text1,2,3,Urteil,Urteil,PROPN,ORG_B
text1,2,4,vom,vom,NOUN,
text1,2,5,13,13,NUM,CARDINAL_B
text1,2,6,.,.,PUNCT,
text1,3,1,Februar,Februar,PROPN,
text1,3,2,entschied,entschie,VERB,
text1,3,3,der,der,PROPN,
text1,3,4,Gerichtshof,Gerichtshof,PROPN,GPE_B
text1,3,5,",",",",PUNCT,
text1,3,6,dass,dass,PROPN,
text1,3,7,das,das,PROPN,ORG_B
text1,3,8,massenhafte,massenhafte,NOUN,
text1,3,9,und,und,PROPN,
text1,3,10,anlasslose,anlasslose,ADJ,
text1,3,11,Abfangen,Abfangen,PROPN,PERSON_B
text1,3,12,von,von,PROPN,PERSON_I
text1,3,13,Ende,Ende,PROPN,PERSON_I
text1,3,14,-,-,PUNCT,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,-,-,PUNCT,PERSON_I
text1,3,17,Ende,ende,ADJ,PERSON_I
text1,3,18,-,-,PUNCT,PERSON_I
text1,3,19,verschlüsselter,verschlüsselter,NOUN,PERSON_I
text1,3,20,Kommunikation,Kommunikation,PROPN,ORG_B
text1,3,21,das,das,PROPN,ORG_I
text1,3,22,Grundrecht,Grundrecht,PROPN,ORG_I
text1,3,23,auf,auf,PROPN,
text1,3,24,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,3,25,verletzt,verletzt,PROPN,
text1,3,26,–,–,PUNCT,
text1,3,27,insbesondere,insbesondere,ADV,
text1,3,28,",",",",PUNCT,
text1,3,29,wenn,wenn,PROPN,
text1,3,30,dabei,dabei,NOUN,
text1,3,31,anfallende,anfallende,ADJ,
text1,3,32,Daten,Daten,PROPN,PERSON_B
text1,3,33,nicht,nicht,NOUN,
text1,3,34,ausreichend,ausreichend,NOUN,
text1,3,35,geschützt,geschützt,NOUN,
text1,3,36,sind,sind,NOUN,
text1,3,37,",",",",PUNCT,
text1,3,38,etwa,etwa,NOUN,
text1,3,39,gegen,gegen,NOUN,
text1,3,40,Hacking,Hacking,PROPN,ORG_B
text1,3,41,-,-,PUNCT,ORG_I
text1,3,42,Angriffe,Angriffe,PROPN,ORG_I
text1,3,43,.,.,PUNCT,
text3,1,1,Den,Den,PROPN,ORG_B
text3,1,2,Fall,Fall,PROPN,ORG_I
text3,1,3,hatte,hatte,NOUN,PERSON_B
text3,1,4,der,der,PROPN,PERSON_I
text3,1,5,russische,russische,NOUN,
text3,1,6,Telegram,Telegram,PROPN,PERSON_B
text3,1,7,-,-,PUNCT,PERSON_I
text3,1,8,Nutzer,Nutzer,PROPN,PERSON_I
text3,1,9,Anton,Anton,PROPN,PERSON_I
text3,1,10,Podchasov,Podchasov,PROPN,PERSON_I
text3,1,11,i,I,PRON,
text3,1,12,m,m,VERB,
text3,1,13,Jahr,Jahr,PROPN,PERSON_B
text3,1,14,2018,2018,NUM,PERSON_I
text3,1,15,ins,in,NOUN,
text3,1,16,Rollen,Rollen,PROPN,PRODUCT_B
text3,1,17,gebracht,gebracht,NOUN,
text3,1,18,",",",",PUNCT,
text3,1,19,unter,unter,NOUN,PERSON_B
text3,1,20,anderem,anderem,NOUN,PERSON_I
text3,1,21,mit,mit,NOUN,PERSON_I
text3,1,22,Unterstützung,unterstützung,ADJ,PERSON_I
text3,1,23,der,der,NOUN,PERSON_I
text3,1,24,in,in,ADP,
text3,1,25,London,London,PROPN,GPE_B
text3,1,26,sitzenden,sitzenden,NOUN,
text3,1,27,Menschenrechtsorganisation,Menschenrechtsorganisation,PROPN,ORG_B
text3,1,28,Privacy,Privacy,PROPN,ORG_I
text3,1,29,International,International,PROPN,ORG_I
text3,1,30,.,.,PUNCT,
text3,2,1,Podchasov,Podchasov,PROPN,
text3,2,2,wehrte,wehrte,NOUN,
text3,2,3,sich,sich,PROPN,
text3,2,4,gegen,gegen,PROPN,
text3,2,5,ein,ein,PROPN,
text3,2,6,umfassendes,umfassende,VERB,
text3,2,7,Überwachungsgesetz,Überwachungsgesetz,PROPN,PERSON_B
text3,2,8,",",",",PUNCT,
text3,2,9,das,das,PROPN,ORG_B
text3,2,10,vom,vom,PROPN,ORG_I
text3,2,11,russischen,russischen,PROPN,ORG_I
text3,2,12,Parlament,Parlament,PROPN,ORG_I
text3,2,13,zwei,zwei,PROPN,
text3,2,14,Jahre,Jahre,PROPN,
text3,2,15,zuvor,zuvor,NOUN,
text3,2,16,beschlossen,beschlossen,PROPN,
text3,2,17,wurde,wurde,PROPN,
text3,2,18,.,.,PUNCT,
text5,1,1,Vordergründig,Vordergründig,PROPN,
text5,1,2,soll,soll,NOUN,
text5,1,3,es,es,PROPN,
text5,1,4,dem,dem,PROPN,ORG_B
text5,1,5,Kampf,Kampf,PROPN,ORG_I
text5,1,6,gegen,gegen,NOUN,
text5,1,7,Terrorismus,Terrorismus,PROPN,PERSON_B
text5,1,8,dienen,dienen,PROPN,
text5,1,9,und,und,PROPN,
text5,1,10,verpflichtet,verpflichtet,NOUN,
text5,1,11,unter,unter,NOUN,
text5,1,12,anderem,anderem,NOUN,
text5,1,13,Anbieter,Anbieter,PROPN,PERSON_B
text5,1,14,von,von,PROPN,PERSON_I
text5,1,15,Messengern,Messengern,PROPN,PERSON_I
text5,1,16,wie,wie,NOUN,
text5,1,17,Telegram,Telegram,PROPN,ORG_B
text5,1,18,oder,oder,NOUN,
text5,1,19,Signal,Signal,PROPN,ORG_B
text5,1,20,",",",",PUNCT,
text5,1,21,russischen,russischen,PROPN,
