doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,diese,diese,PROPN,ORG_B
text3,1,2,Woche,Woche,PROPN,ORG_I
text3,1,3,hat,hat,NOUN,
text3,1,4,sich,sich,SCONJ,
text3,1,5,das,das,PROPN,PERSON_B
text3,1,6,Kabinett,Kabinett,PROPN,PERSON_I
text3,1,7,geeinigt,geeinigt,PROPN,
text3,1,8,:,:,PUNCT,
text3,1,9,E‑Sport,e‑sport,X,
text3,1,10,-,-,PUNCT,
text3,1,11,Vereine,vereine,VERB,
text3,1,12,sollen,sollen,NOUN,
text3,1,13,künftig,künftig,PROPN,
text3,1,14,gemeinnützig,gemeinnützig,PROPN,
text3,1,15,sein,sein,PROPN,
text3,1,16,dürfen,dürfen,PROPN,
text3,1,17,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,ist,ist,ADJ,
text3,2,3,eine,eine,NOUN,
text3,2,4,gute,gute,NOUN,
text3,2,5,Nachricht,Nachricht,PROPN,PERSON_B
text3,2,6,und,und,VERB,
text3,2,7,längst,längst,PROPN,
text3,2,8,überfällig,überfällig,PROPN,
text3,2,9,.,.,PUNCT,
text3,3,1,Ebenso,Ebenso,PROPN,
text3,3,2,überfällig,überfällig,PROPN,
text3,3,3,ist,ist,VERB,
text3,3,4,es,es,PROPN,
text3,3,5,",",",",PUNCT,
text3,3,6,dass,dass,NOUN,
text3,3,7,auch,auch,NOUN,
text3,3,8,Journalismus,Journalismus,PROPN,ORG_B
text3,3,9,endlich,endlich,NOUN,
text3,3,10,als,als,PROPN,
text3,3,11,gemeinnützig,gemeinnützig,PROPN,
text3,3,12,anerkannt,anerkannt,PROPN,
text3,3,13,wird,wird,PROPN,
text3,3,14,.,.,PUNCT,
text3,4,1,Doch,Doch,PROPN,PERSON_B
text3,4,2,dazu,dazu,NOUN,
text3,4,3,ist,ist,AUX,
text3,4,4,es,es,PROPN,
text3,4,5,bislang,bislang,PROPN,PERSON_B
text3,4,6,nicht,nicht,PROPN,PERSON_I
text3,4,7,gekommen,gekommen,VERB,
text3,4,8,.,.,PUNCT,
text3,5,1,Dabei,Dabei,NOUN,
text3,5,2,sind,sind,NOUN,
text3,5,3,die,die,VERB,
text3,5,4,Unterschiede,Unterschiede,PROPN,NORP_B
text3,5,5,zum,zum,NOUN,PERSON_B
text3,5,6,E‑Sport,E‑Sport,PROPN,PERSON_I
text3,5,7,doch,doch,PROPN,PERSON_I
text3,5,8,minimal,minimal,PROPN,PERSON_I
text3,5,9,.,.,PUNCT,
text5,1,1,Regelmäßig,Regelmäßig,NOUN,
text5,1,2,legen,legen,NOUN,
text5,1,3,wir,wir,NOUN,
text5,1,4,Speedruns,Speedruns,PROPN,PRODUCT_B
text5,1,5,hin,hin,VERB,
text5,1,6,",",",",PUNCT,
text5,1,7,um,um,INTJ,
text5,1,8,frische,frische,X,
text5,1,9,Gesetzentwürfe,Gesetzentwürfe,PROPN,PERSON_B
text5,1,10,einzuordnen,einzuordnen,NOUN,
text5,1,11,.,.,PUNCT,
text5,2,1,Unsere,Unsere,PROPN,
text5,2,2,inzwischen,inzwischen,VERB,
text5,2,3,mehr,mehr,NOUN,
text5,2,4,als,al,NOUN,
text5,2,5,400,400,NUM,CARDINAL_B
text5,2,6,Artikel,Artikel,PROPN,
text5,2,7,zur,zur,NOUN,
text5,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,9,sind,sind,VERB,
text5,2,10,nichts,nicht,NOUN,
text5,2,11,anderes,andere,NOUN,
text5,2,12,als,al,NOUN,
text5,2,13,übles,üble,VERB,
text5,2,14,Grinding,grind,VERB,
text5,2,15,.,.,PUNCT,
text5,3,1,Pressestellen,pressestellen,ADJ,
text5,3,2,verhalten,verhalten,VERB,
text5,3,3,sich,sich,ADJ,
text5,3,4,wie,wie,NOUN,
text5,3,5,NPCs,NPCs,PROPN,
text5,3,6,",",",",PUNCT,
text5,3,7,wenn,wenn,PROPN,
text5,3,8,sie,sie,PROPN,
text5,3,9,uns,uns,AUX,
text5,3,10,mit,mit,VERB,
text5,3,11,den,den,NOUN,
text5,3,12,immer,immer,NOUN,
text5,3,13,gleichen,gleichen,NOUN,
text5,3,14,Floskeln,Floskeln,PROPN,
text5,3,15,abwimmeln,abwimmeln,ADJ,
text5,3,16,wollen,wollen,NOUN,
text5,3,17,.,.,PUNCT,
text5,4,1,Und,und,NOUN,
text5,4,2,sobald,sobald,NOUN,
text5,4,3,eine,eine,NOUN,
text5,4,4,neue,neue,NOUN,
text5,4,5,Regierung,Regierung,PROPN,GPE_B
text5,4,6,ihren,ihren,PROPN,
