doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Vor,Vor,PROPN,
text1,1,2,einer,einer,NOUN,
text1,1,3,Aushöhlung,Aushöhlung,PROPN,PERSON_B
text1,1,4,der,der,PROPN,PERSON_I
text1,1,5,EU,EU,PROPN,GPE_B
text1,1,6,-,-,PUNCT,
text1,1,7,Grundrechtecharta,Grundrechtecharta,PROPN,
text1,1,8,warnt,warnt,ADJ,
text1,1,9,der,der,NOUN,
text1,1,10,Europäische,Europäische,PROPN,ORG_B
text1,1,11,Datenschutzausschuss,Datenschutzausschuss,PROPN,ORG_I
text1,1,12,(,(,PUNCT,
text1,1,13,EDPB,EDPB,PROPN,
text1,1,14,),),PUNCT,
text1,1,15,.,.,PUNCT,
text1,2,1,Insbesondere,insbesondere,ADV,
text1,2,2,die,die,VERB,
text1,2,3,Grundrechte,Grundrechte,PROPN,PERSON_B
text1,2,4,auf,auf,PROPN,
text1,2,5,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,2,6,und,und,VERB,
text1,2,7,Datenschutz,Datenschutz,PROPN,PERSON_B
text1,2,8,dürften,dürften,ADJ,
text1,2,9,beim,beim,NOUN,
text1,2,10,Kampf,Kampf,PROPN,
text1,2,11,gegen,gegen,NOUN,
text1,2,12,Kriminalität,Kriminalität,PROPN,
text1,2,13,nicht,nicht,PROPN,
text1,2,14,unter,unter,NOUN,
text1,2,15,die,die,VERB,
text1,2,16,Räder,Räder,PROPN,PERSON_B
text1,2,17,geraten,geraten,PROPN,
text1,2,18,",",",",PUNCT,
text1,2,19,fordert,fordert,PROPN,
text1,2,20,das,das,PROPN,ORG_B
text1,2,21,Gremium,Gremium,PROPN,ORG_I
text1,2,22,europäischer,europäischer,NOUN,
text1,2,23,Datenschutzbehörden,Datenschutzbehörden,PROPN,ORG_B
text1,2,24,in,in,ADP,
text1,2,25,einer,einer,NOUN,
text1,2,26,Stellungnahme,Stellungnahme,PROPN,ORG_B
text1,2,27,.,.,PUNCT,
text3,1,1,Gerichtet,Gerichtet,PROPN,
