doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,EU,EU,PROPN,ORG_B
text1,1,2,-,-,PUNCT,ORG_I
text1,1,3,Parlament,Parlament,PROPN,ORG_I
text1,1,4,",",",",PUNCT,
text1,1,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text1,1,6,und,und,PROPN,
text1,1,7,Kommission,Kommission,PROPN,ORG_B
text1,1,8,haben,haben,NOUN,
text1,1,9,sich,sich,PROPN,
text1,1,10,auf,auf,PROPN,
text1,1,11,eine,eine,NOUN,
text1,1,12,Version,Version,PROPN,PRODUCT_B
text1,1,13,der,der,NOUN,PRODUCT_I
text1,1,14,„,„,PUNCT,PRODUCT_I
text1,1,15,Erklärung,Erklärung,PROPN,PRODUCT_I
text1,1,16,zu,zu,X,
text1,1,17,den,den,NOUN,
text1,1,18,digitalen,digitalen,NOUN,
text1,1,19,Rechten,Rechten,PROPN,
text1,1,20,und,und,PROPN,
text1,1,21,Grundsätzen,Grundsätzen,PROPN,PRODUCT_B
text1,1,22,für,für,NOUN,
text1,1,23,die,die,VERB,
text1,1,24,digitale,digitale,ADJ,
text1,1,25,Dekade,Dekade,PROPN,GPE_B
text1,1,26,“,"""",PUNCT,
text1,1,27,geeinigt,geeinigt,NOUN,
text1,1,28,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,Erklärung,Erklärung,PROPN,ORG_I
text1,2,3,soll,soll,PROPN,
text1,2,4,als,al,NOUN,
text1,2,5,symbolischer,symbolischer,NOUN,
text1,2,6,Leitfaden,Leitfaden,PROPN,GPE_B
text1,2,7,für,für,NOUN,
text1,2,8,zukünftige,zukünftige,PROPN,PERSON_B
text1,2,9,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text1,2,10,und,und,PROPN,
text1,2,11,Gesetzgebungsprozesse,Gesetzgebungsprozesse,PROPN,ORG_B
text1,2,12,dienen,dienen,NOUN,
text1,2,13,–,–,PUNCT,
text1,2,14,mehr,mehr,NOUN,
text1,2,15,aber,aber,PROPN,
text1,2,16,auch,auch,ADJ,
text1,2,17,nicht,nicht,NOUN,
text1,2,18,.,.,PUNCT,
text1,3,1,Einen,einen,NOUN,
text1,3,2,ersten,ersten,ADJ,
text1,3,3,Entwurf,Entwurf,PROPN,
text1,3,4,der,der,NOUN,
text1,3,5,Erklärung,Erklärung,PROPN,
text1,3,6,(,(,PUNCT,
text1,3,7,PDF,PDF,PROPN,ORG_B
text1,3,8,),),PUNCT,
text1,3,9,stellte,stellte,PROPN,
text1,3,10,die,die,VERB,
text1,3,11,Europäische,Europäische,PROPN,ORG_B
text1,3,12,Kommission,Kommission,PROPN,ORG_I
text1,3,13,bereits,bereit,VERB,
text1,3,14,i,I,PRON,
text1,3,15,m,m,VERB,
text1,3,16,Januar,januar,ADJ,PERSON_B
text1,3,17,vor,vor,NOUN,
text1,3,18,",",",",PUNCT,
text1,3,19,wir,wir,NOUN,
text1,3,20,veröffentlichen,veröffentlichen,PROPN,
text1,3,21,nun,nun,NOUN,
text1,3,22,die,die,VERB,
text1,3,23,neueste,neueste,PROPN,
text1,3,24,Version,Version,PROPN,GPE_B
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Volltext,Volltext,PROPN,PERSON_B
text1,4,4,.,.,PUNCT,
text3,1,1,Den,Den,PROPN,
text3,1,2,Auftakt,Auftakt,PROPN,
text3,1,3,zur,zur,NOUN,
text3,1,4,Erklärung,Erklärung,PROPN,
text3,1,5,gab,gab,NOUN,
text3,1,6,der,der,PROPN,
text3,1,7,Aufruf,Aufruf,PROPN,PERSON_B
text3,1,8,zur,zur,PROPN,PERSON_I
text3,1,9,digitalen,digitalen,NOUN,
text3,1,10,Dekade,Dekade,PROPN,PERSON_B
text3,1,11,von,von,PROPN,PERSON_I
text3,1,12,EU,EU,PROPN,PERSON_I
text3,1,13,-,-,PUNCT,PERSON_I
text3,1,14,Kommissionschefin,Kommissionschefin,PROPN,PERSON_I
text3,1,15,Ursula,Ursula,PROPN,PERSON_I
text3,1,16,von,von,PROPN,PERSON_I
text3,1,17,der,der,NOUN,PERSON_I
text3,1,18,Leyen,Leyen,PROPN,GPE_B
text3,1,19,am,be,AUX,
text3,1,20,1,1,NUM,CARDINAL_B
text3,1,21,.,.,PUNCT,
text3,2,1,Juni,Juni,PROPN,
text3,2,2,2021,2021,NUM,
text3,2,3,.,.,PUNCT,
text3,3,1,In,in,ADP,
text3,3,2,ihrer,ihrer,NOUN,
text3,3,3,Rede,Rede,PROPN,ORG_B
text3,3,4,kündigte,kündigte,PROPN,
text3,3,5,sie,sie,PROPN,
text3,3,6,damals,damal,VERB,
text3,3,7,an,an,PRON,
text3,3,8,",",",",PUNCT,
text3,3,9,die,die,PROPN,
text3,3,10,Kommission,Kommission,PROPN,PERSON_B
text3,3,11,werde,werde,PROPN,PERSON_I
text3,4,1,„,„,PUNCT,
text3,4,2,eine,eine,NOUN,
text3,4,3,Reihe,Reihe,PROPN,PERSON_B
text3,4,4,von,von,PROPN,PERSON_I
text3,4,5,digitalen,digitalen,NOUN,
text3,4,6,Grundsätzen,Grundsätzen,PROPN,PRODUCT_B
text3,4,7,“,"""",PUNCT,
text3,4,8,formulieren,formulieren,NOUN,
text3,4,9,",",",",PUNCT,
text3,4,10,die,die,VERB,
text3,4,11,die,die,NOUN,
text3,4,12,bestehenden,bestehenden,PROPN,
text3,4,13,Rechte,Rechte,PROPN,PERSON_B
text3,4,14,von,von,PROPN,PERSON_I
text3,4,15,EU,EU,PROPN,PERSON_I
text3,4,16,-,-,PUNCT,PERSON_I
text3,4,17,Bürger,Bürger,PROPN,PERSON_I
text3,4,18,:,:,PUNCT,
text3,4,19,innen,innen,NOUN,
text3,4,20,ergänzen,ergänzen,NOUN,
text3,4,21,sollen,sollen,NOUN,
text3,4,22,.,.,PUNCT,
text3,5,1,Es,es,INTJ,
text3,5,2,geht,geht,AUX,
text3,5,3,also,also,ADV,
text3,5,4,nicht,nicht,PROPN,
text3,5,5,darum,darum,VERB,
text3,5,6,neue,neue,NOUN,
text3,5,7,Rechte,Rechte,PROPN,FAC_B
text3,5,8,zu,zu,PROPN,FAC_I
text3,5,9,gewähren,gewähren,PROPN,FAC_I
text3,5,10,",",",",PUNCT,
text3,5,11,wie,wie,NOUN,
text3,5,12,auch,auch,NOUN,
text3,5,13,ein,ein,NOUN,
text3,6,1,Sprecher,Sprecher,PROPN,ORG_B
text3,6,2,der,der,PROPN,ORG_I
text3,6,3,Kommission,Kommission,PROPN,ORG_I
text3,6,4,gegenüber,gegenüber,PROPN,ORG_I
text3,6,5,netzpolitik.org,netzpolitik.org,PROPN,ORG_I
text3,6,6,betont,betont,PROPN,ORG_I
text3,6,7,",",",",PUNCT,
text3,6,8,sondern,sondern,NOUN,
text3,6,9,„,„,PUNCT,
text3,6,10,auf,auf,PROPN,
text3,6,11,bestehende,bestehende,NOUN,
text3,6,12,Gesetze,Gesetze,PROPN,PERSON_B
text3,6,13,und,und,PROPN,
text3,6,14,Prinzipien,Prinzipien,PROPN,
text3,6,15,“,"""",PUNCT,
text3,6,16,zu,zu,ADJ,
text3,6,17,verweisen,verweisen,NOUN,
text3,6,18,–,–,PUNCT,
text3,6,19,die,die,VERB,
text3,6,20,nun,nun,PROPN,
text3,6,21,eben,eben,PROPN,
text3,6,22,auch,auch,NOUN,
text3,7,1,i,I,PRON,
text3,7,2,m,m,VERB,
text3,7,3,Digitalen,digitalen,ADJ,PERSON_B
text3,7,4,gelten,gelten,ADJ,
text3,7,5,sollen,sollen,NOUN,
text3,7,6,.,.,PUNCT,
text5,1,1,Die,die,VERB,PERSON_B
text5,1,2,Forderung,Forderung,PROPN,PERSON_I
text5,1,3,nach,nach,PROPN,
text5,1,4,einem,einem,PROPN,
text5,1,5,Grundrecht,Grundrecht,PROPN,ORG_B
text5,1,6,auf,auf,PROPN,
text5,1,7,digitale,digitale,NOUN,
text5,1,8,Selbstbestimmung,Selbstbestimmung,PROPN,PERSON_B
text5,1,9,",",",",PUNCT,
text5,1,10,welches,welch,VERB,
text5,1,11,zur,zur,PROPN,PERSON_B
text5,1,12,Grundlage,Grundlage,PROPN,PERSON_I
text5,1,13,von,von,PROPN,PERSON_I
text5,1,14,Klagen,Klagen,PROPN,PERSON_I
text5,1,15,werden,werden,PROPN,
text5,1,16,könnte,könnte,PROPN,
text5,1,17,",",",",PUNCT,
text5,1,18,bleibt,bleibt,PROPN,
text5,1,19,damit,damit,PROPN,
text5,1,20,weiterhin,weiterhin,PROPN,
text5,1,21,unbeantwortet,unbeantwortet,PROPN,
text5,1,22,.,.,PUNCT,
text5,2,1,Dennoch,Dennoch,PROPN,
text5,2,2,interessieren,interessieren,NOUN,
text5,2,3,sich,sich,VERB,
text5,2,4,auch,auch,ADJ,
text5,2,5,zivilgesellschaftliche,zivilgesellschaftliche,PROPN,
text5,2,6,Organisationen,Organisationen,PROPN,PERSON_B
text5,2,7,für,für,ADV,
text5,2,8,die,die,VERB,
text5,2,9,Inhalte,Inhalte,PROPN,PERSON_B
text5,2,10,der,der,PROPN,PERSON_I
text5,2,11,Erklärung,Erklärung,PROPN,PERSON_I
text5,2,12,.,.,PUNCT,
text5,3,1,Schließlich,Schließlich,PROPN,PERSON_B
text5,3,2,könnten,könnten,VERB,PERSON_I
