doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ab,Ab,PROPN,
text1,1,2,dem,dem,NOUN,
text1,1,3,1,1,X,
text1,1,4,.,.,PUNCT,
text1,2,1,Juli,Juli,PROPN,PERSON_B
text1,2,2,wird,wird,NOUN,
text1,2,3,das,das,PROPN,PERSON_B
text1,2,4,Bundesamt,Bundesamt,PROPN,PERSON_I
text1,2,5,für,für,NOUN,
text1,2,6,Sicherheit,Sicherheit,PROPN,GPE_B
text1,2,7,in,in,ADP,
text1,2,8,der,der,PROPN,
text1,2,9,Informationstechnik,Informationstechnik,PROPN,PERSON_B
text1,2,10,(,(,PUNCT,
text1,2,11,BSI,BSI,PROPN,ORG_B
text1,2,12,),),PUNCT,
text1,2,13,eine,eine,NOUN,
text1,2,14,neue,neue,NOUN,
text1,2,15,Führung,Führung,PROPN,GPE_B
text1,2,16,haben,haben,NOUN,
text1,2,17,:,:,PUNCT,
text1,2,18,Claudia,Claudia,PROPN,PERSON_B
text1,2,19,Plattner,Plattner,PROPN,PERSON_I
text1,2,20,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Mathematikerin,Mathematikerin,PROPN,
text1,3,3,war,war,NOUN,
text1,3,4,bisher,bisher,PROPN,
text1,3,5,Generaldirektorin,Generaldirektorin,PROPN,GPE_B
text1,4,1,für,für,NOUN,
text1,4,2,Informationssysteme,Informationssysteme,PROPN,NORP_B
text1,4,3,bei,bei,PROPN,
text1,4,4,der,der,PROPN,
text1,4,5,Europäischen,Europäischen,PROPN,PERSON_B
text1,4,6,Zentralbank,Zentralbank,PROPN,PERSON_I
text1,4,7,.,.,PUNCT,
text1,5,1,Vorher,Vorher,PROPN,
text1,5,2,war,war,NOUN,
text1,5,3,sie,sie,PROPN,
text1,5,4,dafür,dafür,PROPN,PERSON_B
text1,5,5,zuständig,zuständig,PROPN,PERSON_I
text1,5,6,",",",",PUNCT,
text1,5,7,die,die,VERB,
text1,5,8,IT,IT,PROPN,
text1,5,9,der,der,NOUN,
text1,5,10,Deutschen,Deutschen,PROPN,PERSON_B
text1,5,11,Bahn,Bahn,PROPN,PERSON_I
text1,5,12,zu,zu,PROPN,PERSON_I
text1,5,13,modernisieren,modernisieren,NOUN,PERSON_I
text1,5,14,.,.,PUNCT,
text1,6,1,Als,Als,PROPN,PERSON_B
text1,6,2,BSI,BSI,PROPN,PERSON_I
text1,6,3,-,-,PUNCT,PERSON_I
text1,6,4,Chefin,Chefin,PROPN,PERSON_I
text1,6,5,wird,wird,NOUN,
text1,6,6,sie,sie,PROPN,
text1,6,7,nun,nun,PROPN,
text1,6,8,eine,eine,PROPN,
text1,6,9,zentrale,zentrale,NOUN,
text1,7,1,Rolle,Rolle,PROPN,PERSON_B
text1,7,2,für,für,NOUN,
text1,7,3,die,die,VERB,
text1,7,4,deutsche,deutsche,X,
text1,7,5,IT,IT,PROPN,PERSON_B
text1,7,6,-,-,PUNCT,PERSON_I
text1,7,7,Sicherheit,Sicherheit,PROPN,PERSON_I
text1,7,8,spielen,spielen,NOUN,PERSON_I
text1,7,9,.,.,PUNCT,
text3,1,1,Plattner,plattner,NOUN,
text3,1,2,folgt,folgt,ADV,
text3,1,3,auf,auf,PROPN,
text3,1,4,den,den,NOUN,
text3,1,5,i,I,PRON,
text3,1,6,m,m,VERB,
text3,1,7,Oktober,Oktober,PROPN,PERSON_B
text3,1,8,entlassenen,entlassenen,NOUN,
text3,1,9,Arne,Arne,PROPN,PERSON_B
text3,1,10,Schönbohm,Schönbohm,PROPN,PERSON_I
text3,1,11,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,PERSON_B
text3,2,2,stand,stand,VERB,
text3,2,3,schon,schon,ADJ,
text3,2,4,bei,bei,PROPN,
text3,2,5,seiner,seiner,NOUN,
text3,2,6,Berufung,Berufung,PROPN,GPE_B
text3,2,7,in,in,ADP,
text3,2,8,der,der,PROPN,
text3,2,9,Kritik,Kritik,PROPN,PRODUCT_B
text3,2,10,",",",",PUNCT,
text3,2,11,letztlich,letztlich,PROPN,
text3,2,12,folgte,folgte,PROPN,
text3,2,13,auf,auf,PROPN,
text3,2,14,eine,eine,NOUN,
text3,2,15,Recherche,Recherche,PROPN,ORG_B
text3,2,16,der,der,NOUN,
text3,2,17,Satiresendung,Satiresendung,PROPN,PERSON_B
text3,2,18,ZDF,ZDF,PROPN,PERSON_I
text3,2,19,Magazin,Magazin,PROPN,ORG_B
text3,2,20,Royale,Royale,PROPN,ORG_I
text3,2,21,seine,seine,NOUN,
text3,2,22,Entlassung,Entlassung,PROPN,
text3,2,23,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,ging,ging,NOUN,
text3,3,3,dabei,dabei,PROPN,
text3,3,4,unter,unter,NOUN,
text3,3,5,anderem,anderem,NOUN,
text3,3,6,um,um,INTJ,
text3,3,7,einen,einen,NOUN,
text3,3,8,von,von,PROPN,PERSON_B
text3,3,9,Schönbohm,Schönbohm,PROPN,PERSON_I
text3,3,10,mitgegründeten,mitgegründeten,NOUN,
text3,3,11,Verein,Verein,PROPN,PERSON_B
text3,3,12,und,und,NOUN,
text3,3,13,dessen,dessen,VERB,
text3,3,14,Verbindungen,Verbindungen,PROPN,GPE_B
text3,3,15,zu,zu,PROPN,
text3,3,16,russischen,russischen,PROPN,
text3,3,17,Geheimdienstleuten,Geheimdienstleuten,PROPN,
text3,3,18,.,.,PUNCT,
text5,1,1,Auf,Auf,PROPN,PERSON_B
text5,1,2,Plattner,Plattner,PROPN,PERSON_I
text5,1,3,warten,warten,PROPN,
text5,1,4,viele,viele,PROPN,
text5,1,5,Aufgaben,Aufgaben,PROPN,ORG_B
text5,1,6,",",",",PUNCT,
text5,1,7,laut,laut,PROPN,
text5,1,8,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text5,1,9,soll,soll,PROPN,
text5,1,10,das,das,PROPN,ORG_B
text5,1,11,BSI,BSI,PROPN,ORG_I
text5,1,12,etwa,etwa,PROPN,
text5,1,13,zur,zur,PROPN,PERSON_B
text5,1,14,„,„,PROPN,PERSON_I
text5,1,15,zentralen,zentralen,PROPN,PERSON_I
text5,1,16,Stelle,Stelle,PROPN,PERSON_B
text5,1,17,i,I,PRON,
text5,1,18,m,m,VERB,
text5,1,19,Bereich,Bereich,PROPN,PERSON_B
text5,1,20,IT,IT,PROPN,PERSON_I
text5,1,21,-,-,PUNCT,PERSON_I
text5,1,22,Sicherheit,Sicherheit,PROPN,PERSON_I
text5,1,23,ausgebaut,ausgebaut,PROPN,
text5,1,24,“,"""",PUNCT,
text5,1,25,werden,werden,PROPN,
text5,1,26,und,und,PROPN,
text5,1,27,weniger,weniger,PROPN,
text5,1,28,vom,vom,NOUN,
text5,1,29,Innenministerium,Innenministerium,PROPN,
text5,1,30,abhängig,abhängig,PROPN,
text5,1,31,sein,sein,PROPN,
text5,1,32,.,.,PUNCT,
text5,2,1,Wir,wir,ADJ,
text5,2,2,haben,haben,NOUN,
text5,2,3,bei,bei,VERB,
text5,2,4,IT,IT,PROPN,
text5,2,5,-,-,PUNCT,
text5,2,6,Sicherheitsexpert*innen,sicherheitsexpert*innen,NOUN,
text5,2,7,nachgefragt,nachgefragt,NOUN,
text5,2,8,",",",",PUNCT,
text5,2,9,was,be,AUX,
text5,2,10,sie,sie,PROPN,
text5,2,11,sich,sich,PROPN,
text5,2,12,jetzt,jetzt,PROPN,PERSON_B
text5,2,13,von,von,PROPN,PERSON_I
text5,2,14,Plattner,Plattner,PROPN,PERSON_I
text5,2,15,wünschen,wünschen,SCONJ,
text5,2,16,und,und,PROPN,
text5,2,17,was,be,AUX,
text5,2,18,sie,sie,PROPN,
