doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,ORG_B
text1,1,2,Fall,Fall,PROPN,ORG_I
text1,1,3,aus,aus,ADP,ORG_I
text1,1,4,San,San,PROPN,GPE_B
text1,1,5,Francisco,Francisco,PROPN,GPE_I
text1,1,6,macht,macht,NOUN,
text1,1,7,anschaulich,anschaulich,NOUN,
text1,1,8,",",",",PUNCT,
text1,1,9,was,be,AUX,
text1,1,10,passieren,passieren,PROPN,PERSON_B
text1,1,11,kann,kann,PROPN,PERSON_I
text1,1,12,",",",",PUNCT,
text1,1,13,wenn,wenn,PROPN,
text1,1,14,automatische,automatische,PROPN,
text1,1,15,Bilderkennung,Bilderkennung,PROPN,PERSON_B
text1,1,16,einen,einen,NOUN,
text1,1,17,falschen,falschen,PROPN,
text1,1,18,Verdacht,Verdacht,PROPN,ORG_B
text1,1,19,hegt,hegt,NOUN,ORG_I
text1,1,20,.,.,PUNCT,
text1,2,1,Die,die,VERB,PERSON_B
text1,2,2,Geschichte,Geschichte,PROPN,PERSON_I
text1,2,3,beginnt,beginnt,NOUN,
text1,2,4,i,I,PRON,
text1,2,5,m,m,VERB,
text1,2,6,Februar,Februar,PROPN,PERSON_B
text1,2,7,2021,2021,NUM,PERSON_I
text1,2,8,.,.,PUNCT,
text1,3,1,Ein,Ein,PROPN,ORG_B
text1,3,2,Vater,Vater,PROPN,ORG_I
text1,3,3,bemerkt,bemerkt,VERB,
text1,3,4,",",",",PUNCT,
text1,3,5,dass,dass,PROPN,
text1,3,6,sein,sein,PROPN,
text1,3,7,kleiner,kleiner,PROPN,
text1,3,8,Sohn,Sohn,PROPN,PERSON_B
text1,3,9,Schmerzen,Schmerzen,PROPN,PERSON_I
text1,3,10,am,be,AUX,PERSON_I
text1,3,11,Penis,penis,ADJ,PERSON_I
text1,3,12,hat,hat,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Wegen,Wegen,PROPN,ORG_B
text1,4,2,der,der,PROPN,
text1,4,3,Pandemie,Pandemie,PROPN,ORG_B
text1,4,4,bietet,bietet,PROPN,
text1,4,5,der,der,PROPN,
text1,4,6,Kinderarzt,Kinderarzt,PROPN,ORG_B
text1,4,7,eine,eine,NOUN,
