doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Heute,Heute,PROPN,
text1,1,2,Abend,Abend,PROPN,
text1,1,3,beginnt,beginnt,NOUN,
text1,1,4,Bits,Bits,PROPN,
text1,1,5,&,&,CCONJ,
text1,1,6,Bäume,Bäume,PROPN,
text1,1,7,",",",",PUNCT,
text1,1,8,eine,eine,NOUN,
text1,1,9,dreitägige,dreitägige,NOUN,
text1,1,10,Konferenz,Konferenz,PROPN,PERSON_B
text1,1,11,rund,rund,VERB,
text1,1,12,um,um,INTJ,
text1,1,13,Digitalisierung,Digitalisierung,PROPN,WORK_OF_ART_B
text1,1,14,und,und,PROPN,WORK_OF_ART_I
text1,1,15,Nachhaltigkeit,Nachhaltigkeit,PROPN,WORK_OF_ART_I
text1,1,16,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,ist,ist,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,zweite,zweite,NOUN,
text1,2,5,dieser,dieser,PROPN,
text1,2,6,Art,Art,PROPN,PERSON_B
text1,2,7,",",",",PUNCT,
text1,2,8,die,die,VERB,
text1,2,9,erste,erste,NOUN,
text1,2,10,war,war,NOUN,
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Jahr,Jahr,PROPN,PERSON_B
text1,3,4,2018,2018,NUM,PERSON_I
text1,3,5,.,.,PUNCT,
text1,4,1,I,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Kern,kern,ADJ,
text1,4,4,geht,geht,VERB,
text1,4,5,es,es,PROPN,
text1,5,1,„,„,PUNCT,
text1,5,2,um,um,INTJ,
text1,5,3,die,die,PROPN,
text1,5,4,gesellschaftlichen,gesellschaftlichen,NOUN,
text1,5,5,und,und,NOUN,
text1,5,6,globalen,globalen,ADJ,
text1,5,7,Herausforderungen,Herausforderungen,PROPN,ORG_B
text1,5,8,für,für,NOUN,
text1,5,9,eine,eine,NOUN,
text1,5,10,gerechte,gerechte,NOUN,
text1,5,11,und,und,VERB,
text1,5,12,nachhaltige,nachhaltige,ADJ,
text1,5,13,Gestaltung,Gestaltung,PROPN,PERSON_B
text1,5,14,unserer,unserer,NOUN,
text1,5,15,(,(,PUNCT,
text1,5,16,Um-)Welt,um-)welt,NOUN,
text1,5,17,“,"""",PUNCT,
text1,5,18,.,.,PUNCT,
text1,6,1,Die,die,VERB,
text1,6,2,meisten,meisten,NOUN,
text1,6,3,Veranstaltungen,Veranstaltungen,PROPN,PERSON_B
text1,6,4,werden,werden,VERB,
text1,6,5,auch,auch,ADJ,
text1,6,6,live,live,ADJ,
text1,6,7,übertragen,übertragen,NOUN,
text1,6,8,und,und,PROPN,
text1,7,1,i,I,PRON,
text1,7,2,m,m,VERB,
text1,7,3,Anschluss,Anschluss,PROPN,PERSON_B
text1,7,4,online,online,ADV,
text1,7,5,zur,zur,PROPN,
text1,7,6,Verfügung,Verfügung,PROPN,
text1,7,7,gestellt,gestellt,NOUN,
text1,7,8,",",",",PUNCT,
text1,7,9,Tickets,ticket,VERB,
text1,7,10,gibt,gibt,NOUN,
text1,7,11,es,es,X,
text1,7,12,noch,noch,ADV,
text1,7,13,bis,bis,PROPN,
text1,7,14,mindestens,mindesten,NOUN,
text1,7,15,heute,heute,VERB,
text1,7,16,.,.,PUNCT,
text1,8,1,Mitglieder,Mitglieder,PROPN,ORG_B
text1,8,2,der,der,PROPN,ORG_I
text1,8,3,netzpolitik.org,netzpolitik.org,PROPN,ORG_B
text1,8,4,-,-,PUNCT,ORG_I
