doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Zentrale,Zentrale,PROPN,PERSON_B
text1,1,2,Kritikpunkte,Kritikpunkte,PROPN,PERSON_I
text1,1,3,an,an,DET,
text1,1,4,der,der,PROPN,
text1,1,5,von,von,PROPN,PERSON_B
text1,1,6,der,der,PROPN,PERSON_I
text1,1,7,EU,EU,PROPN,ORG_B
text1,1,8,-,-,PUNCT,ORG_I
text1,1,9,Kommission,Kommission,PROPN,ORG_I
text1,1,10,geplanten,geplanten,VERB,
text1,1,11,Chatkontrolle,Chatkontrolle,PROPN,PRODUCT_B
text1,1,12,scheinen,scheinen,NOUN,
text1,1,13,sich,sich,PROPN,
text1,1,14,zu,zu,PROPN,
text1,1,15,bestätigen,bestätigen,PROPN,
text1,1,16,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,EU,EU,PROPN,ORG_I
text1,2,3,-,-,PUNCT,ORG_I
text1,2,4,Kommission,Kommission,PROPN,ORG_I
text1,2,5,rechnet,rechnet,NOUN,
text1,2,6,offenbar,offenbar,NOUN,
text1,2,7,selbst,selbst,PROPN,
text1,2,8,damit,damit,NOUN,
text1,2,9,",",",",PUNCT,
text1,2,10,dass,dass,PROPN,
text1,2,11,Ermittler,Ermittler,PROPN,ORG_B
text1,2,12,:,:,PUNCT,
text1,2,13,innen,innen,NOUN,
text1,2,14,viele,viele,NOUN,
text1,2,15,harmlose,harmlose,VERB,
text1,2,16,Aufnahmen,Aufnahmen,PROPN,GPE_B
text1,2,17,und,und,VERB,
text1,2,18,Chats,Chats,PROPN,PERSON_B
text1,2,19,von,von,PROPN,PERSON_I
text1,2,20,Minderjährigen,Minderjährigen,PROPN,PERSON_I
text1,2,21,mit,mit,VERB,
text1,2,22,eigenen,eigenen,NOUN,
text1,2,23,Augen,Augen,PROPN,PERSON_B
text1,2,24,überprüfen,überprüfen,PROPN,
text1,2,25,müssen,müssen,PROPN,
text1,2,26,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,und,und,PROPN,
text1,3,3,mehr,mehr,NOUN,
text1,3,4,steht,steht,NOUN,
text1,3,5,in,in,ADP,
text1,3,6,einem,einem,PROPN,
text1,3,7,als,al,NOUN,
text1,3,8,„,„,PUNCT,
text1,3,9,Nur,Nur,PROPN,
text1,3,10,für,für,NOUN,
text1,3,11,den,den,VERB,
text1,3,12,Dienstgebrauch,Dienstgebrauch,PROPN,ORG_B
text1,3,13,“,"""",PUNCT,
text1,3,14,eingestuften,eingestuften,ADJ,
text1,3,15,Drahtbericht,Drahtbericht,PROPN,ORG_B
text1,3,16,",",",",PUNCT,
text1,3,17,den,den,NOUN,
text1,3,18,wir,wir,NOUN,
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Volltext,Volltext,PROPN,PERSON_B
text1,4,4,veröffentlichen,veröffentlichen,NOUN,
text1,4,5,.,.,PUNCT,
text1,5,1,Er,er,INTJ,
text1,5,2,fasst,fasst,NOUN,
text1,5,3,die,die,VERB,
text1,5,4,Antworten,Antworten,PROPN,PERSON_B
text1,5,5,der,der,PROPN,PERSON_I
text1,5,6,EU,EU,PROPN,ORG_B
text1,5,7,-,-,PUNCT,ORG_I
text1,5,8,Kommission,Kommission,PROPN,ORG_I
text1,5,9,auf,auf,PROPN,
text1,5,10,die,die,VERB,
text1,5,11,Fragen,Fragen,PROPN,ORG_B
text1,5,12,der,der,PROPN,
text1,5,13,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,5,14,zusammen,zusamman,NOUN,
text1,5,15,.,.,PUNCT,
text1,6,1,Allein,Allein,PROPN,PERSON_B
text1,6,2,von,von,PROPN,PERSON_I
text1,6,3,Deutschland,Deutschland,PROPN,PERSON_I
text1,6,4,kamen,kaman,NOUN,
text1,6,5,61,61,NUM,CARDINAL_B
text1,6,6,Fragen,Fragen,PROPN,ORG_B
text1,6,7,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,3,ist,ist,ADP,
text3,1,4,Teil,Teil,PROPN,PERSON_B
text3,1,5,eines,eine,VERB,
text3,1,6,Gesetzentwurfs,Gesetzentwurfs,PROPN,PERSON_B
text3,1,7,der,der,PROPN,
text3,1,8,EU,EU,PROPN,ORG_B
text3,1,9,-,-,PUNCT,ORG_I
text3,1,10,Kommission,Kommission,PROPN,ORG_I
text3,1,11,",",",",PUNCT,
text3,1,12,um,um,INTJ,
text3,1,13,sexualisierte,sexualisierte,VERB,
text3,1,14,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,15,gegen,gegen,NOUN,
text3,1,16,Kinder,Kinder,PROPN,
text3,1,17,i,I,PRON,
text3,1,18,m,m,AUX,
text3,1,19,Netz,Netz,VERB,PERSON_B
text3,1,20,zu,zu,ADJ,
text3,1,21,bekämpfen,bekämpfen,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,Vorgesehen,Vorgesehen,PROPN,PERSON_B
text3,2,2,ist,ist,PROPN,
text3,2,3,unter,unter,NOUN,PERSON_B
text3,2,4,anderem,anderem,PROPN,PERSON_I
text3,2,5,",",",",PUNCT,
text3,2,6,dass,dass,NOUN,
text3,2,7,Anbieter,Anbieter,PROPN,PERSON_B
text3,2,8,auf,auf,PROPN,
text3,2,9,Anordnung,Anordnung,PROPN,PERSON_B
text3,2,10,auch,auch,ADJ,
text3,2,11,private,private,ADJ,
text3,2,12,Nachrichten,Nachrichten,PROPN,
text3,2,13,automatisiert,automatisiert,NOUN,
text3,2,14,nach,nach,PROPN,
text3,2,15,mutmaßlich,mutmaßlich,PROPN,
text3,2,16,strafbaren,strafbaren,PROPN,
text3,3,1,Inhalten,Inhalten,PROPN,WORK_OF_ART_B
text3,3,2,durchsuchen,durchsuchen,ADV,WORK_OF_ART_I
text3,3,3,.,.,PUNCT,
text3,4,1,IT,IT,PROPN,
text3,4,2,-,-,PUNCT,
text3,4,3,Expert,Expert,PROPN,
text3,4,4,:,:,PUNCT,
text3,4,5,innen,innen,NOUN,
text3,4,6,und,und,PROPN,
text3,4,7,Vertreter,Vertreter,PROPN,
text3,4,8,:,:,PUNCT,
text3,4,9,innen,innen,NOUN,
text3,4,10,der,der,PROPN,
