doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,umstrittene,umstrittene,ADJ,
text1,1,3,EU,EU,PROPN,ORG_B
text1,1,4,-,-,PUNCT,ORG_I
text1,1,5,Verordnung,Verordnung,PROPN,ORG_I
text1,1,6,zur,zur,PROPN,
text1,1,7,Prävention,Prävention,PROPN,
text1,1,8,und,und,PROPN,
text1,1,9,Bekämpfung,Bekämpfung,PROPN,
text1,1,10,des,des,X,
text1,1,11,sexuellen,sexuellen,NOUN,
text1,2,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,2,2,von,von,PROPN,PERSON_I
text1,2,3,Kindern,Kindern,PROPN,PERSON_I
text1,2,4,",",",",PUNCT,
text1,2,5,von,von,PROPN,
text1,2,6,Kritiker,Kritiker,PROPN,
text1,2,7,:,:,PUNCT,
text1,2,8,innen,innen,NOUN,
text1,2,9,„,„,PUNCT,
text1,2,10,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,11,“,"""",PUNCT,
text1,2,12,genannt,genannt,PROPN,ORG_B
text1,2,13,",",",",PUNCT,
text1,2,14,könnte,könnte,NOUN,
text1,2,15,schon,schon,PROPN,
text1,2,16,kommenden,kommenden,PROPN,
text1,2,17,Donnerstag,Donnerstag,PROPN,ORG_B
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Ministerrat,Ministerrat,PROPN,PERSON_B
text1,3,4,der,der,PROPN,
text1,3,5,EU,EU,PROPN,ORG_B
text1,3,6,-,-,PUNCT,
text1,3,7,Staaten,Staaten,PROPN,
text1,3,8,eine,eine,NOUN,
text1,3,9,entscheidende,entscheidende,NOUN,
text1,3,10,Schwelle,Schwelle,PROPN,PERSON_B
text1,3,11,nehmen,nehman,NOUN,
text1,3,12,.,.,PUNCT,
text1,4,1,Auf,auf,DET,
text1,4,2,einer,einer,NOUN,
text1,4,3,aktuellen,aktuellen,NOUN,
text1,4,4,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,4,5,steht,steht,NOUN,
text1,4,6,der,der,PROPN,
text1,4,7,Punkt,Punkt,PROPN,ORG_B
text1,4,8,für,für,NOUN,
text1,4,9,die,die,VERB,
text1,4,10,Runde,Runde,PROPN,
text1,4,11,der,der,NOUN,
text1,4,12,Justiz-,Justiz-,PROPN,
text1,4,13,und,und,PROPN,
text1,4,14,Innenminister,innenminister,NOUN,NORP_B
text1,4,15,:,:,PUNCT,
text1,4,16,innen,innen,NOUN,
text1,4,17,noch,noch,PROPN,
text1,4,18,als,al,NOUN,
text1,5,1,Platzhalter,Platzhalter,PROPN,NORP_B
text1,5,2,mit,mit,VERB,
text1,5,3,dem,dem,ADJ,PERSON_B
text1,5,4,Hinweis,Hinweis,PROPN,PERSON_I
text1,5,5,„,„,PUNCT,
text1,5,6,möglicherweise,möglicherweise,NOUN,
text1,5,7,“,"""",PUNCT,
text1,5,8,.,.,PUNCT,
text1,6,1,Zuletzt,Zuletzt,PROPN,PERSON_B
text1,6,2,hatte,hatte,NOUN,PERSON_B
text1,6,3,der,der,PROPN,PERSON_I
text1,6,4,Rat,Rat,PROPN,PERSON_I
text1,6,5,eine,eine,NOUN,
text1,6,6,geplante,geplante,VERB,
text1,6,7,Abstimmung,Abstimmung,PROPN,ORG_B
text1,6,8,über,über,NOUN,
text1,6,9,seine,seine,NOUN,
text1,6,10,Position,Position,PROPN,ORG_B
text1,6,11,verschoben,verschoben,PROPN,
text1,6,12,",",",",PUNCT,
text1,6,13,weil,weil,NOUN,
text1,6,14,er,er,INTJ,
text1,6,15,die,die,VERB,
text1,6,16,nötige,nötige,PROPN,PERSON_B
text1,6,17,Mehrheit,Mehrheit,PROPN,PERSON_I
text1,6,18,nicht,nicht,PROPN,
text1,6,19,erreicht,erreicht,NOUN,
text1,6,20,hätte,hätte,PROPN,
text1,6,21,.,.,PUNCT,
text3,1,1,Nun,Nun,PROPN,PERSON_B
text3,1,2,hat,hat,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,spanische,spanische,NOUN,
text3,1,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,1,6,einen,einen,NOUN,
text3,1,7,Vorschlag,Vorschlag,PROPN,ORG_B
text3,1,8,gemacht,gemacht,PROPN,
text3,1,9,",",",",PUNCT,
text3,1,10,der,der,PROPN,ORG_B
text3,1,11,die,die,PROPN,ORG_I
text3,1,12,kritischen,kritischen,PROPN,
text3,1,13,EU,EU,PROPN,ORG_B
text3,1,14,-,-,PUNCT,
text3,1,15,Staaten,Staaten,PROPN,
text3,1,16,offenbar,offenbar,NOUN,
text3,1,17,zur,zur,PROPN,
text3,1,18,Zustimmung,Zustimmung,PROPN,NORP_B
text3,1,19,bewegen,bewegen,NOUN,
text3,1,20,soll,soll,NOUN,
text3,1,21,:,:,PUNCT,
text3,1,22,Die,die,VERB,ORG_B
text3,1,23,Art,Art,PROPN,ORG_I
text3,1,24,des,des,X,ORG_I
text3,1,25,Materials,Materials,PROPN,ORG_I
text3,1,26,",",",",PUNCT,
text3,1,27,nach,nach,NOUN,
text3,1,28,dem,dem,PROPN,NORP_B
text3,1,29,Anbieter,Anbieter,PROPN,PERSON_B
text3,1,30,suchen,suchen,PROPN,
text3,1,31,müssen,müssen,PROPN,
text3,1,32,",",",",PUNCT,
text3,1,33,soll,soll,PROPN,PERSON_B
text3,1,34,vorerst,vorerst,PROPN,PERSON_I
text3,1,35,eingeschränkt,eingeschränkt,PROPN,
text3,1,36,werden,werden,PROPN,
text3,1,37,–,–,PUNCT,
text3,1,38,bis,bis,CCONJ,
text3,1,39,die,die,VERB,
text3,1,40,technischen,technischen,NOUN,
text3,1,41,Möglichkeiten,Möglichkeiten,PROPN,PERSON_B
text3,1,42,sich,sich,ADJ,
text3,1,43,geändert,geändert,PROPN,
text3,1,44,haben,haben,PROPN,
text3,1,45,.,.,PUNCT,
text3,2,1,Nicht,Nicht,PROPN,
text3,2,2,abrücken,abrücken,VERB,
text3,2,3,will,will,AUX,
text3,2,4,die,die,VERB,
text3,2,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,2,6,hingegen,hingegen,PROPN,PERSON_I
text3,2,7,davon,davon,PROPN,PERSON_I
text3,2,8,",",",",PUNCT,
text3,2,9,„,„,PUNCT,
text3,2,10,dass,dass,NOUN,
text3,2,11,verschlüsseltes,verschlüsselte,VERB,
text3,2,12,Material,Material,PROPN,
text3,2,13,in,in,ADP,
text3,2,14,den,den,NOUN,
text3,2,15,Anwendungsbereich,Anwendungsbereich,PROPN,PERSON_B
text3,2,16,der,der,NOUN,
text3,2,17,Verordnung,Verordnung,PROPN,PERSON_B
text3,2,18,fallen,fall,VERB,
text3,2,19,sollte,sollte,PROPN,
text3,2,20,“,"""",PUNCT,
text3,2,21,.,.,PUNCT,
text5,1,1,Digital-,Digital-,PROPN,
text5,1,2,und,und,PROPN,
text5,1,3,Menschenrechtsorganisationen,Menschenrechtsorganisationen,PROPN,PERSON_B
text5,1,4,weltweit,weltweit,PROPN,
text5,1,5,warnen,warnen,PROPN,
text5,1,6,seit,seit,PROPN,
text5,1,7,Monaten,Monaten,PROPN,PERSON_B
text5,1,8,",",",",PUNCT,
text5,1,9,die,die,VERB,
text5,1,10,Pläne,Pläne,PROPN,PERSON_B
text5,1,11,würden,würden,NOUN,
text5,1,12,das,das,PROPN,
text5,1,13,Ende,Ende,PROPN,
text5,1,14,der,der,NOUN,
text5,1,15,verschlüsselten,verschlüsselten,VERB,
text5,1,16,Kommunikation,Kommunikation,PROPN,
text5,1,17,bedeuten,bedeuten,NOUN,
text5,1,18,–,–,PUNCT,
text5,1,19,und,und,VERB,
text5,1,20,die,die,VERB,
text5,1,21,Rechte,Rechte,PROPN,PERSON_B
text5,1,22,von,von,PROPN,PERSON_I
text5,1,23,Millionen,Millionen,PROPN,PERSON_I
text5,1,24,von,von,PROPN,PERSON_I
text5,1,25,EU,EU,PROPN,PERSON_I
text5,1,26,-,-,PUNCT,PERSON_I
text5,1,27,Bürger,Bürger,PROPN,PERSON_I
text5,1,28,:,:,PUNCT,
text5,1,29,innen,innen,NOUN,
text5,1,30,verletzen,verletzen,NOUN,
text5,1,31,.,.,PUNCT,
text7,1,1,#,#,SYM,MONEY_B
text7,1,2,#,#,PROPN,MONEY_I
text7,1,3,Spanien,Spanien,PROPN,PERSON_B
text7,1,4,will,will,AUX,
text7,1,5,skeptische,skeptische,VERB,
text7,1,6,Staaten,staaten,VERB,PRODUCT_B
text7,1,7,umstimmen,umstimman,NOUN,
text9,1,1,Ob,Ob,PROPN,
text9,1,2,der,der,NOUN,
text9,1,3,Vorschlag,Vorschlag,PROPN,ORG_B
text9,1,4,tatsächlich,tatsächlich,PROPN,
text9,1,5,auf,auf,PROPN,
text9,1,6,die,die,NOUN,
text9,1,7,Tagesordnung,Tagesordnung,PROPN,PERSON_B
text9,1,8,des,de,NOUN,PERSON_I
text9,1,9,Ministertreffens,Ministertreffens,PROPN,PERSON_I
text9,1,10,am,be,AUX,
text9,1,11,19,19,NUM,
text9,1,12,.,.,PUNCT,
text9,2,1,und,und,VERB,
text9,2,2,20,20,NUM,CARDINAL_B
text9,2,3,.,.,PUNCT,
text9,3,1,Oktober,Oktober,PROPN,
text9,3,2,kommt,kommt,PROPN,PERSON_B
text9,3,3,",",",",PUNCT,
text9,3,4,entscheidet,entscheidet,PROPN,
text9,3,5,sich,sich,PROPN,
text9,3,6,voraussichtlich,voraussichtlich,PROPN,
text9,3,7,am,be,AUX,
text9,3,8,morgigen,morgigen,PROPN,
text9,3,9,Freitag,Freitag,PROPN,ORG_B
text9,3,10,bei,bei,PROPN,
text9,3,11,einem,einem,PROPN,
