doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Angeblich,angeblich,ADJ,
text1,1,2,gibt,gibt,NOUN,
text1,1,3,es,es,PROPN,
text1,1,4,ja,ja,PROPN,
text1,1,5,keine,keine,PROPN,
text1,1,6,dummen,dummen,PROPN,
text1,1,7,Fragen,Fragen,PROPN,ORG_B
text1,1,8,.,.,PUNCT,
text1,2,1,Aber,Aber,PROPN,
text1,2,2,ich,ich,PROPN,
text1,2,3,war,war,PROPN,
text1,2,4,doch,doch,PROPN,
text1,2,5,etwas,etwas,PROPN,
text1,2,6,nervös,nervös,PROPN,
text1,2,7,",",",",PUNCT,
text1,2,8,als,al,VERB,
text1,2,9,i,I,PRON,
text1,2,10,m,m,VERB,
text1,2,11,November,November,PROPN,DATE_B
text1,2,12,das,das,PROPN,
text1,2,13,erste,erste,NOUN,
text1,2,14,Interview,Interview,PROPN,
text1,2,15,mit,mit,NOUN,
text1,2,16,einem,einem,PROPN,
text1,2,17,Redaktionsmitglied,Redaktionsmitglied,PROPN,
text1,2,18,anstand,anstand,PROPN,
text1,2,19,.,.,PUNCT,
text1,3,1,Geplant,Geplant,PROPN,
text1,3,2,waren,waren,PROPN,PERSON_B
text1,3,3,einstündige,einstündige,VERB,
text1,3,4,Gespräche,Gespräche,PROPN,PRODUCT_B
text1,3,5,über,über,PROPN,
text1,3,6,die,die,PROPN,
text1,3,7,Kernthemen,Kernthemen,PROPN,ORG_B
text1,3,8,der,der,PROPN,ORG_I
text1,3,9,Redaktion,Redaktion,PROPN,ORG_I
text1,3,10,.,.,PUNCT,
text1,4,1,Insgesamt,Insgesamt,PROPN,
text1,4,2,acht,acht,NOUN,
text1,4,3,Beiträge,Beiträge,PROPN,PERSON_B
text1,4,4,sollten,sollten,NOUN,
text1,4,5,daraus,darau,NOUN,
text1,4,6,hervorgehen,hervorgehen,NOUN,
text1,4,7,",",",",PUNCT,
text1,4,8,so,so,ADV,
text1,4,9,hatten,hatten,ADJ,
text1,4,10,wir,wir,NOUN,
text1,4,11,es,es,X,
text1,4,12,für,für,PROPN,
text1,4,13,unsere,unsere,NOUN,
text1,4,14,Spendenkampagne,Spendenkampagne,PROPN,ORG_B
text1,4,15,geplant,geplant,NOUN,
text1,4,16,.,.,PUNCT,
text1,5,1,Die,die,VERB,
text1,5,2,Texte,Texte,PROPN,
text1,5,3,sollten,sollten,NOUN,
text1,5,4,unseren,unseren,PROPN,
text1,5,5,Leser*innen,Leser*innen,PROPN,FAC_B
text1,5,6,nicht,nicht,PROPN,FAC_I
text1,5,7,nur,nur,AUX,
text1,5,8,die,die,VERB,
text1,5,9,Themen,Themen,PROPN,PERSON_B
text1,5,10,",",",",PUNCT,
text1,5,11,sondern,sondern,ADJ,
text1,5,12,auch,auch,NOUN,
text1,5,13,die,die,VERB,
text1,5,14,Menschen,Menschen,PROPN,ORG_B
text1,5,15,bei,bei,PROPN,ORG_I
text1,5,16,netzpolitik.org,netzpolitik.org,SYM,ORG_I
text1,5,17,näherbringen,näherbringen,NOUN,ORG_I
text1,5,18,.,.,PUNCT,
text3,1,1,Auf,Auf,PROPN,
text3,1,2,netzpolitik.org,netzpolitik.org,PUNCT,
text3,1,3,schreiben,schreiben,PROPN,PERSON_B
text3,1,4,wir,wir,NOUN,
text3,1,5,seit,seit,PROPN,
text3,1,6,fast,fast,PROPN,
text3,1,7,zwei,zwei,PROPN,
text3,1,8,Jahrzehnten,Jahrzehnten,PROPN,PERSON_B
