doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Weder,Weder,PROPN,PERSON_B
text1,1,2,Erwachsene,Erwachsene,PROPN,PERSON_I
text1,1,3,noch,noch,ADJ,
text1,1,4,Kinder,Kinder,PROPN,ORG_B
text1,1,5,und,und,PROPN,
text1,1,6,Jugendliche,Jugendliche,PROPN,ORG_B
text1,1,7,möchten,möchten,VERB,
text1,1,8,wohl,wohl,PROPN,
text1,1,9,ihre,ihre,PROPN,
text1,1,10,privaten,privaten,VERB,
text1,1,11,Online,Online,PROPN,
text1,1,12,-,-,PUNCT,
text1,1,13,Chats,Chats,PROPN,
text1,1,14,jemandem,jemandem,NOUN,
text1,1,15,zur,zur,PROPN,
text1,1,16,Kontrolle,Kontrolle,PROPN,ORG_B
text1,1,17,vorlegen,vorlegen,NOUN,
text1,1,18,.,.,PUNCT,
text1,2,1,Aber,Aber,PROPN,
text1,2,2,wie,wie,PROPN,
text1,2,3,wäre,wäre,PROPN,
text1,2,4,das,das,PROPN,ORG_B
text1,2,5,",",",",PUNCT,
text1,2,6,wenn,wenn,PROPN,
text1,2,7,Chat,Chat,PROPN,PERSON_B
text1,2,8,-,-,PUNCT,PERSON_I
text1,2,9,Anbieter,Anbieter,PROPN,PERSON_I
text1,2,10,und,und,PROPN,
text1,2,11,Polizei,Polizei,PROPN,
text1,2,12,zur,zur,PROPN,
text1,2,13,Sicherheit,Sicherheit,PROPN,GPE_B
text1,2,14,einen,einen,NOUN,
text1,2,15,Blick,Blick,PROPN,ORG_B
text1,2,16,hineinwerfen,hineinwerfen,NOUN,
text1,2,17,?,?,PUNCT,
text1,3,1,Ein,Ein,PROPN,
text1,3,2,solches,solche,VERB,
text1,3,3,Szenario,Szenario,PROPN,PERSON_B
text1,3,4,wäre,wäre,NOUN,
text1,3,5,durch,durch,PROPN,
text1,3,6,die,die,VERB,
text1,3,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,8,möglich,möglich,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,die,die,VERB,
text1,3,11,ein,ein,PROPN,
text1,3,12,Entwurf,Entwurf,PROPN,ORG_B
text1,3,13,der,der,PROPN,
text1,3,14,EU,EU,PROPN,ORG_B
text1,3,15,-,-,PUNCT,ORG_I
text1,3,16,Kommission,Kommission,PROPN,ORG_I
text1,3,17,einfordert,einfordert,NOUN,
text1,3,18,.,.,PUNCT,
text3,1,1,Anbieter,Anbieter,PROPN,
text3,1,2,unter,unter,NOUN,
text3,1,3,anderem,anderem,PROPN,PERSON_B
text3,1,4,von,von,PROPN,PERSON_I
text3,1,5,Chat,Chat,PROPN,PERSON_I
text3,1,6,-,-,PUNCT,PERSON_I
text3,1,7,Apps,Apps,PROPN,PERSON_I
text3,1,8,müssten,müssten,VERB,
text3,1,9,auf,auf,PROPN,
text3,1,10,Anordnung,Anordnung,PROPN,PERSON_B
