doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Dutzende,Dutzende,PROPN,
text1,1,2,digitale,digitale,NOUN,
text1,1,3,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,1,4,aus,aus,ADP,PERSON_I
text1,1,5,ganz,ganz,PROPN,
text1,1,6,Europa,Europa,PROPN,LOC_B
text1,1,7,haben,haben,PROPN,
text1,1,8,sich,sich,PROPN,
text1,1,9,in,in,ADP,
text1,1,10,einem,einem,PROPN,
text1,1,11,offenen,offenen,NOUN,
text1,1,12,Brief,Brief,PROPN,
text1,1,13,gegen,gegen,NOUN,
text1,1,14,die,die,VERB,
text1,1,15,Pläne,Pläne,PROPN,ORG_B
text1,1,16,der,der,PROPN,
text1,1,17,EU,EU,PROPN,ORG_B
text1,1,18,-,-,PUNCT,ORG_I
text1,1,19,Kommission,Kommission,PROPN,ORG_I
text1,1,20,zu,zu,NOUN,
text1,1,21,einer,einer,NOUN,
text1,1,22,so,so,ADV,
text1,1,23,genannten,genannten,VERB,
text1,1,24,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,25,gestellt,gestellt,ADJ,
text1,1,26,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,3,soll,soll,NOUN,
text1,2,4,Teil,Teil,PROPN,PERSON_B
text1,2,5,eines,eine,VERB,
text1,2,6,Gesetzespaketes,Gesetzespaketes,PROPN,
text1,2,7,sein,sein,PROPN,
text1,2,8,",",",",PUNCT,
text1,2,9,das,das,PROPN,
text1,2,10,sich,sich,PROPN,
text1,2,11,gegen,gegen,NOUN,
text1,2,12,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text1,2,13,richtet,richtet,NOUN,
text1,2,14,und,und,PROPN,
text1,2,15,das,das,PROPN,
text1,2,16,die,die,VERB,
text1,2,17,EU,EU,PROPN,ORG_B
text1,2,18,-,-,PUNCT,ORG_I
text1,2,19,Kommission,Kommission,PROPN,ORG_I
text1,2,20,voraussichtlich,voraussichtlich,NOUN,
text1,2,21,am,be,AUX,
text1,2,22,30,30,NUM,CARDINAL_B
text1,2,23,.,.,PUNCT,
text1,3,1,März,März,PROPN,ORG_B
text1,3,2,vorstellen,vorstellen,PROPN,
text1,3,3,wird,wird,PROPN,
text1,3,4,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,Gesetzespaket,Gesetzespaket,PROPN,
text3,1,3,könnte,könnte,NOUN,
text3,1,4,nach,nach,PROPN,
text3,1,5,allem,allem,NOUN,
text3,1,6,",",",",PUNCT,
text3,1,7,was,be,AUX,
text3,1,8,bisher,bisher,PROPN,PERSON_B
text3,1,9,bekannt,bekannt,PROPN,PERSON_I
text3,1,10,ist,ist,PROPN,PERSON_I
text3,1,11,",",",",PUNCT,
text3,1,12,vorsehen,vorsehen,NOUN,
text3,1,13,",",",",PUNCT,
text3,1,14,dass,dass,NOUN,
text3,1,15,mittels,mittel,NOUN,
text3,1,16,einer,einer,VERB,
text3,1,17,„,„,PUNCT,
text3,1,18,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text3,1,19,“,"""",PUNCT,WORK_OF_ART_I
text3,1,20,Dateien,Dateien,PROPN,WORK_OF_ART_I
text3,1,21,auf,auf,PROPN,WORK_OF_ART_I
text3,1,22,Endgeräten,Endgeräten,PROPN,WORK_OF_ART_I
text3,1,23,der,der,PROPN,WORK_OF_ART_I
text3,1,24,Bürger,Bürger,PROPN,WORK_OF_ART_I
text3,1,25,:,:,PUNCT,WORK_OF_ART_I
text3,1,26,innen,innen,NOUN,
text3,1,27,schon,schon,NOUN,
text3,1,28,vor,vor,VERB,
text3,1,29,dem,dem,ADJ,ORG_B
text3,1,30,Abschicken,abschicken,ADJ,ORG_I
text3,1,31,und,und,VERB,ORG_I
text3,1,32,Verschlüsseln,Verschlüsseln,PROPN,ORG_I
text3,1,33,durchsucht,durchsucht,NOUN,ORG_I
text3,1,34,und,und,VERB,
text3,1,35,mit,mit,NOUN,
text3,1,36,einer,einer,NOUN,
text3,1,37,Datenbank,Datenbank,PROPN,PERSON_B
text3,1,38,abgeglichen,abgeglichen,PROPN,
text3,1,39,werden,werden,PROPN,
text3,1,40,",",",",PUNCT,
text3,1,41,um,um,INTJ,
text3,1,42,Darstellungen,Darstellungen,PROPN,ORG_B
text3,1,43,von,von,PROPN,ORG_I
text3,1,44,Kindesmissbrauch,Kindesmissbrauch,PROPN,ORG_I
text3,1,45,(,(,PUNCT,
text3,1,46,CSAM,CSAM,PROPN,ORG_B
text3,1,47,),),PUNCT,
text3,1,48,zu,zu,ADP,
text3,1,49,finden,finden,NOUN,
text3,1,50,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_I
text3,2,3,fürchten,fürchten,VERB,
text3,2,4,",",",",PUNCT,
text3,2,5,dass,dass,PROPN,
text3,2,6,damit,damit,PROPN,
text3,2,7,ein,ein,PROPN,
text3,2,8,„,„,PUNCT,
text3,2,9,gefährlicher,gefährlicher,PROPN,
text3,2,10,Präzedenzfall,Präzedenzfall,PROPN,
text3,2,11,für,für,NOUN,
text3,2,12,die,die,VERB,
text3,2,13,massenhafte,massenhafte,NOUN,
text3,2,14,Ausspähung,Ausspähung,PROPN,ORG_B
text3,2,15,privater,privater,NOUN,
text3,2,16,Kommunikation,Kommunikation,PROPN,
text3,2,17,“,"""",PUNCT,
text3,2,18,geschaffen,geschaffen,PROPN,
text3,2,19,werden,werden,PROPN,
text3,2,20,könnte,könnte,PROPN,
text3,2,21,.,.,PUNCT,
text5,1,1,Schon,Schon,PROPN,
text5,1,2,Anfang,Anfang,PROPN,PERSON_B
text5,1,3,Februar,Februar,PROPN,PERSON_I
text5,1,4,hatten,hatten,VERB,
text5,1,5,mehr,mehr,NOUN,
text5,1,6,als,al,NOUN,
text5,1,7,40,40,NUM,CARDINAL_B
text5,1,8,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,GPE_B
text5,1,9,ein,ein,NOUN,PRODUCT_B
text5,1,10,Papier,Papier,PROPN,PRODUCT_I
text5,1,11,vorgestellt,vorgestellt,ADJ,
text5,1,12,",",",",PUNCT,
text5,1,13,in,in,ADP,
text5,1,14,dem,dem,PROPN,NORP_B
text5,1,15,sie,sie,PROPN,
text5,1,16,zehn,zehn,PROPN,
text5,1,17,Prinzipien,Prinzipien,PROPN,PERSON_B
text5,1,18,für,für,NOUN,
text5,1,19,den,den,VERB,
text5,1,20,Kampf,Kampf,PROPN,
text5,1,21,gegen,gegen,NOUN,
text5,1,22,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text5,1,23,erarbeitet,erarbeitet,NOUN,
text5,1,24,hatten,hatten,ADV,
text5,1,25,",",",",PUNCT,
text5,1,26,damit,damit,PROPN,
text5,1,27,die,die,VERB,
text5,1,28,Grund-,Grund-,PROPN,
text5,2,1,und,und,PROPN,
text5,2,2,Freiheitsrechte,Freiheitsrechte,PROPN,PERSON_B
text5,2,3,nicht,nicht,PROPN,
text5,2,4,beeinträchtigt,beeinträchtigt,PROPN,
text5,2,5,werden,werden,PROPN,
text5,2,6,.,.,PUNCT,
text5,3,1,I,I,PRON,
text5,3,2,m,m,VERB,
text5,3,3,offenen,offenen,ADJ,
text5,3,4,Brief,Brief,PROPN,
text5,3,5,(,(,PUNCT,
text5,3,6,PDF,PDF,PROPN,ORG_B
text5,3,7,),),PUNCT,
text5,3,8,werden,werden,PROPN,
text5,4,1,nun,nun,PROPN,
