doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Es,Es,PROPN,
text1,1,3,war,war,NOUN,
text1,1,4,nicht,nicht,PROPN,
text1,1,5,einfach,einfach,NOUN,
text1,1,6,“,"""",PUNCT,
text1,1,7,",",",",PUNCT,
text1,1,8,sagt,sagt,PROPN,
text1,1,9,der,der,NOUN,
text1,1,10,spanische,spanische,NOUN,
text1,1,11,Europa,Europa,PROPN,ORG_B
text1,1,12,-,-,PUNCT,ORG_I
text1,1,13,Abgeordnete,Abgeordnete,PROPN,ORG_I
text1,1,14,Javier,Javier,PROPN,
text1,1,15,Zarzalejo,Zarzalejo,PROPN,PERSON_B
text1,1,16,.,.,PUNCT,
text1,2,1,„,„,PUNCT,
text1,2,2,Es,Es,PROPN,
text1,2,3,gab,gab,ADJ,
text1,2,4,eine,eine,NOUN,
text1,2,5,sehr,sehr,NOUN,
text1,2,6,streitlustige,streitlustige,NOUN,
text1,2,7,Amtosphäre,Amtosphäre,PROPN,ORG_B
text1,2,8,.,.,PUNCT,
text1,2,9,“,"""",PUNCT,
text1,3,1,Dennoch,Dennoch,PROPN,
text1,3,2,habe,habe,PROPN,
text1,3,3,sich,sich,PROPN,
text1,3,4,das,das,PROPN,
text1,3,5,EU,EU,PROPN,ORG_B
text1,3,6,-,-,PUNCT,ORG_I
text1,3,7,Parlament,Parlament,PROPN,ORG_I
text1,3,8,auf,auf,PROPN,
text1,3,9,eine,eine,NOUN,
text1,3,10,Position,position,NOUN,
text1,3,11,für,für,NOUN,
text1,3,12,die,die,VERB,
text1,3,13,bevorstehenden,bevorstehenden,ADJ,
text1,3,14,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,3,15,geeinigt,geeinigt,PROPN,
text1,3,16,",",",",PUNCT,
text1,3,17,erklärt,erklärt,PROPN,
text1,3,18,der,der,PROPN,
text1,3,19,Christdemokrat,Christdemokrat,PROPN,NORP_B
text1,4,1,am,be,AUX,
text1,4,2,heutigen,heutigen,PROPN,
text1,4,3,Donnerstag,Donnerstag,PROPN,ORG_B
text1,4,4,auf,auf,PROPN,
text1,4,5,einer,einer,NOUN,
text1,4,6,Pressekonferenz,Pressekonferenz,PROPN,ORG_B
text1,4,7,.,.,PUNCT,
text1,5,1,Es,es,INTJ,
text1,5,2,geht,geht,AUX,
text1,5,3,um,um,INTJ,
text1,5,4,die,die,VERB,
text1,5,5,Verordnung,Verordnung,PROPN,PERSON_B
text1,5,6,zur,zur,PROPN,
text1,6,1,„,„,PUNCT,
text1,6,2,Bekämpfung,Bekämpfung,PROPN,
text1,6,3,des,des,X,
text1,6,4,sexuellen,sexuellen,NOUN,
text1,6,5,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,6,6,von,von,PROPN,PERSON_I
text1,6,7,Kindern,Kindern,PROPN,PERSON_I
text1,6,8,“,"""",PUNCT,
text1,6,9,",",",",PUNCT,
text1,6,10,die,die,VERB,
text1,6,11,Kritiker*innen,kritiker*innen,NOUN,
text1,6,12,wegen,wegen,NOUN,
text1,6,13,ihres,ihre,NOUN,
text1,6,14,umstrittensten,umstrittensten,VERB,
text1,6,15,Teils,Teils,PROPN,PRODUCT_B
text1,6,16,als,al,NOUN,
text1,6,17,„,„,PUNCT,
text1,6,18,Chatkontrolle,Chatkontrolle,PROPN,
text1,6,19,“,"""",PUNCT,
text1,6,20,bezeichnen,bezeichnen,NOUN,
text1,6,21,.,.,PUNCT,
text3,1,1,Zarzalejo,Zarzalejo,PROPN,PERSON_B
text3,1,2,ist,ist,VERB,
text3,1,3,Berichterstatter,Berichterstatter,PROPN,PERSON_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,federführenden,federführenden,ADJ,
text3,3,1,Ausschuss,Ausschuss,PROPN,
text3,3,2,für,für,NOUN,
text3,3,3,das,das,PROPN,
text3,3,4,Gesetz,Gesetz,PROPN,
text3,3,5,",",",",PUNCT,
text3,3,6,dem,dem,INTJ,PERSON_B
text3,3,7,Ausschuss,Ausschuss,PROPN,PERSON_I
text3,3,8,für,für,NOUN,
text3,3,9,bürgerliche,bürgerliche,NOUN,
text3,3,10,Freiheiten,Freiheiten,PROPN,PERSON_B
text3,3,11,",",",",PUNCT,
text3,3,12,Justiz,Justiz,PROPN,
text3,3,13,und,und,PROPN,
text3,3,14,Inneres,Inneres,PROPN,
text3,3,15,(,(,PUNCT,
text3,3,16,LIBE,LIBE,PROPN,
text3,3,17,),),PUNCT,
text3,3,18,.,.,PUNCT,
text3,4,1,Man,man,NOUN,
text3,4,2,habe,habe,PROPN,
text3,4,3,sich,sich,PROPN,
text3,4,4,über,über,PROPN,
text3,4,5,alle,alle,PROPN,
text3,4,6,Fraktionen,Fraktionen,PROPN,ORG_B
text3,4,7,hinweg,hinweg,NOUN,
text3,4,8,auf,auf,PROPN,
text3,4,9,eine,eine,NOUN,
text3,4,10,Position,Position,PROPN,
text3,4,11,geeinigt,geeinigt,PROPN,
text3,4,12,",",",",PUNCT,
text3,4,13,erklärt,erklärt,PROPN,
text3,4,14,er,er,INTJ,
text3,4,15,.,.,PUNCT,
text3,5,1,Am,be,AUX,
text3,5,2,13,13,NUM,CARDINAL_B
text3,5,3,.,.,PUNCT,
text3,6,1,oder,oder,NOUN,
text3,6,2,14,14,NUM,CARDINAL_B
text3,6,3,.,.,PUNCT,
text3,7,1,November,November,PROPN,DATE_B
text3,7,2,werde,werde,PROPN,
text3,7,3,darüber,darüber,PROPN,PERSON_B
text3,7,4,abgestimmt,abgestimmt,PROPN,PERSON_I
text3,7,5,.,.,PUNCT,
text3,8,1,Dann,Dann,PROPN,PERSON_B
text3,8,2,wäre,wäre,VERB,
text3,8,3,zumindest,zumind,ADJ,
text3,8,4,das,das,PROPN,ORG_B
text3,8,5,Parlament,Parlament,PROPN,ORG_I
text3,8,6,bereit,bereit,NOUN,
text3,8,7,für,für,ADV,
text3,8,8,die,die,VERB,
text3,8,9,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text3,8,10,mit,mit,VERB,PERSON_I
text3,8,11,dem,dem,ADJ,PERSON_I
text3,8,12,Ministerrat,Ministerrat,PROPN,PERSON_I
text3,8,13,und,und,PROPN,
text3,8,14,der,der,PROPN,
text3,8,15,Kommission,Kommission,PROPN,ORG_B
text3,8,16,i,I,PRON,
text3,8,17,m,m,VERB,
text3,8,18,sogenannten,sogenannten,VERB,
text3,8,19,Trilog,Trilog,PROPN,PRODUCT_B
text3,8,20,.,.,PUNCT,
text3,9,1,Der,Der,PROPN,PERSON_B
text3,9,2,Rat,Rat,PROPN,
text3,9,3,ist,ist,ADJ,
text3,9,4,allerdings,allerding,NOUN,
text3,9,5,noch,noch,PROPN,
text3,9,6,nicht,nicht,PROPN,
text3,9,7,soweit,soweit,PROPN,
text3,9,8,.,.,PUNCT,
text5,1,1,Am,be,AUX,
text5,1,2,gestrigen,gestrigen,NOUN,
text5,1,3,Mittwoch,Mittwoch,PROPN,
text5,1,4,haben,haben,NOUN,
text5,1,5,wir,wir,NOUN,
text5,1,6,bereits,bereit,VERB,
text5,1,7,über,über,PROPN,
text5,1,8,den,den,PROPN,
text5,1,9,Vorschlag,Vorschlag,PROPN,ORG_B
text5,1,10,aus,aus,PROPN,ORG_I
text5,1,11,dem,dem,ADJ,ORG_I
text5,1,12,Ausschuss,Ausschuss,PROPN,ORG_I
text5,1,13,berichtet,berichtet,NOUN,
text5,1,14,.,.,PUNCT,
text5,2,1,Er,Er,PROPN,
text5,2,2,soll,soll,NOUN,
text5,2,3,die,die,VERB,
text5,2,4,geplante,geplante,PRON,
text5,2,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,6,begrenzen,begrenzen,VERB,
text5,2,7,.,.,PUNCT,
text5,3,1,Mit,Mit,PROPN,PERSON_B
text5,3,2,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text5,3,3,ist,ist,ADP,
text5,3,4,das,das,PROPN,ORG_B
text5,3,5,automatische,automatische,PROPN,
text5,3,6,und,und,VERB,
text5,3,7,verdachtsunabhängige,verdachtsunabhängige,PROPN,PERSON_B
text5,3,8,Scannen,Scannen,PROPN,PERSON_I
text5,3,9,nach,nach,NOUN,
text5,3,10,Darstellungen,Darstellungen,PROPN,ORG_B
text5,3,11,sexualisierter,sexualisierter,NOUN,
text5,3,12,Gewalt,Gewalt,PROPN,PERSON_B
text5,3,13,gegen,gegen,NOUN,
text5,3,14,Kinder,Kinder,PROPN,NORP_B
text5,3,15,gemeint,gemeint,NOUN,
text5,3,16,",",",",PUNCT,
text5,3,17,ein,ein,PROPN,
text5,3,18,starker,starker,NOUN,
text5,3,19,Eingriff,Eingriff,PROPN,PERSON_B
text5,3,20,in,in,ADP,
text5,3,21,die,die,PROPN,
text5,3,22,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text5,3,23,und,und,PROPN,
text5,3,24,das,das,PROPN,
text5,3,25,digitale,digitale,ADJ,
text5,3,26,Briefgeheimnis,Briefgeheimnis,PROPN,
text5,3,27,.,.,PUNCT,
text7,1,1,Geht,geht,VERB,
text7,1,2,es,es,X,
text7,1,3,nach,nach,VERB,
text7,1,4,dem,dem,PROPN,
text7,1,5,Parlament,Parlament,PROPN,PRODUCT_B
text7,1,6,",",",",PUNCT,
text7,1,7,dann,dann,PROPN,
text7,1,8,soll,soll,PROPN,
text7,1,9,es,es,PROPN,
text7,1,10,keine,keine,NOUN,
text7,1,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,1,12,bei,bei,VERB,
text7,1,13,Ende,Ende,PROPN,
text7,1,14,-,-,PUNCT,
text7,1,15,zu,zu,NOUN,
text7,1,16,-,-,PUNCT,
text7,1,17,Ende,ende,ADJ,
text7,1,18,-,-,PUNCT,
text7,1,19,verschlüsselter,verschlüsselter,NOUN,
text7,1,20,Kommunikation,Kommunikation,PROPN,
text7,1,21,geben,geben,NOUN,
text7,1,22,.,.,PUNCT,
text7,2,1,Sonstige,Sonstige,PROPN,
text7,2,2,Scans,Scans,PROPN,NORP_B
text7,2,3,dürften,dürften,VERB,
text7,2,4,nur,nur,NOUN,
text7,2,5,nach,nach,PROPN,
text7,2,6,einem,einem,PROPN,
text7,2,7,richterlichen,richterlichen,PROPN,
text7,3,1,Beschluss,Beschluss,PROPN,PERSON_B
text7,3,2,bei,bei,VERB,
text7,3,3,verdächtigen,verdächtigen,NOUN,
text7,3,4,Einzelpersonen,Einzelpersonen,PROPN,ORG_B
text7,3,5,oder,oder,NOUN,
text7,3,6,Gruppen,Gruppen,PROPN,PERSON_B
text7,3,7,stattfinden,stattfinden,NOUN,
text7,3,8,.,.,PUNCT,
text7,4,1,Aus,Aus,PROPN,ORG_B
text7,4,2,dem,dem,ADJ,ORG_I
text7,4,3,Vorschlag,Vorschlag,PROPN,ORG_I
text7,4,4,der,der,PROPN,
text7,4,5,EU,EU,PROPN,ORG_B
text7,4,6,-,-,PUNCT,ORG_I
text7,4,7,Kommission,Kommission,PROPN,ORG_I
text7,4,8,gingen,gingen,NOUN,
text7,4,9,deutlich,deutlich,VERB,
text7,4,10,umfassendere,umfassendere,ADV,
text7,4,11,Scans,Scans,PROPN,NORP_B
text7,4,12,in,in,ADP,
text7,4,13,der,der,PROPN,
text7,4,14,Breite,Breite,PROPN,PERSON_B
text7,4,15,hervor,hervor,NOUN,
text7,4,16,.,.,PUNCT,
text9,1,1,Inzwischen,Inzwischen,PROPN,
text9,1,2,sind,sind,NOUN,
text9,1,3,weitere,weitere,VERB,
text9,1,4,Details,Details,PROPN,ORG_B
text9,1,5,aus,aus,ADP,ORG_I
text9,1,6,dem,dem,PROPN,ORG_I
text9,1,7,Parlaments,Parlaments,PROPN,ORG_I
text9,1,8,-,-,PUNCT,ORG_I
text9,1,9,Vorschlag,Vorschlag,PROPN,ORG_I
text9,1,10,bekannt,bekannt,NOUN,
text9,1,11,.,.,PUNCT,
text9,2,1,Außerdem,Außerdem,PROPN,
text9,2,2,gibt,gibt,NOUN,
text9,2,3,es,es,PROPN,
text9,2,4,erste,erste,PROPN,
text9,2,5,Einschätzungen,Einschätzungen,PROPN,PERSON_B
text9,2,6,von,von,PROPN,PERSON_I
text9,2,7,Organisationen,Organisationen,PROPN,PERSON_I
text9,2,8,",",",",PUNCT,
text9,2,9,die,die,VERB,
text9,2,10,sich,sich,PROPN,
text9,2,11,für,für,PROPN,
text9,2,12,Grund-,Grund-,PROPN,
text9,3,1,und,und,VERB,
text9,3,2,Menschenrechte,Menschenrechte,PROPN,PERSON_B
text9,3,3,einsetzen,einsetzen,NOUN,
text9,3,4,.,.,PUNCT,
text9,4,1,Der,Der,PROPN,PERSON_B
text9,4,2,Überblick,Überblick,PROPN,PERSON_I
text9,4,3,.,.,PUNCT,
text11,1,1,#,#,SYM,
text11,1,2,#,#,NOUN,
text11,1,3,Mehr,Mehr,PROPN,PERSON_B
text11,1,4,Pflichten,Pflichten,PROPN,PERSON_I
text11,1,5,zum,zum,NOUN,PERSON_B
text11,1,6,Löschen,löschen,NOUN,PERSON_I
text13,1,1,Hinweise,Hinweise,PROPN,PERSON_B
text13,1,2,auf,auf,PROPN,
text13,1,3,Darstellungen,Darstellungen,PROPN,ORG_B
text13,1,4,sexualisierter,sexualisierter,NOUN,
text13,1,5,Gewalt,Gewalt,PROPN,PERSON_B
text13,1,6,gegen,gegen,NOUN,
text13,1,7,Kinder,Kinder,PROPN,
text13,1,8,i,I,PRON,
text13,1,9,m,m,VERB,
text13,1,10,Netz,Netz,PROPN,PERSON_B
text13,1,11,häufen,häufen,NOUN,
text13,1,12,sich,sich,PROPN,
text13,1,13,–,–,PUNCT,
text13,1,14,aber,aber,PROPN,
text13,1,15,Ermittler*innen,Ermittler*innen,PROPN,
text13,1,16,lassen,lassen,PROPN,
text13,1,17,sie,sie,PROPN,
text13,1,18,nicht,nicht,PROPN,
text13,1,19,systematisch,systematisch,PROPN,
text13,1,20,löschen,löschen,PROPN,
text13,1,21,.,.,PUNCT,
text13,2,1,In,in,ADP,
text13,2,2,Deutschland,Deutschland,PROPN,GPE_B
text13,2,3,befasst,befasst,NOUN,
text13,2,4,sich,sich,PROPN,
text13,2,5,zum,zum,NOUN,ORG_B
text13,2,6,Beispiel,Beispiel,PROPN,ORG_I
text13,2,7,das,das,PROPN,ORG_I
text13,2,8,BKA,BKA,PROPN,ORG_I
text13,2,9,mit,mit,VERB,
text13,2,10,Ermittlungen,Ermittlungen,PROPN,ORG_B
text13,2,11,gegen,gegen,NOUN,
text13,2,12,sogenannte,sogenannte,PROPN,
text13,2,13,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text13,2,14,.,.,PUNCT,
text13,3,1,2022,2022,NUM,CARDINAL_B
text13,3,2,zeigte,zeigte,PROPN,PERSON_B
text13,3,3,die,die,VERB,
text13,3,4,Antwort,Antwort,PROPN,GPE_B
text13,3,5,der,der,NOUN,
text13,3,6,Bundesregierung,Bundesregierung,PROPN,
text13,3,7,auf,auf,PROPN,
text13,3,8,eine,eine,NOUN,
text13,3,9,Kleine,Kleine,PROPN,
text13,3,10,Anfrage,anfrage,NOUN,
text13,3,11,:,:,PUNCT,
text13,3,12,Das,Das,PROPN,
text13,3,13,BKA,BKA,PROPN,ORG_B
text13,3,14,sei,sei,ADJ,
text13,3,15,nicht,nicht,PROPN,
text13,3,16,dafür,dafür,PROPN,PERSON_B
text13,3,17,zuständig,zuständig,PROPN,PERSON_I
text13,3,18,",",",",PUNCT,
text13,3,19,die,die,VERB,
text13,3,20,entdeckten,entdeckten,VERB,
text13,3,21,Inhalte,Inhalte,PROPN,NORP_B
text13,3,22,auch,auch,NOUN,
text13,3,23,an,an,DET,
text13,3,24,die,die,NOUN,
text13,3,25,jeweiligen,jeweiligen,NOUN,PERSON_B
text13,3,26,Provider,Provider,PROPN,PERSON_I
text13,3,27,zu,zu,PROPN,
text13,3,28,melden,melden,ADJ,
text13,3,29,oder,oder,NOUN,
text13,3,30,löschen,löschen,PROPN,PERSON_B
text13,3,31,zu,zu,PROPN,PERSON_I
text13,3,32,lassen,lassen,PROPN,PERSON_I
text13,3,33,.,.,PUNCT,
text13,4,1,I,I,PRON,
text13,4,2,m,m,VERB,
text13,4,3,Fokus,Fokus,PROPN,PERSON_B
text13,4,4,stehe,stehe,PROPN,
text13,4,5,die,die,VERB,
text13,4,6,Suche,Suche,PROPN,ORG_B
text13,4,7,nach,nach,PROPN,
text13,4,8,Täter*innen,Täter*innen,PROPN,
text13,4,9,.,.,PUNCT,
text15,1,1,Davor,davor,NOUN,
text15,1,2,warnen,warnen,NOUN,
text15,1,3,Fachleute,Fachleute,PROPN,DATE_B
text15,1,4,wie,wie,NOUN,
text15,1,5,der,der,NOUN,
text15,1,6,Journalist,Journalist,PROPN,
text15,1,7,Daniel,Daniel,PROPN,PERSON_B
text15,1,8,Moßbrucker,Moßbrucker,PROPN,PERSON_I
text15,1,9,",",",",PUNCT,
text15,1,10,der,der,ADJ,
text15,1,11,seit,seit,NOUN,
text15,1,12,Jahren,Jahren,PROPN,PERSON_B
text15,1,13,zur,zur,PROPN,PERSON_B
text15,1,14,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text15,1,15,von,von,PROPN,PERSON_I
text15,2,1,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,
text15,2,2,i,I,PRON,
text15,2,3,m,m,VERB,
text15,2,4,Netz,Netz,PROPN,PERSON_B
text15,2,5,recherchiert,recherchiert,NOUN,
text15,2,6,:,:,PUNCT,
text15,2,7,Wenn,Wenn,PROPN,PERSON_B
text15,2,8,Ermittlungsbehörden,Ermittlungsbehörden,PROPN,PERSON_I
text15,2,9,nicht,nicht,NOUN,
text15,2,10,einschreiten,einschreiten,NOUN,
text15,2,11,",",",",PUNCT,
text15,2,12,schrieb,schrieb,NOUN,
