doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Innenkommissarin,Innenkommissarin,PROPN,
text1,1,5,Alva,Alva,PROPN,
text1,1,6,Johansson,Johansson,PROPN,
text1,1,7,hat,hat,NOUN,
text1,1,8,in,in,ADP,
text1,1,9,der,der,NOUN,
text1,1,10,Welt,Welt,PROPN,ORG_B
text1,1,11,am,be,AUX,ORG_I
text1,1,12,Sonntag,Sonntag,PROPN,ORG_I
text1,1,13,bekräftigt,bekräftigt,PROPN,
text1,1,14,",",",",PUNCT,
text1,1,15,in,in,ADP,
text1,1,16,den,den,NOUN,
text1,1,17,kommenden,kommenden,PROPN,
text1,1,18,Monaten,Monaten,PROPN,
text1,1,19,ein,ein,NOUN,
text1,1,20,neues,neue,VERB,
text1,1,21,Gesetz,Gesetz,PROPN,PRODUCT_B
text1,1,22,gegen,gegen,NOUN,
text1,1,23,sexuellen,sexuellen,NOUN,
text1,2,1,Missbrauch,Missbrauch,PROPN,PERSON_B
text1,2,2,von,von,PROPN,PERSON_I
text1,2,3,Kindern,Kindern,PROPN,PERSON_I
text1,2,4,vorzuschlagen,vorzuschlagen,NOUN,
text1,2,5,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,hätte,hätte,PROPN,
text1,3,3,auch,auch,PROPN,
text1,3,4,Folgen,Folgen,PROPN,
text1,3,5,für,für,NOUN,
text1,3,6,Online,Online,PROPN,
text1,3,7,-,-,PUNCT,
text1,3,8,Dienste,dienste,NOUN,
text1,3,9,:,:,PUNCT,
text1,3,10,Die,die,VERB,
text1,3,11,Unternehmen,Unternehmen,PROPN,
text1,3,12,sollen,sollen,NOUN,
text1,3,13,verpflichtet,verpflichtet,NOUN,
text1,3,14,werden,werden,PROPN,
text1,3,15,",",",",PUNCT,
text1,3,16,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text1,3,17,von,von,PROPN,PERSON_I
text1,3,18,Kindern,Kindern,PROPN,PERSON_I
text1,3,19,zu,zu,PROPN,
text1,3,20,erkennen,erkennen,NOUN,
text1,3,21,",",",",PUNCT,
text1,3,22,zu,zu,ADJ,PERSON_B
text1,3,23,melden,melden,ADJ,PERSON_I
text1,3,24,und,und,ADJ,PERSON_I
text1,3,25,zu,zu,ADJ,PERSON_I
text1,3,26,entfernen,entfernen,NOUN,PERSON_I
text1,3,27,.,.,PUNCT,
text1,4,1,„,„,PUNCT,
text1,4,2,Eine,eine,ADJ,
text1,4,3,freiwillige,freiwillige,NOUN,
text1,4,4,Meldung,Meldung,PROPN,PERSON_B
text1,4,5,wird,wird,NOUN,
text1,4,6,dann,dann,PROPN,ORG_B
text1,4,7,nicht,nicht,PROPN,ORG_I
text1,4,8,mehr,mehr,PROPN,
text1,4,9,ausreichen,ausreichen,PROPN,
text1,4,10,“,"""",PUNCT,
text1,4,11,",",",",PUNCT,
text1,4,12,so,so,ADV,
text1,4,13,Johansson,Johansson,PROPN,PERSON_B
text1,4,14,weiter,weiter,NOUN,
text1,4,15,.,.,PUNCT,
text1,5,1,Ursprünglich,Ursprünglich,PROPN,
text1,5,2,war,war,NOUN,
text1,5,3,die,die,VERB,
text1,5,4,Vorstellung,Vorstellung,PROPN,PERSON_B
text1,5,5,des,des,PROPN,
text1,5,6,brisanten,brisanten,ADJ,
text1,6,1,Gesetzentwurfes,Gesetzentwurfes,PROPN,
text1,6,2,für,für,INTJ,
text1,6,3,den,den,VERB,
text1,6,4,1,1,NUM,CARDINAL_B
text1,6,5,.,.,PUNCT,
text1,7,1,Dezember,dezember,NOUN,DATE_B
text1,7,2,2021,2021,NUM,DATE_I
text1,7,3,geplant,geplant,NOUN,
text1,7,4,gewesen,gewesen,PROPN,
text1,7,5,",",",",PUNCT,
text1,7,6,wurde,wurde,PROPN,ORG_B
text1,7,7,aber,aber,PROPN,
text1,7,8,von,von,PROPN,PERSON_B
text1,7,9,der,der,PROPN,PERSON_I
text1,7,10,EU,EU,PROPN,ORG_B
text1,7,11,-,-,PUNCT,ORG_I
text1,7,12,Kommission,Kommission,PROPN,ORG_I
text1,7,13,verschoben,verschoben,NOUN,
text1,7,14,.,.,PUNCT,
text1,8,1,Laut,Laut,PROPN,PERSON_B
text1,8,2,Johansson,Johansson,PROPN,PERSON_I
text1,8,3,seien,seien,NOUN,
text1,8,4,die,die,VERB,
text1,8,5,i,I,PRON,
text1,8,6,m,m,VERB,
text1,8,7,Jahr,Jahr,PROPN,PERSON_B
text1,8,8,2020,2020,NUM,PERSON_I
text1,8,9,gemachten,gemachten,VERB,
text1,8,10,etwa,etwa,NOUN,
text1,8,11,22,22,NUM,CARDINAL_B
text1,8,12,Millionen,Millionen,PROPN,PERSON_B
text1,8,13,Meldungen,Meldungen,PROPN,PERSON_I
text1,8,14,nur,nur,VERB,
text1,8,15,ein,ein,PROPN,
text1,8,16,Bruchteil,Bruchteil,PROPN,PERSON_B
text1,8,17,der,der,PROPN,
text1,8,18,wirklichen,wirklichen,PROPN,
text1,8,19,Straftaten,Straftaten,PROPN,FAC_B
text1,8,20,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Entdeckung,Entdeckung,PROPN,
text3,1,3,und,und,PROPN,
text3,1,4,Entfernung,Entfernung,PROPN,
text3,2,1,von,von,PROPN,
text3,2,2,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,
text3,2,3,müsse,müsse,PROPN,
text3,2,4,künftig,künftig,PROPN,
text3,2,5,ein,ein,PROPN,
text3,2,6,„,„,PUNCT,
text3,2,7,automatischer,automatischer,ADJ,
text3,2,8,Reflex,Reflex,PROPN,PERSON_B
text3,2,9,“,"""",PUNCT,
text3,2,10,für,für,INTJ,
text3,2,11,die,die,VERB,
text3,2,12,Internetanbieter,Internetanbieter,PROPN,
text3,2,13,werden,werden,PROPN,
text3,2,14,",",",",PUNCT,
text3,2,15,so,so,ADV,
text3,2,16,die,die,VERB,
text3,2,17,sozialdemokratische,sozialdemokratische,NOUN,
text3,2,18,Innenpolitikerin,Innenpolitikerin,PROPN,NORP_B
text3,2,19,gegenüber,gegenüber,PROPN,
text3,2,20,der,der,PROPN,
text3,2,21,Welt,Welt,PROPN,ORG_B
text3,2,22,am,be,AUX,ORG_I
text3,2,23,Sonntag,Sonntag,PROPN,ORG_I
text3,2,24,.,.,PUNCT,
text3,3,1,Damit,Damit,PROPN,
text3,3,2,hält,hält,NOUN,
text3,3,3,Johansson,Johansson,PROPN,PERSON_B
text3,3,4,offenbar,offenbar,NOUN,
text3,3,5,an,an,DET,
text3,3,6,der,der,NOUN,
text3,3,7,umstrittenen,umstrittenen,NOUN,
text3,3,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,9,fest,fest,ADV,
text3,3,10,.,.,PUNCT,
text3,4,1,Unter,Unter,PROPN,ORG_B
text3,4,2,dem,dem,ADJ,ORG_I
text3,4,3,Begriff,Begriff,PROPN,ORG_I
text3,4,4,werden,werden,VERB,
text3,4,5,Verfahren,Verfahren,PROPN,PERSON_B
text3,4,6,subsumiert,subsumiert,NOUN,
text3,4,7,",",",",PUNCT,
text3,4,8,bei,bei,VERB,
text3,4,9,dem,dem,ADJ,NORP_B
text3,4,10,Inhalte,Inhalte,PROPN,NORP_B
text3,4,11,auf,auf,PROPN,
text3,4,12,den,den,VERB,
text3,4,13,Endgeräten,Endgeräten,PROPN,
text3,4,14,der,der,PROPN,
text3,4,15,Nutzer,Nutzer,PROPN,PERSON_B
text3,4,16,:,:,PUNCT,
text3,4,17,innen,innen,NOUN,
text3,4,18,nach,nach,NOUN,
text3,4,19,bestimmten,bestimmten,VERB,
text3,4,20,Dateien,Dateien,PROPN,PERSON_B
text3,4,21,durchsucht,durchsucht,PROPN,PERSON_I
text3,4,22,werden,werden,X,
text3,4,23,.,.,PUNCT,
text3,5,1,Zwar,Zwar,PROPN,PERSON_B
text3,5,2,seien,seien,NOUN,
text3,5,3,laut,laut,PROPN,
text3,5,4,Johansson,Johansson,PROPN,PERSON_B
text3,5,5,Datenschutz,Datenschutz,PROPN,PERSON_I
text3,5,6,und,und,PROPN,
text3,5,7,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text3,5,8,wichtig,wichtig,NOUN,
text3,5,9,",",",",PUNCT,
text3,5,10,aber,aber,PROPN,
text3,5,11,der,der,PROPN,
text3,5,12,Fokus,Fokus,PROPN,ORG_B
text3,5,13,müsse,müsse,NOUN,
text3,5,14,„,„,PUNCT,
text3,5,15,in,in,ADP,
text3,5,16,erster,erster,NOUN,
text3,5,17,Linie,Linie,PROPN,PERSON_B
text3,5,18,auf,auf,PROPN,
text3,6,1,dem,dem,INTJ,NORP_B
text3,6,2,Schutz,Schutz,PROPN,
text3,6,3,der,der,ADJ,
text3,6,4,Kinder,Kinder,PROPN,PERSON_B
text3,6,5,liegen,liegen,NOUN,PERSON_I
text3,6,6,.,.,PUNCT,
text3,7,1,“,"""",PUNCT,
text3,7,2,Die,die,VERB,
text3,7,3,Verpflichtungen,Verpflichtungen,PROPN,PERSON_B
text3,7,4,sollen,sollen,NOUN,
text3,7,5,für,für,NOUN,
text3,7,6,große,große,NOUN,
text3,7,7,und,und,VERB,
text3,7,8,kleine,kleine,NOUN,
text3,7,9,Unternehmen,Unternehmen,PROPN,ORG_B
text3,7,10,gelten,gelten,PROPN,
text3,7,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Neue,Neue,PROPN,PERSON_B
text5,1,4,Überwachungsmöglichkeiten,Überwachungsmöglichkeiten,PROPN,PERSON_I
text7,1,1,Grundsätzlich,Grundsätzlich,PROPN,PERSON_B
text7,1,2,könnte,könnte,NOUN,
text7,1,3,dabei,dabei,VERB,
text7,1,4,auf,auf,PROPN,
text7,1,5,bereits,bereit,NOUN,
text7,1,6,bestehende,bestehende,PROPN,
text7,1,7,Ansätze,Ansätze,PROPN,PERSON_B
text7,1,8,zurückgegriffen,zurückgegriffen,PROPN,PERSON_B
text7,1,9,werden,werden,PROPN,PERSON_I
text7,1,10,",",",",PUNCT,
text7,1,11,beispielsweise,beispielsweise,PROPN,
text7,1,12,auf,auf,PROPN,
text7,1,13,die,die,VERB,
text7,1,14,von,von,PROPN,PERSON_B
text7,1,15,Microsoft,Microsoft,PROPN,PERSON_I
text7,1,16,entwickelte,entwickelte,PROPN,
text7,1,17,PhotoDNA,PhotoDNA,PROPN,
text7,1,18,-,-,PUNCT,
text7,1,19,Software,Software,PROPN,
text7,1,20,und,und,NOUN,
text7,1,21,die,die,VERB,
text7,1,22,Datenbank,Datenbank,PROPN,ORG_B
text7,1,23,der,der,NOUN,
text7,1,24,US,US,PROPN,ORG_B
text7,1,25,-,-,PUNCT,ORG_I
text7,1,26,Organisation,Organisation,PROPN,ORG_I
text7,1,27,National,National,PROPN,ORG_I
text7,1,28,Center,Center,PROPN,ORG_I
