doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,A,a,DET,
text1,1,2,controversial,controversial,ADJ,
text1,1,3,new,new,ADJ,
text1,1,4,law,law,NOUN,
text1,1,5,proposed,propose,VERB,
text1,1,6,by,by,ADP,
text1,1,7,the,the,DET,ORG_B
text1,1,8,European,European,PROPN,ORG_I
text1,1,9,Commission,Commission,PROPN,ORG_I
text1,1,10,could,could,AUX,
text1,1,11,oblige,oblige,VERB,
text1,1,12,popular,popular,ADJ,
text1,1,13,apps,app,NOUN,
text1,1,14,such,such,ADJ,
text1,1,15,as,as,ADP,
text1,1,16,Instagram,Instagram,PROPN,ORG_B
text1,1,17,",",",",PUNCT,
text1,1,18,WhatsApp,WhatsApp,PROPN,ORG_B
text1,1,19,or,or,CCONJ,
text1,1,20,Signal,Signal,PROPN,ORG_B
text1,1,21,to,to,PART,
text1,1,22,screen,screen,VERB,
text1,1,23,all,all,DET,
text1,1,24,private,private,ADJ,
text1,1,25,messages,message,NOUN,
text1,1,26,of,of,ADP,
text1,1,27,their,their,PRON,
text1,1,28,users,user,NOUN,
text1,1,29,for,for,ADP,
text1,1,30,possible,possible,ADJ,
text1,1,31,child,child,NOUN,
text1,1,32,abuse,abuse,NOUN,
text1,1,33,material,material,NOUN,
text1,1,34,.,.,PUNCT,
text3,1,1,The,the,DET,
text3,1,2,draft,draft,NOUN,
text3,1,3,law,law,NOUN,
text3,1,4,",",",",PUNCT,
text3,1,5,unveiled,unveil,VERB,
text3,1,6,yesterday,yesterday,NOUN,DATE_B
text3,1,7,in,in,ADP,
text3,1,8,Brussels,Brussels,PROPN,GPE_B
text3,1,9,",",",",PUNCT,
text3,1,10,does,do,AUX,
text3,1,11,not,not,PART,
text3,1,12,specify,specify,VERB,
text3,1,13,which,which,DET,
text3,1,14,technology,technology,NOUN,
text3,1,15,must,must,AUX,
text3,1,16,be,be,AUX,
text3,1,17,used,use,VERB,
text3,1,18,.,.,PUNCT,
text3,2,1,Privacy,privacy,NOUN,
text3,2,2,advocates,advocate,NOUN,
text3,2,3,fear,fear,VERB,
text3,2,4,that,that,SCONJ,
text3,2,5,in,in,ADP,
text3,2,6,practice,practice,NOUN,
text3,2,7,",",",",PUNCT,
text3,2,8,the,the,DET,
text3,2,9,law,law,NOUN,
text3,2,10,could,could,AUX,
text3,2,11,mean,mean,VERB,
text3,2,12,that,that,SCONJ,
text3,2,13,most,most,ADJ,
text3,2,14,services,service,NOUN,
text3,2,15,will,will,AUX,
text3,2,16,have,have,VERB,
text3,2,17,to,to,PART,
text3,2,18,use,use,VERB,
text3,2,19,client,client,NOUN,
text3,2,20,-,-,PUNCT,
text3,2,21,side,side,NOUN,
text3,2,22,scanning,scanning,NOUN,
text3,2,23,",",",",PUNCT,
text3,2,24,an,an,DET,
text3,2,25,intrusive,intrusive,ADJ,
text3,2,26,technology,technology,NOUN,
text3,2,27,that,that,PRON,
text3,2,28,circumvents,circumvent,VERB,
text3,2,29,end,end,NOUN,
text3,2,30,-,-,PUNCT,
text3,2,31,to,to,ADP,
text3,2,32,-,-,PUNCT,
text3,2,33,end,end,NOUN,
text3,2,34,encryption,encryption,NOUN,
text3,2,35,.,.,PUNCT,
text5,1,1,While,while,SCONJ,
text5,1,2,opposition,opposition,NOUN,
text5,1,3,to,to,ADP,
text5,1,4,the,the,DET,
text5,1,5,new,new,ADJ,
text5,1,6,law,law,NOUN,
text5,1,7,is,be,AUX,
text5,1,8,led,lead,VERB,
text5,1,9,by,by,ADP,
text5,1,10,privacy,privacy,NOUN,
text5,1,11,organisations,organisation,NOUN,
text5,1,12,and,and,CCONJ,
text5,1,13,members,member,NOUN,
text5,1,14,of,of,ADP,
text5,1,15,the,the,DET,ORG_B
text5,1,16,European,European,PROPN,ORG_I
text5,1,17,Parliament,Parliament,PROPN,ORG_I
text5,1,18,",",",",PUNCT,
text5,1,19,a,a,DET,
text5,1,20,leading,lead,VERB,
