doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wer,wer,ADJ,
text1,1,2,auch,auch,ADJ,
text1,1,3,immer,immer,NOUN,
text1,1,4,die,die,VERB,
text1,1,5,nächste,nächste,NOUN,
text1,1,6,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,1,7,stellt,stellt,NOUN,
text1,1,8,:,:,PUNCT,
text1,1,9,Sie,Sie,PROPN,PERSON_B
text1,1,10,wird,wird,NOUN,
text1,1,11,Deutschland,Deutschland,PROPN,GPE_B
text1,1,12,in,in,ADP,
text1,1,13,den,den,NOUN,
text1,1,14,EU,EU,PROPN,ORG_B
text1,1,15,-,-,PUNCT,
text1,1,16,Verhandlungen,Verhandlungen,PROPN,
text1,1,17,rund,rund,NOUN,
text1,1,18,um,um,INTJ,
text1,1,19,die,die,VERB,
text1,1,20,sogenannte,sogenannte,NOUN,
text1,1,21,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,22,vertreten,vertreten,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,Bislang,Bislang,PROPN,PERSON_B
text1,2,2,hatte,hatte,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,Ampel,Ampel,PROPN,ORG_B
text1,2,5,-,-,PUNCT,ORG_I
text1,2,6,Koalition,Koalition,PROPN,ORG_I
text1,2,7,mit,mit,NOUN,
text1,2,8,ihrer,ihrer,NOUN,
text1,2,9,Ablehnung,Ablehnung,PROPN,PRODUCT_B
text1,2,10,dazu,dazu,NOUN,
text1,2,11,beigetragen,beigetragen,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,dass,dass,NOUN,
text1,2,14,sich,sich,PROPN,
text1,2,15,der,der,PROPN,
text1,2,16,EU,EU,PROPN,ORG_B
text1,2,17,-,-,PUNCT,
text1,2,18,Rat,Rat,PROPN,
text1,2,19,nicht,nicht,PROPN,
text1,2,20,auf,auf,PROPN,
text1,2,21,eine,eine,NOUN,
text1,2,22,gemeinsame,gemeinsame,NOUN,
text1,2,23,Position,Position,PROPN,
text1,2,24,einigen,einigen,NOUN,
text1,2,25,konnte,konnte,NOUN,
text1,2,26,–,–,PUNCT,
text1,2,27,und,und,ADJ,
text1,2,28,hat,hat,NOUN,
text1,2,29,so,so,ADV,
text1,2,30,die,die,VERB,
text1,2,31,Einführung,Einführung,PROPN,
text1,2,32,der,der,NOUN,
text1,2,33,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,2,34,mitverhindert,mitverhindert,NOUN,
text1,2,35,.,.,PUNCT,
text1,3,1,Ein,Ein,PROPN,PERSON_B
text1,3,2,Rückzieher,Rückzieher,PROPN,PERSON_I
text1,3,3,Deutschlands,Deutschlands,PROPN,PERSON_I
text1,3,4,könnte,könnte,PROPN,
text1,3,5,dazu,dazu,PROPN,PERSON_B
text1,3,6,führen,führen,PROPN,PERSON_I
text1,3,7,",",",",PUNCT,
text1,3,8,dass,dass,PROPN,
text1,3,9,die,die,VERB,
text1,3,10,bisherige,bisherige,PROPN,
text1,3,11,Sperrminorität,Sperrminorität,PROPN,NORP_B
text1,3,12,der,der,PROPN,
text1,3,13,EU,EU,PROPN,ORG_B
text1,3,14,-,-,PUNCT,
text1,3,15,Länder,Länder,PROPN,
text1,3,16,einreißt,einreißt,NOUN,
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,3,ist,ist,ADP,
text3,1,4,Teil,Teil,PROPN,PERSON_B
text3,1,5,eines,eine,VERB,
text3,1,6,Gesetzesvorschlags,Gesetzesvorschlags,PROPN,ORG_B
text3,1,7,der,der,PROPN,
text3,1,8,EU,EU,PROPN,ORG_B
text3,1,9,-,-,PUNCT,ORG_I
text3,1,10,Kommission,Kommission,PROPN,ORG_I
text3,1,11,aus,aus,ADP,ORG_I
text3,1,12,dem,dem,ADJ,ORG_I
text3,1,13,Jahr,Jahr,PROPN,ORG_I
text3,1,14,2021,2021,NUM,DATE_B
text3,1,15,.,.,PUNCT,
text3,2,1,Erklärtes,Erklärtes,PROPN,
text3,2,2,Ziel,Ziel,PROPN,PERSON_B
text3,2,3,ist,ist,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,den,den,VERB,
text3,2,6,sexualisierten,sexualisierten,ADV,
text3,2,7,Missbrauch,missbrauch,ADJ,PERSON_B
text3,2,8,von,von,PROPN,PERSON_I
text3,2,9,Kindern,Kindern,PROPN,PERSON_I
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Internet,internet,NOUN,
text3,3,4,zu,zu,NOUN,
text3,3,5,bekämpfen,bekämpfen,NOUN,
text3,3,6,.,.,PUNCT,
text3,4,1,Besonders,besonder,NOUN,
text3,4,2,brisant,brisant,VERB,
text3,4,3,in,in,ADP,
text3,4,4,dem,dem,ADJ,NORP_B
text3,4,5,Maßnahmenpaket,Maßnahmenpaket,PROPN,
text3,4,6,ist,ist,NOUN,
text3,4,7,der,der,PROPN,
text3,4,8,Vorschlag,Vorschlag,PROPN,ORG_B
text3,4,9,",",",",PUNCT,
text3,4,10,Online,Online,PROPN,
text3,4,11,-,-,PUNCT,
text3,4,12,Dienste,Dienste,PROPN,
text3,4,13,mit,mit,NOUN,
text3,4,14,Anordnungen,Anordnungen,PROPN,
text3,4,15,zu,zu,NOUN,PERSON_B
text3,4,16,verpflichten,verpflichten,X,PERSON_I
text3,4,17,",",",",PUNCT,
text3,4,18,die,die,VERB,
text3,4,19,Inhalte,Inhalte,PROPN,NORP_B
text3,4,20,ihrer,ihrer,NOUN,
text3,4,21,Nutzer,Nutzer,PROPN,ORG_B
text3,4,22,:,:,PUNCT,
text3,4,23,innen,innen,NOUN,
text3,4,24,automatisiert,automatisiert,NOUN,
text3,4,25,auf,auf,PROPN,
text3,4,26,Straftaten,Straftaten,PROPN,QUANTITY_B
text3,4,27,zu,zu,NOUN,QUANTITY_I
text3,4,28,durchsuchen,durchsuchen,NOUN,QUANTITY_I
text3,4,29,und,und,VERB,
text3,4,30,diese,diese,ADJ,NORP_B
text3,4,31,bei,bei,NOUN,
text3,4,32,Verdacht,Verdacht,PROPN,PERSON_B
text3,4,33,an,an,DET,
text3,4,34,Behörden,Behörden,PROPN,GPE_B
text3,4,35,zu,zu,NOUN,
text3,4,36,melden,melden,NOUN,
text3,4,37,.,.,PUNCT,
text5,1,1,Greifen,Greifen,PROPN,PERSON_B
text5,1,2,soll,soll,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,Auflage,Auflage,PROPN,
text5,1,5,selbst,selbst,PROPN,
text5,1,6,bei,bei,VERB,
text5,1,7,Ende,Ende,PROPN,
text5,1,8,-,-,PUNCT,
text5,1,9,zu,zu,NOUN,
text5,1,10,-,-,PUNCT,
text5,1,11,Ende,ende,ADJ,
text5,1,12,-,-,PUNCT,
text5,1,13,verschlüsselten,verschlüsselten,NOUN,
text5,1,14,Inhalten,Inhalten,PROPN,
text5,1,15,.,.,PUNCT,
text5,2,1,Beispielsweise,Beispielsweise,PROPN,
text5,2,2,ist,ist,NOUN,
text5,2,3,mit,mit,PROPN,
text5,2,4,sogenanntem,sogenanntem,NOUN,
text5,2,5,Client,Client,PROPN,
text5,2,6,-,-,PUNCT,
text5,2,7,Side,Side,PROPN,
text5,2,8,-,-,PUNCT,
text5,2,9,Scanning,scan,VERB,
text5,2,10,möglich,möglich,NOUN,
text5,2,11,",",",",PUNCT,
text5,2,12,in,in,ADP,
text5,2,13,eigentlich,eigentlich,PROPN,
text5,2,14,vertraulich,vertraulich,NOUN,
text5,2,15,versandte,versandte,VERB,
text5,2,16,Nachrichten,Nachrichten,PROPN,
text5,2,17,hineinzuschauen,hineinzuschauen,PROPN,
text5,2,18,",",",",PUNCT,
text5,2,19,bevor,bevor,NOUN,
text5,2,20,sie,sie,PROPN,
text5,2,21,verschlüsselt,verschlüsselt,VERB,
text5,2,22,werden,werden,X,
text5,2,23,.,.,PUNCT,
text5,3,1,IT,IT,PROPN,
text5,3,2,-,-,PUNCT,
text5,3,3,Sicherheitsforscher,Sicherheitsforscher,PROPN,
text5,3,4,:,:,PUNCT,
text5,3,5,innen,innen,NOUN,
text5,3,6,sehen,sehen,NOUN,
text5,3,7,darin,darin,PROPN,
text5,3,8,eine,eine,NOUN,
text5,3,9,Gefahr,Gefahr,PROPN,PERSON_B
text5,3,10,für,für,NOUN,
text5,3,11,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text5,3,12,",",",",PUNCT,
text5,3,13,IT,IT,PROPN,
text5,3,14,-,-,PUNCT,
text5,3,15,Sicherheit,Sicherheit,PROPN,
text5,3,16,",",",",PUNCT,
text5,3,17,Meinungsfreiheit,Meinungsfreiheit,PROPN,ORG_B
text5,3,18,und,und,ADJ,
text5,3,19,letztlich,letztlich,NOUN,
text5,3,20,die,die,VERB,
text5,3,21,Demokratie,Demokratie,PROPN,ORG_B
text5,3,22,.,.,PUNCT,
text7,1,1,Schon,Schon,PROPN,
text7,1,2,i,I,PRON,
text7,1,3,m,m,VERB,
text7,1,4,Jahr,Jahr,PROPN,PERSON_B
text7,1,5,2023,2023,NUM,PERSON_I
text7,1,6,hatte,hatte,PROPN,
text7,1,7,das,das,PROPN,ORG_B
text7,1,8,EU,EU,PROPN,ORG_I
text7,1,9,-,-,PUNCT,ORG_I
text7,1,10,Parlament,Parlament,PROPN,ORG_I
text7,1,11,diese,diese,ADJ,NORP_B
text7,1,12,Form,Form,PROPN,
text7,1,13,von,von,PROPN,
text7,1,14,„,„,PUNCT,
text7,1,15,Massenüberwachung,massenüberwachung,ADJ,
text7,1,16,“,"""",PUNCT,
