doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wir,wir,ADJ,
text1,1,2,haben,haben,NOUN,
text1,1,3,bereits,bereit,VERB,
text1,1,4,zuvor,zuvor,PROPN,
text1,1,5,über,über,PROPN,
text1,1,6,diesen,diesen,PROPN,
text1,1,7,Brief,Brief,PROPN,
text1,1,8,berichtet,berichtet,PROPN,
text1,1,9,",",",",PUNCT,
text1,1,10,das,das,PROPN,ORG_B
text1,1,11,englischsprachige,englischsprachige,VERB,ORG_I
text1,1,12,Orginal,Orginal,PROPN,ORG_B
text1,1,13,wurde,wurde,PROPN,
text1,1,14,mittlerweile,mittlerweile,PROPN,PERSON_B
text1,1,15,von,von,PROPN,PERSON_I
text1,1,16,über,über,PROPN,PERSON_I
text1,1,17,300,300,NUM,
text1,1,18,Wissenschaftler,Wissenschaftler,PROPN,PERSON_B
text1,1,19,:,:,PUNCT,
text1,1,20,innen,innen,NOUN,
text1,1,21,und,und,VERB,
text1,1,22,Forschenden,forschenden,ADJ,PERSON_B
text1,1,23,unterzeichnet,unterzeichnet,NOUN,
text1,1,24,.,.,PUNCT,
text3,1,1,Übersetzung,Übersetzung,PROPN,
text3,1,2,:,:,PUNCT,
text3,1,3,Johannes,Johannes,PROPN,
text3,1,4,Gille,Gille,PROPN,
text6,1,1,Sehr,Sehr,PROPN,ORG_B
text6,1,2,geehrte,geehrte,NOUN,ORG_I
text6,1,3,Mitglieder,Mitglieder,PROPN,ORG_I
text6,1,4,des,des,X,ORG_I
text6,1,5,Europäischen,Europäischen,PROPN,ORG_I
text6,1,6,Parlaments,Parlaments,PROPN,ORG_I
text6,1,7,",",",",PUNCT,
text8,1,1,Sehr,Sehr,PROPN,GPE_B
text8,1,2,geehrte,geehrte,NOUN,
text8,1,3,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,
text8,1,4,des,des,X,
text8,1,5,Rats,Rats,PROPN,
text8,1,6,der,der,PROPN,
text8,1,7,Europäischen,Europäischen,PROPN,PERSON_B
text8,1,8,Union,Union,PROPN,PERSON_I
text8,1,9,",",",",PUNCT,
text10,1,1,*,*,PUNCT,
text10,1,2,*,*,PUNCT,
text10,1,3,Gemeinsame,Gemeinsame,PROPN,
text10,1,4,Erklärung,Erklärung,PROPN,PERSON_B
text10,1,5,von,von,PROPN,PERSON_I
text10,1,6,Wissenschaftler,Wissenschaftler,PROPN,PERSON_I
text10,1,7,:,:,PUNCT,
text10,1,8,innen,innen,NOUN,
text10,1,9,und,und,VERB,
text10,1,10,Forschenden,Forschenden,PROPN,GPE_B
text10,1,11,zur,zur,PROPN,
text10,1,12,vorgeschlagenen,vorgeschlagenen,NOUN,
text10,1,13,EU,EU,PROPN,ORG_B
text10,1,14,-,-,PUNCT,ORG_I
text10,1,15,Verordnung,Verordnung,PROPN,ORG_I
text10,1,16,zum,zum,NOUN,
text10,1,17,sexuellen,sexuellen,NOUN,
text10,1,18,Missbrauch,Missbrauch,PROPN,PERSON_B
text10,1,19,von,von,PROPN,PERSON_I
text10,1,20,Kindern,kindern,NOUN,PERSON_I
text10,1,21,:,:,PUNCT,
text10,1,22,*,*,PUNCT,
text10,1,23,*,*,PUNCT,
text10,1,24,*,*,PUNCT,
text10,1,25,*,*,NOUN,
text10,1,26,4,4,NUM,CARDINAL_B
text10,1,27,.,.,PUNCT,
text10,2,1,Juli,Juli,PROPN,DATE_B
text10,2,2,2023,2023,NUM,DATE_I
text10,2,3,*,*,PUNCT,
text10,2,4,*,*,PUNCT,
text12,1,1,Diese,Diese,PROPN,NORP_B
text12,1,2,Erklärung,Erklärung,PROPN,
text12,1,3,wurde,wurde,NOUN,PERSON_B
text12,1,4,von,von,PROPN,PERSON_I
text12,1,5,Wissenschaftler,Wissenschaftler,PROPN,PERSON_I
text12,1,6,:,:,PUNCT,
text12,1,7,innen,innen,NOUN,
text12,1,8,und,und,VERB,
text12,1,9,Forschenden,Forschenden,PROPN,ORG_B
text12,1,10,aus,aus,ADP,ORG_I
text12,1,11,der,der,PROPN,ORG_I
text12,1,12,ganzen,ganzen,PROPN,
text12,1,13,Welt,Welt,PROPN,
text12,1,14,unterzeichnet,unterzeichnet,NOUN,
text12,1,15,.,.,PUNCT,
text14,1,1,Zuallererst,Zuallererst,PROPN,
text14,1,2,erkennen,erkennen,NOUN,
text14,1,3,wir,wir,NOUN,
text14,1,4,an,an,PRON,
text14,1,5,",",",",PUNCT,
text14,1,6,dass,dass,NOUN,
text14,1,7,sexueller,sexueller,NOUN,
text14,1,8,Missbrauch,Missbrauch,PROPN,
text14,1,9,und,und,NOUN,
text14,1,10,sexuelle,sexuelle,NOUN,
text14,1,11,Ausbeutung,Ausbeutung,PROPN,PERSON_B
text14,1,12,von,von,PROPN,PERSON_I
text14,1,13,Kindern,Kindern,PROPN,PERSON_I
text14,1,14,ein,ein,PROPN,
text14,1,15,sehr,sehr,NOUN,
text14,1,16,schweres,schwere,VERB,
text14,1,17,Verbrechen,Verbrechen,PROPN,PERSON_B
text14,1,18,ist,ist,PROPN,PERSON_I
text14,1,19,",",",",PUNCT,
text14,1,20,das,das,PROPN,PRODUCT_B
text14,1,21,den,den,VERB,PRODUCT_I
text14,1,22,Überlebenden,Überlebenden,PROPN,PRODUCT_I
text14,1,23,lebenslange,lebenslange,VERB,PRODUCT_I
text14,1,24,Schäden,Schäden,PROPN,PRODUCT_I
