doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Zwei,Zwei,PROPN,PERSON_B
text1,1,2,Monate,Monate,PROPN,PERSON_I
text1,1,3,hatten,hatten,NOUN,
text1,1,4,wir,wir,NOUN,
text1,1,5,etwas,etwa,VERB,
text1,1,6,Ruhe,Ruhe,PROPN,PERSON_B
text1,1,7,von,von,PROPN,PERSON_I
text1,1,8,der,der,NOUN,PERSON_I
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text1,1,10,.,.,PUNCT,
text1,2,1,Nach,Nach,PROPN,
text1,2,2,der,der,NOUN,
text1,2,3,Sommerpause,Sommerpause,PROPN,
text1,2,4,geht,geht,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,Auseinandersetzung,Auseinandersetzung,PROPN,PERSON_B
text1,2,7,in,in,ADP,
text1,2,8,der,der,PROPN,
text1,2,9,EU,EU,PROPN,ORG_B
text1,2,10,weiter,weiter,NOUN,
text1,2,11,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Kommission,Kommission,PROPN,ORG_I
text3,1,3,will,will,AUX,
text3,1,4,seit,seit,VERB,
text3,1,5,über,über,PROPN,
text3,1,6,zwei,zwei,PROPN,
text3,2,1,Jahren,Jahren,PROPN,PERSON_B
text3,2,2,Internetdienste,Internetdienste,PROPN,PERSON_I
text3,2,3,verpflichten,verpflichten,VERB,
text3,2,4,",",",",PUNCT,
text3,2,5,die,die,VERB,
text3,2,6,Inhalte,Inhalte,PROPN,NORP_B
text3,2,7,ihrer,ihrer,NOUN,
text3,2,8,Nutzer,Nutzer,PROPN,ORG_B
text3,2,9,auf,auf,PROPN,
text3,2,10,Straftaten,Straftaten,PROPN,
text3,2,11,zu,zu,NOUN,
text3,2,12,durchsuchen,durchsuchen,NOUN,
text3,2,13,und,und,VERB,
text3,2,14,bei,bei,VERB,
text3,2,15,Verdacht,Verdacht,PROPN,PERSON_B
text3,2,16,an,an,DET,
text3,2,17,Behörden,Behörden,PROPN,GPE_B
text3,2,18,zu,zu,NOUN,
text3,2,19,schicken,schicken,NOUN,
text3,2,20,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,ORG_B
text3,3,2,Parlament,Parlament,PROPN,ORG_I
text3,3,3,bezeichnet,bezeichnet,NOUN,
text3,3,4,das,das,PROPN,PRODUCT_B
text3,3,5,seit,seit,NOUN,PRODUCT_I
text3,3,6,fast,fast,ADV,
text3,3,7,einem,einem,PROPN,
text3,3,8,Jahr,Jahr,PROPN,PERSON_B
text3,3,9,als,al,NOUN,
text3,3,10,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,3,11,und,und,PROPN,
text3,3,12,fordert,fordert,NOUN,
