doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Staaten,Staaten,PROPN,ORG_I
text1,1,5,entscheiden,entscheiden,NOUN,
text1,1,6,morgen,morgen,PROPN,ORG_B
text1,1,7,über,über,PROPN,
text1,1,8,ihre,ihre,PROPN,
text1,1,9,Position,Position,PROPN,ORG_B
text1,1,10,zur,zur,NOUN,
text1,1,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,12,.,.,PUNCT,
text1,2,1,Deutschland,Deutschland,PROPN,GPE_B
text1,2,2,wird,wird,PROPN,
text1,2,3,dagegen,dagegen,NOUN,
text1,2,4,stimmen,stimman,NOUN,
text1,2,5,.,.,PUNCT,
text3,1,1,Letzte,Letzte,PROPN,ORG_B
text3,1,2,Woche,Woche,PROPN,ORG_I
text3,1,3,haben,haben,NOUN,
text3,1,4,die,die,VERB,
text3,1,5,EU,EU,PROPN,ORG_B
text3,1,6,-,-,PUNCT,
text3,1,7,Staaten,Staaten,PROPN,
text3,1,8,den,den,VERB,
text3,1,9,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,1,10,wiederholt,wiederholt,NOUN,
text3,1,11,besprochen,besprochen,ADV,
text3,1,12,.,.,PUNCT,
text3,2,1,Am,be,AUX,
text3,2,2,Donnerstag,Donnerstag,PROPN,ORG_B
text3,2,3,haben,haben,NOUN,
text3,2,4,die,die,VERB,
text3,2,5,Ständigen,Ständigen,PROPN,PERSON_B
text3,2,6,Vertreter,Vertreter,PROPN,PERSON_I
text3,2,7,getagt,getagt,NOUN,
text3,2,8,.,.,PUNCT,
text3,3,1,Am,be,AUX,
text3,3,2,Freitag,Freitag,PROPN,
text3,3,3,haben,haben,NOUN,
text3,3,4,die,die,VERB,
text3,3,5,Justiz-,Justiz-,PROPN,
text3,3,6,und,und,ADJ,
text3,3,7,Innenminister,Innenminister,PROPN,NORP_B
text3,3,8,diskutiert,diskutiert,NOUN,
text3,3,9,",",",",PUNCT,
text3,3,10,davon,davon,NOUN,PERSON_B
text3,3,11,gibt,gibt,NOUN,PERSON_I
text3,3,12,es,es,X,
text3,3,13,auch,auch,ADJ,
text3,3,14,eine,eine,NOUN,
text3,3,15,Video,Video,PROPN,ORG_B
text3,3,16,-,-,PUNCT,ORG_I
text3,3,17,Aufzeichnung,Aufzeichnung,PROPN,ORG_I
text3,3,18,.,.,PUNCT,
text5,1,1,Wir,Wir,PROPN,
text5,1,2,veröffentlichen,veröffentlichen,PROPN,
text5,1,3,ein,ein,PROPN,
text5,1,4,weiteres,weitere,NOUN,
text5,1,5,Mal,Mal,PROPN,PERSON_B
text5,1,6,die,die,VERB,
text5,1,7,eingestuften,eingestuften,ADJ,
text5,1,8,Protokolle,Protokolle,PROPN,GPE_B
text5,1,9,der,der,NOUN,
text5,1,10,Sitzungen,Sitzungen,PROPN,GPE_B
text5,1,11,.,.,PUNCT,
text7,1,1,#,#,SYM,MONEY_B
text7,1,2,#,#,NOUN,MONEY_I
text7,1,3,Technische,Technische,PROPN,ORG_B
text7,1,4,Fragen,Fragen,PROPN,ORG_I
text7,1,5,ausdiskutiert,ausdiskutiert,NOUN,
text9,1,1,Belgien,Belgien,PROPN,ORG_B
text9,1,2,präsentierte,präsentierte,NOUN,
text9,1,3,einen,einen,NOUN,
text9,1,4,Fortschrittsbericht,Fortschrittsbericht,PROPN,ORG_B
text9,1,5,der,der,NOUN,ORG_I
text9,1,6,Arbeit,Arbeit,PROPN,ORG_I
text9,1,7,in,in,ADP,
text9,1,8,den,den,NOUN,
text9,1,9,sechs,sechs,ADJ,
text9,1,10,Monaten,Monaten,PROPN,
text9,1,11,seiner,seiner,NOUN,
text9,1,12,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text9,1,13,.,.,PUNCT,
text9,2,1,Demnach,Demnach,PROPN,
text9,2,2,sind,sind,NOUN,
text9,2,3,„,„,PUNCT,
text9,2,4,alle,alle,NOUN,
text9,2,5,technischen,technischen,NOUN,
text9,2,6,Fragen,Fragen,PROPN,ORG_B
text9,2,7,auf,auf,PROPN,
text9,2,8,Arbeitsebene,Arbeitsebene,PROPN,PERSON_B
text9,2,9,ausdiskutiert,ausdiskutiert,NOUN,
text9,2,10,",",",",PUNCT,
text9,2,11,jetzt,jetzt,PROPN,
text9,2,12,müssten,müssten,NOUN,
text9,2,13,die,die,VERB,
text9,2,14,Politiker,Politiker,PROPN,LAW_B
text9,2,15,zu,zu,PROPN,LAW_I
text9,2,16,Entscheidungen,Entscheidungen,PROPN,LAW_I
text9,2,17,kommen,komman,NOUN,
text9,2,18,“,"""",PUNCT,
text9,2,19,.,.,PUNCT,
text9,3,1,Deshalb,Deshalb,PROPN,
text9,3,2,sollen,sollen,NOUN,
text9,3,3,die,die,VERB,
text9,3,4,Ständigen,Ständigen,PROPN,PERSON_B
text9,3,5,Vertreter,Vertreter,PROPN,PERSON_I
text9,3,6,den,den,VERB,
text9,3,7,Gesetzentwurf,Gesetzentwurf,PROPN,
text9,3,8,morgen,morgen,NOUN,
text9,3,9,als,al,NOUN,
text9,3,10,Position,Position,PROPN,ORG_B
text9,3,11,der,der,PROPN,
text9,3,12,EU,EU,PROPN,ORG_B
text9,3,13,-,-,PUNCT,
text9,3,14,Staaten,Staaten,PROPN,
text9,3,15,beschließen,beschließen,NOUN,
text9,3,16,.,.,PUNCT,
text11,1,1,In,in,ADP,
text11,1,2,der,der,ADJ,
text11,1,3,morgigen,morgigen,NOUN,
text11,1,4,Sitzung,Sitzung,PROPN,GPE_B
text11,1,5,gibt,gibt,PROPN,
text11,1,6,es,es,PROPN,
text11,1,7,aber,aber,PROPN,
text11,1,8,wahrscheinlich,wahrscheinlich,PROPN,
text11,1,9,keine,keine,PROPN,
text11,1,10,formale,formale,PROPN,
text11,1,11,Abstimmung,Abstimmung,PROPN,ORG_B
text11,1,12,",",",",PUNCT,
text11,1,13,in,in,ADP,
text11,1,14,der,der,PROPN,
text11,1,15,die,die,NOUN,
text11,1,16,Position,Position,PROPN,
text11,1,17,aller,aller,NOUN,
text11,1,18,Staaten,Staaten,PROPN,PRODUCT_B
text11,1,19,einzeln,einzeln,NOUN,
text11,1,20,gezählt,gezählt,PROPN,
text11,1,21,und,und,PROPN,
text11,1,22,protokolliert,protokolliert,ADJ,
text11,1,23,wird,wird,NOUN,
text11,1,24,.,.,PUNCT,
text11,2,1,Die,die,VERB,
text11,2,2,belgische,belgische,NOUN,
text11,2,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text11,2,4,fragt,fragt,NOUN,
text11,2,5,stattdessen,stattdessen,NOUN,
text11,2,6,",",",",PUNCT,
text11,2,7,ob,ob,PRON,
text11,2,8,sie,sie,PROPN,
text11,2,9,ausreichend,ausreichend,VERB,
text11,2,10,Unterstützung,Unterstützung,PROPN,
text11,2,11,i,I,PRON,
text11,2,12,m,m,VERB,
text11,2,13,Raum,Raum,PROPN,PERSON_B
text11,2,14,sieht,sieht,NOUN,
text11,2,15,.,.,PUNCT,
text11,3,1,Dabei,Dabei,PROPN,
text11,3,2,helfen,helfen,VERB,
text11,3,3,Enthaltungen,Enthaltungen,PROPN,
text11,3,4,nicht,nicht,PROPN,
text11,3,5,",",",",PUNCT,
text11,3,6,kritische,kritische,VERB,ORG_B
text11,3,7,Staaten,Staaten,PROPN,PRODUCT_B
text11,3,8,müssen,müssen,PROPN,PERSON_B
text11,3,9,den,den,VERB,PERSON_I
text11,3,10,Entwurf,Entwurf,PROPN,ORG_B
text11,3,11,also,also,ADV,
text11,3,12,aktiv,aktiv,PROPN,PERSON_B
text11,3,13,ablehnen,ablehnen,NOUN,PERSON_I
text11,3,14,.,.,PUNCT,
text13,1,1,Belgien,Belgien,PROPN,ORG_B
text13,1,2,ist,ist,ADJ,
text13,1,3,zuversichtlich,zuversichtlich,PROPN,
text13,1,4,",",",",PUNCT,
text13,1,5,dass,dass,NOUN,
text13,1,6,eine,eine,NOUN,
text13,1,7,qualifizierte,qualifizierte,NOUN,
text13,1,8,Mehrheit,Mehrheit,PROPN,GPE_B
text13,1,9,der,der,PROPN,
text13,1,10,EU,EU,PROPN,ORG_B
text13,1,11,-,-,PUNCT,
text13,1,12,Staaten,Staaten,PROPN,
text13,1,13,hinter,hinter,NOUN,
text13,1,14,dem,dem,ADJ,
text13,1,15,Vorschlag,Vorschlag,PROPN,ORG_B
text13,1,16,steht,steht,NOUN,
text13,1,17,.,.,PUNCT,
text13,2,1,Doch,Doch,PROPN,PERSON_B
text13,2,2,vier,vier,NOUN,
text13,2,3,Staaten,Staaten,PROPN,PRODUCT_B
text13,2,4,mit,mit,VERB,
text13,2,5,35,35,NUM,CARDINAL_B
text13,2,6,Prozent,Prozent,PROPN,ORG_B
text13,2,7,der,der,PROPN,
text13,2,8,EU,EU,PROPN,ORG_B
text13,2,9,-,-,PUNCT,
text13,2,10,Bevölkerung,Bevölkerung,PROPN,
text13,2,11,könnten,könnten,VERB,
text13,2,12,eine,eine,NOUN,
text13,2,13,Sperrminorität,Sperrminorität,PROPN,NORP_B
text13,2,14,bilden,bilden,NOUN,
text13,2,15,–,–,PUNCT,
text13,2,16,wenn,wenn,PROPN,
text13,2,17,sie,sie,PROPN,
text13,2,18,das,das,PROPN,ORG_B
text13,2,19,Gesetz,Gesetz,PROPN,ORG_I
text13,2,20,explizit,explizit,NOUN,
text13,2,21,ablehnen,ablehnen,NOUN,
text13,2,22,.,.,PUNCT,
text15,1,1,Wir,wir,ADJ,
text15,1,2,haben,haben,NOUN,
text15,1,3,viele,viele,PROPN,
text15,1,4,wichtige,wichtige,PROPN,
text15,1,5,Staaten,Staaten,PROPN,PRODUCT_B
text15,1,6,gefragt,gefragt,NOUN,
text15,1,7,",",",",PUNCT,
text15,1,8,wie,wie,PROPN,
text15,1,9,sie,sie,PROPN,
text15,1,10,morgen,morgen,PROPN,ORG_B
text15,1,11,abstimmen,abstimman,NOUN,
text15,1,12,werden,werden,VERB,
text15,1,13,.,.,PUNCT,
text15,2,1,Leider,Leider,PROPN,PERSON_B
text15,2,2,haben,haben,NOUN,
text15,2,3,wir,wir,PROPN,
text15,2,4,von,von,PROPN,
text15,2,5,den,den,VERB,
text15,2,6,wenigsten,wenigsten,PROPN,
text15,2,7,klare,klare,NOUN,
text15,2,8,und,und,PROPN,
text15,2,9,zitierbare,zitierbare,NOUN,
text15,2,10,Antworten,Antworten,PROPN,
text15,2,11,erhalten,erhalten,ADV,
text15,2,12,.,.,PUNCT,
text17,1,1,#,#,SYM,
text17,1,2,#,#,NOUN,
text17,1,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text17,1,4,lehnen,lehnen,NOUN,PERSON_I
text17,1,5,wir,wir,NOUN,
text17,1,6,ab,ab,PROPN,
text19,1,1,Für,Für,PROPN,
text19,1,2,Deutschland,Deutschland,PROPN,GPE_B
text19,1,3,verkündet,verkündet,PROPN,
