doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,sozialdemokratische,sozialdemokratische,NOUN,
text1,1,3,EU,EU,PROPN,ORG_B
text1,1,4,-,-,PUNCT,
text1,1,5,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,1,6,Ylva,Ylva,PROPN,PERSON_I
text1,1,7,Johansson,Johansson,PROPN,PERSON_I
text1,1,8,hat,hat,NOUN,
text1,1,9,laut,laut,NOUN,
text1,1,10,Medienberichten,Medienberichten,PROPN,PERSON_B
text1,1,11,auf,auf,PROPN,
text1,1,12,der,der,NOUN,
text1,1,13,Plattform,Plattform,PROPN,PERSON_B
text1,1,14,X,X,PROPN,PERSON_I
text1,1,15,/,/,PROPN,PERSON_I
text1,1,16,Twitter,Twitter,PROPN,PERSON_I
text1,1,17,Microtargeting,Microtargeting,PROPN,PERSON_I
text1,1,18,genutzt,genutzt,PROPN,
text1,1,19,",",",",PUNCT,
text1,1,20,um,um,INTJ,
text1,1,21,für,für,INTJ,
text1,1,22,die,die,VERB,
text1,1,23,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,24,zu,zu,NOUN,PERSON_I
text1,1,25,werben,werben,NOUN,PERSON_I
text1,1,26,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,EU,EU,PROPN,ORG_I
text1,2,3,-,-,PUNCT,ORG_I
text1,2,4,Kommission,Kommission,PROPN,ORG_I
text1,2,5,hatte,hatte,NOUN,
text1,2,6,dafür,dafür,NOUN,
text1,2,7,in,in,ADP,
text1,2,8,Ländern,Ländern,PROPN,GPE_B
text1,2,9,",",",",PUNCT,
text1,2,10,die,die,VERB,
text1,2,11,i,I,PRON,
text1,2,12,m,m,VERB,
text1,3,1,Rat,Rat,PROPN,PERSON_B
text1,3,2,der,der,PROPN,PERSON_I
text1,3,3,EU,EU,PROPN,ORG_B
text1,3,4,gegen,gegen,NOUN,
text1,3,5,die,die,VERB,
text1,3,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,7,sind,sind,NOUN,
text1,3,8,",",",",PUNCT,
text1,3,9,in,in,ADP,
text1,3,10,der,der,PROPN,
text1,3,11,jeweiligen,jeweiligen,NOUN,
text1,3,12,Landessprache,Landessprache,PROPN,ORG_B
text1,3,13,Werbung,Werbung,PROPN,ORG_I
text1,3,14,geschaltet,geschaltet,PROPN,
text1,3,15,",",",",PUNCT,
text1,3,16,deren,deren,PROPN,ORG_B
text1,3,17,Informationen,Informationen,PROPN,ORG_I
text1,3,18,auf,auf,PROPN,
text1,3,19,einer,einer,NOUN,
text1,3,20,umstrittenen,umstrittenen,PROPN,
text1,3,21,Meinungsumfrage,Meinungsumfrage,PROPN,
text1,3,22,beruhen,beruhen,NOUN,
text1,3,23,.,.,PUNCT,
text3,1,1,Gleichzeitig,Gleichzeitig,PROPN,ORG_B
text3,1,2,hatte,hatte,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Kommission,Kommission,PROPN,GPE_B
text3,1,5,bestimmte,bestimmte,NOUN,
text3,1,6,Zielgruppen,Zielgruppen,PROPN,GPE_B
text3,1,7,nach,nach,NOUN,
text3,1,8,politischen,politischen,VERB,
text3,1,9,und,und,PROPN,
text3,1,10,religiösen,religiösen,VERB,
text3,1,11,Kriterien,Kriterien,PROPN,PERSON_B
text3,1,12,von,von,PROPN,PERSON_I
text3,1,13,der,der,NOUN,PERSON_I
text3,1,14,Werbeanzeige,Werbeanzeige,PROPN,PERSON_I
text3,1,15,ausgeschlossen,ausgeschlossen,PROPN,
text3,1,16,.,.,PUNCT,
text3,2,1,Diese,diese,ADJ,NORP_B
text3,2,2,Form,Form,PROPN,
text3,2,3,der,der,NOUN,
text3,2,4,Werbung,Werbung,PROPN,
text3,2,5,ist,ist,AUX,
text3,2,6,spätestens,spätesten,VERB,
text3,2,7,nach,nach,PROPN,
text3,2,8,dem,dem,PROPN,GPE_B
text3,2,9,Cambridge,Cambridge,PROPN,GPE_B
text3,2,10,-,-,PUNCT,GPE_I
text3,2,11,Analytica,Analytica,PROPN,GPE_I
text3,2,12,-,-,PUNCT,GPE_I
text3,2,13,Skandal,Skandal,PROPN,GPE_I
text3,2,14,und,und,ADJ,
text3,2,15,dem,dem,ADJ,
text3,2,16,Brexit,Brexit,PROPN,PERSON_B
text3,2,17,wegen,wegen,NOUN,
text3,2,18,möglicher,möglich,ADJ,
text3,2,19,Manipulationen,Manipulationen,PROPN,ORG_B
text3,2,20,in,in,ADP,
text3,2,21,der,der,PROPN,
text3,2,22,Kritik,Kritik,PROPN,PRODUCT_B
text3,2,23,",",",",PUNCT,
text3,2,24,die,die,PROPN,
text3,2,25,EU,EU,PROPN,ORG_B
text3,2,26,selbst,selbst,PROPN,
text3,2,27,will,will,AUX,
text3,2,28,solche,solche,VERB,
text3,2,29,Werbung,Werbung,PROPN,PERSON_B
text3,2,30,strenger,strenger,NOUN,
text3,2,31,regulieren,regulieren,NOUN,
text3,2,32,.,.,PUNCT,
text3,3,1,Die,die,VERB,PERSON_B
text3,3,2,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text3,3,3,dazu,dazu,NOUN,
text3,3,4,sind,sind,NOUN,
text3,3,5,derzeit,derzeit,NOUN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Trilogverfahren,Trilogverfahren,PROPN,PERSON_B
text3,4,4,.,.,PUNCT,
text5,1,1,Nun,nun,NOUN,PERSON_B
text5,1,2,schaltet,schaltet,NOUN,
text5,1,3,sich,sich,PROPN,
text5,1,4,der,der,PROPN,
text5,1,5,EU,EU,PROPN,ORG_B
text5,1,6,-,-,PUNCT,ORG_I
text5,1,7,Datenschutzbeauftragte,Datenschutzbeauftragte,PROPN,ORG_I
text5,1,8,in,in,ADP,
text5,1,9,den,den,NOUN,
text5,1,10,Fall,Fall,PROPN,
text5,1,11,ein,ein,PROPN,
text5,1,12,",",",",PUNCT,
text5,1,13,denn,denn,NOUN,
text5,1,14,die,die,VERB,
text5,1,15,Nutzung,Nutzung,PROPN,PERSON_B
text5,1,16,von,von,PROPN,PERSON_I
text5,1,17,Microtargeting,Microtargeting,PROPN,PERSON_I
text5,1,18,könnte,könnte,NOUN,PERSON_I
text5,1,19,gegen,gegen,NOUN,
text5,1,20,die,die,VERB,
text5,1,21,Datenschutzgrundverordnung,Datenschutzgrundverordnung,PROPN,GPE_B
text5,1,22,verstoßen,verstoßen,NOUN,
text5,1,23,.,.,PUNCT,
text5,2,1,Darüber,Darüber,PROPN,PERSON_B
text5,2,2,hatte,hatte,PROPN,PERSON_B
text5,2,3,am,be,AUX,PERSON_I
text5,2,4,Sonntag,Sonntag,PROPN,ORG_B
text5,2,5,der,der,PROPN,ORG_I
text5,2,6,ehemalige,ehemalige,PROPN,
text5,2,7,Brüssel,Brüssel,PROPN,GPE_B
text5,2,8,-,-,PUNCT,
text5,2,9,Korrespondent,Korrespondent,PROPN,
text5,2,10,von,von,PROPN,
text5,2,11,netzpolitik.org,netzpolitik.org,PROPN,
text5,2,12,",",",",PUNCT,
text5,2,13,Alex,Alex,PROPN,PERSON_B
text5,2,14,Fanta,Fanta,PROPN,PERSON_I
text5,2,15,",",",",PUNCT,
text5,2,16,berichtet,berichtet,NOUN,
text5,2,17,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Voruntersuchung,Voruntersuchung,PROPN,GPE_B
text7,1,4,eingeleitet,eingeleitet,NOUN,
text9,1,1,Ein,Ein,PROPN,PERSON_B
text9,1,2,Sprecher,Sprecher,PROPN,PERSON_I
text9,1,3,des,des,X,PERSON_I
text9,1,4,EU,EU,PROPN,
text9,1,5,-,-,PUNCT,
text9,1,6,Datenschutzbeauftragten,Datenschutzbeauftragten,PROPN,
text9,1,7,(,(,PUNCT,
text9,1,8,EDPS,EDPS,PROPN,
text9,1,9,),),PUNCT,
text9,1,10,wollte,wollte,PROPN,
text9,1,11,gegenüber,gegenüber,PROPN,
text9,1,12,netzpolitik.org,netzpolitik.org,PROPN,
text9,1,13,den,den,VERB,
text9,1,14,Fall,Fall,PROPN,ORG_B
text9,1,15,noch,noch,PROPN,
text9,1,16,nicht,nicht,PROPN,
text9,1,17,näher,näher,PROPN,
text9,1,18,bewerten,bewerten,VERB,
text9,1,19,.,.,PUNCT,
text9,2,1,Allerdings,allerdings,ADJ,
text9,2,2,hat,hat,NOUN,
text9,2,3,sich,sich,PRON,
text9,2,4,die,die,VERB,
text9,2,5,Behörde,Behörde,PROPN,PERSON_B
text9,3,1,i,I,PRON,
text9,3,2,m,m,VERB,
text9,3,3,Rahmen,Rahmen,PROPN,PERSON_B
text9,3,4,eines,eine,VERB,
text9,3,5,Voruntersuchungsverfahrens,Voruntersuchungsverfahrens,PROPN,PERSON_B
text9,3,6,„,„,PUNCT,
text9,3,7,an,an,DET,
text9,3,8,die,die,NOUN,
text9,3,9,Europäische,Europäische,PROPN,ORG_B
text9,3,10,Kommission,Kommission,PROPN,ORG_I
text9,3,11,gewandt,gewandt,NOUN,
text9,3,12,und,und,VERB,
text9,3,13,um,um,INTJ,
text9,3,14,Informationen,Informationen,PROPN,ORG_B
text9,4,1,i,I,PRON,
text9,4,2,m,m,VERB,
text9,4,3,Zusammenhang,Zusammenhang,PROPN,GPE_B
text9,4,4,mit,mit,VERB,
text9,4,5,dem,dem,ADJ,
text9,4,6,beschriebenen,beschriebenen,NOUN,
text9,4,7,Einsatz,Einsatz,PROPN,PERSON_B
text9,4,8,von,von,PROPN,PERSON_I
text9,4,9,mikrogezielter,mikrogezielter,NOUN,PERSON_I
text9,4,10,Werbung,Werbung,PROPN,PERSON_B
text9,4,11,gebeten,gebeten,PROPN,
text9,4,12,",",",",PUNCT,
text9,4,13,die,die,VERB,
text9,4,14,bis,bis,X,
text9,4,15,zum,zum,NOUN,DATE_B
text9,4,16,20,20,NUM,DATE_I
text9,4,17,.,.,PUNCT,
text9,5,1,Oktober,Oktober,PROPN,
text9,5,2,vorgelegt,vorgelegt,VERB,
text9,5,3,werden,werden,PROPN,
text9,5,4,sollen,sollen,NOUN,
text9,5,5,“,"""",PUNCT,
text9,5,6,.,.,PUNCT,
text11,1,1,Laut,Laut,PROPN,PERSON_B
text11,1,2,dem,dem,INTJ,PERSON_I
text11,1,3,Sprecher,Sprecher,PROPN,PERSON_I
text11,1,4,stellt,stellt,NOUN,
text11,1,5,dieser,dieser,PROPN,
text11,1,6,Schritt,Schritt,PROPN,PERSON_B
text11,1,7,noch,noch,PROPN,
text11,1,8,keine,keine,NOUN,
text11,1,9,Einleitung,Einleitung,PROPN,
text11,1,10,einer,einer,NOUN,
text11,1,11,förmlichen,förmlichen,VERB,
text11,1,12,Untersuchung,Untersuchung,PROPN,PRODUCT_B
text11,1,13,dar,dar,NOUN,
text11,1,14,.,.,PUNCT,
text11,2,1,Der,Der,PROPN,PERSON_B
text11,2,2,EU,EU,PROPN,PERSON_I
text11,2,3,-,-,PUNCT,PERSON_I
