doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Staaten,Staaten,PROPN,ORG_I
text1,1,5,streiten,streiten,NOUN,
text1,1,6,weiter,weiter,PROPN,PERSON_B
text1,1,7,über,über,PROPN,PERSON_I
text1,1,8,die,die,PROPN,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,10,.,.,PUNCT,
text1,2,1,Nächste,Nächste,PROPN,
text1,2,2,Woche,Woche,PROPN,
text1,2,3,treffen,treffen,NOUN,
text1,2,4,sich,sich,PRON,
text1,2,5,die,die,VERB,
text1,2,6,Innen-,Innen-,PUNCT,
text1,3,1,und,und,ADJ,
text1,3,2,Justizminister,Justizminister,PROPN,PERSON_B
text1,3,3,in,in,ADP,
text1,3,4,Brüssel,Brüssel,PROPN,GPE_B
text1,3,5,",",",",PUNCT,
text1,3,6,eigentlich,eigentlich,PROPN,
text1,3,7,wollten,wollten,PROPN,
text1,3,8,sie,sie,PROPN,
text1,3,9,dort,dort,PROPN,
text1,3,10,die,die,PROPN,
text1,3,11,Position,Position,PROPN,ORG_B
text1,3,12,des,des,X,ORG_I
text1,3,13,Rats,Rats,PROPN,ORG_I
text1,3,14,zum,zum,ADJ,PERSON_B
text1,3,15,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text1,3,16,beschließen,beschließen,NOUN,
text1,3,17,.,.,PUNCT,
text1,4,1,Doch,Doch,PROPN,
text1,4,2,die,die,VERB,
text1,4,3,spanische,spanische,NOUN,
text1,4,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,4,5,hat,hat,NOUN,
text1,4,6,das,das,PROPN,
text1,4,7,Thema,Thema,PROPN,
text1,4,8,wieder,wieder,NOUN,
text1,4,9,von,von,PROPN,PERSON_B
text1,4,10,der,der,PROPN,PERSON_I
text1,4,11,Tagesordnung,Tagesordnung,PROPN,PERSON_I
text1,4,12,gestrichen,gestrichen,ADV,PERSON_I
text1,4,13,.,.,PUNCT,
text1,5,1,Aktuell,Aktuell,PROPN,ORG_B
text1,5,2,gibt,gibt,NOUN,
text1,5,3,es,es,PROPN,
text1,5,4,keine,keine,PROPN,
text1,5,5,Mehrheit,Mehrheit,PROPN,GPE_B
text1,5,6,für,für,NOUN,
text1,5,7,den,den,VERB,
text1,5,8,Gesetzestext,Gesetzestext,PROPN,PERSON_B
text1,5,9,",",",",PUNCT,
text1,5,10,deshalb,deshalb,PROPN,
text1,5,11,verhandeln,verhandeln,PROPN,
text1,5,12,sie,sie,PROPN,
text1,5,13,weiter,weiter,PROPN,
text1,5,14,.,.,PUNCT,
text3,1,1,Vor,vor,NOUN,PERSON_B
text3,1,2,anderthalb,anderthalb,ADJ,
text3,1,3,Jahren,Jahren,PROPN,PERSON_B
text3,1,4,hat,hat,NOUN,
text3,1,5,die,die,VERB,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Kommission,Kommission,PROPN,ORG_I
text3,1,9,eine,eine,NOUN,
text3,2,1,Verordnung,Verordnung,PROPN,ORG_B
text3,2,2,zur,zur,PROPN,ORG_I
text3,2,3,Prävention,Prävention,PROPN,ORG_I
text3,2,4,und,und,PROPN,
text3,2,5,Bekämpfung,Bekämpfung,PROPN,
text3,2,6,des,des,X,
text3,2,7,sexuellen,sexuellen,NOUN,
text3,2,8,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,2,9,von,von,PROPN,PERSON_I
text3,2,10,Kindern,Kindern,PROPN,PERSON_I
text3,2,11,vorgeschlagen,vorgeschlagen,NOUN,
text3,2,12,.,.,PUNCT,
text3,3,1,Über,Über,PROPN,PERSON_B
text3,3,2,80,80,NUM,CARDINAL_B
text3,3,3,NGOs,NGOs,PROPN,
text3,3,4,kritisieren,kritisieren,NOUN,PERSON_B
text3,3,5,das,das,PROPN,PERSON_I
text3,3,6,geplante,geplante,VERB,PERSON_I
text3,3,7,Gesetz,Gesetz,PROPN,PERSON_I
text3,3,8,als,al,NOUN,
text3,3,9,beispiellos,beispiello,NOUN,
text3,3,10,:,:,PUNCT,
text3,3,11,„,„,PUNCT,
text3,3,12,Es,Es,PROPN,
text3,3,13,soll,soll,NOUN,
text3,3,14,Internetdienste,Internetdienste,PROPN,
text3,3,15,verpflichten,verpflichten,PROPN,
text3,3,16,",",",",PUNCT,
text3,3,17,die,die,VERB,
text3,3,18,private,private,ADJ,
text3,3,19,digitale,digitale,NOUN,
text3,3,20,Kommunikation,Kommunikation,PROPN,
text3,3,21,aller,aller,NOUN,
text3,4,1,Menschen,Menschen,PROPN,
text3,4,2,i,I,PRON,
text3,4,3,m,m,VERB,
text3,4,4,Auftrag,Auftrag,PROPN,PERSON_B
text3,4,5,von,von,PROPN,PERSON_I
text3,4,6,Regierungen,Regierungen,PROPN,PERSON_I
text3,4,7,zu,zu,PROPN,
text3,4,8,durchleuchten,durchleuchten,VERB,
text3,4,9,.,.,PUNCT,
text3,4,10,“,"""",PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,EU,EU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Staaten,Staaten,PROPN,ORG_I
text5,1,5,haben,haben,NOUN,
text5,1,6,das,das,PROPN,PERSON_B
text5,1,7,Gesetz,Gesetz,PROPN,PERSON_I
text5,1,8,bisher,bisher,NOUN,
text5,1,9,in,in,ADP,
text5,1,10,der,der,PROPN,
text5,1,11,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text5,1,12,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text5,1,13,verhandelt,verhandelt,ADV,
text5,1,14,.,.,PUNCT,
text5,2,1,Letzte,Letzte,PROPN,ORG_B
text5,2,2,Woche,Woche,PROPN,ORG_I
text5,2,3,kamen,kamen,PROPN,
text5,2,4,sie,sie,PROPN,
text5,2,5,zur,zur,PROPN,PERSON_B
text5,2,6,vorerst,vorerst,PROPN,PERSON_I
text5,2,7,letzten,letzten,VERB,
text5,2,8,Verhandlungsrunde,Verhandlungsrunde,PROPN,ORG_B
text5,2,9,zusammen,zusamman,NOUN,
text5,2,10,.,.,PUNCT,
text5,3,1,Wir,Wir,PROPN,
text5,3,2,veröffentlichen,veröffentlichen,PROPN,
text5,3,3,ein,ein,PROPN,
text5,3,4,weiteres,weitere,VERB,
text5,3,5,Mal,Mal,PROPN,PERSON_B
text5,3,6,das,das,PROPN,PERSON_I
text5,3,7,eingestufte,eingestufte,NOUN,
text5,3,8,Protokoll,Protokoll,PROPN,ORG_B
text5,3,9,der,der,PROPN,
text5,3,10,Sitzung,Sitzung,PROPN,GPE_B
text5,4,1,i,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,Volltext,Volltext,PROPN,PERSON_B
text5,4,4,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Alternativloser,Alternativloser,PROPN,PERSON_B
text7,1,4,Zeitplan,Zeitplan,PROPN,PERSON_I
text7,1,5,platzt,platzt,NOUN,
text9,1,1,In,in,ADP,
text9,1,2,der,der,NOUN,
text9,1,3,Arbeitsgruppe,Arbeitsgruppe,PROPN,ORG_B
text9,1,4,kündigte,kündigte,NOUN,
text9,1,5,die,die,VERB,
text9,1,6,spanische,spanische,NOUN,
text9,1,7,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text9,1,8,an,an,PROPN,
text9,1,9,",",",",PUNCT,
text9,1,10,an,an,DET,
text9,1,11,ihrem,ihrem,NOUN,
text9,1,12,straffen,straffen,NOUN,
text9,1,13,Zeitplan,Zeitplan,PROPN,PERSON_B
text9,1,14,festzuhalten,festzuhalten,PROPN,
text9,1,15,.,.,PUNCT,
text9,2,1,Demnach,Demnach,PROPN,
text9,2,2,sollten,sollten,PROPN,
text9,2,3,gestern,gestern,PROPN,
text9,2,4,die,die,VERB,
text9,2,5,Ständigen,Ständigen,PROPN,PERSON_B
text9,2,6,Vertreter,Vertreter,PROPN,PERSON_I
text9,2,7,und,und,VERB,
text9,2,8,nächste,nächste,NOUN,
text9,2,9,Woche,Woche,PROPN,
text9,2,10,die,die,VERB,
text9,2,11,Minister,Minister,PROPN,
text9,2,12,:,:,PUNCT,
text9,2,13,innen,innen,NOUN,
text9,2,14,die,die,PROPN,
text9,2,15,Position,Position,PROPN,
text9,2,16,der,der,PROPN,
text9,2,17,EU,EU,PROPN,ORG_B
text9,2,18,-,-,PUNCT,
text9,2,19,Staaten,Staaten,PROPN,
text9,2,20,beschließen,beschließen,NOUN,
text9,2,21,.,.,PUNCT,
text11,1,1,Deutschland,Deutschland,PROPN,GPE_B
text11,1,2,forderte,forderte,NOUN,
text11,1,3,wie,wie,NOUN,
text11,1,4,in,in,ADP,
text11,1,5,der,der,PROPN,
text11,1,6,Sitzung,Sitzung,PROPN,GPE_B
text11,1,7,davor,davor,NOUN,
text11,1,8,",",",",PUNCT,
text11,1,9,die,die,VERB,
text11,1,10,Abstimmung,Abstimmung,PROPN,PERSON_B
text11,1,11,zu,zu,ADJ,PERSON_I
text11,1,12,verschieben,verschieben,PROPN,PERSON_I
text11,1,13,",",",",PUNCT,
text11,1,14,wurde,wurde,PROPN,ORG_B
text11,1,15,aber,aber,PROPN,
text11,1,16,diesmal,diesmal,PROPN,
text11,1,17,nur,nur,VERB,
text11,1,18,von,von,PROPN,ORG_B
text11,1,19,Österreich,Österreich,PROPN,ORG_I
text11,1,20,unterstützt,unterstützt,PROPN,
text11,1,21,.,.,PUNCT,
text11,2,1,Die,die,VERB,ORG_B
text11,2,2,Arbeit,Arbeit,PROPN,ORG_I
text11,2,3,ist,ist,ADJ,
text11,2,4,noch,noch,PROPN,
text11,2,5,nicht,nicht,PROPN,
text11,2,6,fertig,fertig,NOUN,
text11,2,7,",",",",PUNCT,
text11,2,8,die,die,VERB,
text11,2,9,Maßnahmen,Maßnahmen,PROPN,
text11,3,1,i,I,PRON,
text11,3,2,m,m,VERB,
text11,3,3,aktuellen,aktuellen,ADJ,
text11,3,4,Text,text,NOUN,
text11,3,5,sind,sind,NOUN,
text11,3,6,unverhältnismäßig,unverhältnismäßig,ADV,
text11,3,7,und,und,PROPN,
text11,3,8,rechtswidrig,rechtswidrig,PROPN,
text11,3,9,.,.,PUNCT,
text11,4,1,Polen,Polen,PROPN,PERSON_B
text11,4,2,",",",",PUNCT,
text11,4,3,Niederlande,Niederlande,PROPN,ORG_B
text11,4,4,und,und,PROPN,
text11,4,5,Schweden,Schweden,PROPN,
text11,4,6,wollten,wollten,VERB,
text11,4,7,weiterhin,weiterhin,NOUN,
text11,4,8,Änderungen,Änderungen,PROPN,ORG_B
text11,4,9,am,be,AUX,
text11,4,10,Gesetzestext,Gesetzestext,PROPN,PERSON_B
text11,4,11,",",",",PUNCT,
text11,4,12,aber,aber,PROPN,
text11,4,13,keine,keine,NOUN,
