doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Bei,Bei,PROPN,
text1,1,2,der,der,NOUN,
text1,1,3,geplanten,geplanten,VERB,
text1,1,4,Abstimmung,Abstimmung,PROPN,ORG_B
text1,1,5,über,über,NOUN,
text1,1,6,die,die,NOUN,
text1,1,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,PERSON_B
text1,2,4,am,be,AUX,PERSON_I
text1,2,5,Donnerstag,Donnerstag,PROPN,PERSON_B
text1,2,6,will,will,AUX,
text1,2,7,die,die,VERB,
text1,2,8,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,2,9,offenbar,offenbar,NOUN,
text1,3,1,„,„,PUNCT,
text1,3,2,nicht,nicht,NOUN,
text1,3,3,zustimmen,zustimman,NOUN,
text1,3,4,“,"""",PUNCT,
text1,3,5,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,verbreitete,verbreitete,ADJ,
text1,4,3,Bundesjustizminister,Bundesjustizminister,PROPN,PERSON_B
text1,4,4,Marco,Marco,PROPN,PERSON_I
text1,4,5,Buschmann,Buschmann,PROPN,PERSON_I
text1,4,6,(,(,PUNCT,
text1,4,7,FDP,FDP,PROPN,ORG_B
text1,4,8,),),PUNCT,
text1,4,9,per,per,ADP,
text1,4,10,Pressemitteilung,Pressemitteilung,PROPN,ORG_B
text1,4,11,.,.,PUNCT,
text1,5,1,Ob,Ob,PROPN,
text1,5,2,diese,diese,ADJ,NORP_B
text1,5,3,Nicht,Nicht,PROPN,GPE_B
text1,5,4,-,-,PUNCT,
text1,5,5,Zustimmung,Zustimmung,PROPN,
text1,5,6,ein,ein,NOUN,
text1,5,7,„,„,PUNCT,
text1,5,8,Nein,Nein,PROPN,WORK_OF_ART_B
text1,5,9,“,"""",PUNCT,
text1,5,10,oder,oder,NOUN,
text1,5,11,eine,eine,NOUN,
text1,5,12,Enthaltung,Enthaltung,PROPN,ORG_B
text1,5,13,ist,ist,NOUN,
text1,5,14,",",",",PUNCT,
