doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Fraktion,Fraktion,PROPN,
text1,1,3,der,der,NOUN,
text1,1,4,Linken,Linken,PROPN,PERSON_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Bundestag,Bundestag,PROPN,PERSON_B
text1,2,4,ist,ist,PROPN,
text1,2,5,seit,seit,PROPN,
text1,2,6,heute,heute,PROPN,
text1,2,7,aufgelöst,aufgelöst,PROPN,
text1,2,8,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Abgeordneten,Abgeordneten,PROPN,
text1,3,3,der,der,NOUN,
text1,3,4,Partei,Partei,PROPN,
text1,3,5,bleiben,bleiben,NOUN,
text1,3,6,",",",",PUNCT,
text1,3,7,zunächst,zunächst,NOUN,
text1,3,8,als,al,NOUN,
text1,3,9,fraktionslose,fraktionslose,VERB,
text1,3,10,Parlamentarier,Parlamentarier,PROPN,PRODUCT_B
text1,3,11,:,:,PUNCT,
text1,3,12,innen,innen,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,wird,wird,PROPN,
text1,4,3,vieles,viele,VERB,
text1,4,4,ändern,ändern,ADJ,
text1,4,5,",",",",PUNCT,
text1,4,6,auch,auch,ADJ,
text1,4,7,für,für,NOUN,
text1,4,8,netzpolitische,netzpolitische,PROPN,
text1,4,9,Oppositionspolitik,Oppositionspolitik,PROPN,GPE_B
text1,4,10,.,.,PUNCT,
text1,5,1,Denn,denn,NOUN,
text1,5,2,mit,mit,VERB,
text1,5,3,dem,dem,INTJ,
text1,5,4,Fraktionsstatus,Fraktionsstatus,PROPN,ORG_B
text1,5,5,fallen,fall,VERB,
text1,6,1,auch,auch,ADJ,
text1,6,2,viele,viele,PROPN,
text1,6,3,Rechte,Rechte,PROPN,ORG_B
text1,6,4,für,für,INTJ,
text1,6,5,die,die,VERB,
text1,6,6,Abgeordneten,Abgeordneten,PROPN,PERSON_B
text1,6,7,der,der,ADJ,PERSON_I
text1,6,8,Linken,Linken,PROPN,PERSON_I
text1,6,9,weg,weg,PROPN,
text1,6,10,.,.,PUNCT,
text3,1,1,Kurz,Kurz,PROPN,PERSON_B
text3,1,2,vor,vor,VERB,
text3,1,3,Auflösung,Auflösung,PROPN,PRODUCT_B
text3,1,4,der,der,NOUN,PRODUCT_I
text3,1,5,Fraktion,Fraktion,PROPN,PRODUCT_I
text3,1,6,wurde,wurde,NOUN,PRODUCT_I
