doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Weltweit,Weltweit,PROPN,
text1,1,2,laufen,laufen,NOUN,
text1,1,3,verschiedene,verschiedene,NOUN,
text1,1,4,gesetzgeberische,gesetzgeberische,NOUN,
text1,1,5,Angriffe,Angriffe,PROPN,LOC_B
text1,1,6,gegen,gegen,NOUN,
text1,1,7,Ende,Ende,PROPN,
text1,1,8,-,-,PUNCT,
text1,1,9,zu,zu,PROPN,
text1,1,10,-,-,PUNCT,
text1,1,11,Ende,Ende,PROPN,
text1,1,12,-,-,PUNCT,
text1,1,13,Verschlüsselung,Verschlüsselung,PROPN,
text1,1,14,.,.,PUNCT,
text1,2,1,Neben,Neben,PROPN,PERSON_B
text1,2,2,den,den,VERB,
text1,2,3,bekannten,bekannten,ADJ,
text1,2,4,Gefahren,Gefahren,PROPN,ORG_B
text1,2,5,wie,wie,PROPN,
text1,2,6,der,der,PROPN,ORG_B
text1,2,7,des,des,X,ORG_I
text1,2,8,EU,EU,PROPN,ORG_I
text1,2,9,-,-,PUNCT,ORG_I
text1,2,10,Vorhabens,Vorhabens,PROPN,ORG_I
text1,2,11,der,der,NOUN,
text1,2,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,2,13,und,und,NOUN,
text1,2,14,den,den,VERB,
text1,2,15,Vorschlägen,Vorschlägen,PROPN,ORG_B
text1,2,16,der,der,NOUN,ORG_I
text1,2,17,Going,Going,PROPN,ORG_I
text1,2,18,-,-,PUNCT,ORG_I
text1,2,19,Dark,Dark,PROPN,ORG_I
text1,2,20,-,-,PUNCT,ORG_I
text1,2,21,Arbeitsgruppe,Arbeitsgruppe,PROPN,ORG_I
text1,2,22,in,in,ADP,
text1,2,23,der,der,PROPN,
text1,2,24,EU,EU,PROPN,ORG_B
text1,2,25,",",",",PUNCT,
text1,2,26,gibt,gibt,NOUN,
text1,2,27,es,es,X,
text1,2,28,weitere,weitere,VERB,
text1,2,29,existierende,existierende,ADJ,
text1,2,30,und,und,NOUN,
text1,2,31,geplante,geplante,NOUN,
text1,2,32,Gesetze,Gesetze,PROPN,PERSON_B
text1,2,33,in,in,ADP,
text1,2,34,einigen,einigen,NOUN,
text1,2,35,Ländern,Ländern,PROPN,FAC_B
text1,2,36,",",",",PUNCT,
text1,2,37,welche,welche,NOUN,
text1,2,38,die,die,VERB,
text1,2,39,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,2,40,akut,akut,NOUN,
text1,2,41,bedrohen,bedrohen,NOUN,
text1,2,42,.,.,PUNCT,
text3,1,1,Ende,ende,NOUN,
text3,1,2,-,-,PUNCT,
text3,1,3,zu,zu,NOUN,
text3,1,4,-,-,PUNCT,
text3,1,5,Ende,ende,ADJ,
text3,1,6,-,-,PUNCT,
text3,1,7,Verschlüsselung,Verschlüsselung,PROPN,
text3,1,8,kann,kann,NOUN,
text3,1,9,unter,unter,NOUN,PERSON_B
text3,1,10,anderem,anderem,PROPN,PERSON_I
text3,1,11,vertrauliche,vertrauliche,PROPN,
text3,1,12,Kommunikation,Kommunikation,PROPN,
text3,1,13,in,in,ADP,
text3,1,14,Messengern,Messengern,PROPN,
text3,1,15,oder,oder,NOUN,
text3,1,16,das,das,PROPN,PERSON_B
text3,1,17,Speichern,Speichern,PROPN,PERSON_I
text3,1,18,und,und,NOUN,
text3,1,19,den,den,VERB,
text3,1,20,Austausch,Austausch,PROPN,PERSON_B
text3,1,21,von,von,PROPN,PERSON_I
text3,1,22,Daten,Daten,PROPN,PERSON_I
text3,1,23,in,in,ADP,
text3,1,24,der,der,ADJ,
text3,1,25,Cloud,Cloud,PROPN,PERSON_B
text3,1,26,sichern,sichern,NOUN,
text3,1,27,.,.,PUNCT,
text3,2,1,Sie,Sie,PROPN,
text3,2,2,ist,ist,PROPN,
text3,2,3,essenziell,essenziell,PROPN,
text3,2,4,für,für,PROPN,
text3,2,5,die,die,VERB,
text3,2,6,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,2,7,sowie,sowie,NOUN,
text3,2,8,eine,eine,NOUN,
text3,2,9,sichere,sichere,ADJ,
text3,2,10,digitale,digitale,NOUN,
text3,2,11,Welt,Welt,PROPN,PERSON_B
text3,2,12,.,.,PUNCT,
text3,3,1,Diese,Diese,PROPN,NORP_B
text3,3,2,Form,Form,PROPN,
text3,3,3,der,der,NOUN,
text3,3,4,Verschlüsselung,Verschlüsselung,PROPN,
text3,3,5,funktioniert,funktioniert,ADJ,PERSON_B
text3,3,6,aber,aber,PROPN,PERSON_I
text3,3,7,nur,nur,PROPN,
text3,3,8,wirklich,wirklich,PROPN,
text3,3,9,",",",",PUNCT,
text3,3,10,wenn,wenn,PROPN,
text3,3,11,es,es,PROPN,
text3,3,12,keine,keine,NOUN,
text3,3,13,Hintertüren,Hintertüren,PROPN,PERSON_B
text3,3,14,gibt,gibt,NOUN,
text3,3,15,und,und,NOUN,
text3,3,16,nur,nur,NOUN,
text3,3,17,die,die,VERB,
text3,3,18,jeweiligen,jeweiligen,NOUN,
text3,3,19,Endpunkte,Endpunkte,PROPN,ORG_B
text3,3,20,der,der,PROPN,ORG_I
text3,3,21,Kommunikation,Kommunikation,PROPN,ORG_I
text3,3,22,vollen,vollen,PROPN,
text3,3,23,Zugriff,Zugriff,PROPN,
text3,3,24,auf,auf,PROPN,
text3,3,25,die,die,VERB,
text3,3,26,Inhalte,Inhalte,PROPN,NORP_B
text3,3,27,erhalten,erhalten,ADV,
text3,3,28,.,.,PUNCT,
text3,4,1,Gibt,gibt,NOUN,PERSON_B
text3,4,2,es,es,PROPN,PERSON_I
text3,4,3,Hintertüren,Hintertüren,PROPN,PERSON_I
text3,4,4,in,in,ADP,
text3,4,5,der,der,PROPN,
text3,4,6,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text3,4,7,",",",",PUNCT,
text3,4,8,so,so,ADV,
text3,4,9,können,können,PROPN,
text3,4,10,diese,diese,ADJ,NORP_B
text3,4,11,nicht,nicht,PROPN,
text3,4,12,nur,nur,VERB,
text3,4,13,von,von,PROPN,PERSON_B
text3,4,14,der,der,PROPN,PERSON_I
text3,4,15,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,4,16,oder,oder,NOUN,
text3,4,17,anderen,anderen,PROPN,
text3,4,18,staatlichen,staatlichen,PROPN,
text3,5,1,Behörden,Behörden,PROPN,GPE_B
text3,5,2,",",",",PUNCT,
text3,5,3,sondern,sondern,ADJ,
text3,5,4,auch,auch,NOUN,
text3,5,5,von,von,PROPN,PERSON_B
text3,5,6,Kriminellen,Kriminellen,PROPN,PERSON_I
text3,5,7,oder,oder,NOUN,
text3,5,8,Spionen,Spionen,PROPN,PERSON_B
text3,5,9,ausgenutzt,ausgenutzt,NOUN,
text3,5,10,werden,werden,PROPN,
text3,5,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Großbritannien,Großbritannien,PROPN,
text5,1,4,attackiert,attackiert,NOUN,
text5,1,5,Cloud,Cloud,PROPN,ORG_B
text5,1,6,-,-,PUNCT,ORG_I
text5,1,7,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text7,1,1,In,in,ADP,
