doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Rat,Rat,PROPN,PERSON_I
text1,1,3,für,für,PROPN,PERSON_I
text1,1,4,Justiz,Justiz,PROPN,PERSON_I
text1,1,5,und,und,PROPN,
text1,1,6,Inneres,Inneres,PROPN,ORG_B
text1,1,7,wird,wird,NOUN,
text1,1,8,nicht,nicht,PROPN,
text1,1,9,wie,wie,PROPN,
text1,1,10,geplant,geplant,PROPN,
text1,1,11,bei,bei,PROPN,
text1,1,12,seinem,seinem,PROPN,
text1,1,13,Treffen,Treffen,PROPN,ORG_B
text1,1,14,am,be,AUX,
text1,1,15,Donnerstag,Donnerstag,PROPN,ORG_B
text1,1,16,und,und,PROPN,
text1,1,17,Freitag,Freitag,PROPN,ORG_B
text1,1,18,über,über,NOUN,
text1,1,19,die,die,PROPN,
text1,1,20,EU,EU,PROPN,ORG_B
text1,1,21,-,-,PUNCT,ORG_I
text1,1,22,Verordnung,Verordnung,PROPN,ORG_I
text1,1,23,zur,zur,NOUN,
text1,1,24,„,„,PUNCT,
text1,1,25,Bekämpfung,Bekämpfung,PROPN,
text1,1,26,des,des,X,
text1,1,27,sexuellen,sexuellen,NOUN,
text1,1,28,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,1,29,von,von,PROPN,PERSON_I
text1,1,30,Kindern,Kindern,PROPN,PERSON_I
text1,1,31,“,"""",PUNCT,
text1,1,32,–,–,PUNCT,
text1,1,33,auch,auch,ADJ,
text1,1,34,bekannt,bekannt,NOUN,
text1,1,35,als,al,NOUN,
text1,1,36,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,37,–,–,PUNCT,
text1,1,38,abstimmen,abstimman,NOUN,
text1,1,39,.,.,PUNCT,
text1,2,1,Dennoch,Dennoch,PROPN,
text1,2,2,bleibt,bleibt,NOUN,
text1,2,3,das,das,PROPN,
text1,2,4,Thema,Thema,PROPN,
text1,2,5,auf,auf,PROPN,
text1,2,6,der,der,PROPN,
text1,2,7,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,2,8,",",",",PUNCT,
text1,2,9,die,die,VERB,
text1,2,10,spanische,spanische,NOUN,
text1,2,11,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text1,2,12,wird,wird,PROPN,
text1,2,13,über,über,PROPN,
text1,2,14,die,die,PROPN,
text1,2,15,Fortschritte,Fortschritte,PROPN,ORG_B
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Einigungsprozess,einigungsprozess,ADJ,PERSON_B
text1,3,4,berichten,berichten,NOUN,
text1,3,5,.,.,PUNCT,
text1,4,1,Es,es,INTJ,
text1,4,2,wird,wird,PROPN,
text1,4,3,jedoch,jedoch,PROPN,
text1,4,4,„,„,PUNCT,
text1,4,5,keinen,keinen,NOUN,
text1,4,6,Versuch,Versuch,PROPN,
text1,4,7,einer,einer,NOUN,
text1,4,8,Einigung,Einigung,PROPN,PERSON_B
