doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,wenigen,wenigen,NOUN,
text1,1,3,Tagen,Tagen,PROPN,ORG_B
text1,1,4,steht,steht,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,Entscheidung,Entscheidung,PROPN,
text1,1,7,an,an,PROPN,
text1,1,8,",",",",PUNCT,
text1,1,9,ob,ob,PROPN,
text1,1,10,es,es,X,
text1,1,11,in,in,ADP,
text1,1,12,Europa,Europa,PROPN,LOC_B
text1,1,13,eine,eine,NOUN,
text1,1,14,verpflichtende,verpflichtende,NOUN,
text1,1,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,16,geben,geben,PROPN,
text1,1,17,wird,wird,PROPN,
text1,1,18,oder,oder,PROPN,
text1,1,19,ob,ob,PROPN,
text1,1,20,sich,sich,PROPN,
text1,1,21,erneut,erneut,VERB,
text1,1,22,keine,keine,NOUN,
text1,1,23,ausreichende,ausreichende,NOUN,
text1,1,24,Mehrheit,Mehrheit,PROPN,GPE_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,PERSON_B
text1,2,4,der,der,PROPN,PERSON_I
text1,2,5,EU,EU,PROPN,ORG_B
text1,2,6,-,-,PUNCT,
text1,2,7,Länder,Länder,PROPN,
text1,2,8,dafür,dafür,NOUN,
text1,2,9,findet,findet,NOUN,
text1,2,10,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,deutsche,deutsche,NOUN,
text1,3,3,Haltung,Haltung,PROPN,GPE_B
text1,3,4,wird,wird,PROPN,
text1,3,5,maßgeblich,maßgeblich,PROPN,PERSON_B
text1,3,6,dafür,dafür,PROPN,PERSON_I
text1,3,7,sein,sein,PROPN,
text1,3,8,",",",",PUNCT,
text1,3,9,ob,ob,NOUN,
text1,3,10,die,die,VERB,
text1,3,11,Front,front,ADJ,ORG_B
text1,3,12,der,der,NOUN,
text1,3,13,ablehnenden,ablehnenden,VERB,
text1,3,14,EU,EU,PROPN,ORG_B
text1,3,15,-,-,PUNCT,
text1,3,16,Staaten,Staaten,PROPN,
text1,3,17,gegen,gegen,NOUN,
text1,3,18,den,den,VERB,
text1,3,19,Vorschlag,Vorschlag,PROPN,ORG_B
text1,3,20,der,der,PROPN,
text1,3,21,EU,EU,PROPN,ORG_B
text1,3,22,-,-,PUNCT,
text1,3,23,Präsidentschaft,Präsidentschaft,PROPN,
text1,3,24,Dänemarks,Dänemarks,PROPN,
text1,3,25,stehenbleibt,stehenbleibt,NOUN,
text1,3,26,.,.,PUNCT,
text3,1,1,Hintergrund,Hintergrund,PROPN,ORG_B
text3,1,2,ist,ist,ADJ,
text3,1,3,ein,ein,PROPN,
text3,1,4,jahrelanger,jahrelanger,PROPN,
text3,1,5,Streit,Streit,PROPN,ORG_B
text3,1,6,über,über,PROPN,
