doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mehr,Mehr,PROPN,ORG_B
text1,1,2,als,al,NOUN,
text1,1,3,40,40,NUM,CARDINAL_B
text1,1,4,Internetunternehmen,Internetunternehmen,PROPN,LOC_B
text1,1,5,aus,aus,ADP,LOC_I
text1,1,6,ganz,ganz,PROPN,
text1,1,7,Europa,Europa,PROPN,LOC_B
text1,1,8,sowie,sowie,NOUN,
text1,1,9,der,der,PROPN,
text1,1,10,Verband,Verband,PROPN,ORG_B
text1,1,11,European,european,ADJ,ORG_I
text1,1,12,DIGITAL,DIGITAL,PROPN,ORG_B
text1,1,13,SME,SME,PROPN,ORG_I
text1,1,14,Alliance,Alliance,PROPN,ORG_I
text1,1,15,",",",",PUNCT,
text1,1,16,der,der,PROPN,
text1,1,17,45.000,45.000,NUM,CARDINAL_B
text1,1,18,Unternehmen,Unternehmen,PROPN,PRODUCT_B
text1,1,19,vertritt,vertritt,NOUN,
text1,1,20,",",",",PUNCT,
text1,1,21,haben,haben,NOUN,PERSON_B
text1,1,22,sich,sich,PROPN,PERSON_I
text1,1,23,in,in,ADP,
text1,1,24,einem,einem,PROPN,
text1,1,25,offenen,offenen,NOUN,
text1,1,26,Brief,Brief,PROPN,
text1,1,27,gegen,gegen,NOUN,
text1,1,28,die,die,VERB,
text1,1,29,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,30,in,in,ADP,
text1,1,31,der,der,PROPN,
text1,1,32,CSA,CSA,PROPN,
text1,1,33,-,-,PUNCT,
text1,1,34,Verordnung,Verordnung,PROPN,
text1,1,35,gestellt,gestellt,NOUN,
text1,1,36,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,fordern,fordern,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,Minister,Minister,PROPN,
text1,2,5,der,der,PROPN,PERSON_B
text1,2,6,EU,EU,PROPN,PERSON_I
text1,2,7,-,-,PUNCT,PERSON_I
text1,2,8,Länder,Länder,PROPN,PERSON_I
text1,2,9,auf,auf,PROPN,
text1,2,10,",",",",PUNCT,
text1,2,11,am,be,AUX,
text1,2,12,14,14,NUM,DATE_B
text1,2,13,.,.,PUNCT,
text1,3,1,Oktober,Oktober,PROPN,
text1,3,2,alle,alle,NOUN,
text1,3,3,Maßnahmen,Maßnahmen,PROPN,
text1,3,4,abzulehnen,abzulehnen,NOUN,
text1,3,5,",",",",PUNCT,
text1,3,6,die,die,VERB,
text1,3,7,die,die,VERB,
text1,3,8,Implementierung,Implementierung,PROPN,PERSON_B
text1,3,9,von,von,PROPN,PERSON_I
text1,3,10,clientseitigem,clientseitigem,NOUN,PERSON_I
text1,3,11,Scannen,Scannen,PROPN,PRODUCT_B
text1,3,12,",",",",PUNCT,
text1,3,13,Hintertüren,Hintertüren,PROPN,PERSON_B
text1,3,14,oder,oder,NOUN,
text1,3,15,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,16,privater,privater,NOUN,
text1,3,17,Kommunikation,Kommunikation,PROPN,
text1,3,18,erzwingen,erzwingen,PROPN,
text1,3,19,würden,würden,PROPN,GPE_B
text1,3,20,.,.,PUNCT,
text3,1,1,Solche,Solche,PROPN,ORG_B
text3,1,2,Maßnahmen,Maßnahmen,PROPN,ORG_I
text3,1,3,stehen,stehen,ADV,
text3,1,4,derzeit,derzeit,PROPN,
text3,1,5,i,I,PRON,
text3,1,6,m,m,VERB,
text3,1,7,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,PERSON_B
text3,1,8,der,der,PROPN,
text3,1,9,dänischen,dänischen,PROPN,
text3,1,10,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,1,11,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text3,2,3,hatte,hatte,NOUN,PERSON_B
text3,2,4,bislang,bislang,PROPN,PERSON_I
text3,2,5,solche,solche,PROPN,
text3,2,6,Maßnahmen,Maßnahmen,PROPN,ORG_B
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,EU,EU,PROPN,PERSON_B
text3,3,4,-,-,PUNCT,PERSON_I
text3,3,5,Rat,Rat,PROPN,PERSON_I
text3,3,6,abgelehnt,abgelehnt,NOUN,
text3,3,7,",",",",PUNCT,
text3,3,8,sich,sich,SCONJ,
text3,3,9,aber,aber,PROPN,
text3,3,10,in,in,ADP,
text3,3,11,letzter,letzter,ADJ,
text3,3,12,Zeit,Zeit,PROPN,GPE_B
text3,3,13,nicht,nicht,NOUN,
text3,3,14,mehr,mehr,NOUN,
text3,3,15,zu,zu,PROPN,
text3,3,16,dieser,dieser,PROPN,
text3,3,17,Position,Position,PROPN,
text3,3,18,bekannt,bekannt,NOUN,
text3,3,19,.,.,PUNCT,
text3,4,1,Nach,Nach,PROPN,ORG_B
text3,4,2,Informationen,Informationen,PROPN,ORG_I
text3,4,3,von,von,PROPN,ORG_I
text3,4,4,netzpolitik.org,netzpolitik.org,PROPN,ORG_I
text3,4,5,und,und,PROPN,
text3,4,6,D64,D64,PROPN,ORG_B
text3,4,7,soll,soll,NOUN,
text3,4,8,eine,eine,NOUN,
text3,4,9,Entscheidung,Entscheidung,PROPN,PERSON_B
text3,4,10,der,der,PROPN,PERSON_I
text3,4,11,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text3,4,12,bis,bis,PROPN,
text3,4,13,Mittwoch,Mittwoch,PROPN,
text3,4,14,fallen,fall,VERB,
text3,4,15,.,.,PUNCT,
text5,1,1,Laut,Laut,PROPN,PERSON_B
text5,1,2,den,den,VERB,
text5,1,3,unterzeichnenden,unterzeichnenden,ADJ,
text5,1,4,Unternehmen,Unternehmen,PROPN,ORG_B
text5,1,5,mache,mache,NOUN,
text5,1,6,der,der,PROPN,
text5,1,7,Ansatz,Ansatz,PROPN,ORG_B
text5,1,8,der,der,PROPN,
text5,1,9,dänischen,dänischen,NOUN,
text5,1,10,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,1,11,das,das,PROPN,PERSON_I
text5,1,12,Internet,Internet,PROPN,PERSON_I
text5,1,13,nicht,nicht,PROPN,
text5,1,14,nur,nur,VERB,
text5,1,15,für,für,PROPN,
text5,1,16,alle,alle,NOUN,PERSON_B
text5,1,17,unsicherer,unsicherer,NOUN,PERSON_I
text5,1,18,",",",",PUNCT,
text5,1,19,sondern,sondern,PROPN,
text5,1,20,untergrabe,untergrabe,PROPN,
text5,1,21,auch,auch,PROPN,
text5,1,22,das,das,PROPN,ORG_B
text5,1,23,strategische,strategische,NOUN,
text5,1,24,Ziel,Ziel,PROPN,PERSON_B
text5,1,25,der,der,PROPN,PERSON_I
text5,1,26,EU,EU,PROPN,PERSON_I
text5,1,27,",",",",PUNCT,
text5,1,28,ein,ein,PROPN,
text5,1,29,höheres,höhere,NOUN,
text5,2,1,Maß,Maß,PROPN,PERSON_B
text5,2,2,an,an,DET,
text5,2,3,digitaler,digitaler,NOUN,
text5,2,4,Souveränität,Souveränität,PROPN,PERSON_B
text5,2,5,zu,zu,NOUN,PERSON_I
text5,2,6,erreichen,erreichen,NOUN,
text5,2,7,.,.,PUNCT,
text5,3,1,Das,Das,PROPN,
text5,3,2,liege,liege,PROPN,
text5,3,3,unter,unter,NOUN,
text5,3,4,anderem,anderem,PROPN,PERSON_B
text5,3,5,daran,daran,NOUN,PERSON_I
text5,3,6,",",",",PUNCT,
text5,3,7,dass,dass,NOUN,
text5,3,8,europäische,europäische,NOUN,
text5,3,9,Firmen,Firmen,PROPN,NORP_B
text5,3,10,mit,mit,VERB,
text5,3,11,der,der,NOUN,
text5,3,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,3,13,gezwungen,gezwungen,NOUN,PERSON_I
text5,3,14,würden,würden,ADJ,PERSON_I
text5,3,15,",",",",PUNCT,
text5,3,16,ihre,ihre,ADJ,
text5,3,17,Sicherheitsstandards,Sicherheitsstandards,PROPN,ORG_B
text5,3,18,zu,zu,PROPN,ORG_I
text5,3,19,untergraben,untergraben,NOUN,ORG_I
text5,3,20,",",",",PUNCT,
text5,3,21,und,und,VERB,
text5,3,22,sich,sich,PROPN,
text5,3,23,Nutzer,Nutzer,PROPN,ORG_B
text5,3,24,:,:,PUNCT,
text5,3,25,innen,innen,NOUN,
text5,3,26,dann,dann,NOUN,
text5,3,27,anderen,anderen,NOUN,
text5,3,28,Anbietern,Anbietern,PROPN,ORG_B
text5,3,29,zuwenden,zuwenden,PROPN,PERSON_B
text5,3,30,würden,würden,PROPN,PERSON_I
text5,3,31,",",",",PUNCT,
text5,3,32,die,die,VERB,
text5,3,33,sich,sich,ADJ,
text5,3,34,nicht,nicht,PROPN,
text5,3,35,an,an,DET,
text5,3,36,die,die,NOUN,
text5,3,37,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,3,38,-,-,PUNCT,PERSON_I
text5,3,39,Regeln,Regeln,PROPN,PERSON_I
text5,3,40,halten,halten,NOUN,
text5,3,41,müssten,müssten,NOUN,
text5,3,42,.,.,PUNCT,
text5,4,1,Das,Das,PROPN,
text5,4,2,wiederum,wiederum,PROPN,
text5,4,3,mache,mache,PROPN,
text5,4,4,Europa,Europa,PROPN,LOC_B
text5,4,5,abhängiger,abhängiger,NOUN,
text5,4,6,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Schwächung,Schwächung,PROPN,PERSON_B
text7,1,4,der,der,NOUN,PERSON_I
text7,1,5,nationalen,nationalen,VERB,
text7,1,6,Sicherheit,Sicherheit,PROPN,GPE_B
text7,1,7,befürchtet,befürchtet,NOUN,
text9,1,1,Zugleich,zugleich,NOUN,PERSON_B
text9,1,2,werde,werde,PROPN,PRODUCT_B
text9,1,3,die,die,VERB,
text9,1,4,nationale,nationale,NOUN,
text9,1,5,Sicherheit,Sicherheit,PROPN,PERSON_B
text9,1,6,der,der,PROPN,
text9,1,7,Staaten,Staaten,PROPN,
text9,1,8,in,in,ADP,
text9,1,9,Europa,Europa,PROPN,LOC_B
text9,1,10,geschwächt,geschwächt,NOUN,
text9,1,11,",",",",PUNCT,
text9,1,12,weil,weil,PROPN,
text9,1,13,durch,durch,NOUN,
text9,1,14,die,die,NOUN,
text9,1,15,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text9,1,16,geschaffene,geschaffene,VERB,PERSON_I
text9,1,17,Hintertüren,Hintertüren,PROPN,PERSON_I
text9,1,18,oder,oder,NOUN,
text9,1,19,andere,andere,VERB,
text9,1,20,Scanning,Scanning,PROPN,PERSON_B
text9,1,21,-,-,PUNCT,PERSON_I
text9,1,22,Technologien,Technologien,PROPN,PERSON_I
text9,1,23,zu,zu,PROPN,PERSON_I
text9,1,24,Schwachstellen,Schwachstellen,PROPN,PERSON_I
text9,1,25,in,in,ADP,
text9,1,26,der,der,PROPN,
text9,1,27,IT,IT,PROPN,
text9,1,28,führten,führten,VERB,
text9,1,29,",",",",PUNCT,
text9,1,30,die,die,VERB,
text9,1,31,von,von,PROPN,PERSON_B
text9,1,32,feindlichen,feindlichen,PROPN,PERSON_I
text9,1,33,staatlichen,staatlichen,PROPN,
text9,1,34,Akteuren,Akteuren,PROPN,PERSON_B
text9,1,35,und,und,VERB,
text9,1,36,Kriminellen,Kriminellen,PROPN,
text9,1,37,ausgenutzt,ausgenutzt,NOUN,
text9,1,38,werden,werden,PROPN,
text9,1,39,könnten,könnten,PROPN,
text9,1,40,",",",",PUNCT,
text9,1,41,heißt,heißt,VERB,
text9,1,42,es,es,DET,
text9,1,43,weiter,weiter,NOUN,
text9,1,44,i,I,PRON,
text9,1,45,m,m,VERB,
text9,1,46,offenen,offenen,ADJ,
text9,1,47,Brief,Brief,PROPN,
text9,1,48,.,.,PUNCT,
text11,1,1,Der,Der,PROPN,ORG_B
text11,1,2,Brief,Brief,PROPN,ORG_I
text11,1,3,weist,weist,NOUN,
text11,1,4,zudem,zudem,PROPN,PERSON_B
text11,1,5,darauf,darauf,PROPN,PERSON_I
text11,1,6,hin,hin,PROPN,
text11,1,7,",",",",PUNCT,
text11,1,8,dass,dass,NOUN,
text11,1,9,die,die,VERB,
text11,1,10,Verpflichtung,Verpflichtung,PROPN,PERSON_B
text11,1,11,zum,zum,PROPN,PERSON_I
text11,1,12,Scannen,Scannen,PROPN,PERSON_I
text11,1,13,und,und,PROPN,
text11,1,14,Durchsuchen,Durchsuchen,PROPN,
text11,1,15,insbesondere,insbesondere,ADV,
text11,1,16,kleine,kleine,NOUN,
text11,1,17,und,und,ADJ,
text11,1,18,mittlere,mittlere,NOUN,
text11,1,19,Unternehmen,Unternehmen,PROPN,ORG_B
text11,1,20,(,(,PUNCT,
text11,1,21,KMU,KMU,PROPN,ORG_B
text11,1,22,),),PUNCT,
text11,1,23,stärker,stärker,NOUN,
text11,1,24,benachteiligen,benachteiligen,NOUN,
text11,1,25,würde,würde,PROPN,
text11,1,26,.,.,PUNCT,
text11,2,1,„,„,NOUN,
text11,2,2,I,I,PRON,
text11,2,3,m,m,VERB,
text11,2,4,Gegensatz,Gegensatz,PROPN,
text11,2,5,zu,zu,NOUN,
text11,2,6,großen,großen,NOUN,
text11,3,1,Technologiekonzernen,technologiekonzernen,NOUN,PRODUCT_B
text11,3,2,verfügen,verfügen,NOUN,
text11,3,3,KMU,KMU,PROPN,ORG_B
text11,3,4,oft,oft,PROPN,
text11,3,5,nicht,nicht,PROPN,
text11,3,6,über,über,PROPN,
text11,3,7,die,die,PROPN,
text11,3,8,finanziellen,finanziellen,PROPN,
text11,3,9,und,und,PROPN,
text11,3,10,technischen,technischen,NOUN,
