doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,LOC_B
text1,1,2,Bundesregierung,Bundesregierung,PROPN,LOC_I
text1,1,3,hat,hat,NOUN,
text1,1,4,der,der,PROPN,
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,-,-,PUNCT,ORG_I
text1,1,7,Kommission,Kommission,PROPN,ORG_I
text1,1,8,einen,einen,NOUN,
text1,1,9,langen,langen,PROPN,
text1,1,10,Fragenkatalog,Fragenkatalog,PROPN,GPE_B
text1,1,11,zum,zum,NOUN,PERSON_B
text1,1,12,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PERSON_I
text1,1,13,der,der,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,15,geschickt,geschickt,VERB,
text1,1,16,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,3,ist,ist,ADJ,
text1,2,4,ein,ein,PROPN,
text1,2,5,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_B
text1,2,6,",",",",PUNCT,
text1,2,7,mit,mit,VERB,
text1,2,8,dem,dem,ADJ,NORP_B
text1,2,9,die,die,PROPN,
text1,2,10,EU,EU,PROPN,ORG_B
text1,2,11,-,-,PUNCT,
text1,2,12,Kommission,Kommission,PROPN,PERSON_B
text1,2,13,Darstellungen,Darstellungen,PROPN,PERSON_I
text1,2,14,von,von,PROPN,
text1,2,15,sexueller,sexueller,NOUN,
text1,2,16,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,17,gegen,gegen,NOUN,
text1,2,18,Kinder,Kinder,PROPN,
text1,2,19,i,i,PROPN,
text1,2,20,m,m,VERB,
text1,2,21,Internet,Internet,PROPN,
text1,2,22,bekämpfen,bekämpfen,NOUN,
text1,2,23,möchte,möchte,NOUN,
text1,2,24,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Vorhaben,Vorhaben,PROPN,ORG_I
text1,3,3,steht,steht,VERB,
text1,3,4,aber,aber,PROPN,
text1,3,5,als,als,PROPN,
text1,3,6,neue,neue,PROPN,
text1,3,7,und,und,VERB,
text1,3,8,uferlose,uferlose,NOUN,
text1,3,9,Form,Form,PROPN,
text1,3,10,anlassloser,anlassloser,NOUN,
text1,3,11,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,12,massiv,massiv,PROPN,
text1,3,13,in,in,ADP,
text1,3,14,der,der,PROPN,
text1,3,15,Kritik,Kritik,PROPN,PRODUCT_B
text1,3,16,",",",",PUNCT,
text1,3,17,auch,auch,ADJ,
text1,3,18,bei,bei,NOUN,
text1,3,19,Vertreter,Vertreter,PROPN,
text1,3,20,:,:,PUNCT,
text1,3,21,innen,innen,NOUN,
text1,3,22,der,der,NOUN,
text1,3,23,regierenden,regierenden,NOUN,
text1,3,24,FDP,FDP,PROPN,ORG_B
text1,3,25,und,und,PROPN,
text1,3,26,Grünen,Grünen,PROPN,ORG_B
text1,3,27,.,.,PUNCT,
text1,4,1,Lediglich,Lediglich,PROPN,
text1,4,2,die,die,VERB,
text1,4,3,SPD,SPD,PROPN,
text1,4,4,und,und,VERB,
text1,4,5,Bundesinnenministerin,Bundesinnenministerin,PROPN,
text1,4,6,Nancy,Nancy,PROPN,
text1,4,7,Faeser,Faeser,PROPN,
text1,4,8,äußerten,äußerten,VERB,
text1,4,9,sich,sich,PROPN,
text1,4,10,bislang,bislang,PROPN,
text1,4,11,ambivalent,ambivalent,PROPN,
text1,4,12,.,.,PUNCT,
text3,1,1,I,I,PRON,
text3,1,2,m,m,VERB,
text3,1,3,Dokument,Dokument,PROPN,
text3,1,4,",",",",PUNCT,
text3,1,5,das,das,PROPN,ORG_B
text3,1,6,wir,wir,NOUN,
text3,1,7,i,I,PRON,
text3,1,8,m,m,VERB,
text3,1,9,Volltext,Volltext,PROPN,PERSON_B
text3,1,10,veröffentlichen,veröffentlichen,NOUN,
text3,1,11,",",",",PUNCT,
text3,1,12,betont,betont,PROPN,
text3,1,13,die,die,VERB,
text3,1,14,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,1,15,",",",",PUNCT,
text3,1,16,dass,dass,PROPN,
text3,1,17,sie,sie,PROPN,
text3,1,18,das,das,PROPN,ORG_B
text3,1,19,Vorhaben,Vorhaben,PROPN,ORG_I
text3,1,20,als,al,NOUN,
text3,1,21,wichtigen,wichtigen,NOUN,
text3,1,22,Schritt,Schritt,PROPN,PERSON_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Kampf,Kampf,PROPN,
text3,2,4,gegen,gegen,NOUN,
text3,2,5,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_B
text3,2,6,begrüße,begrüße,VERB,
text3,2,7,",",",",PUNCT,
text3,2,8,aber,aber,PROPN,
text3,2,9,vor,vor,VERB,
text3,2,10,dem,dem,ADJ,
text3,2,11,Hintergrund,Hintergrund,PROPN,ORG_B
text3,2,12,ihres,ihre,NOUN,
text3,2,13,Koalitionsvertrages,Koalitionsvertrages,PROPN,GPE_B
text3,2,14,prüfe,prüfe,NOUN,
text3,2,15,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,ist,ist,NOUN,
text3,3,3,die,die,VERB,
