doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text1,1,4,hatte,hatte,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,Ampel,Ampel,PROPN,PERSON_B
text1,1,7,ein,ein,PROPN,PERSON_I
text1,2,1,„,„,PUNCT,
text1,2,2,Recht,Recht,PROPN,PERSON_B
text1,2,3,auf,auf,PROPN,
text1,2,4,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,2,5,“,"""",PUNCT,
text1,2,6,festgeschrieben,festgeschrieben,NOUN,
text1,2,7,.,.,PUNCT,
text1,3,1,Nun,Nun,PROPN,PERSON_B
text1,3,2,hat,hat,NOUN,
text1,3,3,das,das,PROPN,PERSON_B
text1,3,4,Bundesministerium,Bundesministerium,PROPN,PERSON_I
text1,3,5,für,für,NOUN,
text1,3,6,Digitales,Digitales,PROPN,ORG_B
text1,3,7,und,und,PROPN,ORG_I
text1,3,8,Verkehr,Verkehr,PROPN,ORG_B
text1,3,9,(,(,PUNCT,
text1,3,10,BMDV,BMDV,PROPN,ORG_B
text1,3,11,),),PUNCT,
text1,3,12,einen,einen,NOUN,
text1,3,13,Referentenentwurf,Referentenentwurf,PROPN,NORP_B
text1,3,14,in,in,ADP,
text1,3,15,die,die,ADJ,
text1,3,16,Ressortabstimmung,Ressortabstimmung,PROPN,PERSON_B
text1,3,17,gegeben,gegeben,PROPN,PERSON_I
text1,3,18,",",",",PUNCT,
text1,3,19,der,der,PROPN,
text1,3,20,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,3,21,stärken,stärken,PROPN,
text1,3,22,soll,soll,PROPN,
text1,3,23,.,.,PUNCT,
text1,4,1,Wir,Wir,PROPN,
text1,4,2,veröffentlichen,veröffentlichen,PROPN,
text1,4,3,den,den,VERB,
text1,4,4,Entwurf,Entwurf,PROPN,
text1,4,5,i,I,PRON,
text1,4,6,m,m,VERB,
text1,4,7,Volltext,Volltext,PROPN,PERSON_B
text1,4,8,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text3,1,3,ergänzt,ergänzt,VERB,
text3,1,4,wird,wird,PROPN,
text3,1,5,das,das,PROPN,
text3,1,6,Telekommunikation,Telekommunikation,PROPN,
text3,1,7,-,-,PUNCT,
text3,1,8,Telemedien,Telemedien,PROPN,
text3,1,9,-,-,PUNCT,
text3,1,10,Datenschutz,Datenschutz,PROPN,
text3,1,11,-,-,PUNCT,
text3,1,12,Gesetz,Gesetz,VERB,
text3,1,13,ergänzt,ergänzt,NOUN,
text3,1,14,.,.,PUNCT,
text3,2,1,Mit,Mit,PROPN,
text3,2,2,der,der,PROPN,
text3,2,3,Ergänzung,Ergänzung,PROPN,PERSON_B
text3,2,4,sollen,sollen,NOUN,
text3,2,5,einerseits,einerseit,NOUN,
text3,2,6,nummernunabhängige,nummernunabhängige,PROPN,
text3,2,7,interpersonelle,interpersonelle,PROPN,
text3,2,8,Telekommunikationsdienste,Telekommunikationsdienste,PROPN,
text3,2,9,dazu,dazu,NOUN,
text3,2,10,verpflichtet,verpflichtet,PROPN,
text3,2,11,werden,werden,PROPN,
text3,2,12,",",",",PUNCT,
text3,2,13,ihre,ihre,ADJ,
text3,2,14,Telekommunikationsdienste,telekommunikationsdienste,NOUN,
text3,2,15,als,al,NOUN,
text3,3,1,Standard,standard,ADJ,
text3,3,2,mit,mit,NOUN,
text3,3,3,einer,einer,NOUN,
text3,3,4,Ende,Ende,PROPN,ORG_B
text3,3,5,-,-,PUNCT,ORG_I
text3,3,6,zu,zu,PROPN,ORG_I
text3,3,7,-,-,PUNCT,ORG_I
text3,3,8,Ende,ende,ADJ,ORG_I
text3,3,9,-,-,PUNCT,ORG_I
text3,3,10,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text3,3,11,anzubieten,anzubieten,NOUN,
text3,3,12,.,.,PUNCT,
text3,4,1,Gemeint,gemeint,NOUN,
text3,4,2,sind,sind,NOUN,
text3,4,3,damit,damit,VERB,
text3,4,4,etwa,etwa,NOUN,
text3,4,5,E‑Mail,e‑mail,NOUN,
text3,4,6,",",",",PUNCT,
text3,4,7,Messenger,Messenger,PROPN,PERSON_B
text3,4,8,wie,wie,NOUN,
text3,4,9,WhatsApp,WhatsApp,PROPN,ORG_B
text3,4,10,oder,oder,NOUN,
text3,4,11,Signal,Signal,PROPN,ORG_B
text3,4,12,und,und,PROPN,
text3,4,13,andere,andere,VERB,
text3,4,14,Chatdienste,Chatdienste,PROPN,PERSON_B
text3,4,15,.,.,PUNCT,
text5,1,1,Ähnliches,ähnliche,NOUN,
text5,1,2,soll,soll,PROPN,
text5,1,3,für,für,VERB,
text5,1,4,Cloud,Cloud,PROPN,PERSON_B
text5,1,5,-,-,PUNCT,PERSON_I
text5,1,6,Dienste,Dienste,PROPN,PERSON_I
text5,1,7,gelten,gelten,NOUN,
text5,1,8,",",",",PUNCT,
text5,1,9,bei,bei,VERB,
text5,1,10,denen,denen,NOUN,
text5,1,11,Nutzer,Nutzer,PROPN,ORG_B
text5,1,12,:,:,PUNCT,
text5,1,13,innen,innen,NOUN,
text5,1,14,ihre,ihre,ADJ,
text5,1,15,Daten,Daten,PROPN,ORG_B
text5,1,16,speichern,speichern,ADJ,
text5,1,17,können,können,NOUN,
text5,1,18,.,.,PUNCT,
text5,2,1,Sie,Sie,PROPN,
text5,2,2,zählen,zählen,PROPN,
text5,2,3,als,al,NOUN,
text5,2,4,Telemediendienste,Telemediendienste,PROPN,ORG_B
text5,2,5,",",",",PUNCT,
text5,2,6,für,für,ADV,
text5,2,7,die,die,VERB,
text5,2,8,das,das,PROPN,PERSON_B
text5,2,9,Fernmeldegeheimnis,Fernmeldegeheimnis,PROPN,PERSON_I
text5,2,10,nicht,nicht,NOUN,
text5,2,11,gilt,gilt,NOUN,
text5,2,12,.,.,PUNCT,
text5,3,1,Hier,hi,ADJ,
text5,3,2,müssten,müssten,NOUN,
text5,3,3,",",",",PUNCT,
text5,3,4,wenn,wenn,PROPN,
text5,3,5,das,das,PROPN,PERSON_B
text5,3,6,Gesetz,Gesetz,PROPN,PERSON_I
text5,3,7,so,so,SCONJ,
text5,3,8,kommen,komman,NOUN,
text5,3,9,würde,würde,PROPN,
text5,3,10,",",",",PUNCT,
text5,3,11,Dienstleister,Dienstleister,PROPN,
text5,3,12,in,in,ADP,
text5,3,13,Zukunft,Zukunft,PROPN,ORG_B
text5,3,14,eine,eine,NOUN,
text5,3,15,Möglichkeit,Möglichkeit,PROPN,
text5,3,16,zur,zur,PROPN,
text5,3,17,Ende,Ende,PROPN,
text5,3,18,-,-,PUNCT,
text5,3,19,zu,zu,PROPN,
text5,3,20,-,-,PUNCT,
text5,3,21,Ende,ende,ADJ,
text5,3,22,-,-,PUNCT,
text5,3,23,Verschlüsselung,Verschlüsselung,PROPN,
text5,3,24,anbieten,anbieten,ADJ,
text5,3,25,.,.,PUNCT,
text7,1,1,Nutzer,nutzer,NOUN,
text7,1,2,:,:,PUNCT,
text7,1,3,innen,innen,NOUN,
text7,1,4,sollen,sollen,NOUN,
text7,1,5,Ende,Ende,PROPN,
text7,1,6,-,-,PUNCT,
text7,1,7,zu,zu,NOUN,
text7,1,8,-,-,PUNCT,
text7,1,9,Ende,ende,ADJ,
text7,1,10,-,-,PUNCT,
text7,1,11,Verschlüsselung,Verschlüsselung,PROPN,
text7,1,12,überall,überall,NOUN,
text7,1,13,da,da,PROPN,
text7,1,14,nutzen,nutzen,NOUN,
text7,1,15,können,können,NOUN,
