doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,meisten,meisten,NOUN,
text1,1,3,EU,EU,PROPN,ORG_B
text1,1,4,-,-,PUNCT,
text1,1,5,Staaten,Staaten,PROPN,
text1,1,6,fordern,fordern,NOUN,
text1,1,7,die,die,VERB,
text1,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,9,",",",",PUNCT,
text1,1,10,also,also,ADV,
text1,1,11,Internet,internet,NOUN,
text1,1,12,-,-,PUNCT,
text1,1,13,Kommunikation,Kommunikation,PROPN,
text1,1,14,massenhaft,massenhaft,NOUN,
text1,1,15,und,und,PROPN,
text1,1,16,anlasslos,anlasslos,PROPN,
text1,1,17,nach,nach,VERB,
text1,1,18,strafbarer,strafbarer,NOUN,
text1,1,19,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text1,1,20,zu,zu,PROPN,
text1,1,21,durchsuchen,durchsuchen,NOUN,
text1,1,22,.,.,PUNCT,
text1,2,1,Eine,Eine,PROPN,PERSON_B
text1,2,2,Mehrheit,Mehrheit,PROPN,PERSON_I
text1,2,3,der,der,PROPN,
text1,2,4,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,2,5,will,will,AUX,
text1,2,6,auch,auch,VERB,
text1,2,7,verschlüsselte,verschlüsselte,ADJ,
text1,2,8,Kommunikation,Kommunikation,PROPN,
text1,2,9,und,und,PROPN,
text1,2,10,Audio,Audio,PROPN,
text1,2,11,-,-,PUNCT,
text1,2,12,Kommunikation,Kommunikation,PROPN,
text1,2,13,überwachen,überwachen,PROPN,
text1,2,14,sowie,sowie,NOUN,
text1,2,15,neben,neben,NOUN,
text1,2,16,bekanntem,bekanntem,NOUN,
text1,2,17,Missbrauchsmaterial,Missbrauchsmaterial,PROPN,
text1,2,18,auch,auch,NOUN,
text1,2,19,nach,nach,NOUN,
text1,2,20,unbekanntem,unbekanntem,ADJ,
text1,2,21,Material,Material,PROPN,
text1,2,22,und,und,ADJ,
text1,2,23,Grooming,Grooming,PROPN,PERSON_B
text1,2,24,suchen,suchen,PROPN,
text1,2,25,und,und,VERB,
text1,2,26,an,an,DET,
text1,2,27,ein,ein,NOUN,
text1,2,28,EU,EU,PROPN,ORG_B
text1,2,29,-,-,PUNCT,
text1,2,30,Zentrum,Zentrum,PROPN,
text1,2,31,ausleiten,ausleiten,NOUN,
text1,2,32,.,.,PUNCT,
text3,1,1,Vor,Vor,PROPN,PERSON_B
text3,1,2,einem,einem,PROPN,PERSON_I
text3,1,3,Jahr,Jahr,PROPN,PERSON_I
text3,1,4,hat,hat,NOUN,
text3,1,5,die,die,VERB,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Kommission,Kommission,PROPN,ORG_I
text3,1,9,eine,eine,NOUN,
text3,2,1,Verordnung,Verordnung,PROPN,ORG_B
text3,2,2,zur,zur,PROPN,ORG_I
text3,2,3,Prävention,Prävention,PROPN,ORG_I
text3,2,4,und,und,PROPN,
text3,2,5,Bekämpfung,Bekämpfung,PROPN,
text3,2,6,des,des,X,
text3,2,7,sexuellen,sexuellen,NOUN,
text3,2,8,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,2,9,von,von,PROPN,PERSON_I
text3,2,10,Kindern,Kindern,PROPN,PERSON_I
text3,2,11,vorgeschlagen,vorgeschlagen,NOUN,
text3,2,12,.,.,PUNCT,
text3,3,1,Seitdem,Seitdem,PROPN,ORG_B
text3,3,2,verhandeln,verhandeln,PROPN,CARDINAL_B
text3,3,3,das,das,PROPN,PERSON_B
text3,3,4,EU,EU,PROPN,PERSON_I
text3,3,5,-,-,PUNCT,PERSON_I
text3,3,6,Parlament,Parlament,PROPN,PERSON_I
text3,3,7,und,und,NOUN,
text3,3,8,die,die,VERB,
text3,3,9,EU,EU,PROPN,ORG_B
text3,3,10,-,-,PUNCT,
text3,3,11,Staaten,Staaten,PROPN,
text3,3,12,über,über,NOUN,
text3,3,13,den,den,NOUN,
text3,3,14,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,3,15,.,.,PUNCT,
text3,4,1,Die,die,VERB,
text3,4,2,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text3,4,3,haben,haben,VERB,
text3,4,4,16,16,NUM,CARDINAL_B
text3,4,5,mal,mal,NOUN,
text3,4,6,in,in,ADP,
text3,4,7,der,der,PROPN,
text3,4,8,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text3,4,9,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,4,10,getagt,getagt,NOUN,
text3,4,11,",",",",PUNCT,
text3,4,12,aber,aber,PROPN,
text3,4,13,sich,sich,PROPN,
text3,4,14,in,in,ADP,
text3,4,15,wesentlichen,wesentlichen,PROPN,
text3,4,16,Fragen,Fragen,PROPN,ORG_B
text3,4,17,noch,noch,PROPN,
text3,4,18,nicht,nicht,PROPN,
text3,4,19,geeinigt,geeinigt,PROPN,
text3,4,20,.,.,PUNCT,
text5,1,1,Deshalb,deshalb,ADJ,ORG_B
text5,1,2,hat,hat,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,schwedische,schwedische,ADJ,
text5,1,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,1,6,das,das,PROPN,PERSON_I
text5,1,7,Thema,Thema,PROPN,PERSON_I
text5,1,8,auf,auf,PROPN,
text5,1,9,eine,eine,NOUN,
text5,1,10,höhere,höhere,VERB,
text5,1,11,Ebene,Ebene,PROPN,
text5,1,12,gehoben,gehoben,NOUN,
text5,1,13,",",",",PUNCT,
text5,1,14,von,von,PROPN,PERSON_B
text5,1,15,der,der,PROPN,PERSON_I
text5,1,16,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_I
text5,1,17,in,in,ADP,
text5,1,18,den,den,NOUN,
text5,1,19,Ausschuss,Ausschuss,PROPN,ORG_B
text5,1,20,der,der,NOUN,
text5,1,21,Ständigen,Ständigen,PROPN,PERSON_B
text5,1,22,Vertreter,Vertreter,PROPN,PERSON_I
text5,1,23,.,.,PUNCT,
text5,2,1,Für,Für,PROPN,
text5,2,2,Deutschland,Deutschland,PROPN,GPE_B
text5,2,3,verhandelt,verhandelt,VERB,
text5,2,4,dort,dort,PROPN,
text5,2,5,der,der,PROPN,
text5,2,6,EU,EU,PROPN,ORG_B
text5,2,7,-,-,PUNCT,
text5,2,8,Botschafter,Botschafter,PROPN,
text5,2,9,Michael,Michael,PROPN,PERSON_B
text5,2,10,Clauß,Clauß,PROPN,PERSON_I
text5,2,11,.,.,PUNCT,
text5,3,1,Mitte,Mitte,PROPN,PERSON_B
text5,3,2,Mai,Mai,PROPN,PERSON_I
text5,3,3,hat,hat,NOUN,
text5,3,4,die,die,VERB,
text5,3,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,3,6,eine,eine,NOUN,
text5,3,7,Umfrage,Umfrage,PROPN,
text5,3,8,unter,unter,NOUN,
text5,3,9,den,den,VERB,
text5,3,10,Staaten,Staaten,PROPN,ORG_B
text5,3,11,durchgeführt,durchgeführt,PROPN,
text5,3,12,",",",",PUNCT,
text5,3,13,die,die,PROPN,
text5,3,14,wir,wir,NOUN,
text5,3,15,veröffentlichen,veröffentlichen,NOUN,
text5,3,16,.,.,PUNCT,
text5,4,1,Ende,Ende,PROPN,ORG_B
text5,4,2,Mai,Mai,PROPN,ORG_I
text5,4,3,haben,haben,NOUN,ORG_I
text5,4,4,die,die,VERB,
text5,4,5,Ständigen,Ständigen,PROPN,ORG_B
text5,4,6,Vertreter,Vertreter,PROPN,ORG_I
text5,4,7,der,der,PROPN,
text5,4,8,EU,EU,PROPN,ORG_B
text5,4,9,-,-,PUNCT,
text5,4,10,Staaten,Staaten,PROPN,
text5,4,11,über,über,NOUN,
text5,4,12,die,die,NOUN,
text5,4,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,4,14,verhandelt,verhandelt,PROPN,
text5,4,15,",",",",PUNCT,
text5,4,16,wir,wir,PROPN,
text5,4,17,veröffentlichen,veröffentlichen,PROPN,
text5,4,18,ein,ein,PROPN,ORG_B
text5,4,19,Protokoll,Protokoll,PROPN,ORG_I
text5,4,20,der,der,PROPN,
text5,4,21,Sitzung,Sitzung,PROPN,GPE_B
text5,4,22,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Mehrheit,Mehrheit,PROPN,ORG_B
text7,1,4,der,der,NOUN,ORG_I
text7,1,5,Staaten,Staaten,PROPN,
text7,1,6,für,für,NOUN,
text7,1,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text9,1,1,Demzufolge,Demzufolge,PROPN,
text9,1,2,befürworten,befürworten,VERB,
text9,1,3,19,19,NUM,CARDINAL_B
text9,1,4,EU,EU,PROPN,ORG_B
text9,1,5,-,-,PUNCT,
text9,1,6,Staaten,Staaten,PROPN,
text9,1,7,",",",",PUNCT,
text9,1,8,Anbieter,Anbieter,PROPN,PERSON_B
text9,1,9,„,„,PUNCT,
