doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Justizminister,Justizminister,PROPN,ORG_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,der,der,NOUN,
text1,1,6,Länder,Länder,PROPN,PRODUCT_B
text1,1,7,haben,haben,NOUN,PERSON_B
text1,1,8,sich,sich,PROPN,PERSON_I
text1,1,9,heute,heute,VERB,
text1,1,10,mit,mit,NOUN,
text1,1,11,knapper,knapper,PROPN,
text1,1,12,Mehrheit,Mehrheit,PROPN,GPE_B
text1,1,13,gegen,gegen,NOUN,
text1,1,14,die,die,VERB,
text1,1,15,von,von,PROPN,ORG_B
text1,1,16,der,der,PROPN,ORG_I
text1,1,17,Union,Union,PROPN,ORG_I
text1,1,18,geforderte,geforderte,NOUN,
text1,1,19,anlasslose,anlasslose,VERB,
text1,1,20,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,GPE_B
text1,1,21,zur,zur,PROPN,
text1,1,22,Strafverfolgung,Strafverfolgung,PROPN,GPE_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Netz,Netz,PROPN,PERSON_B
text1,2,4,ausgesprochen,ausgesprochen,ADV,
text1,2,5,.,.,PUNCT,
text1,3,1,Mit,Mit,PROPN,
text1,3,2,neun,neun,NOUN,
text1,3,3,zu,zu,NOUN,
text1,3,4,sieben,sieben,NOUN,
text1,3,5,Stimmen,Stimmen,PROPN,ORG_B
text1,3,6,votierten,votierten,NOUN,
text1,3,7,die,die,VERB,
text1,3,8,Minister,Minister,PROPN,
text1,3,9,:,:,PUNCT,
text1,3,10,innen,innen,NOUN,
text1,3,11,heute,heute,NOUN,
text1,3,12,auf,auf,PROPN,
text1,3,13,ihrer,ihrer,NOUN,
text1,3,14,Herbstkonferenz,Herbstkonferenz,PROPN,ORG_B
text1,3,15,in,in,ADP,
text1,3,16,Berlin,Berlin,PROPN,GPE_B
text1,3,17,für,für,NOUN,
text1,3,18,einen,einen,NOUN,
text1,3,19,Antrag,Antrag,PROPN,FAC_B
text1,3,20,aus,aus,NOUN,FAC_I
text1,3,21,Hamburg,Hamburg,PROPN,FAC_I
text1,3,22,und,und,PROPN,
text1,3,23,Sachsen,Sachsen,PROPN,GPE_B
text1,3,24,",",",",PUNCT,
text1,3,25,der,der,PROPN,
text1,3,26,das,das,PROPN,
text1,3,27,„,„,PUNCT,
text1,3,28,Quick,Quick,PROPN,
text1,3,29,Freeze“-Verfahren,freeze“-verfahren,NOUN,
text1,3,30,von,von,PROPN,
text1,3,31,Bundesjustizminister,Bundesjustizminister,PROPN,
text1,3,32,Marco,Marco,PROPN,PERSON_B
text1,3,33,Buschmann,Buschmann,PROPN,PERSON_I
text1,3,34,unterstützt,unterstützt,PROPN,
text1,3,35,.,.,PUNCT,
text3,1,1,Konkret,Konkret,PROPN,
text3,1,2,heißt,heißt,VERB,
text3,1,3,es,es,ADP,
text3,1,4,in,in,ADP,
text3,1,5,dem,dem,ADJ,NORP_B
text3,1,6,Beschluss,Beschluss,PROPN,PERSON_B
text3,1,7,:,:,PUNCT,
text3,1,8,„,„,PUNCT,
text3,1,9,Die,Die,PROPN,
text3,1,10,Justizministerinnen,Justizministerinnen,PROPN,
text3,1,11,und,und,PROPN,
text3,1,12,Justizminister,Justizminister,PROPN,
text3,1,13,befürworten,befürworten,VERB,
text3,1,14,eine,eine,NOUN,
