doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,fast,fast,ADV,
text1,1,3,drei,drei,NOUN,
text1,1,4,Jahren,Jahren,PROPN,PERSON_B
text1,1,5,streiten,streiten,NOUN,
text1,1,6,die,die,VERB,
text1,1,7,EU,EU,PROPN,ORG_B
text1,1,8,-,-,PUNCT,
text1,1,9,Institutionen,Institutionen,PROPN,
text1,1,10,über,über,NOUN,
text1,1,11,eine,eine,NOUN,
text1,1,12,verpflichtende,verpflichtende,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Kommission,Kommission,PROPN,
text1,2,3,will,will,AUX,
text1,2,4,Internet,Internet,PROPN,
text1,2,5,-,-,PUNCT,
text1,2,6,Dienste,Dienste,PROPN,
text1,2,7,verpflichten,verpflichten,NOUN,
text1,2,8,",",",",PUNCT,
text1,2,9,die,die,VERB,
text1,2,10,Inhalte,Inhalte,PROPN,NORP_B
text1,2,11,ihrer,ihrer,NOUN,
text1,2,12,Nutzer,Nutzer,PROPN,ORG_B
text1,2,13,auf,auf,PROPN,
text1,2,14,Straftaten,Straftaten,PROPN,
text1,2,15,zu,zu,NOUN,
text1,2,16,durchsuchen,durchsuchen,NOUN,
text1,2,17,und,und,VERB,
text1,2,18,diese,diese,ADJ,NORP_B
text1,2,19,bei,bei,NOUN,
text1,2,20,Verdacht,Verdacht,PROPN,PERSON_B
text1,2,21,an,an,DET,
text1,2,22,Behörden,Behörden,PROPN,GPE_B
text1,2,23,zu,zu,NOUN,
text1,2,24,schicken,schicken,NOUN,
text1,2,25,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,INTJ,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Rat,Rat,PROPN,
text3,2,4,bisher,bisher,PROPN,
text3,2,5,nicht,nicht,PROPN,
text3,2,6,auf,auf,PROPN,
text3,2,7,eine,eine,NOUN,
